,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2009-05-11T00:00:00.000Z,9.77,18.22,9.26,13.34,174109,9.77,18.22,9.26,13.34,174109,0.0,1.0
1,2009-05-12T00:00:00.000Z,9.99,11.04,9.55,11.04,12259,9.99,11.04,9.55,11.04,12259,0.0,1.0
2,2009-05-13T00:00:00.000Z,9.69,9.7,9.55,9.7,1275,9.69,9.7,9.55,9.7,1275,0.0,1.0
3,2009-05-14T00:00:00.000Z,9.32,9.8,9.2,9.65,9568,9.32,9.8,9.2,9.65,9568,0.0,1.0
4,2009-05-15T00:00:00.000Z,9.04,9.38,9.04,9.38,3346,9.04,9.38,9.04,9.38,3346,0.0,1.0
5,2009-05-18T00:00:00.000Z,9.04,9.82,9.0,9.04,4845,9.04,9.82,9.0,9.04,4845,0.0,1.0
6,2009-05-19T00:00:00.000Z,9.5,9.55,9.39,9.4,4350,9.5,9.55,9.39,9.4,4350,0.0,1.0
7,2009-05-20T00:00:00.000Z,9.7,9.82,9.7,9.82,3592,9.7,9.82,9.7,9.82,3592,0.0,1.0
8,2009-05-21T00:00:00.000Z,9.6,9.6001,9.6,9.6,1775,9.6,9.6001,9.6,9.6,1775,0.0,1.0
9,2009-05-22T00:00:00.000Z,9.8,9.8001,9.8,9.8001,2166,9.8,9.8001,9.8,9.8001,2166,0.0,1.0
10,2009-05-26T00:00:00.000Z,9.3,9.3,9.3,9.3,1200,9.3,9.3,9.3,9.3,1200,0.0,1.0
11,2009-05-27T00:00:00.000Z,9.5,10.15,9.4,9.4,21501,9.5,10.15,9.4,9.4,21501,0.0,1.0
12,2009-05-28T00:00:00.000Z,9.7,9.9,9.7,9.9,700,9.7,9.9,9.7,9.9,700,0.0,1.0
13,2009-05-29T00:00:00.000Z,9.7,9.7,9.7,9.7,500,9.7,9.7,9.7,9.7,500,0.0,1.0
14,2009-06-01T00:00:00.000Z,9.8178,9.8178,9.41,9.41,500,9.8178,9.8178,9.41,9.41,500,0.0,1.0
15,2009-06-02T00:00:00.000Z,9.7001,9.7001,9.7001,9.7001,140,9.7001,9.7001,9.7001,9.7001,140,0.0,1.0
16,2009-06-03T00:00:00.000Z,9.7,9.82,9.67,9.7,2900,9.7,9.82,9.67,9.7,2900,0.0,1.0
17,2009-06-04T00:00:00.000Z,9.7,9.7,9.7,9.7,100,9.7,9.7,9.7,9.7,100,0.0,1.0
18,2009-06-05T00:00:00.000Z,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0,0.0,1.0
19,2009-06-08T00:00:00.000Z,9.7,9.7,9.7,9.7,100,9.7,9.7,9.7,9.7,100,0.0,1.0
20,2009-06-09T00:00:00.000Z,9.33,9.3801,9.25,9.38,2150,9.33,9.3801,9.25,9.38,2150,0.0,1.0
21,2009-06-10T00:00:00.000Z,9.34,9.34,9.33,9.33,400,9.34,9.34,9.33,9.33,400,0.0,1.0
22,2009-06-11T00:00:00.000Z,9.34,9.34,9.34,9.34,0,9.34,9.34,9.34,9.34,0,0.0,1.0
23,2009-06-12T00:00:00.000Z,9.4,9.4,9.4,9.4,100,9.4,9.4,9.4,9.4,100,0.0,1.0
24,2009-06-15T00:00:00.000Z,9.7,9.7,9.7,9.7,800,9.7,9.7,9.7,9.7,800,0.0,1.0
25,2009-06-16T00:00:00.000Z,9.6,9.73,9.59,9.59,4900,9.6,9.73,9.59,9.59,4900,0.0,1.0
26,2009-06-17T00:00:00.000Z,9.45,9.45,9.45,9.45,100,9.45,9.45,9.45,9.45,100,0.0,1.0
27,2009-06-18T00:00:00.000Z,9.44,9.75,9.44,9.55,1600,9.44,9.75,9.44,9.55,1600,0.0,1.0
28,2009-06-19T00:00:00.000Z,9.5,9.5,9.5,9.5,200,9.5,9.5,9.5,9.5,200,0.0,1.0
29,2009-06-22T00:00:00.000Z,9.7312,9.85,9.7,9.85,3078,9.7312,9.85,9.7,9.85,3078,0.0,1.0
30,2009-06-23T00:00:00.000Z,9.75,9.75,9.18,9.28,2061,9.75,9.75,9.18,9.28,2061,0.0,1.0
31,2009-06-24T00:00:00.000Z,9.33,9.75,9.33,9.75,558,9.33,9.75,9.33,9.75,558,0.0,1.0
