,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2007-05-25T00:00:00.000Z,20.0,20.06,20.0,20.02,78900,6.5080231357,6.5275472051,6.5080231357,6.5145311588,78900,0.0,1.0
1,2007-05-29T00:00:00.000Z,20.1,20.1,20.0,20.1,37800,6.5405632514,6.5405632514,6.5080231357,6.5405632514,37800,0.0,1.0
2,2007-05-30T00:00:00.000Z,20.15,20.18,20.03,20.1,28300,6.5568333092,6.5665953439,6.5177851704,6.5405632514,28300,0.0,1.0
3,2007-05-31T00:00:00.000Z,20.14,20.19,20.05,20.1,26800,6.5535792977,6.5698493555,6.5242931935,6.5405632514,26800,0.0,1.0
4,2007-06-01T00:00:00.000Z,20.04,20.2,20.02,20.17,31600,6.521039182,6.5731033671,6.5145311588,6.5633413324,31600,0.0,1.0
5,2007-06-04T00:00:00.000Z,20.1,20.15,20.01,20.03,43300,6.5405632514,6.5568333092,6.5112771473,6.5177851704,43300,0.0,1.0
6,2007-06-05T00:00:00.000Z,20.0,20.15,20.0,20.12,58200,6.5080231357,6.5568333092,6.5080231357,6.5470712745,58200,0.0,1.0
7,2007-06-06T00:00:00.000Z,20.05,20.1,20.01,20.1,34500,6.5242931935,6.5405632514,6.5112771473,6.5405632514,34500,0.0,1.0
8,2007-06-07T00:00:00.000Z,20.05,20.07,20.0,20.02,34900,6.5242931935,6.5308012167,6.5080231357,6.5145311588,34900,0.0,1.0
9,2007-06-08T00:00:00.000Z,20.0,20.07,20.0,20.07,22400,6.5080231357,6.5308012167,6.5080231357,6.5308012167,22400,0.0,1.0
10,2007-06-11T00:00:00.000Z,20.0801,20.14,20.0,20.0,22600,6.5340877684,6.5535792977,6.5080231357,6.5080231357,22600,0.0,1.0
11,2007-06-12T00:00:00.000Z,20.02,20.11,20.0,20.11,28900,6.5145311588,6.543817263,6.5080231357,6.543817263,28900,0.0,1.0
12,2007-06-13T00:00:00.000Z,20.02,20.07,20.0,20.07,28600,6.5145311588,6.5308012167,6.5080231357,6.5308012167,28600,0.0,1.0
13,2007-06-14T00:00:00.000Z,20.0,20.03,20.0,20.03,19600,6.5080231357,6.5177851704,6.5080231357,6.5177851704,19600,0.0,1.0
14,2007-06-15T00:00:00.000Z,20.03,20.04,20.0,20.0,22800,6.5177851704,6.521039182,6.5080231357,6.5080231357,22800,0.0,1.0
