,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2001-01-30T00:00:00.000Z,16.88,18.19,16.25,18.13,812300,16.88,18.19,16.25,18.13,812300,0.0,1.0
1,2001-01-31T00:00:00.000Z,13.5,17.19,13.44,17.13,1212700,13.5,17.19,13.44,17.13,1212700,0.0,1.0
2,2001-02-01T00:00:00.000Z,14.19,14.38,13.0,13.13,669100,14.19,14.38,13.0,13.13,669100,0.0,1.0
3,2001-02-02T00:00:00.000Z,14.13,14.56,13.75,14.0,775000,14.13,14.56,13.75,14.0,775000,0.0,1.0
4,2001-02-05T00:00:00.000Z,14.13,14.5,13.88,14.44,489400,14.13,14.5,13.88,14.44,489400,0.0,1.0
5,2001-02-06T00:00:00.000Z,14.0,14.06,13.88,14.02,737900,14.0,14.06,13.88,14.02,737900,0.0,1.0
6,2001-02-07T00:00:00.000Z,13.06,14.06,13.0,14.0,1361000,13.06,14.06,13.0,14.0,1361000,0.0,1.0
7,2001-02-08T00:00:00.000Z,13.06,13.19,13.0,13.13,712000,13.06,13.19,13.0,13.13,712000,0.0,1.0
8,2001-02-09T00:00:00.000Z,12.0,13.06,11.88,13.05,1100800,12.0,13.06,11.88,13.05,1100800,0.0,1.0
9,2001-02-12T00:00:00.000Z,11.06,12.13,10.94,12.05,552000,11.06,12.13,10.94,12.05,552000,0.0,1.0
10,2001-02-13T00:00:00.000Z,11.44,11.56,11.0,11.0,304300,11.44,11.56,11.0,11.0,304300,0.0,1.0
11,2001-02-14T00:00:00.000Z,11.63,11.75,11.13,11.25,136900,11.63,11.75,11.13,11.25,136900,0.0,1.0
12,2001-02-15T00:00:00.000Z,12.81,13.0,12.05,12.06,1568600,12.81,13.0,12.05,12.06,1568600,0.0,1.0
13,2001-02-16T00:00:00.000Z,13.06,13.06,12.5,12.84,161500,13.06,13.06,12.5,12.84,161500,0.0,1.0
14,2001-02-20T00:00:00.000Z,12.75,13.69,12.63,13.63,411200,12.75,13.69,12.63,13.63,411200,0.0,1.0
15,2001-02-21T00:00:00.000Z,12.31,13.13,12.25,12.59,219000,12.31,13.13,12.25,12.59,219000,0.0,1.0
16,2001-02-22T00:00:00.000Z,12.11,12.5,11.5,12.0,712500,12.11,12.5,11.5,12.0,712500,0.0,1.0
17,2001-02-23T00:00:00.000Z,11.06,12.25,10.63,12.13,217800,11.06,12.25,10.63,12.13,217800,0.0,1.0
18,2001-02-26T00:00:00.000Z,9.0,11.38,8.75,10.66,839200,9.0,11.38,8.75,10.66,839200,0.0,1.0
19,2001-02-27T00:00:00.000Z,7.563,9.5,7.125,9.406,865200,7.563,9.5,7.125,9.406,865200,0.0,1.0
20,2001-02-28T00:00:00.000Z,7.5,8.125,7.375,8.094,503600,7.5,8.125,7.375,8.094,503600,0.0,1.0
21,2001-03-01T00:00:00.000Z,7.563,7.625,7.313,7.484,464200,7.563,7.625,7.313,7.484,464200,0.0,1.0
22,2001-03-02T00:00:00.000Z,7.5,7.625,7.313,7.563,277800,7.5,7.625,7.313,7.563,277800,0.0,1.0
23,2001-03-05T00:00:00.000Z,6.688,7.625,6.125,7.594,697900,6.688,7.625,6.125,7.594,697900,0.0,1.0
24,2001-03-06T00:00:00.000Z,7.5,7.625,6.5,6.516,1922300,7.5,7.625,6.5,6.516,1922300,0.0,1.0
25,2001-03-07T00:00:00.000Z,7.813,8.0,7.438,7.969,321800,7.813,8.0,7.438,7.969,321800,0.0,1.0
26,2001-03-08T00:00:00.000Z,8.469,8.5,7.625,7.813,242900,8.469,8.5,7.625,7.813,242900,0.0,1.0
27,2001-03-09T00:00:00.000Z,8.125,8.625,8.0,8.563,165700,8.125,8.625,8.0,8.563,165700,0.0,1.0
28,2001-03-12T00:00:00.000Z,8.5,8.625,7.938,8.375,276100,8.5,8.625,7.938,8.375,276100,0.0,1.0
29,2001-03-13T00:00:00.000Z,9.5,9.938,8.438,8.5,128100,9.5,9.938,8.438,8.5,128100,0.0,1.0
30,2001-03-14T00:00:00.000Z,10.25,10.48,9.125,9.75,215200,10.25,10.48,9.125,9.75,215200,0.0,1.0
31,2001-03-15T00:00:00.000Z,9.438,10.5,9.438,10.44,224600,9.438,10.5,9.438,10.44,224600,0.0,1.0
32,2001-03-16T00:00:00.000Z,8.25,9.75,8.0,9.438,580300,8.25,9.75,8.0,9.438,580300,0.0,1.0
33,2001-03-19T00:00:00.000Z,8.875,9.469,8.25,8.5,161300,8.875,9.469,8.25,8.5,161300,0.0,1.0
34,2001-03-20T00:00:00.000Z,8.188,8.938,8.188,8.688,138100,8.188,8.938,8.188,8.688,138100,0.0,1.0
35,2001-03-21T00:00:00.000Z,8.188,8.5,8.0,8.484,139400,8.188,8.5,8.0,8.484,139400,0.0,1.0
36,2001-03-22T00:00:00.000Z,7.75,8.063,7.625,8.047,129200,7.75,8.063,7.625,8.047,129200,0.0,1.0
37,2001-03-23T00:00:00.000Z,7.813,8.0,7.75,7.969,58900,7.813,8.0,7.75,7.969,58900,0.0,1.0
38,2001-03-26T00:00:00.000Z,7.5,8.25,7.25,8.0,104300,7.5,8.25,7.25,8.0,104300,0.0,1.0
39,2001-03-27T00:00:00.000Z,7.406,7.563,7.25,7.25,35700,7.406,7.563,7.25,7.25,35700,0.0,1.0
40,2001-03-28T00:00:00.000Z,7.563,8.094,7.25,7.531,187200,7.563,8.094,7.25,7.531,187200,0.0,1.0
41,2001-03-29T00:00:00.000Z,7.25,7.875,6.813,7.625,246400,7.25,7.875,6.813,7.625,246400,0.0,1.0
42,2001-03-30T00:00:00.000Z,7.25,7.625,7.188,7.469,527400,7.25,7.625,7.188,7.469,527400,0.0,1.0
43,2001-04-02T00:00:00.000Z,7.25,7.813,7.188,7.297,513800,7.25,7.813,7.188,7.297,513800,0.0,1.0
44,2001-04-03T00:00:00.000Z,6.688,7.25,6.25,7.25,129700,6.688,7.25,6.25,7.25,129700,0.0,1.0
45,2001-04-04T00:00:00.000Z,6.563,6.781,6.5,6.516,55600,6.563,6.781,6.5,6.516,55600,0.0,1.0
46,2001-04-05T00:00:00.000Z,6.563,6.875,6.5,6.719,75800,6.563,6.875,6.5,6.719,75800,0.0,1.0
47,2001-04-06T00:00:00.000Z,6.625,7.219,6.5,6.734,44800,6.625,7.219,6.5,6.734,44800,0.0,1.0
48,2001-04-09T00:00:00.000Z,6.55,6.99,6.5,6.81,49100,6.55,6.99,6.5,6.81,49100,0.0,1.0
49,2001-04-10T00:00:00.000Z,7.15,7.27,6.75,6.75,115800,7.15,7.27,6.75,6.75,115800,0.0,1.0
50,2001-04-11T00:00:00.000Z,6.6,7.75,6.52,7.275,95300,6.6,7.75,6.52,7.275,95300,0.0,1.0
51,2001-04-12T00:00:00.000Z,6.0,6.98,5.75,6.66,144100,6.0,6.98,5.75,6.66,144100,0.0,1.0
52,2001-04-16T00:00:00.000Z,5.45,6.75,5.35,6.75,93400,5.45,6.75,5.35,6.75,93400,0.0,1.0
