,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,54.63,54.63,53.5,54.63,1697800,10.9678727676,10.9678727676,10.7410066459,10.9678727676,6791200,0.0,1.0
1,1997-01-03T00:00:00.000Z,57.13,57.13,55.0,55.25,2078400,11.469788966,11.469788966,11.042156365,11.0923479848,8313600,0.0,1.0
2,1997-01-06T00:00:00.000Z,56.75,57.5,56.38,57.0,2275200,11.3934977038,11.5440725634,11.3192141065,11.4436893237,9100800,0.0,1.0
3,1997-01-07T00:00:00.000Z,57.25,57.38,56.5,56.88,2091100,11.4938809435,11.5199805858,11.343306084,11.4195973462,8364400,0.0,1.0
4,1997-01-08T00:00:00.000Z,57.0,58.0,56.88,57.25,2119900,11.4436893237,11.644455803,11.4195973462,11.4938809435,8479600,0.0,1.0
5,1997-01-09T00:00:00.000Z,57.88,58.13,57.0,57.25,2208800,11.6203638255,11.6705554454,11.4436893237,11.4938809435,8835200,0.0,1.0
6,1997-01-10T00:00:00.000Z,55.13,59.88,54.5,57.5,8222000,11.0682560073,12.0218967843,10.9417731253,11.5440725634,32888000,0.0,1.0
7,1997-01-13T00:00:00.000Z,53.0,54.5,52.5,53.88,10922600,10.6406234062,10.9417731253,10.5402401666,10.8172979081,43690400,0.0,1.0
8,1997-01-14T00:00:00.000Z,54.75,55.0,53.63,54.25,5684200,10.9919647451,11.042156365,10.7671062882,10.8915815054,22736800,0.0,1.0
9,1997-01-15T00:00:00.000Z,55.13,55.63,54.63,55.0,3069500,11.0682560073,11.168639247,10.9678727676,11.042156365,12278000,0.0,1.0
10,1997-01-16T00:00:00.000Z,55.5,55.88,55.13,55.25,2496000,11.1425396046,11.2188308668,11.0682560073,11.0923479848,9984000,0.0,1.0
11,1997-01-17T00:00:00.000Z,54.5,55.5,54.13,55.38,3001800,10.9417731253,11.1425396046,10.8674895279,11.1184476271,12007200,0.0,1.0
12,1997-01-20T00:00:00.000Z,54.0,54.5,53.5,54.5,2186400,10.8413898856,10.9417731253,10.7410066459,10.9417731253,8745600,0.0,1.0
13,1997-01-21T00:00:00.000Z,54.25,54.25,53.5,54.0,2787900,10.8915815054,10.8915815054,10.7410066459,10.8413898856,11151600,0.0,1.0
14,1997-01-22T00:00:00.000Z,55.5,55.5,54.13,54.13,2482000,11.1425396046,11.1425396046,10.8674895279,10.8674895279,9928000,0.0,1.0
15,1997-01-23T00:00:00.000Z,55.0,56.63,55.0,56.13,2531000,11.042156365,11.3694057263,11.042156365,11.2690224866,10124000,0.0,1.0
16,1997-01-24T00:00:00.000Z,56.25,57.0,55.5,55.63,3674200,11.2931144642,11.4436893237,11.1425396046,11.168639247,14696800,0.0,1.0
17,1997-01-27T00:00:00.000Z,55.0,56.63,54.88,56.38,2688100,11.042156365,11.3694057263,11.0180643874,11.3192141065,10752400,0.0,1.0
18,1997-01-28T00:00:00.000Z,55.75,56.13,55.25,55.5,2977200,11.1927312245,11.2690224866,11.0923479848,11.1425396046,11908800,0.0,1.0
19,1997-01-29T00:00:00.000Z,55.5,56.38,55.25,55.88,2688200,11.1425396046,11.3192141065,11.0923479848,11.2188308668,10752800,0.0,1.0
20,1997-01-30T00:00:00.000Z,56.25,56.38,55.38,55.5,2113000,11.2931144642,11.3192141065,11.1184476271,11.1425396046,8452000,0.0,1.0
21,1997-01-31T00:00:00.000Z,56.38,57.25,56.13,56.88,1823100,11.3192141065,11.4938809435,11.2690224866,11.4195973462,7292400,0.0,1.0
22,1997-02-03T00:00:00.000Z,56.75,57.0,56.0,56.38,1950000,11.3934977038,11.4436893237,11.2429228443,11.3192141065,7800000,0.0,1.0
23,1997-02-04T00:00:00.000Z,57.38,57.63,56.38,56.88,1858300,11.5199805858,11.5701722057,11.3192141065,11.4195973462,7433200,0.0,1.0
24,1997-02-05T00:00:00.000Z,57.75,58.5,57.25,57.75,2486000,11.5942641832,11.7448390427,11.4938809435,11.5942641832,9944000,0.0,1.0
25,1997-02-06T00:00:00.000Z,57.0,58.25,56.5,58.25,1896500,11.4436893237,11.6946474229,11.343306084,11.6946474229,7586000,0.0,1.0
26,1997-02-07T00:00:00.000Z,57.13,57.5,56.88,57.25,2117700,11.469788966,11.5440725634,11.4195973462,11.4938809435,8470800,0.0,1.0
27,1997-02-10T00:00:00.000Z,56.38,57.75,56.13,57.38,2107500,11.3192141065,11.5942641832,11.2690224866,11.5199805858,8430000,0.0,1.0
28,1997-02-11T00:00:00.000Z,56.63,56.75,56.0,56.75,1389300,11.3694057263,11.3934977038,11.2429228443,11.3934977038,5557200,0.0,1.0
29,1997-02-12T00:00:00.000Z,55.5,56.75,55.25,56.75,1912400,11.1425396046,11.3934977038,11.0923479848,11.3934977038,7649600,0.0,1.0
30,1997-02-13T00:00:00.000Z,57.25,57.63,55.88,56.0,3197100,11.4938809435,11.5701722057,11.2188308668,11.2429228443,12788400,0.0,1.0
31,1997-02-14T00:00:00.000Z,58.38,59.13,57.5,58.0,3359200,11.7207470652,11.8713219247,11.5440725634,11.644455803,13436800,0.0,1.0
32,1997-02-18T00:00:00.000Z,59.5,59.5,57.88,58.38,1966000,11.9456055221,11.9456055221,11.6203638255,11.7207470652,7864000,0.0,1.0
33,1997-02-19T00:00:00.000Z,59.38,59.63,58.5,59.38,2689500,11.9215135446,11.9717051644,11.7448390427,11.9215135446,10758000,0.0,1.0
34,1997-02-20T00:00:00.000Z,60.88,60.88,59.25,59.25,3677700,12.2226632636,12.2226632636,11.8954139023,11.8954139023,14710800,0.0,1.0
35,1997-02-21T00:00:00.000Z,62.75,63.13,61.75,62.38,5461100,12.59809658,12.6743878422,12.3973301007,12.5238129827,21844400,0.0,1.0
36,1997-02-24T00:00:00.000Z,63.0,63.0,62.13,62.5,2808600,12.6482881999,12.6482881999,12.4736213628,12.5479049602,11234400,0.0,1.0
37,1997-02-25T00:00:00.000Z,62.88,63.25,62.5,63.0,2540300,12.6241962223,12.6984798197,12.5479049602,12.6482881999,10161200,0.0,1.0
38,1997-02-26T00:00:00.000Z,62.0,63.13,61.25,62.88,2157500,12.4475217205,12.6743878422,12.296946861,12.6241962223,8630000,0.0,1.0
39,1997-02-27T00:00:00.000Z,60.63,61.75,60.5,61.38,1521900,12.1724716438,12.3973301007,12.1463720015,12.3230465033,6087600,0.0,1.0
