,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,16.38,16.63,16.13,16.5,28100,5.4311548227,5.5140479061,5.3482617394,5.4709435028,56200,0.0,1.0
1,1997-01-03T00:00:00.000Z,16.38,16.5,16.13,16.38,26000,5.4311548227,5.4709435028,5.3482617394,5.4311548227,52000,0.0,1.0
2,1997-01-06T00:00:00.000Z,13.5,16.25,13.13,16.13,462400,4.4762265023,5.3880504194,4.3535447389,5.3482617394,924800,0.0,1.0
3,1997-01-07T00:00:00.000Z,13.0,13.5,12.75,13.5,510800,4.3104403355,4.4762265023,4.2275472521,4.4762265023,1021600,0.0,1.0
4,1997-01-08T00:00:00.000Z,12.63,13.5,12.63,13.0,232500,4.1877585721,4.4762265023,4.1877585721,4.3104403355,465000,0.0,1.0
5,1997-01-09T00:00:00.000Z,14.25,14.5,13.88,14.5,550800,4.7249057524,4.8077988358,4.602223989,4.8077988358,1101600,0.0,1.0
6,1997-01-10T00:00:00.000Z,16.13,16.63,14.38,14.63,428400,5.3482617394,5.5140479061,4.7680101557,4.8509032391,856800,0.0,1.0
7,1997-01-13T00:00:00.000Z,16.13,16.25,16.0,16.25,33300,5.3482617394,5.3880504194,5.305157336,5.3880504194,66600,0.0,1.0
8,1997-01-14T00:00:00.000Z,15.38,16.0,15.38,16.0,65100,5.0995824892,5.305157336,5.0995824892,5.305157336,130200,0.0,1.0
9,1997-01-15T00:00:00.000Z,14.88,15.5,14.75,15.38,179000,4.9337963225,5.1393711693,4.8906919191,5.0995824892,358000,0.0,1.0
10,1997-01-16T00:00:00.000Z,15.13,15.38,15.0,15.0,70900,5.0166894059,5.0995824892,4.9735850025,4.9735850025,141800,0.0,1.0
11,1997-01-17T00:00:00.000Z,15.75,15.75,15.0,15.13,117200,5.2222642526,5.2222642526,4.9735850025,5.0166894059,234400,0.0,1.0
12,1997-01-20T00:00:00.000Z,15.75,15.88,15.75,15.75,33700,5.2222642526,5.265368656,5.2222642526,5.2222642526,67400,0.0,1.0
13,1997-01-21T00:00:00.000Z,15.63,15.75,15.5,15.75,53000,5.1824755726,5.2222642526,5.1393711693,5.2222642526,106000,0.0,1.0
14,1997-01-22T00:00:00.000Z,15.38,15.63,15.25,15.63,65100,5.0995824892,5.1824755726,5.0564780859,5.1824755726,130200,0.0,1.0
15,1997-01-23T00:00:00.000Z,15.0,15.38,15.0,15.0,32600,4.9735850025,5.0995824892,4.9735850025,4.9735850025,65200,0.0,1.0
16,1997-01-24T00:00:00.000Z,15.0,15.13,14.75,15.0,71500,4.9735850025,5.0166894059,4.8906919191,4.9735850025,143000,0.0,1.0
17,1997-01-27T00:00:00.000Z,14.5,15.0,14.38,15.0,69500,4.8077988358,4.9735850025,4.7680101557,4.9735850025,139000,0.0,1.0
18,1997-01-28T00:00:00.000Z,14.25,14.5,14.13,14.5,99200,4.7249057524,4.8077988358,4.6851170724,4.8077988358,198400,0.0,1.0
19,1997-01-29T00:00:00.000Z,14.25,14.38,14.13,14.25,171800,4.7249057524,4.7680101557,4.6851170724,4.7249057524,343600,0.0,1.0
20,1997-01-30T00:00:00.000Z,14.13,14.75,13.88,14.5,220400,4.6851170724,4.8906919191,4.602223989,4.8077988358,440800,0.0,1.0
21,1997-01-31T00:00:00.000Z,13.75,14.5,13.75,14.0,279300,4.5591195856,4.8077988358,4.5591195856,4.642012669,558600,0.0,1.0
22,1997-02-03T00:00:00.000Z,13.25,13.63,13.0,13.63,452800,4.3933334189,4.5193309056,4.3104403355,4.5193309056,905600,0.0,1.0
23,1997-02-04T00:00:00.000Z,13.75,13.88,12.5,13.25,238600,4.5591195856,4.602223989,4.1446541688,4.3933334189,477200,0.0,1.0
24,1997-02-05T00:00:00.000Z,13.63,14.25,13.5,13.75,375600,4.5193309056,4.7249057524,4.4762265023,4.5591195856,751200,0.0,1.0
25,1997-02-06T00:00:00.000Z,13.63,13.75,13.25,13.5,59200,4.5193309056,4.5591195856,4.3933334189,4.4762265023,118400,0.0,1.0
26,1997-02-07T00:00:00.000Z,13.63,13.75,13.63,13.63,25400,4.5193309056,4.5591195856,4.5193309056,4.5193309056,50800,0.0,1.0
27,1997-02-10T00:00:00.000Z,13.5,13.75,13.13,13.63,59500,4.4762265023,4.5591195856,4.3535447389,4.5193309056,119000,0.0,1.0
28,1997-02-11T00:00:00.000Z,13.38,13.5,13.25,13.5,38800,4.4364378222,4.4762265023,4.3933334189,4.4762265023,77600,0.0,1.0
