,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,35.25,36.0,35.12,36.0,126000,12.678321763,12.9480732898,12.6315648316,12.9480732898,126000,0.0,1.0
1,1997-01-03T00:00:00.000Z,34.88,35.38,34.75,35.25,62400,12.545244343,12.7250786943,12.4984874117,12.678321763,62400,0.0,1.0
2,1997-01-06T00:00:00.000Z,34.62,35.0,34.62,35.0,61000,12.4517304804,12.5884045873,12.4517304804,12.5884045873,61000,0.0,1.0
3,1997-01-07T00:00:00.000Z,34.38,34.62,34.38,34.62,32800,12.3654099918,12.4517304804,12.3654099918,12.4517304804,32800,0.0,1.0
4,1997-01-08T00:00:00.000Z,34.25,34.5,34.12,34.5,77500,12.3186530605,12.4085702361,12.2718961291,12.4085702361,77500,0.0,1.0
5,1997-01-09T00:00:00.000Z,34.38,34.5,34.25,34.38,70300,12.3654099918,12.4085702361,12.3186530605,12.3654099918,70300,0.0,1.0
6,1997-01-10T00:00:00.000Z,34.38,34.5,34.25,34.25,61100,12.3654099918,12.4085702361,12.3186530605,12.3186530605,61100,0.0,1.0
7,1997-01-13T00:00:00.000Z,34.5,34.5,34.38,34.38,67800,12.4085702361,12.4085702361,12.3654099918,12.3654099918,67800,0.0,1.0
8,1997-01-14T00:00:00.000Z,34.5,34.5,34.12,34.38,293200,12.4085702361,12.4085702361,12.2718961291,12.3654099918,293200,0.0,1.0
9,1997-01-15T00:00:00.000Z,34.62,34.62,34.38,34.38,115900,12.4517304804,12.4517304804,12.3654099918,12.3654099918,115900,0.0,1.0
10,1997-01-16T00:00:00.000Z,34.88,35.0,34.62,34.62,312500,12.545244343,12.5884045873,12.4517304804,12.4517304804,312500,0.0,1.0
11,1997-01-17T00:00:00.000Z,35.0,35.38,34.88,34.88,43200,12.5884045873,12.7250786943,12.545244343,12.545244343,43200,0.0,1.0
12,1997-01-20T00:00:00.000Z,36.25,36.38,35.0,35.25,38400,13.0379904655,13.0847473968,12.5884045873,12.678321763,38400,0.0,1.0
13,1997-01-21T00:00:00.000Z,37.0,37.5,35.75,35.88,57000,13.3077419923,13.4875763436,12.8581561142,12.9049130455,57000,0.0,1.0
14,1997-01-22T00:00:00.000Z,37.12,37.12,36.62,37.0,50800,13.3509022366,13.3509022366,13.1710678854,13.3077419923,50800,0.0,1.0
15,1997-01-23T00:00:00.000Z,36.75,37.5,36.75,37.38,384200,13.2178248167,13.4875763436,13.2178248167,13.4444160993,384200,0.0,1.0
16,1997-01-24T00:00:00.000Z,36.62,37.0,36.62,36.62,98500,13.1710678854,13.3077419923,13.1710678854,13.1710678854,98500,0.0,1.0
17,1997-01-27T00:00:00.000Z,36.5,36.75,36.38,36.38,69500,13.1279076411,13.2178248167,13.0847473968,13.0847473968,69500,0.0,1.0
18,1997-01-28T00:00:00.000Z,36.5,36.62,36.38,36.5,49800,13.1279076411,13.1710678854,13.0847473968,13.1279076411,49800,0.0,1.0
19,1997-01-29T00:00:00.000Z,36.25,36.5,36.12,36.5,45100,13.0379904655,13.1279076411,12.9912335341,13.1279076411,45100,0.0,1.0
20,1997-01-30T00:00:00.000Z,35.88,36.12,34.88,36.0,114100,12.9049130455,12.9912335341,12.545244343,12.9480732898,114100,0.0,1.0
21,1997-01-31T00:00:00.000Z,36.0,36.12,35.62,35.62,74100,12.9480732898,12.9912335341,12.8113991829,12.8113991829,74100,0.0,1.0
22,1997-02-03T00:00:00.000Z,36.38,36.5,35.88,36.0,27000,13.0847473968,13.1279076411,12.9049130455,12.9480732898,27000,0.0,1.0
23,1997-02-04T00:00:00.000Z,36.0,36.38,36.0,36.38,43800,12.9480732898,13.0847473968,12.9480732898,13.0847473968,43800,0.0,1.0
24,1997-02-05T00:00:00.000Z,36.0,36.12,35.88,36.12,28800,12.9480732898,12.9912335341,12.9049130455,12.9912335341,28800,0.0,1.0
25,1997-02-06T00:00:00.000Z,35.62,36.12,35.5,36.12,35200,12.8113991829,12.9912335341,12.7682389386,12.9912335341,35200,0.0,1.0
26,1997-02-07T00:00:00.000Z,36.0,36.0,35.38,35.38,19700,12.9480732898,12.9480732898,12.7250786943,12.7250786943,19700,0.0,1.0
27,1997-02-10T00:00:00.000Z,36.12,36.25,36.0,36.25,64500,12.9912335341,13.0379904655,12.9480732898,13.0379904655,64500,0.0,1.0
28,1997-02-11T00:00:00.000Z,36.0,36.12,35.88,36.12,27800,12.9480732898,12.9912335341,12.9049130455,12.9912335341,27800,0.0,1.0
29,1997-02-12T00:00:00.000Z,35.75,35.88,35.12,35.62,37600,12.8581561142,12.9049130455,12.6315648316,12.8113991829,37600,0.0,1.0
30,1997-02-13T00:00:00.000Z,36.0,36.12,35.75,35.88,26900,12.9480732898,12.9912335341,12.8581561142,12.9049130455,26900,0.0,1.0
31,1997-02-14T00:00:00.000Z,36.0,36.38,35.88,35.88,30200,12.9480732898,13.0847473968,12.9049130455,12.9049130455,30200,0.0,1.0
32,1997-02-18T00:00:00.000Z,36.0,36.12,35.88,36.12,56500,12.9480732898,12.9912335341,12.9049130455,12.9912335341,56500,0.0,1.0
33,1997-02-19T00:00:00.000Z,35.88,36.0,35.75,36.0,38300,12.9049130455,12.9480732898,12.8581561142,12.9480732898,38300,0.0,1.0
34,1997-02-20T00:00:00.000Z,35.75,35.88,35.38,35.88,90200,12.8581561142,12.9049130455,12.7250786943,12.9049130455,90200,0.0,1.0
35,1997-02-21T00:00:00.000Z,36.0,36.12,35.5,35.5,117900,12.9480732898,12.9912335341,12.7682389386,12.7682389386,117900,0.0,1.0
36,1997-02-24T00:00:00.000Z,35.75,36.0,35.75,36.0,9300,12.8581561142,12.9480732898,12.8581561142,12.9480732898,9300,0.0,1.0
37,1997-02-25T00:00:00.000Z,35.75,36.0,35.75,35.75,9300,12.8581561142,12.9480732898,12.8581561142,12.8581561142,9300,0.0,1.0
38,1997-02-26T00:00:00.000Z,35.75,35.88,35.5,35.88,40300,12.8581561142,12.9049130455,12.7682389386,12.9049130455,40300,0.0,1.0
39,1997-02-27T00:00:00.000Z,35.62,35.88,35.5,35.88,20000,12.8113991829,12.9049130455,12.7682389386,12.9049130455,20000,0.0,1.0
40,1997-02-28T00:00:00.000Z,35.88,35.88,35.38,35.62,41500,12.9049130455,12.9049130455,12.7250786943,12.8113991829,41500,0.0,1.0
41,1997-03-03T00:00:00.000Z,36.12,36.12,35.75,35.75,105800,12.9912335341,12.9912335341,12.8581561142,12.8581561142,105800,0.0,1.0
42,1997-03-04T00:00:00.000Z,36.62,36.75,36.0,36.12,103600,13.1710678854,13.2178248167,12.9480732898,12.9912335341,103600,0.0,1.0
43,1997-03-05T00:00:00.000Z,36.88,37.0,36.62,36.75,128900,13.264581748,13.3077419923,13.1710678854,13.2178248167,128900,0.0,1.0
44,1997-03-06T00:00:00.000Z,36.5,37.0,36.38,36.62,54400,13.1279076411,13.3077419923,13.0847473968,13.1710678854,54400,0.0,1.0
45,1997-03-07T00:00:00.000Z,36.88,36.88,36.38,36.5,22200,13.264581748,13.264581748,13.0847473968,13.1279076411,22200,0.0,1.0
46,1997-03-10T00:00:00.000Z,36.75,37.0,36.62,36.88,124900,13.2178248167,13.3077419923,13.1710678854,13.264581748,124900,0.0,1.0
47,1997-03-11T00:00:00.000Z,36.88,36.88,36.75,36.88,52000,13.264581748,13.264581748,13.2178248167,13.264581748,52000,0.0,1.0
48,1997-03-12T00:00:00.000Z,37.0,37.0,36.88,36.88,49900,13.3077419923,13.3077419923,13.264581748,13.264581748,49900,0.0,1.0
49,1997-03-13T00:00:00.000Z,36.75,37.0,36.5,37.0,67200,13.2178248167,13.3077419923,13.1279076411,13.3077419923,67200,0.0,1.0
50,1997-03-14T00:00:00.000Z,36.75,36.88,36.62,36.62,38100,13.2178248167,13.264581748,13.1710678854,13.1710678854,38100,0.0,1.0
51,1997-03-17T00:00:00.000Z,37.0,37.0,36.62,36.75,69000,13.3077419923,13.3077419923,13.1710678854,13.2178248167,69000,0.0,1.0
52,1997-03-18T00:00:00.000Z,37.0,37.12,36.88,37.0,57000,13.3077419923,13.3509022366,13.264581748,13.3077419923,57000,0.0,1.0
53,1997-03-19T00:00:00.000Z,36.88,37.0,36.62,37.0,79200,13.264581748,13.3077419923,13.1710678854,13.3077419923,79200,0.0,1.0
54,1997-03-20T00:00:00.000Z,36.75,36.88,36.5,36.88,42100,13.2178248167,13.264581748,13.1279076411,13.264581748,42100,0.0,1.0
55,1997-03-21T00:00:00.000Z,36.75,37.0,36.75,36.75,25200,13.2178248167,13.3077419923,13.2178248167,13.2178248167,25200,0.0,1.0
56,1997-03-24T00:00:00.000Z,36.62,37.0,36.62,36.88,28400,13.1710678854,13.3077419923,13.1710678854,13.264581748,28400,0.0,1.0
57,1997-03-25T00:00:00.000Z,36.75,36.88,36.38,36.75,20200,13.2178248167,13.264581748,13.0847473968,13.2178248167,20200,0.0,1.0
58,1997-03-26T00:00:00.000Z,36.5,36.62,36.38,36.5,59600,13.2753718091,13.3190168671,13.2317267511,13.2753718091,59600,0.41,1.0
59,1997-03-27T00:00:00.000Z,36.25,36.62,36.12,36.62,54500,13.1844446049,13.3190168671,13.1371624588,13.3190168671,54500,0.0,1.0
60,1997-03-31T00:00:00.000Z,35.88,36.12,35.62,36.12,59400,13.0498723428,13.1371624588,12.9553080504,13.1371624588,59400,0.0,1.0
61,1997-04-01T00:00:00.000Z,35.88,36.38,35.62,35.75,40000,13.0498723428,13.2317267511,12.9553080504,13.0025901966,40000,0.0,1.0
62,1997-04-02T00:00:00.000Z,35.5,35.88,35.5,35.88,26700,12.9116629924,13.0498723428,12.9116629924,13.0498723428,26700,0.0,1.0
63,1997-04-03T00:00:00.000Z,35.38,35.75,35.25,35.62,37700,12.8680179344,13.0025901966,12.8207357882,12.9553080504,37700,0.0,1.0
64,1997-04-04T00:00:00.000Z,35.62,35.62,35.62,35.62,0,12.9553080504,12.9553080504,12.9553080504,12.9553080504,0,0.0,1.0
65,1997-04-07T00:00:00.000Z,36.38,36.5,35.75,35.75,40100,13.2317267511,13.2753718091,13.0025901966,13.0025901966,40100,0.0,1.0
66,1997-04-08T00:00:00.000Z,36.38,36.5,36.12,36.38,54900,13.2317267511,13.2753718091,13.1371624588,13.2317267511,54900,0.0,1.0
67,1997-04-09T00:00:00.000Z,36.25,36.5,36.25,36.5,1900,13.1844446049,13.2753718091,13.1844446049,13.2753718091,1900,0.0,1.0
68,1997-04-10T00:00:00.000Z,36.38,36.38,36.38,36.38,0,13.2317267511,13.2317267511,13.2317267511,13.2317267511,0,0.0,1.0
69,1997-04-11T00:00:00.000Z,36.25,36.5,36.25,36.25,1900,13.1844446049,13.2753718091,13.1844446049,13.1844446049,1900,0.0,1.0
70,1997-04-14T00:00:00.000Z,35.88,36.12,35.88,35.88,45300,13.0498723428,13.1371624588,13.0498723428,13.0498723428,45300,0.0,1.0
71,1997-04-15T00:00:00.000Z,36.12,36.12,36.0,36.0,20900,13.1371624588,13.1371624588,13.0935174008,13.0935174008,20900,0.0,1.0
72,1997-04-16T00:00:00.000Z,36.12,36.12,35.88,36.12,47700,13.1371624588,13.1371624588,13.0498723428,13.1371624588,47700,0.0,1.0
73,1997-04-17T00:00:00.000Z,36.0,36.25,35.88,36.25,59000,13.0935174008,13.1844446049,13.0498723428,13.1844446049,59000,0.0,1.0
74,1997-04-18T00:00:00.000Z,35.5,35.5,35.5,35.5,0,12.9116629924,12.9116629924,12.9116629924,12.9116629924,0,0.0,1.0
75,1997-04-21T00:00:00.000Z,35.12,35.5,35.12,35.5,30300,12.7734536421,12.9116629924,12.7734536421,12.9116629924,30300,0.0,1.0
76,1997-04-22T00:00:00.000Z,35.25,35.38,35.0,35.25,40300,12.8207357882,12.8680179344,12.7298085841,12.8207357882,40300,0.0,1.0
77,1997-04-23T00:00:00.000Z,34.25,35.62,34.12,35.38,221000,12.4570269716,12.9553080504,12.4097448254,12.8680179344,221000,0.0,1.0
78,1997-04-24T00:00:00.000Z,33.25,34.25,32.75,34.25,296600,12.0933181549,12.4570269716,11.9114637465,12.4570269716,296600,0.0,1.0
79,1997-04-25T00:00:00.000Z,33.12,33.25,32.12,33.12,104800,12.0460360087,12.0933181549,11.682327192,12.0460360087,104800,0.0,1.0
80,1997-04-28T00:00:00.000Z,33.5,33.62,33.25,33.38,110800,12.184245359,12.227890417,12.0933181549,12.140600301,110800,0.0,1.0
81,1997-04-29T00:00:00.000Z,34.25,34.5,33.75,33.75,56900,12.4570269716,12.5479541757,12.2751725632,12.2751725632,56900,0.0,1.0
82,1997-04-30T00:00:00.000Z,33.5,34.38,33.38,34.38,167400,12.184245359,12.5043091177,12.140600301,12.5043091177,167400,0.0,1.0
83,1997-05-01T00:00:00.000Z,34.25,34.25,34.25,34.25,0,12.4570269716,12.4570269716,12.4570269716,12.4570269716,0,0.0,1.0
84,1997-05-02T00:00:00.000Z,34.38,34.38,34.12,34.38,92900,12.5043091177,12.5043091177,12.4097448254,12.5043091177,92900,0.0,1.0
85,1997-05-05T00:00:00.000Z,35.38,35.38,34.25,34.38,29400,12.8680179344,12.8680179344,12.4570269716,12.5043091177,29400,0.0,1.0
86,1997-05-06T00:00:00.000Z,36.0,36.12,35.25,35.25,38200,13.0935174008,13.1371624588,12.8207357882,12.8207357882,38200,0.0,1.0
87,1997-05-07T00:00:00.000Z,35.38,36.0,35.12,36.0,29800,12.8680179344,13.0935174008,12.7734536421,13.0935174008,29800,0.0,1.0
88,1997-05-08T00:00:00.000Z,35.38,35.5,35.25,35.38,27500,12.8680179344,12.9116629924,12.8207357882,12.8680179344,27500,0.0,1.0
89,1997-05-09T00:00:00.000Z,35.38,35.5,35.12,35.5,22500,12.8680179344,12.9116629924,12.7734536421,12.9116629924,22500,0.0,1.0
90,1997-05-12T00:00:00.000Z,35.5,35.5,35.25,35.38,20000,12.9116629924,12.9116629924,12.8207357882,12.8680179344,20000,0.0,1.0
91,1997-05-13T00:00:00.000Z,35.5,35.5,35.25,35.5,36900,12.9116629924,12.9116629924,12.8207357882,12.9116629924,36900,0.0,1.0
92,1997-05-14T00:00:00.000Z,35.38,35.75,35.38,35.5,19400,12.8680179344,13.0025901966,12.8680179344,12.9116629924,19400,0.0,1.0
93,1997-05-15T00:00:00.000Z,35.38,35.62,35.25,35.5,28700,12.8680179344,12.9553080504,12.8207357882,12.9116629924,28700,0.0,1.0
94,1997-05-16T00:00:00.000Z,35.25,35.5,35.12,35.5,36800,12.8207357882,12.9116629924,12.7734536421,12.9116629924,36800,0.0,1.0
95,1997-05-19T00:00:00.000Z,35.5,35.5,35.25,35.25,10500,12.9116629924,12.9116629924,12.8207357882,12.8207357882,10500,0.0,1.0
96,1997-05-20T00:00:00.000Z,35.5,35.5,35.12,35.25,22600,12.9116629924,12.9116629924,12.7734536421,12.8207357882,22600,0.0,1.0
97,1997-05-21T00:00:00.000Z,35.38,35.62,35.25,35.62,15000,12.8680179344,12.9553080504,12.8207357882,12.9553080504,15000,0.0,1.0
98,1997-05-22T00:00:00.000Z,35.62,35.75,35.38,35.38,27000,12.9553080504,13.0025901966,12.8680179344,12.8680179344,27000,0.0,1.0
99,1997-05-23T00:00:00.000Z,35.5,35.62,35.38,35.62,10400,12.9116629924,12.9553080504,12.8680179344,12.9553080504,10400,0.0,1.0
100,1997-05-27T00:00:00.000Z,35.25,35.5,35.12,35.25,103200,12.8207357882,12.9116629924,12.7734536421,12.8207357882,103200,0.0,1.0
101,1997-05-28T00:00:00.000Z,35.12,35.5,34.88,35.38,84400,12.7734536421,12.9116629924,12.6861635261,12.8680179344,84400,0.0,1.0
102,1997-05-29T00:00:00.000Z,34.88,35.25,34.88,35.25,96000,12.6861635261,12.8207357882,12.6861635261,12.8207357882,96000,0.0,1.0
103,1997-05-30T00:00:00.000Z,35.25,35.5,34.75,35.0,36600,12.8207357882,12.9116629924,12.6388813799,12.7298085841,36600,0.0,1.0
104,1997-06-02T00:00:00.000Z,35.38,35.5,35.25,35.25,9200,12.8680179344,12.9116629924,12.8207357882,12.8207357882,9200,0.0,1.0
105,1997-06-03T00:00:00.000Z,35.5,35.62,35.38,35.5,5800,12.9116629924,12.9553080504,12.8680179344,12.9116629924,5800,0.0,1.0
106,1997-06-04T00:00:00.000Z,35.88,35.88,35.5,35.62,45600,13.0498723428,13.0498723428,12.9116629924,12.9553080504,45600,0.0,1.0
107,1997-06-05T00:00:00.000Z,35.88,36.0,35.62,35.88,18900,13.0498723428,13.0935174008,12.9553080504,13.0498723428,18900,0.0,1.0
108,1997-06-06T00:00:00.000Z,36.38,36.38,36.38,36.38,0,13.2317267511,13.2317267511,13.2317267511,13.2317267511,0,0.0,1.0
109,1997-06-09T00:00:00.000Z,36.25,36.25,36.25,36.25,0,13.1844446049,13.1844446049,13.1844446049,13.1844446049,0,0.0,1.0
110,1997-06-10T00:00:00.000Z,36.5,36.5,36.12,36.12,36600,13.2753718091,13.2753718091,13.1371624588,13.1371624588,36600,0.0,1.0
111,1997-06-11T00:00:00.000Z,36.38,36.5,36.25,36.5,31800,13.2317267511,13.2753718091,13.1844446049,13.2753718091,31800,0.0,1.0
112,1997-06-12T00:00:00.000Z,36.88,36.88,36.38,36.5,48700,13.4135811594,13.4135811594,13.2317267511,13.2753718091,48700,0.0,1.0
113,1997-06-13T00:00:00.000Z,37.25,37.25,37.0,37.0,48800,13.5481534216,13.5481534216,13.4572262174,13.4572262174,48800,0.0,1.0
114,1997-06-16T00:00:00.000Z,37.25,37.5,37.25,37.38,50300,13.5481534216,13.6390806258,13.5481534216,13.5954355678,50300,0.0,1.0
115,1997-06-17T00:00:00.000Z,37.12,37.25,37.0,37.12,27300,13.5008712754,13.5481534216,13.4572262174,13.5008712754,27300,0.0,1.0
116,1997-06-18T00:00:00.000Z,37.25,37.5,37.12,37.12,38800,13.5481534216,13.6390806258,13.5008712754,13.5008712754,38800,0.0,1.0
117,1997-06-19T00:00:00.000Z,37.38,37.62,37.0,37.38,34400,13.5954355678,13.6827256838,13.4572262174,13.5954355678,34400,0.0,1.0
118,1997-06-20T00:00:00.000Z,37.12,37.38,36.88,36.88,70100,13.5008712754,13.5954355678,13.4135811594,13.4135811594,70100,0.0,1.0
119,1997-06-23T00:00:00.000Z,36.5,36.88,36.25,36.88,111000,13.2753718091,13.4135811594,13.1844446049,13.4135811594,111000,0.0,1.0
120,1997-06-24T00:00:00.000Z,36.38,36.5,36.0,36.5,164800,13.2317267511,13.2753718091,13.0935174008,13.2753718091,164800,0.0,1.0
