,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,34.75,35.13,34.25,35.13,346700,19.1705883561,19.3802235669,18.8947525524,19.3802235669,346700,0.0,1.0
1,1997-01-03T00:00:00.000Z,35.13,35.38,34.75,35.0,176700,19.3802235669,19.5181414687,19.1705883561,19.3085062579,176700,0.0,1.0
2,1997-01-06T00:00:00.000Z,35.25,35.25,34.75,35.13,212500,19.4464241597,19.4464241597,19.1705883561,19.3802235669,212500,0.0,1.0
3,1997-01-07T00:00:00.000Z,35.25,35.38,34.38,34.88,320200,19.4464241597,19.5181414687,18.9664698613,19.242305665,320200,0.0,1.0
4,1997-01-08T00:00:00.000Z,34.88,35.5,34.63,35.5,143500,19.242305665,19.5843420616,19.1043877632,19.5843420616,143500,0.0,1.0
5,1997-01-09T00:00:00.000Z,35.0,35.5,34.88,35.0,184400,19.3085062579,19.5843420616,19.242305665,19.3085062579,184400,0.0,1.0
6,1997-01-10T00:00:00.000Z,35.5,35.5,34.38,34.75,132600,19.5843420616,19.5843420616,18.9664698613,19.1705883561,132600,0.0,1.0
7,1997-01-13T00:00:00.000Z,35.38,35.63,35.0,35.5,107000,19.5181414687,19.6560593705,19.3085062579,19.5843420616,107000,0.0,1.0
8,1997-01-14T00:00:00.000Z,35.5,35.75,35.38,35.63,96000,19.5843420616,19.7222599634,19.5181414687,19.6560593705,96000,0.0,1.0
9,1997-01-15T00:00:00.000Z,34.88,35.63,34.88,35.25,189100,19.242305665,19.6560593705,19.242305665,19.4464241597,189100,0.0,1.0
10,1997-01-16T00:00:00.000Z,35.38,35.38,35.0,35.0,215700,19.5181414687,19.5181414687,19.3085062579,19.3085062579,215700,0.0,1.0
11,1997-01-17T00:00:00.000Z,35.75,36.0,35.38,35.38,194700,19.7222599634,19.8601778653,19.5181414687,19.5181414687,194700,0.0,1.0
12,1997-01-20T00:00:00.000Z,35.25,36.0,35.0,36.0,173200,19.4464241597,19.8601778653,19.3085062579,19.8601778653,173200,0.0,1.0
13,1997-01-21T00:00:00.000Z,36.0,36.0,35.0,35.25,147900,19.8601778653,19.8601778653,19.3085062579,19.4464241597,147900,0.0,1.0
14,1997-01-22T00:00:00.000Z,35.63,36.38,35.25,36.0,225600,19.6560593705,20.0698130761,19.4464241597,19.8601778653,225600,0.0,1.0
15,1997-01-23T00:00:00.000Z,35.25,36.38,35.13,36.0,264100,19.4464241597,20.0698130761,19.3802235669,19.8601778653,264100,0.0,1.0
16,1997-01-24T00:00:00.000Z,34.75,35.0,34.25,34.63,193900,19.1705883561,19.3085062579,18.8947525524,19.1043877632,193900,0.0,1.0
17,1997-01-27T00:00:00.000Z,33.88,34.25,33.5,34.13,226600,18.6906340576,18.8947525524,18.4809988468,18.8285519595,226600,0.0,1.0
18,1997-01-28T00:00:00.000Z,33.38,35.0,33.38,34.25,291200,18.414798254,19.3085062579,18.414798254,18.8947525524,291200,0.0,1.0
19,1997-01-29T00:00:00.000Z,35.5,35.63,33.75,34.13,424900,19.5843420616,19.6560593705,18.6189167487,18.8285519595,424900,0.0,1.0
20,1997-01-30T00:00:00.000Z,36.38,37.0,35.75,35.75,393700,20.0698130761,20.4118494726,19.7222599634,19.7222599634,393700,0.0,1.0
21,1997-01-31T00:00:00.000Z,36.63,37.0,36.0,36.63,338500,20.2077309779,20.4118494726,19.8601778653,20.2077309779,338500,0.0,1.0
22,1997-02-03T00:00:00.000Z,36.38,36.88,36.38,36.5,219300,20.0698130761,20.3456488798,20.0698130761,20.136013669,219300,0.0,1.0
23,1997-02-04T00:00:00.000Z,37.63,37.63,36.63,36.75,185700,20.7594025853,20.7594025853,20.2077309779,20.2739315708,185700,0.0,1.0
24,1997-02-05T00:00:00.000Z,37.25,38.88,37.0,37.63,216300,20.5497673745,21.4489920945,20.4118494726,20.7594025853,216300,0.0,1.0
25,1997-02-06T00:00:00.000Z,36.63,37.13,36.63,37.0,246300,20.2077309779,20.4835667816,20.2077309779,20.4118494726,246300,0.0,1.0
26,1997-02-07T00:00:00.000Z,37.88,38.0,36.75,36.88,204300,20.8973204871,20.96352108,20.2739315708,20.3456488798,204300,0.0,1.0
27,1997-02-10T00:00:00.000Z,37.25,38.38,37.25,38.13,129300,20.5497673745,21.1731562908,20.5497673745,21.035238389,129300,0.0,1.0
