,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,97.37,98.5,96.0,98.0,1225700,12.5153033166,12.66054613,12.3392124719,12.5962793984,4902800,0.0,1.0
1,1997-01-03T00:00:00.000Z,98.62,98.87,97.75,98.0,718000,12.6759701456,12.7081035114,12.5641460326,12.5962793984,2872000,0.0,1.0
2,1997-01-06T00:00:00.000Z,98.75,99.62,98.37,99.5,929000,12.6926794958,12.8045036089,12.6438367798,12.7890795933,3716000,0.0,1.0
3,1997-01-07T00:00:00.000Z,98.87,98.87,97.62,98.5,1151300,12.7081035114,12.7081035114,12.5474366824,12.66054613,4605200,0.0,1.0
4,1997-01-08T00:00:00.000Z,101.25,103.75,101.0,102.5,2686300,13.014013154,13.3353468121,12.9818797882,13.174679983,10745200,0.0,1.0
5,1997-01-09T00:00:00.000Z,101.87,103.37,101.5,101.5,1237400,13.0937039012,13.2865040961,13.0461465198,13.0461465198,4949600,0.0,1.0
6,1997-01-10T00:00:00.000Z,103.25,103.25,100.37,100.75,1382200,13.2710800805,13.2710800805,12.9009037063,12.9497464223,5528800,0.0,1.0
7,1997-01-13T00:00:00.000Z,102.87,104.37,101.37,103.75,1385900,13.2222373644,13.4150375593,13.0294371696,13.3353468121,5543600,0.0,1.0
8,1997-01-14T00:00:00.000Z,106.62,107.25,103.75,103.87,1795800,13.7042378516,13.7852139335,13.3353468121,13.3507708277,7183200,0.0,1.0
9,1997-01-15T00:00:00.000Z,105.12,106.5,104.5,106.0,1654200,13.5114376567,13.688813836,13.4317469095,13.6245471044,6616800,0.0,1.0
10,1997-01-16T00:00:00.000Z,105.62,106.25,104.87,105.0,1301900,13.5757043884,13.6566804702,13.4793042909,13.4960136412,5207600,0.0,1.0
11,1997-01-17T00:00:00.000Z,106.25,106.62,105.5,105.75,1802700,13.6566804702,13.7042378516,13.5602803728,13.5924137386,7210800,0.0,1.0
12,1997-01-20T00:00:00.000Z,106.75,107.37,105.62,105.75,1098600,13.7209472018,13.8006379491,13.5757043884,13.5924137386,4394400,0.0,1.0
13,1997-01-21T00:00:00.000Z,106.75,107.25,105.62,106.0,1068800,13.7209472018,13.7852139335,13.5757043884,13.6245471044,4275200,0.0,1.0
14,1997-01-22T00:00:00.000Z,109.62,110.12,106.12,106.5,1506000,14.0898382414,14.154104973,13.63997112,13.688813836,6024000,0.0,1.0
15,1997-01-23T00:00:00.000Z,107.0,110.12,107.0,109.5,2051200,13.7530805677,14.154104973,13.7530805677,14.0744142258,8204800,0.0,1.0
16,1997-01-24T00:00:00.000Z,106.0,107.5,105.25,106.87,1816900,13.6245471044,13.8173472993,13.528147007,13.7363712174,7267600,0.0,1.0
17,1997-01-27T00:00:00.000Z,106.0,106.75,105.37,105.75,1469600,13.6245471044,13.7209472018,13.5435710226,13.5924137386,5878400,0.0,1.0
18,1997-01-28T00:00:00.000Z,104.87,108.12,104.12,107.12,1235100,13.4793042909,13.8970380465,13.3829041935,13.7685045832,4940400,0.0,1.0
