,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,31.62,32.25,31.5,32.25,119280,21.1674444031,21.589186654,21.0871125458,21.589186654,149100,0.0,1.0
1,1997-01-03T00:00:00.000Z,31.5,32.0,31.38,31.75,80400,21.0871125458,21.421828618,21.0067806885,21.2544705819,100500,0.0,1.0
2,1997-01-06T00:00:00.000Z,30.88,31.5,30.62,31.5,256560,20.6720646163,21.0871125458,20.4980122588,21.0871125458,320700,0.0,1.0
3,1997-01-07T00:00:00.000Z,33.0,33.0,30.88,30.88,499600,22.0912607623,22.0912607623,20.6720646163,20.6720646163,624500,0.0,1.0
4,1997-01-08T00:00:00.000Z,31.88,33.12,31.88,32.88,250560,21.3414967606,22.1715926196,21.3414967606,22.0109289049,313200,0.0,1.0
5,1997-01-09T00:00:00.000Z,31.25,32.25,31.0,32.0,296800,20.9197545097,21.589186654,20.7523964736,21.421828618,371000,0.0,1.0
6,1997-01-10T00:00:00.000Z,31.5,31.62,31.0,31.0,553440,21.0871125458,21.1674444031,20.7523964736,20.7523964736,691800,0.0,1.0
7,1997-01-13T00:00:00.000Z,31.0,31.75,30.88,31.75,379440,20.7523964736,21.2544705819,20.6720646163,21.2544705819,474300,0.0,1.0
8,1997-01-14T00:00:00.000Z,31.75,31.75,31.25,31.38,326000,21.2544705819,21.2544705819,20.9197545097,21.0067806885,407500,0.0,1.0
9,1997-01-15T00:00:00.000Z,31.38,31.88,31.38,31.88,421600,21.0067806885,21.3414967606,21.0067806885,21.3414967606,527000,0.0,1.0
10,1997-01-16T00:00:00.000Z,31.38,31.62,31.12,31.62,225840,21.0067806885,21.1674444031,20.832728331,21.1674444031,282300,0.0,1.0
11,1997-01-17T00:00:00.000Z,31.25,31.25,30.88,31.25,80560,20.9197545097,20.9197545097,20.6720646163,20.9197545097,100700,0.0,1.0
12,1997-01-20T00:00:00.000Z,31.62,31.75,31.0,31.25,123120,21.1674444031,21.2544705819,20.7523964736,20.9197545097,153900,0.0,1.0
13,1997-01-21T00:00:00.000Z,31.88,31.88,31.5,31.5,263200,21.3414967606,21.3414967606,21.0871125458,21.0871125458,329000,0.0,1.0
14,1997-01-22T00:00:00.000Z,32.62,32.62,31.62,31.62,74320,21.8368765474,21.8368765474,21.1674444031,21.1674444031,92900,0.0,1.0
15,1997-01-23T00:00:00.000Z,33.75,34.0,32.12,32.12,308160,22.5933348705,22.7606929066,21.5021604753,21.5021604753,385200,0.0,1.0
16,1997-01-24T00:00:00.000Z,33.5,34.0,33.38,33.75,531120,22.4259768344,22.7606929066,22.3456449771,22.5933348705,663900,0.0,1.0
17,1997-01-27T00:00:00.000Z,33.12,33.5,32.62,33.38,284480,22.1715926196,22.4259768344,21.8368765474,22.3456449771,355600,0.0,1.0
18,1997-01-28T00:00:00.000Z,32.62,33.38,32.5,33.38,116400,21.8368765474,22.3456449771,21.7565446901,22.3456449771,145500,0.0,1.0
19,1997-01-29T00:00:00.000Z,32.62,32.75,32.5,32.62,62560,21.8368765474,21.9239027262,21.7565446901,21.8368765474,78200,0.0,1.0
20,1997-01-30T00:00:00.000Z,33.12,33.12,32.75,32.75,157120,22.1715926196,22.1715926196,21.9239027262,21.9239027262,196400,0.0,1.0
21,1997-01-31T00:00:00.000Z,32.88,33.5,32.88,33.12,109040,22.0109289049,22.4259768344,22.0109289049,22.1715926196,136300,0.0,1.0
22,1997-02-03T00:00:00.000Z,33.25,33.25,32.25,33.12,121120,22.2586187983,22.2586187983,21.589186654,22.1715926196,151400,0.0,1.0
23,1997-02-04T00:00:00.000Z,32.88,33.0,32.38,33.0,77280,22.0109289049,22.0912607623,21.6762128328,22.0912607623,96600,0.0,1.0
24,1997-02-05T00:00:00.000Z,33.5,33.5,32.88,32.88,240960,22.4259768344,22.4259768344,22.0109289049,22.0109289049,301200,0.0,1.0
25,1997-02-06T00:00:00.000Z,32.88,33.75,32.75,33.75,89680,22.0109289049,22.5933348705,21.9239027262,22.5933348705,112100,0.0,1.0
26,1997-02-07T00:00:00.000Z,33.62,33.62,32.5,32.75,184880,22.5063086917,22.5063086917,21.7565446901,21.9239027262,231100,0.0,1.0
27,1997-02-10T00:00:00.000Z,34.0,34.0,33.38,33.62,147200,22.7606929066,22.7606929066,22.3456449771,22.5063086917,184000,0.0,1.0
