,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,22.5,23.75,22.0,23.75,192200,3.75,3.9583333333,3.6666666667,3.9583333333,1153200,0.0,1.0
1,1997-01-03T00:00:00.000Z,21.63,22.75,21.25,22.75,243700,3.605,3.7916666667,3.5416666667,3.7916666667,1462200,0.0,1.0
2,1997-01-06T00:00:00.000Z,22.12,22.62,21.63,21.63,210300,3.6866666667,3.77,3.605,3.605,1261800,0.0,1.0
3,1997-01-07T00:00:00.000Z,21.0,22.25,20.37,21.87,175300,3.5,3.7083333333,3.395,3.645,1051800,0.0,1.0
4,1997-01-08T00:00:00.000Z,21.38,21.63,21.0,21.0,91800,3.5633333333,3.605,3.5,3.5,550800,0.0,1.0
5,1997-01-09T00:00:00.000Z,21.25,21.87,21.25,21.5,147600,3.5416666667,3.645,3.5416666667,3.5833333333,885600,0.0,1.0
6,1997-01-10T00:00:00.000Z,20.25,21.5,19.88,20.88,222800,3.375,3.5833333333,3.3133333333,3.48,1336800,0.0,1.0
7,1997-01-13T00:00:00.000Z,20.37,21.0,20.0,20.5,264100,3.395,3.5,3.3333333333,3.4166666667,1584600,0.0,1.0
8,1997-01-14T00:00:00.000Z,21.12,21.12,20.5,20.62,161700,3.52,3.52,3.4166666667,3.4366666667,970200,0.0,1.0
9,1997-01-15T00:00:00.000Z,21.0,22.0,20.88,21.25,352700,3.5,3.6666666667,3.48,3.5416666667,2116200,0.0,1.0
10,1997-01-16T00:00:00.000Z,22.12,22.38,20.88,21.12,458500,3.6866666667,3.73,3.48,3.52,2751000,0.0,1.0
11,1997-01-17T00:00:00.000Z,21.87,22.75,21.87,22.38,303100,3.645,3.7916666667,3.645,3.73,1818600,0.0,1.0
12,1997-01-20T00:00:00.000Z,21.25,22.12,21.0,22.12,155500,3.5416666667,3.6866666667,3.5,3.6866666667,933000,0.0,1.0
13,1997-01-21T00:00:00.000Z,20.5,21.25,20.44,21.12,80300,3.4166666667,3.5416666667,3.4066666667,3.52,481800,0.0,1.0
14,1997-01-22T00:00:00.000Z,20.62,20.88,20.25,20.62,112400,3.4366666667,3.48,3.375,3.4366666667,674400,0.0,1.0
15,1997-01-23T00:00:00.000Z,20.5,20.88,20.37,20.62,196400,3.4166666667,3.48,3.395,3.4366666667,1178400,0.0,1.0
16,1997-01-24T00:00:00.000Z,21.38,21.75,20.5,20.88,206600,3.5633333333,3.625,3.4166666667,3.48,1239600,0.0,1.0
17,1997-01-27T00:00:00.000Z,21.75,21.75,21.12,21.12,160900,3.625,3.625,3.52,3.52,965400,0.0,1.0
18,1997-01-28T00:00:00.000Z,21.75,22.62,21.63,22.25,214300,3.625,3.77,3.605,3.7083333333,1285800,0.0,1.0
19,1997-01-29T00:00:00.000Z,21.63,21.75,21.38,21.63,107400,3.605,3.625,3.5633333333,3.605,644400,0.0,1.0
20,1997-01-30T00:00:00.000Z,21.63,22.0,21.12,21.63,85500,3.605,3.6666666667,3.52,3.605,513000,0.0,1.0
21,1997-01-31T00:00:00.000Z,23.25,23.37,21.5,21.5,284600,3.875,3.895,3.5833333333,3.5833333333,1707600,0.0,1.0
22,1997-02-03T00:00:00.000Z,22.81,23.37,22.62,23.37,112600,3.8016666667,3.895,3.77,3.895,675600,0.0,1.0
23,1997-02-04T00:00:00.000Z,22.38,23.0,22.12,23.0,80700,3.73,3.8333333333,3.6866666667,3.8333333333,484200,0.0,1.0
24,1997-02-05T00:00:00.000Z,21.87,22.88,21.87,22.5,208000,3.645,3.8133333333,3.645,3.75,1248000,0.0,1.0
25,1997-02-06T00:00:00.000Z,21.63,21.87,21.38,21.75,34400,3.605,3.645,3.5633333333,3.625,206400,0.0,1.0
26,1997-02-07T00:00:00.000Z,21.87,22.25,21.63,21.87,35900,3.645,3.7083333333,3.605,3.645,215400,0.0,1.0
27,1997-02-10T00:00:00.000Z,21.5,22.5,21.38,21.5,123700,3.5833333333,3.75,3.5633333333,3.5833333333,742200,0.0,1.0
28,1997-02-11T00:00:00.000Z,21.12,22.0,20.37,21.5,242900,3.52,3.6666666667,3.395,3.5833333333,1457400,0.0,1.0
29,1997-02-12T00:00:00.000Z,21.5,21.75,20.88,21.12,261600,3.5833333333,3.625,3.48,3.52,1569600,0.0,1.0
30,1997-02-13T00:00:00.000Z,22.25,22.75,21.0,21.38,171600,3.7083333333,3.7916666667,3.5,3.5633333333,1029600,0.0,1.0
31,1997-02-14T00:00:00.000Z,22.38,23.0,22.38,22.75,102200,3.73,3.8333333333,3.73,3.7916666667,613200,0.0,1.0
32,1997-02-18T00:00:00.000Z,22.25,22.62,21.75,22.62,95100,3.7083333333,3.77,3.625,3.77,570600,0.0,1.0
33,1997-02-19T00:00:00.000Z,22.25,22.25,22.0,22.0,34200,3.7083333333,3.7083333333,3.6666666667,3.6666666667,205200,0.0,1.0
34,1997-02-20T00:00:00.000Z,22.38,22.38,21.75,22.0,229300,3.73,3.73,3.625,3.6666666667,1375800,0.0,1.0
35,1997-02-21T00:00:00.000Z,23.0,23.25,22.38,23.0,1512000,3.8333333333,3.875,3.73,3.8333333333,9072000,0.0,1.0
36,1997-02-24T00:00:00.000Z,24.38,24.5,22.88,22.88,1029000,4.0633333333,4.0833333333,3.8133333333,3.8133333333,6174000,0.0,1.0
37,1997-02-25T00:00:00.000Z,24.63,24.63,24.12,24.63,375900,4.105,4.105,4.02,4.105,2255400,0.0,1.0
38,1997-02-26T00:00:00.000Z,24.12,24.87,23.25,24.5,246700,4.02,4.145,3.875,4.0833333333,1480200,0.0,1.0
39,1997-02-27T00:00:00.000Z,23.75,24.25,23.62,24.12,120500,3.9583333333,4.0416666667,3.9366666667,4.02,723000,0.0,1.0
40,1997-02-28T00:00:00.000Z,24.87,25.06,23.75,23.75,853100,4.145,4.1766666667,3.9583333333,3.9583333333,5118600,0.0,1.0
41,1997-03-03T00:00:00.000Z,24.31,25.38,23.88,25.25,443800,4.0516666667,4.23,3.98,4.2083333333,2662800,0.0,1.0
42,1997-03-04T00:00:00.000Z,24.63,25.0,24.38,24.63,379000,4.105,4.1666666667,4.0633333333,4.105,2274000,0.0,1.0
43,1997-03-05T00:00:00.000Z,24.5,24.75,24.38,24.75,193800,4.0833333333,4.125,4.0633333333,4.125,1162800,0.0,1.0
44,1997-03-06T00:00:00.000Z,24.63,24.87,24.38,24.63,137100,4.105,4.145,4.0633333333,4.105,822600,0.0,1.0
45,1997-03-07T00:00:00.000Z,26.0,26.13,24.87,24.87,997800,4.3333333333,4.355,4.145,4.145,5986800,0.0,1.0
46,1997-03-10T00:00:00.000Z,28.88,29.13,26.13,26.75,773600,4.8133333333,4.855,4.355,4.4583333333,4641600,0.0,1.0
47,1997-03-11T00:00:00.000Z,30.12,30.12,29.0,29.37,1278700,5.02,5.02,4.8333333333,4.895,7672200,0.0,1.0
48,1997-03-12T00:00:00.000Z,29.0,30.75,29.0,30.75,658200,4.8333333333,5.125,4.8333333333,5.125,3949200,0.0,1.0
49,1997-03-13T00:00:00.000Z,28.5,29.25,28.25,28.38,378300,4.75,4.875,4.7083333333,4.73,2269800,0.0,1.0
50,1997-03-14T00:00:00.000Z,28.0,29.25,27.75,28.88,340300,4.6666666667,4.875,4.625,4.8133333333,2041800,0.0,1.0
51,1997-03-17T00:00:00.000Z,27.0,27.87,26.75,27.5,460800,4.5,4.645,4.4583333333,4.5833333333,2764800,0.0,1.0
