,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2007-04-02T00:00:00.000Z,19.51,19.7,18.82,19.4,9470300,14.6553025401,14.7980246048,14.1369960946,14.5726739763,9470300,0.0,1.0
1,2007-04-03T00:00:00.000Z,19.07,19.5,18.49,19.3,7892900,14.324788285,14.6477908525,13.8891104032,14.4975571002,7892900,0.0,1.0
2,2007-04-04T00:00:00.000Z,18.91,19.16,18.8,19.02,4738000,14.2046012831,14.3923934735,14.1219727193,14.2872298469,4738000,0.0,1.0
3,2007-04-05T00:00:00.000Z,19.38,19.81,18.7,18.75,4602900,14.5576506011,14.8806531686,14.0468558432,14.0844142813,4602900,0.0,1.0
4,2007-04-09T00:00:00.000Z,19.06,19.57,18.9,19.57,3600900,14.3172765974,14.7003726658,14.1970895955,14.7003726658,3600900,0.0,1.0
5,2007-04-10T00:00:00.000Z,19.22,19.44,18.6,18.68,3130800,14.4374635992,14.6027207268,13.971738967,14.0318324679,3130800,0.0,1.0
6,2007-04-11T00:00:00.000Z,19.11,20.06,18.95,19.26,3356100,14.3548350355,15.068445359,14.2346480336,14.4675103497,3356100,0.0,1.0
7,2007-04-12T00:00:00.000Z,19.2,19.27,18.89,19.06,2666300,14.422440224,14.4750220373,14.1895779079,14.3172765974,2666300,0.0,1.0
8,2007-04-13T00:00:00.000Z,19.58,20.05,19.1,20.05,2980900,14.7078843534,15.0609336714,14.3473233478,15.0609336714,2980900,0.0,1.0
9,2007-04-16T00:00:00.000Z,19.86,19.9,19.62,19.62,1455800,14.9182116067,14.9482583572,14.7379311039,14.7379311039,1455800,0.0,1.0
10,2007-04-17T00:00:00.000Z,20.42,20.58,19.3,19.45,1567200,15.3388661132,15.4590531151,14.4975571002,14.6102324144,1567200,0.0,1.0
11,2007-04-18T00:00:00.000Z,20.68,20.72,19.96,20.23,1958200,15.5341699913,15.5642167417,14.9933284829,15.1961440485,1958200,0.0,1.0
12,2007-04-19T00:00:00.000Z,21.14,21.46,20.18,20.2,1890100,15.8797076216,16.1200816254,15.1585856104,15.1736089857,1890100,0.0,1.0
13,2007-04-20T00:00:00.000Z,21.08,21.77,21.0,21.37,2671300,15.8346374959,16.3529439415,15.774543995,16.0524764368,2671300,0.0,1.0
