,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2016-01-04T00:00:00.000Z,57.49,57.5,56.68,56.93,4967774,57.49,57.5,56.68,56.93,4967774,0.0,1.0
1,2016-01-05T00:00:00.000Z,56.37,57.57,56.29,57.37,6194068,56.37,57.57,56.29,57.37,6194068,0.0,1.0
2,2016-01-06T00:00:00.000Z,55.34,56.08,55.07,55.56,10586008,55.34,56.08,55.07,55.56,10586008,0.0,1.0
3,2016-01-07T00:00:00.000Z,54.47,55.46,54.29,54.47,7348659,54.47,55.46,54.29,54.47,7348659,0.0,1.0
4,2016-01-08T00:00:00.000Z,54.17,55.35,54.1,54.51,7320252,54.17,55.35,54.1,54.51,7320252,0.0,1.0
5,2016-01-11T00:00:00.000Z,54.18,54.6,53.62,54.55,9906091,54.18,54.6,53.62,54.55,9906091,0.0,1.0
6,2016-01-12T00:00:00.000Z,54.72,55.0,53.9,54.42,14257333,54.72,55.0,53.9,54.42,14257333,0.0,1.0
7,2016-01-13T00:00:00.000Z,53.22,54.8,53.21,54.33,10458522,53.22,54.8,53.21,54.33,10458522,0.0,1.0
8,2016-01-14T00:00:00.000Z,54.0,54.28,52.7,53.5,13719327,54.0,54.28,52.7,53.5,13719327,0.0,1.0
9,2016-01-15T00:00:00.000Z,52.94,53.71,52.68,52.68,13647674,52.94,53.71,52.68,52.68,13647674,0.0,1.0
10,2016-01-19T00:00:00.000Z,52.96,53.94,52.8,53.32,18959646,52.96,53.94,52.8,53.32,18959646,0.0,1.0
11,2016-01-20T00:00:00.000Z,54.19,54.46,52.35,52.44,48936035,54.19,54.46,52.35,52.44,48936035,0.0,1.0
12,2016-01-21T00:00:00.000Z,54.14,54.44,53.745,53.87,8430719,54.14,54.44,53.745,53.87,8430719,0.0,1.0
13,2016-01-22T00:00:00.000Z,54.04,54.48,53.83,54.4,5904038,54.04,54.48,53.83,54.4,5904038,0.0,1.0
14,2016-01-25T00:00:00.000Z,54.05,54.2,53.71,53.81,6987788,54.05,54.2,53.71,53.81,6987788,0.0,1.0
15,2016-01-26T00:00:00.000Z,54.47,54.51,54.41,54.41,9175177,54.47,54.51,54.41,54.41,9175177,0.0,1.0
16,2016-01-27T00:00:00.000Z,54.37,54.49,54.36,54.46,5134916,54.37,54.49,54.36,54.46,5134916,0.0,1.0
17,2016-01-28T00:00:00.000Z,54.5,54.51,54.385,54.46,7632513,54.5,54.51,54.385,54.46,7632513,0.0,1.0
18,2016-01-29T00:00:00.000Z,54.67,54.74,54.52,54.52,25521654,54.67,54.74,54.52,54.52,25521654,0.0,1.0
19,2016-02-01T00:00:00.000Z,54.67,54.67,54.67,54.67,0,54.67,54.67,54.67,54.67,0,0.0,1.0
20,2016-02-02T00:00:00.000Z,54.67,54.67,54.67,54.67,0,54.67,54.67,54.67,54.67,0,0.0,1.0
21,2016-02-03T00:00:00.000Z,54.67,54.67,54.67,54.67,0,54.67,54.67,54.67,54.67,0,0.0,1.0
22,2016-02-04T00:00:00.000Z,54.67,54.67,54.67,54.67,0,54.67,54.67,54.67,54.67,0,0.0,1.0
23,2016-02-05T00:00:00.000Z,54.67,54.67,54.67,54.67,0,54.67,54.67,54.67,54.67,0,0.0,1.0
24,2016-02-08T00:00:00.000Z,54.67,54.67,54.67,54.67,0,54.67,54.67,54.67,54.67,0,0.0,1.0
25,2016-02-09T00:00:00.000Z,54.67,54.67,54.67,54.67,0,54.67,54.67,54.67,54.67,0,0.0,1.0
