,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2006-12-28T00:00:00.000Z,50.58,50.88,50.3,50.72,251900,50.58,50.88,50.3,50.72,251900,0.0,1.0
1,2006-12-29T00:00:00.000Z,50.12,50.92,50.03,50.57,291100,50.12,50.92,50.03,50.57,291100,0.0,1.0
2,2007-01-03T00:00:00.000Z,50.54,51.15,50.24,50.25,532900,50.54,51.15,50.24,50.25,532900,0.0,1.0
3,2007-01-04T00:00:00.000Z,51.4,51.51,50.54,50.9,508600,51.4,51.51,50.54,50.9,508600,0.0,1.0
4,2007-01-05T00:00:00.000Z,52.31,52.48,51.01,51.25,797800,52.31,52.48,51.01,51.25,797800,0.0,1.0
5,2007-01-08T00:00:00.000Z,52.85,53.32,52.17,52.57,853000,52.85,53.32,52.17,52.57,853000,0.0,1.0
6,2007-01-09T00:00:00.000Z,53.18,53.71,52.56,53.35,894300,53.18,53.71,52.56,53.35,894300,0.0,1.0
7,2007-01-10T00:00:00.000Z,53.09,53.38,52.99,53.3,701800,53.09,53.38,52.99,53.3,701800,0.0,1.0
8,2007-01-11T00:00:00.000Z,52.64,53.31,52.63,53.05,497300,52.64,53.31,52.63,53.05,497300,0.0,1.0
9,2007-01-12T00:00:00.000Z,52.64,52.84,52.12,52.58,419300,52.64,52.84,52.12,52.58,419300,0.0,1.0
10,2007-01-16T00:00:00.000Z,52.58,53.2,52.47,53.15,315900,52.58,53.2,52.47,53.15,315900,0.0,1.0
11,2007-01-17T00:00:00.000Z,52.62,52.85,52.41,52.48,359800,52.62,52.85,52.41,52.48,359800,0.0,1.0
12,2007-01-18T00:00:00.000Z,54.6,54.98,53.04,53.05,1232800,54.6,54.98,53.04,53.05,1232800,0.0,1.0
13,2007-01-19T00:00:00.000Z,55.23,55.45,53.87,54.65,1014000,55.23,55.45,53.87,54.65,1014000,0.0,1.0
14,2007-01-22T00:00:00.000Z,55.52,55.9,55.0,55.85,721500,55.52,55.9,55.0,55.85,721500,0.0,1.0
15,2007-01-23T00:00:00.000Z,55.84,55.9,55.47,55.77,778900,55.84,55.9,55.47,55.77,778900,0.0,1.0
16,2007-01-24T00:00:00.000Z,55.47,56.15,54.9,55.8,1081300,55.47,56.15,54.9,55.8,1081300,0.0,1.0
17,2007-01-25T00:00:00.000Z,54.77,55.54,54.48,55.53,923800,54.77,55.54,54.48,55.53,923800,0.0,1.0
18,2007-01-26T00:00:00.000Z,54.77,55.07,54.53,54.8,736200,54.77,55.07,54.53,54.8,736200,0.0,1.0
19,2007-01-29T00:00:00.000Z,54.54,55.05,54.25,55.05,648600,54.54,55.05,54.25,55.05,648600,0.0,1.0
20,2007-01-30T00:00:00.000Z,53.6,54.75,53.3,54.52,998600,53.6,54.75,53.3,54.52,998600,0.0,1.0
21,2007-01-31T00:00:00.000Z,53.52,54.0,53.4,53.6,321200,53.52,54.0,53.4,53.6,321200,0.0,1.0
22,2007-02-01T00:00:00.000Z,54.2,54.5,53.65,53.7,481700,54.2,54.5,53.65,53.7,481700,0.0,1.0
23,2007-02-02T00:00:00.000Z,53.97,54.63,53.54,54.45,440600,53.97,54.63,53.54,54.45,440600,0.0,1.0
24,2007-02-05T00:00:00.000Z,53.73,53.8,53.38,53.8,521400,53.73,53.8,53.38,53.8,521400,0.0,1.0
25,2007-02-06T00:00:00.000Z,53.22,53.95,52.8,53.7,553700,53.22,53.95,52.8,53.7,553700,0.0,1.0
26,2007-02-07T00:00:00.000Z,53.55,53.63,52.61,53.15,953900,53.55,53.63,52.61,53.15,953900,0.0,1.0
27,2007-02-08T00:00:00.000Z,53.75,53.98,53.3,53.3,377600,53.75,53.98,53.3,53.3,377600,0.0,1.0
28,2007-02-09T00:00:00.000Z,53.64,53.93,53.32,53.71,375100,53.64,53.93,53.32,53.71,375100,0.0,1.0
29,2007-02-12T00:00:00.000Z,53.43,53.64,52.78,53.54,511700,53.43,53.64,52.78,53.54,511700,0.0,1.0
30,2007-02-13T00:00:00.000Z,53.93,54.0,52.74,53.7,780600,53.93,54.0,52.74,53.7,780600,0.0,1.0
31,2007-02-14T00:00:00.000Z,54.25,54.61,54.12,54.15,482200,54.25,54.61,54.12,54.15,482200,0.0,1.0
32,2007-02-15T00:00:00.000Z,55.0,55.21,54.3,54.4,683100,55.0,55.21,54.3,54.4,683100,0.0,1.0
33,2007-02-16T00:00:00.000Z,55.0,55.3,54.68,55.0,532100,55.0,55.3,54.68,55.0,532100,0.0,1.0
34,2007-02-20T00:00:00.000Z,55.08,55.24,54.84,55.15,459800,55.08,55.24,54.84,55.15,459800,0.0,1.0
35,2007-02-21T00:00:00.000Z,55.34,55.44,54.89,54.9,470600,55.34,55.44,54.89,54.9,470600,0.0,1.0
36,2007-02-22T00:00:00.000Z,55.47,55.47,55.2,55.34,407700,55.47,55.47,55.2,55.34,407700,0.0,1.0
37,2007-02-23T00:00:00.000Z,55.47,55.47,55.47,55.47,0,55.47,55.47,55.47,55.47,0,0.0,1.0
38,2007-02-26T00:00:00.000Z,56.51,56.66,56.25,56.39,529900,56.51,56.66,56.25,56.39,529900,0.0,1.0
39,2007-02-27T00:00:00.000Z,54.95,56.57,54.95,56.42,919200,54.95,56.57,54.95,56.42,919200,0.0,1.0
40,2007-02-28T00:00:00.000Z,53.0,53.1,52.05,52.35,2201300,53.0,53.1,52.05,52.35,2201300,0.0,1.0
41,2007-03-01T00:00:00.000Z,51.56,52.39,50.65,51.25,2128600,51.56,52.39,50.65,51.25,2128600,0.0,1.0
42,2007-03-02T00:00:00.000Z,49.71,51.08,49.28,51.05,1147500,49.71,51.08,49.28,51.05,1147500,0.0,1.0
43,2007-03-05T00:00:00.000Z,48.98,49.65,48.05,48.1,878400,48.98,49.65,48.05,48.1,878400,0.0,1.0
44,2007-03-06T00:00:00.000Z,48.81,49.35,48.29,49.2,967100,48.81,49.35,48.29,49.2,967100,0.0,1.0
45,2007-03-07T00:00:00.000Z,49.44,50.1,48.88,49.02,1170000,49.44,50.1,48.88,49.02,1170000,0.0,1.0
46,2007-03-08T00:00:00.000Z,49.17,49.75,49.07,49.75,498700,49.17,49.75,49.07,49.75,498700,0.0,1.0
47,2007-03-09T00:00:00.000Z,48.9,49.31,48.63,49.21,472000,48.9,49.31,48.63,49.21,472000,0.0,1.0
48,2007-03-12T00:00:00.000Z,48.7,49.1,48.42,48.75,285600,48.7,49.1,48.42,48.75,285600,0.0,1.0
49,2007-03-13T00:00:00.000Z,47.7,48.45,47.64,48.2,451600,47.7,48.45,47.64,48.2,451600,0.0,1.0
50,2007-03-14T00:00:00.000Z,48.08,48.16,47.45,47.62,573100,48.08,48.16,47.45,47.62,573100,0.0,1.0
51,2007-03-15T00:00:00.000Z,47.41,47.97,47.28,47.83,511400,47.41,47.97,47.28,47.83,511400,0.0,1.0
52,2007-03-16T00:00:00.000Z,48.3,49.45,48.08,48.15,1382700,48.3,49.45,48.08,48.15,1382700,0.0,1.0
53,2007-03-19T00:00:00.000Z,48.48,48.48,48.01,48.35,504700,48.48,48.48,48.01,48.35,504700,0.0,1.0
54,2007-03-20T00:00:00.000Z,48.13,48.61,48.04,48.48,475000,48.13,48.61,48.04,48.48,475000,0.0,1.0
55,2007-03-21T00:00:00.000Z,48.39,48.4,47.91,48.28,659600,48.39,48.4,47.91,48.28,659600,0.0,1.0
56,2007-03-22T00:00:00.000Z,48.84,49.26,48.5,48.5,693900,48.84,49.26,48.5,48.5,693900,0.0,1.0
57,2007-03-23T00:00:00.000Z,48.88,49.06,48.72,48.99,422600,48.88,49.06,48.72,48.99,422600,0.0,1.0
58,2007-03-26T00:00:00.000Z,48.77,49.1,48.58,48.81,471900,48.77,49.1,48.58,48.81,471900,0.0,1.0
59,2007-03-27T00:00:00.000Z,48.2,48.64,47.85,48.52,434700,48.2,48.64,47.85,48.52,434700,0.0,1.0
60,2007-03-28T00:00:00.000Z,47.51,48.22,47.3,48.0,573600,47.51,48.22,47.3,48.0,573600,0.0,1.0
61,2007-03-29T00:00:00.000Z,46.37,47.65,46.17,47.55,1243400,46.37,47.65,46.17,47.55,1243400,0.0,1.0
62,2007-03-30T00:00:00.000Z,46.35,46.64,45.77,46.25,897200,46.35,46.64,45.77,46.25,897200,0.0,1.0
63,2007-04-02T00:00:00.000Z,46.24,46.65,45.96,46.45,529000,46.24,46.65,45.96,46.45,529000,0.0,1.0
