,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,8.0,8.16,7.56,7.56,42500,200.0,204.0,189.0,189.0,1699,0.0,1.0
1,1997-01-03T00:00:00.000Z,8.32,8.32,8.16,8.24,40000,208.0,208.0,204.0,206.0,1599,0.0,1.0
2,1997-01-06T00:00:00.000Z,8.16,8.32,8.16,8.16,17500,204.0,208.0,204.0,204.0,699,0.0,1.0
3,1997-01-07T00:00:00.000Z,8.16,8.24,8.16,8.24,65000,204.0,206.0,204.0,206.0,2599,0.0,1.0
4,1997-01-08T00:00:00.000Z,8.08,8.24,8.08,8.24,10000,202.0,206.0,202.0,206.0,399,0.0,1.0
5,1997-01-09T00:00:00.000Z,8.0,8.08,7.56,8.08,7500,200.0,202.0,189.0,202.0,299,0.0,1.0
6,1997-01-10T00:00:00.000Z,8.16,8.24,7.56,8.0,40000,204.0,206.0,189.0,200.0,1599,0.0,1.0
7,1997-01-13T00:00:00.000Z,7.56,8.24,7.56,8.16,52500,189.0,206.0,189.0,204.0,2099,0.0,1.0
8,1997-01-14T00:00:00.000Z,8.16,8.16,7.56,7.56,55000,204.0,204.0,189.0,189.0,2199,0.0,1.0
9,1997-01-15T00:00:00.000Z,7.56,8.16,7.56,8.16,5000,189.0,204.0,189.0,204.0,199,0.0,1.0
10,1997-01-16T00:00:00.000Z,7.32,7.56,7.32,7.56,12500,183.0,189.0,183.0,189.0,499,0.0,1.0
11,1997-01-17T00:00:00.000Z,7.32,7.56,7.32,7.32,10000,183.0,189.0,183.0,183.0,399,0.0,1.0
12,1997-01-20T00:00:00.000Z,8.04,8.08,7.56,7.56,25000,201.0,202.0,189.0,189.0,999,0.0,1.0
13,1997-01-21T00:00:00.000Z,8.32,8.48,8.16,8.16,30000,208.0,212.0,204.0,204.0,1199,0.0,1.0
14,1997-01-22T00:00:00.000Z,8.56,9.08,8.48,8.56,62500,214.0,227.0,212.0,214.0,2499,0.0,1.0
15,1997-01-23T00:00:00.000Z,9.08,9.48,8.4,9.08,192500,227.0,237.0,210.0,227.0,7699,0.0,1.0
16,1997-01-24T00:00:00.000Z,9.48,10.08,9.0,9.0,47500,237.0,252.0,225.0,225.0,1899,0.0,1.0
17,1997-01-27T00:00:00.000Z,9.48,9.56,9.32,9.4,32500,237.0,239.0,233.0,235.0,1299,0.0,1.0
18,1997-01-28T00:00:00.000Z,9.48,10.24,9.24,10.08,95000,237.0,256.0,231.0,252.0,3799,0.0,1.0
19,1997-01-29T00:00:00.000Z,9.32,9.48,9.24,9.24,30000,233.0,237.0,231.0,231.0,1199,0.0,1.0
20,1997-01-30T00:00:00.000Z,8.56,9.24,8.16,9.16,72500,214.0,231.0,204.0,229.0,2899,0.0,1.0
21,1997-01-31T00:00:00.000Z,8.48,9.0,8.48,8.48,15000,212.0,225.0,212.0,212.0,599,0.0,1.0
22,1997-02-03T00:00:00.000Z,8.56,9.0,8.4,9.0,45000,214.0,225.0,210.0,225.0,1799,0.0,1.0
23,1997-02-04T00:00:00.000Z,8.56,9.0,8.56,9.0,10000,214.0,225.0,214.0,225.0,399,0.0,1.0
24,1997-02-05T00:00:00.000Z,9.0,9.0,8.48,9.0,5000,225.0,225.0,212.0,225.0,199,0.0,1.0
25,1997-02-06T00:00:00.000Z,8.4,9.0,8.4,8.48,62500,210.0,225.0,210.0,212.0,2499,0.0,1.0
26,1997-02-07T00:00:00.000Z,8.32,8.48,8.32,8.48,45000,208.0,212.0,208.0,212.0,1799,0.0,1.0
27,1997-02-10T00:00:00.000Z,8.4,8.48,8.32,8.48,12500,210.0,212.0,208.0,212.0,499,0.0,1.0
28,1997-02-11T00:00:00.000Z,8.32,8.56,8.32,8.56,27500,208.0,214.0,208.0,214.0,1099,0.0,1.0
29,1997-02-12T00:00:00.000Z,8.32,8.48,8.32,8.32,2500,208.0,212.0,208.0,208.0,99,0.0,1.0
30,1997-02-13T00:00:00.000Z,9.0,9.0,8.24,8.32,27500,225.0,225.0,206.0,208.0,1099,0.0,1.0
31,1997-02-14T00:00:00.000Z,8.56,9.08,8.56,9.0,25000,214.0,227.0,214.0,225.0,999,0.0,1.0
32,1997-02-18T00:00:00.000Z,9.08,9.08,9.08,9.08,0,227.0,227.0,227.0,227.0,0,0.0,1.0
33,1997-02-19T00:00:00.000Z,8.4,9.08,8.4,9.08,12500,210.0,227.0,210.0,227.0,499,0.0,1.0
34,1997-02-20T00:00:00.000Z,8.32,8.48,8.32,8.48,7500,208.0,212.0,208.0,212.0,299,0.0,1.0
35,1997-02-21T00:00:00.000Z,8.32,8.48,8.32,8.48,10000,208.0,212.0,208.0,212.0,399,0.0,1.0
36,1997-02-24T00:00:00.000Z,8.48,8.48,8.32,8.48,15000,212.0,212.0,208.0,212.0,599,0.0,1.0
37,1997-02-25T00:00:00.000Z,8.32,8.32,8.24,8.32,27500,208.0,208.0,206.0,208.0,1099,0.0,1.0
38,1997-02-26T00:00:00.000Z,8.32,8.32,8.24,8.32,40000,208.0,208.0,206.0,208.0,1599,0.0,1.0
39,1997-02-27T00:00:00.000Z,8.48,9.08,8.32,8.48,37500,212.0,227.0,208.0,212.0,1499,0.0,1.0
40,1997-02-28T00:00:00.000Z,9.0,9.0,8.48,8.48,20000,225.0,225.0,212.0,212.0,799,0.0,1.0
41,1997-03-03T00:00:00.000Z,8.6,9.08,8.48,8.48,7500,215.0,227.0,212.0,212.0,299,0.0,1.0
42,1997-03-04T00:00:00.000Z,8.56,9.0,8.56,8.56,7500,214.0,225.0,214.0,214.0,299,0.0,1.0
43,1997-03-05T00:00:00.000Z,8.56,9.08,8.56,9.0,10000,214.0,227.0,214.0,225.0,399,0.0,1.0
44,1997-03-06T00:00:00.000Z,9.0,9.0,8.56,9.0,32500,225.0,225.0,214.0,225.0,1299,0.0,1.0
45,1997-03-07T00:00:00.000Z,8.6,9.08,8.56,9.08,20000,215.0,227.0,214.0,227.0,799,0.0,1.0
46,1997-03-10T00:00:00.000Z,8.56,9.0,8.56,9.0,15000,214.0,225.0,214.0,225.0,599,0.0,1.0
47,1997-03-11T00:00:00.000Z,8.56,9.08,8.56,9.08,17500,214.0,227.0,214.0,227.0,699,0.0,1.0
48,1997-03-12T00:00:00.000Z,8.56,9.0,8.56,9.0,5000,214.0,225.0,214.0,225.0,199,0.0,1.0
49,1997-03-13T00:00:00.000Z,8.56,8.56,8.48,8.48,10000,214.0,214.0,212.0,212.0,399,0.0,1.0
50,1997-03-14T00:00:00.000Z,8.56,9.0,8.56,8.56,55000,214.0,225.0,214.0,214.0,2199,0.0,1.0
51,1997-03-17T00:00:00.000Z,8.36,9.0,8.32,9.0,85000,209.0,225.0,208.0,225.0,3399,0.0,1.0
52,1997-03-18T00:00:00.000Z,8.32,8.4,8.32,8.4,2500,208.0,210.0,208.0,210.0,99,0.0,1.0
53,1997-03-19T00:00:00.000Z,8.4,8.48,8.32,8.48,22500,210.0,212.0,208.0,212.0,899,0.0,1.0
54,1997-03-20T00:00:00.000Z,8.4,8.4,8.32,8.32,57500,210.0,210.0,208.0,208.0,2299,0.0,1.0
55,1997-03-21T00:00:00.000Z,8.32,8.4,8.32,8.4,32500,208.0,210.0,208.0,210.0,1299,0.0,1.0
56,1997-03-24T00:00:00.000Z,8.24,8.24,8.08,8.16,7500,206.0,206.0,202.0,204.0,299,0.0,1.0
57,1997-03-25T00:00:00.000Z,8.2,8.32,8.08,8.08,20000,205.0,208.0,202.0,202.0,799,0.0,1.0
58,1997-03-26T00:00:00.000Z,8.32,8.32,8.08,8.32,5000,208.0,208.0,202.0,208.0,199,0.0,1.0
59,1997-03-27T00:00:00.000Z,8.16,8.32,8.16,8.16,12500,204.0,208.0,204.0,204.0,499,0.0,1.0
60,1997-03-31T00:00:00.000Z,8.32,8.32,8.08,8.32,17500,208.0,208.0,202.0,208.0,699,0.0,1.0
61,1997-04-01T00:00:00.000Z,8.16,8.32,8.08,8.08,17500,204.0,208.0,202.0,202.0,699,0.0,1.0
62,1997-04-02T00:00:00.000Z,8.08,8.16,8.08,8.08,17500,202.0,204.0,202.0,202.0,699,0.0,1.0
63,1997-04-03T00:00:00.000Z,7.56,8.24,7.56,8.24,12500,189.0,206.0,189.0,206.0,499,0.0,1.0
64,1997-04-04T00:00:00.000Z,7.56,8.0,7.56,7.56,52500,189.0,200.0,189.0,189.0,2099,0.0,1.0
65,1997-04-07T00:00:00.000Z,7.52,8.08,7.48,8.08,2500,188.0,202.0,187.0,202.0,99,0.0,1.0
66,1997-04-08T00:00:00.000Z,7.24,8.0,7.16,7.48,52500,181.0,200.0,179.0,187.0,2099,0.0,1.0
67,1997-04-09T00:00:00.000Z,7.08,7.24,7.08,7.24,50000,177.0,181.0,177.0,181.0,1999,0.0,1.0
68,1997-04-10T00:00:00.000Z,7.08,7.16,7.08,7.08,42500,177.0,179.0,177.0,177.0,1699,0.0,1.0
69,1997-04-11T00:00:00.000Z,6.08,7.08,5.56,7.08,80000,152.0,177.0,139.0,177.0,3199,0.0,1.0
70,1997-04-14T00:00:00.000Z,6.08,6.08,5.56,6.08,50000,152.0,152.0,139.0,152.0,1999,0.0,1.0
71,1997-04-15T00:00:00.000Z,6.08,6.08,6.0,6.08,50000,152.0,152.0,150.0,152.0,1999,0.0,1.0
72,1997-04-16T00:00:00.000Z,5.44,6.0,5.44,6.0,27500,136.0,150.0,136.0,150.0,1099,0.0,1.0
73,1997-04-17T00:00:00.000Z,5.16,5.48,5.16,5.4,47500,129.0,137.0,129.0,135.0,1899,0.0,1.0
74,1997-04-18T00:00:00.000Z,5.08,5.48,4.56,5.48,75000,127.0,137.0,114.0,137.0,2999,0.0,1.0
