,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,54.0,54.0,53.0,54.0,571200,13.3625537309,13.3625537309,13.1150990322,13.3625537309,1142400,0.0,1.0
1,1997-01-03T00:00:00.000Z,56.0,56.25,54.5,54.63,951600,13.8574631284,13.9193268031,13.4862810803,13.5184501911,1903200,0.0,1.0
2,1997-01-06T00:00:00.000Z,56.0,56.63,55.13,55.63,731400,13.8574631284,14.0133595886,13.6421775405,13.7659048899,1462800,0.0,1.0
3,1997-01-07T00:00:00.000Z,55.25,55.63,54.88,55.5,357200,13.6718721043,13.7659048899,13.5803138658,13.733735779,714400,0.0,1.0
4,1997-01-08T00:00:00.000Z,55.13,55.75,55.0,55.38,378000,13.6421775405,13.7955994537,13.6100084297,13.7040412152,756000,0.0,1.0
5,1997-01-09T00:00:00.000Z,56.25,56.75,55.0,55.25,516800,13.9193268031,14.0430541524,13.6100084297,13.6718721043,1033600,0.0,1.0
6,1997-01-10T00:00:00.000Z,55.25,55.63,54.75,54.88,369000,13.6718721043,13.7659048899,13.548144755,13.5803138658,738000,0.0,1.0
7,1997-01-13T00:00:00.000Z,54.13,55.25,54.13,55.0,730900,13.3947228418,13.6718721043,13.3947228418,13.6100084297,1461800,0.0,1.0
8,1997-01-14T00:00:00.000Z,55.75,56.75,55.0,55.5,638000,13.7955994537,14.0430541524,13.6100084297,13.733735779,1276000,0.0,1.0
9,1997-01-15T00:00:00.000Z,55.25,55.88,55.0,55.5,305100,13.6718721043,13.8277685645,13.6100084297,13.733735779,610200,0.0,1.0
10,1997-01-16T00:00:00.000Z,54.13,55.75,54.0,55.5,584100,13.3947228418,13.7955994537,13.3625537309,13.733735779,1168200,0.0,1.0
11,1997-01-17T00:00:00.000Z,55.5,55.63,54.25,55.0,262300,13.733735779,13.7659048899,13.4244174056,13.6100084297,524600,0.0,1.0
12,1997-01-20T00:00:00.000Z,55.38,56.5,55.25,55.5,205400,13.7040412152,13.9811904777,13.6718721043,13.733735779,410800,0.0,1.0
13,1997-01-21T00:00:00.000Z,55.88,56.13,54.88,55.38,238000,13.8277685645,13.8896322392,13.5803138658,13.7040412152,476000,0.0,1.0
14,1997-01-22T00:00:00.000Z,55.0,56.13,54.5,55.75,684200,13.6100084297,13.8896322392,13.4862810803,13.7955994537,1368400,0.0,1.0
15,1997-01-23T00:00:00.000Z,54.25,55.88,54.25,55.0,512800,13.4244174056,13.8277685645,13.4244174056,13.6100084297,1025600,0.0,1.0
16,1997-01-24T00:00:00.000Z,54.0,54.63,53.63,54.25,338400,13.3625537309,13.5184501911,13.2709954924,13.4244174056,676800,0.0,1.0
17,1997-01-27T00:00:00.000Z,53.25,53.75,52.63,53.38,365700,13.1769627069,13.3006900563,13.0235407937,13.2091318177,731400,0.0,1.0
18,1997-01-28T00:00:00.000Z,53.0,54.38,52.88,54.0,281000,13.1150990322,13.4565865165,13.0854044684,13.3625537309,562000,0.0,1.0
19,1997-01-29T00:00:00.000Z,53.13,53.88,52.88,53.5,422500,13.147268143,13.3328591671,13.0854044684,13.2388263816,845000,0.0,1.0
20,1997-01-30T00:00:00.000Z,53.88,53.88,53.25,53.25,222100,13.3328591671,13.3328591671,13.1769627069,13.1769627069,444200,0.0,1.0
21,1997-01-31T00:00:00.000Z,54.5,55.5,54.13,54.75,370200,13.4862810803,13.733735779,13.3947228418,13.548144755,740400,0.0,1.0
22,1997-02-03T00:00:00.000Z,54.25,54.75,53.88,54.63,264800,13.4244174056,13.548144755,13.3328591671,13.5184501911,529600,0.0,1.0
23,1997-02-04T00:00:00.000Z,54.25,54.38,54.13,54.25,293700,13.4244174056,13.4565865165,13.3947228418,13.4244174056,587400,0.0,1.0
24,1997-02-05T00:00:00.000Z,54.63,55.63,54.13,54.25,567900,13.5184501911,13.7659048899,13.3947228418,13.4244174056,1135800,0.0,1.0
25,1997-02-06T00:00:00.000Z,55.0,55.13,54.13,54.75,341500,13.6100084297,13.6421775405,13.3947228418,13.548144755,683000,0.0,1.0
