,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2001-06-15T00:00:00.000Z,24.0,24.0,21.08,21.08,4200,18.2567320244,18.2567320244,16.0354962947,16.0354962947,4200,0.0,1.0
1,2001-06-18T00:00:00.000Z,25.08,25.32,24.48,24.48,10900,19.0782849655,19.2608522857,18.6218666648,18.6218666648,10900,0.0,1.0
2,2001-06-19T00:00:00.000Z,26.56,26.72,25.48,25.48,24600,20.2041167736,20.3258283204,19.3825638325,19.3825638325,24600,0.0,1.0
3,2001-06-20T00:00:00.000Z,26.88,27.08,26.56,26.56,56000,20.4475398673,20.5996793008,20.2041167736,20.2041167736,56000,0.0,1.0
4,2001-06-21T00:00:00.000Z,25.4,26.72,25.4,26.72,36700,19.3217080591,20.3258283204,19.3217080591,20.3258283204,36700,0.0,1.0
5,2001-06-22T00:00:00.000Z,22.88,25.24,22.88,25.24,55200,17.4047511966,19.1999965123,17.4047511966,19.1999965123,55200,0.0,1.0
6,2001-06-25T00:00:00.000Z,22.24,23.24,22.24,23.0,119000,16.9179050092,17.6786021769,16.9179050092,17.4960348567,119000,0.0,1.0
7,2001-06-26T00:00:00.000Z,23.0,23.08,22.4,22.48,278300,17.4960348567,17.5568906301,17.0396165561,17.1004723295,278300,0.0,1.0
8,2001-06-27T00:00:00.000Z,22.72,23.64,22.56,23.24,219600,17.2830396497,17.982881044,17.1613281029,17.6786021769,219600,0.0,1.0
9,2001-06-28T00:00:00.000Z,23.56,24.0,22.8,22.96,61900,17.9220252706,18.2567320244,17.3438954231,17.46560697,61900,0.0,1.0
10,2001-06-29T00:00:00.000Z,23.48,24.16,23.48,23.64,119200,17.8611694972,18.3784435712,17.8611694972,17.982881044,119200,0.0,1.0
11,2001-07-02T00:00:00.000Z,23.66,24.24,23.45,23.51,2011100,17.9980949873,18.4392993446,17.8383485821,17.8839904122,2011100,0.0,1.0
12,2001-07-03T00:00:00.000Z,23.15,23.41,22.9,23.41,346300,17.6101394318,17.8079206954,17.4199651399,17.8079206954,346300,0.0,1.0
13,2001-07-05T00:00:00.000Z,22.35,23.4,21.7,23.35,725800,17.0015816977,17.8003137237,16.5071285387,17.7622788654,725800,0.0,1.0
14,2001-07-06T00:00:00.000Z,21.72,22.4,21.46,22.4,772600,16.522342482,17.0396165561,16.3245612184,17.0396165561,772600,0.0,1.0
15,2001-07-09T00:00:00.000Z,21.7,22.2,21.3,21.52,855600,16.5071285387,16.8874771225,16.2028496716,16.3702030485,855600,0.0,1.0
16,2001-07-10T00:00:00.000Z,21.26,22.2,21.25,22.0,532200,16.1724217849,16.8874771225,16.1648148132,16.735337689,532200,0.0,1.0
17,2001-07-11T00:00:00.000Z,20.74,21.74,20.5,21.26,1028100,15.7768592577,16.5375564254,15.5942919375,16.1724217849,1028100,0.0,1.0
18,2001-07-12T00:00:00.000Z,20.76,20.99,20.3,20.5,980700,15.7920732011,15.9670335496,15.4421525039,15.5942919375,980700,0.0,1.0
19,2001-07-13T00:00:00.000Z,20.1,20.9,19.75,20.65,502500,15.2900130704,15.8985708045,15.0237690617,15.7083965126,502500,0.0,1.0
20,2001-07-16T00:00:00.000Z,19.45,20.01,19.4,19.8,597900,14.7955599114,15.2215503253,14.757525053,15.0618039201,597900,0.0,1.0
21,2001-07-17T00:00:00.000Z,20.16,20.2,19.0,19.46,1624600,15.3356549005,15.3660827872,14.4532461859,14.8031668831,1624600,0.0,1.0
22,2001-07-18T00:00:00.000Z,20.97,21.5,19.7,19.97,1224600,15.9518196063,16.3549891052,14.9857342033,15.1911224386,1224600,0.0,1.0
