,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2012-03-28T00:00:00.000Z,1.0,1.1,0.63,0.63,2596805,12.0,13.2,7.56,7.56,216400,0.0,1.0
1,2012-03-29T00:00:00.000Z,0.9,1.14,0.85,1.14,1232826,10.8,13.68,10.2,13.68,102735,0.0,1.0
2,2012-03-30T00:00:00.000Z,0.9,1.0,0.86,0.9,378089,10.8,12.0,10.32,10.8,31507,0.0,1.0
3,2012-04-02T00:00:00.000Z,0.75,0.9,0.7,0.9,494733,9.0,10.8,8.4,10.8,41227,0.0,1.0
4,2012-04-03T00:00:00.000Z,0.67,0.79,0.55,0.65,1905815,8.04,9.48,6.6,7.8,158817,0.0,1.0
5,2012-04-04T00:00:00.000Z,0.68,0.7,0.6,0.6,1440239,8.16,8.4,7.2,7.2,120019,0.0,1.0
6,2012-04-05T00:00:00.000Z,0.75,0.8,0.65,0.7,107760,9.0,9.6,7.8,8.4,8979,0.0,1.0
7,2012-04-09T00:00:00.000Z,0.77,0.8,0.72,0.8,157605,9.24,9.6,8.64,9.6,13133,0.0,1.0
8,2012-04-10T00:00:00.000Z,0.75,0.85,0.7,0.8,157215,9.0,10.2,8.4,9.6,13101,0.0,1.0
9,2012-04-11T00:00:00.000Z,0.7,0.75,0.68,0.7,223041,8.4,9.0,8.16,8.4,18586,0.0,1.0
10,2012-04-12T00:00:00.000Z,0.66,0.7,0.65,0.695,582618,7.92,8.4,7.8,8.34,48551,0.0,1.0
11,2012-04-13T00:00:00.000Z,0.67,0.75,0.6,0.6,302247,8.04,9.0,7.2,7.2,25187,0.0,1.0
12,2012-04-16T00:00:00.000Z,0.65,0.7,0.646,0.7,1349061,7.8,8.4,7.752,8.4,112421,0.0,1.0
13,2012-04-17T00:00:00.000Z,0.68,0.68,0.6,0.65,227833,8.16,8.16,7.2,7.8,18986,0.0,1.0
14,2012-04-18T00:00:00.000Z,0.65,0.665,0.61,0.66,603453,7.8,7.98,7.32,7.92,50287,0.0,1.0
15,2012-04-19T00:00:00.000Z,0.65,0.655,0.62,0.64,241018,7.8,7.86,7.44,7.68,20084,0.0,1.0
16,2012-04-20T00:00:00.000Z,0.645,0.66,0.61,0.66,357163,7.74,7.92,7.32,7.92,29763,0.0,1.0
17,2012-04-23T00:00:00.000Z,0.64,0.64,0.6,0.62,111925,7.68,7.68,7.2,7.44,9327,0.0,1.0
18,2012-04-24T00:00:00.000Z,0.6,0.64,0.6,0.64,298662,7.2,7.68,7.2,7.68,24888,0.0,1.0
19,2012-04-25T00:00:00.000Z,0.6,0.63,0.59,0.6,192081,7.2,7.56,7.08,7.2,16006,0.0,1.0
20,2012-04-26T00:00:00.000Z,0.595,0.6,0.54,0.54,83478,7.14,7.2,6.48,6.48,6956,0.0,1.0
21,2012-04-27T00:00:00.000Z,0.6,0.6,0.58,0.58,157010,7.2,7.2,6.96,6.96,13084,0.0,1.0
22,2012-04-30T00:00:00.000Z,0.59,0.59,0.55,0.58,288824,7.08,7.08,6.6,6.96,24068,0.0,1.0
23,2012-05-01T00:00:00.000Z,0.59,0.59,0.56,0.58,153525,7.08,7.08,6.72,6.96,12793,0.0,1.0
24,2012-05-02T00:00:00.000Z,0.59,0.59,0.56,0.56,117787,7.08,7.08,6.72,6.72,9815,0.0,1.0
25,2012-05-03T00:00:00.000Z,0.587,0.59,0.55,0.585,284536,7.044,7.08,6.6,7.02,23711,0.0,1.0
26,2012-05-04T00:00:00.000Z,0.57,0.587,0.53,0.58,458316,6.84,7.044,6.36,6.96,38192,0.0,1.0
27,2012-05-07T00:00:00.000Z,0.56,0.58,0.53,0.56,60122,6.72,6.96,6.36,6.72,5010,0.0,1.0
28,2012-05-08T00:00:00.000Z,0.53,0.59,0.52,0.59,147186,6.36,7.08,6.24,7.08,12265,0.0,1.0
29,2012-05-09T00:00:00.000Z,0.54,0.55,0.53,0.53,759202,6.48,6.6,6.36,6.36,63266,0.0,1.0
