,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,43.88,44.38,43.5,44.38,521200,8.0826424983,8.1747418887,8.0126469617,8.1747418887,1042300,0.0,1.0
1,1997-01-03T00:00:00.000Z,44.88,45.0,44.13,44.25,424200,8.2668412791,8.2889451328,8.1286921935,8.1507960472,848400,0.0,1.0
2,1997-01-06T00:00:00.000Z,44.0,45.25,43.88,45.13,1056000,8.104746352,8.3349948279,8.0826424983,8.3128909742,2111900,0.0,1.0
3,1997-01-07T00:00:00.000Z,44.38,44.38,43.5,43.75,1128400,8.1747418887,8.1747418887,8.0126469617,8.0586966568,2256800,0.0,1.0
4,1997-01-08T00:00:00.000Z,44.13,44.38,44.13,44.25,1028400,8.1286921935,8.1747418887,8.1286921935,8.1507960472,2056800,0.0,1.0
5,1997-01-09T00:00:00.000Z,46.0,46.38,44.25,44.25,1490000,8.4731439135,8.5431394502,8.1507960472,8.1507960472,2980100,0.0,1.0
6,1997-01-10T00:00:00.000Z,46.38,46.38,45.38,45.75,934600,8.5431394502,8.5431394502,8.3589406694,8.4270942183,1869300,0.0,1.0
7,1997-01-13T00:00:00.000Z,45.25,46.38,45.13,46.38,653600,8.3349948279,8.5431394502,8.3128909742,8.5431394502,1307300,0.0,1.0
8,1997-01-14T00:00:00.000Z,46.0,46.25,45.5,45.5,421600,8.4731439135,8.5191936087,8.3810445231,8.3810445231,843200,0.0,1.0
9,1997-01-15T00:00:00.000Z,46.13,46.5,45.63,45.88,363200,8.497089755,8.5652433038,8.4049903646,8.4510400598,726400,0.0,1.0
10,1997-01-16T00:00:00.000Z,46.38,46.38,45.88,46.13,632400,8.5431394502,8.5431394502,8.4510400598,8.497089755,1264800,0.0,1.0
11,1997-01-17T00:00:00.000Z,46.25,46.88,46.25,46.25,740000,8.5191936087,8.6352388405,8.5191936087,8.5191936087,1479900,0.0,1.0
12,1997-01-20T00:00:00.000Z,46.13,46.5,46.0,46.38,605500,8.497089755,8.5652433038,8.4731439135,8.5431394502,1211000,0.0,1.0
13,1997-01-21T00:00:00.000Z,46.75,46.88,45.13,45.88,383400,8.611292999,8.6352388405,8.3128909742,8.4510400598,766800,0.0,1.0
14,1997-01-22T00:00:00.000Z,45.0,46.88,44.88,46.88,455300,8.2889451328,8.6352388405,8.2668412791,8.6352388405,910600,0.0,1.0
15,1997-01-23T00:00:00.000Z,44.88,46.0,44.75,45.0,805700,8.2668412791,8.4731439135,8.2428954376,8.2889451328,1611400,0.0,1.0
16,1997-01-24T00:00:00.000Z,44.13,45.25,44.13,45.0,573100,8.1286921935,8.3349948279,8.1286921935,8.2889451328,1146200,0.0,1.0
17,1997-01-27T00:00:00.000Z,43.88,44.25,43.5,44.0,725400,8.0826424983,8.1507960472,8.0126469617,8.104746352,1450800,0.0,1.0
18,1997-01-28T00:00:00.000Z,43.0,44.13,42.75,44.13,600800,7.9205475713,8.1286921935,7.8744978761,8.1286921935,1201600,0.0,1.0
19,1997-01-29T00:00:00.000Z,44.38,44.38,42.88,43.13,673000,8.1747418887,8.1747418887,7.8984437176,7.9444934128,1346100,0.0,1.0
20,1997-01-30T00:00:00.000Z,44.5,44.5,43.88,44.25,486000,8.2557893522,8.2557893522,8.1407648714,8.2094085132,972000,0.32,1.0
21,1997-01-31T00:00:00.000Z,44.13,45.0,44.13,44.75,571200,8.1871457104,8.3485510303,8.1871457104,8.3021701913,1142300,0.0,1.0
22,1997-02-03T00:00:00.000Z,44.0,44.25,43.88,44.13,386200,8.1630276741,8.2094085132,8.1407648714,8.1871457104,772300,0.0,1.0
23,1997-02-04T00:00:00.000Z,44.38,44.38,43.75,44.0,380900,8.2335265495,8.2335265495,8.1166468351,8.1630276741,761800,0.0,1.0
24,1997-02-05T00:00:00.000Z,44.25,45.25,43.88,44.75,493600,8.2094085132,8.3949318694,8.1407648714,8.3021701913,987200,0.0,1.0
25,1997-02-06T00:00:00.000Z,43.63,44.25,43.38,44.25,387100,8.0943840323,8.2094085132,8.0480031932,8.2094085132,774200,0.0,1.0
26,1997-02-07T00:00:00.000Z,43.88,44.38,43.13,43.88,793100,8.1407648714,8.2335265495,8.0016223542,8.1407648714,1586200,0.0,1.0
27,1997-02-10T00:00:00.000Z,43.0,44.13,42.88,43.88,395200,7.9775043179,8.1871457104,7.9552415151,8.1407648714,790400,0.0,1.0
28,1997-02-11T00:00:00.000Z,43.13,43.75,43.13,43.25,567600,8.0016223542,8.1166468351,8.0016223542,8.0238851569,1135200,0.0,1.0
29,1997-02-12T00:00:00.000Z,44.25,44.38,43.13,43.13,401500,8.2094085132,8.2335265495,8.0016223542,8.0016223542,803000,0.0,1.0
30,1997-02-13T00:00:00.000Z,44.25,44.75,44.13,44.5,917200,8.2094085132,8.3021701913,8.1871457104,8.2557893522,1834400,0.0,1.0
31,1997-02-14T00:00:00.000Z,43.75,44.25,43.63,44.25,657200,8.1166468351,8.2094085132,8.0943840323,8.2094085132,1314400,0.0,1.0
32,1997-02-18T00:00:00.000Z,43.13,43.75,43.0,43.75,509100,8.0016223542,8.1166468351,7.9775043179,8.1166468351,1018200,0.0,1.0
33,1997-02-19T00:00:00.000Z,42.63,43.13,42.63,43.0,541900,7.9088606761,8.0016223542,7.9088606761,7.9775043179,1083800,0.0,1.0
34,1997-02-20T00:00:00.000Z,43.25,43.5,42.88,43.0,563200,8.0238851569,8.070265996,7.9552415151,7.9775043179,1126300,0.0,1.0
35,1997-02-21T00:00:00.000Z,43.63,43.63,42.88,43.13,1166400,8.0943840323,8.0943840323,7.9552415151,8.0016223542,2332800,0.0,1.0
36,1997-02-24T00:00:00.000Z,42.75,43.38,42.75,43.38,540000,7.9311234788,8.0480031932,7.9311234788,8.0480031932,1080100,0.0,1.0
37,1997-02-25T00:00:00.000Z,42.5,43.0,42.25,43.0,1318000,7.8847426398,7.9775043179,7.8383618007,7.9775043179,2636100,0.0,1.0
38,1997-02-26T00:00:00.000Z,42.0,42.63,41.38,42.38,1012400,7.7919809616,7.9088606761,7.6769564808,7.862479837,2024800,0.0,1.0
39,1997-02-27T00:00:00.000Z,41.13,42.13,41.13,42.13,496800,7.6305756417,7.816098998,7.6305756417,7.816098998,993500,0.0,1.0
40,1997-02-28T00:00:00.000Z,41.38,41.63,41.0,41.25,856000,7.6769564808,7.7233373198,7.6064576054,7.6528384445,1712100,0.0,1.0
41,1997-03-03T00:00:00.000Z,41.75,41.75,41.13,41.38,661000,7.7456001226,7.7456001226,7.6305756417,7.6769564808,1322000,0.0,1.0
42,1997-03-04T00:00:00.000Z,41.75,42.13,41.63,41.88,918000,7.7456001226,7.816098998,7.7233373198,7.7697181589,1835900,0.0,1.0
43,1997-03-05T00:00:00.000Z,42.25,42.5,41.88,41.88,852600,7.8383618007,7.8847426398,7.7697181589,7.7697181589,1705300,0.0,1.0
44,1997-03-06T00:00:00.000Z,41.88,42.5,41.88,42.25,1386600,7.7697181589,7.8847426398,7.7697181589,7.8383618007,2773300,0.0,1.0
