,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2008-01-10T00:00:00.000Z,16.5,17.0,15.25,15.25,1293200,16.5,17.0,15.25,15.25,1293200,0.0,1.0
1,2008-01-11T00:00:00.000Z,17.0,19.0,16.25,16.25,2368600,17.0,19.0,16.25,16.25,2368600,0.0,1.0
2,2008-01-14T00:00:00.000Z,18.25,19.25,17.5,19.0,1527200,18.25,19.25,17.5,19.0,1527200,0.0,1.0
3,2008-01-15T00:00:00.000Z,18.5,19.2,18.0,19.2,1619300,18.5,19.2,18.0,19.2,1619300,0.0,1.0
4,2008-01-16T00:00:00.000Z,17.5,18.75,17.48,18.5,1495800,17.5,18.75,17.48,18.5,1495800,0.0,1.0
5,2008-01-17T00:00:00.000Z,16.55,17.5,16.3,17.5,732800,16.55,17.5,16.3,17.5,732800,0.0,1.0
6,2008-01-18T00:00:00.000Z,16.0,16.95,15.95,16.65,1906300,16.0,16.95,15.95,16.65,1906300,0.0,1.0
7,2008-01-22T00:00:00.000Z,15.7,15.9,15.3,15.65,815500,15.7,15.9,15.3,15.65,815500,0.0,1.0
8,2008-01-23T00:00:00.000Z,15.0,16.2,15.0,15.25,3410900,15.0,16.2,15.0,15.25,3410900,0.0,1.0
9,2008-01-24T00:00:00.000Z,15.4,15.9,15.25,15.75,1928700,15.4,15.9,15.25,15.75,1928700,0.0,1.0
10,2008-01-25T00:00:00.000Z,15.9,16.15,15.7,15.7,1013700,15.9,16.15,15.7,15.7,1013700,0.0,1.0
11,2008-01-28T00:00:00.000Z,16.3,16.56,15.8,15.95,1326700,16.3,16.56,15.8,15.95,1326700,0.0,1.0
12,2008-01-29T00:00:00.000Z,16.74,16.83,16.15,16.15,329300,16.74,16.83,16.15,16.15,329300,0.0,1.0
13,2008-01-30T00:00:00.000Z,16.95,17.0,16.74,16.74,250000,16.95,17.0,16.74,16.74,250000,0.0,1.0
14,2008-01-31T00:00:00.000Z,16.9,17.05,16.75,16.95,881500,16.9,17.05,16.75,16.95,881500,0.0,1.0
15,2008-02-01T00:00:00.000Z,16.9,17.2,16.8,17.05,1113000,16.9,17.2,16.8,17.05,1113000,0.0,1.0
16,2008-02-04T00:00:00.000Z,16.55,17.4,16.4,17.15,2654900,16.55,17.4,16.4,17.15,2654900,0.0,1.0
