,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,22.25,23.13,21.88,22.0,150200,1.9727727015,2.0507969702,1.9399670431,1.9506067161,1201600,0.0,1.0
1,1997-01-03T00:00:00.000Z,22.38,22.5,21.88,22.25,85600,1.9842990139,1.9949386869,1.9399670431,1.9727727015,684800,0.0,1.0
2,1997-01-06T00:00:00.000Z,22.25,22.75,21.75,22.38,127500,1.9727727015,2.0171046724,1.9284407307,1.9842990139,1020000,0.0,1.0
3,1997-01-07T00:00:00.000Z,24.0,24.0,21.75,22.25,204800,2.1279345994,2.1279345994,1.9284407307,1.9727727015,1638400,0.0,1.0
4,1997-01-08T00:00:00.000Z,24.81,26.5,24.13,24.5,545100,2.1997523921,2.3495944535,2.1394609118,2.1722665702,4360800,0.0,1.0
5,1997-01-09T00:00:00.000Z,25.94,26.0,24.75,25.25,380600,2.2999426462,2.3052624827,2.1944325556,2.2387645265,3044800,0.0,1.0
6,1997-01-10T00:00:00.000Z,26.0,26.0,25.13,26.0,34100,2.3052624827,2.3052624827,2.2281248535,2.3052624827,272800,0.0,1.0
7,1997-01-13T00:00:00.000Z,23.13,26.0,23.13,25.13,148700,2.0507969702,2.3052624827,2.0507969702,2.2281248535,1189600,0.0,1.0
8,1997-01-14T00:00:00.000Z,22.88,24.13,22.81,23.75,253100,2.0286309848,2.1394609118,2.0224245089,2.105768614,2024800,0.0,1.0
9,1997-01-15T00:00:00.000Z,21.75,23.25,21.63,23.25,168900,1.9284407307,2.0614366432,1.9178010577,2.0614366432,1351200,0.0,1.0
10,1997-01-16T00:00:00.000Z,22.0,22.0,21.5,21.75,98600,1.9506067161,1.9506067161,1.9062747453,1.9284407307,788800,0.0,1.0
11,1997-01-17T00:00:00.000Z,22.75,22.75,21.5,22.0,154900,2.0171046724,2.0171046724,1.9062747453,1.9506067161,1239200,0.0,1.0
12,1997-01-20T00:00:00.000Z,22.5,22.75,21.88,22.75,82300,1.9949386869,2.0171046724,1.9399670431,2.0171046724,658400,0.0,1.0
13,1997-01-21T00:00:00.000Z,21.88,22.25,21.88,22.25,35100,1.9399670431,1.9727727015,1.9399670431,1.9727727015,280800,0.0,1.0
14,1997-01-22T00:00:00.000Z,21.0,22.0,20.88,22.0,88700,1.8619427745,1.9506067161,1.8513031015,1.9506067161,709600,0.0,1.0
15,1997-01-23T00:00:00.000Z,19.13,21.25,17.75,20.88,560600,1.6961412036,1.8841087599,1.5737849641,1.8513031015,4484800,0.0,1.0
16,1997-01-24T00:00:00.000Z,19.0,19.5,18.75,19.25,149000,1.6846148912,1.728946862,1.6624489058,1.7067808766,1192000,0.0,1.0
17,1997-01-27T00:00:00.000Z,18.13,19.25,17.75,19.25,125100,1.607477262,1.7067808766,1.5737849641,1.7067808766,1000800,0.0,1.0
18,1997-01-28T00:00:00.000Z,17.75,18.38,17.5,18.25,263200,1.5737849641,1.6296432474,1.5516189787,1.618116935,2105600,0.0,1.0
19,1997-01-29T00:00:00.000Z,15.39,18.25,15.0,17.75,592300,1.3645380619,1.618116935,1.3299591246,1.5737849641,4738400,0.0,1.0
20,1997-01-30T00:00:00.000Z,16.13,16.38,15.25,15.63,619500,1.4301493787,1.4523153641,1.35212511,1.3858174079,4956000,0.0,1.0
21,1997-01-31T00:00:00.000Z,16.38,16.38,15.88,15.88,290200,1.4523153641,1.4523153641,1.4079833933,1.4079833933,2321600,0.0,1.0
22,1997-02-03T00:00:00.000Z,16.25,16.38,16.0,16.38,245300,1.4407890517,1.4523153641,1.4186230663,1.4523153641,1962400,0.0,1.0
23,1997-02-04T00:00:00.000Z,16.0,16.25,15.5,16.25,56100,1.4186230663,1.4407890517,1.3742910955,1.4407890517,448800,0.0,1.0
24,1997-02-05T00:00:00.000Z,15.13,16.0,15.13,16.0,73200,1.341485437,1.4186230663,1.341485437,1.4186230663,585600,0.0,1.0
25,1997-02-06T00:00:00.000Z,15.63,15.75,15.0,15.13,81600,1.3858174079,1.3964570809,1.3299591246,1.341485437,652800,0.0,1.0
26,1997-02-07T00:00:00.000Z,16.0,16.0,15.5,15.75,102200,1.4186230663,1.4186230663,1.3742910955,1.3964570809,817600,0.0,1.0
27,1997-02-10T00:00:00.000Z,17.0,17.0,15.5,16.0,162100,1.5072870079,1.5072870079,1.3742910955,1.4186230663,1296800,0.0,1.0
28,1997-02-11T00:00:00.000Z,17.0,17.75,16.75,17.5,158000,1.5072870079,1.5737849641,1.4851210225,1.5516189787,1264000,0.0,1.0
29,1997-02-12T00:00:00.000Z,16.63,17.25,16.63,17.13,80800,1.4744813495,1.5294529933,1.4744813495,1.5188133203,646400,0.0,1.0
30,1997-02-13T00:00:00.000Z,16.63,17.13,16.13,17.13,69900,1.4744813495,1.5188133203,1.4301493787,1.5188133203,559200,0.0,1.0
31,1997-02-14T00:00:00.000Z,16.75,16.75,16.0,16.63,88600,1.4851210225,1.4851210225,1.4186230663,1.4744813495,708800,0.0,1.0
32,1997-02-18T00:00:00.000Z,16.75,16.75,16.13,16.75,103200,1.4851210225,1.4851210225,1.4301493787,1.4851210225,825600,0.0,1.0
33,1997-02-19T00:00:00.000Z,16.0,16.75,15.5,16.25,47700,1.4186230663,1.4851210225,1.3742910955,1.4407890517,381600,0.0,1.0
34,1997-02-20T00:00:00.000Z,15.38,16.0,15.25,16.0,81100,1.3636514225,1.4186230663,1.35212511,1.4186230663,648800,0.0,1.0
35,1997-02-21T00:00:00.000Z,15.0,15.75,15.0,15.38,109700,1.3299591246,1.3964570809,1.3299591246,1.3636514225,877600,0.0,1.0
