,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2004-07-13T00:00:00.000Z,13.5,14.1,13.49,14.0,14964100,6.5360276711,6.8265177899,6.5311861692,6.7781027701,14964100,0.0,1.0
1,2004-07-14T00:00:00.000Z,13.44,13.55,12.91,13.5,2801000,6.5069786593,6.560235181,6.2503790544,6.5360276711,2801000,0.0,1.0
2,2004-07-15T00:00:00.000Z,13.84,13.85,13.35,13.45,1276200,6.7006387384,6.7054802404,6.4634051415,6.5118201612,1276200,0.0,1.0
3,2004-07-16T00:00:00.000Z,13.83,13.9,13.51,13.87,1488200,6.6957972364,6.7296877503,6.5408691731,6.7151632443,1488200,0.0,1.0
4,2004-07-19T00:00:00.000Z,13.52,13.8,13.35,13.8,966200,6.5457106751,6.6812727305,6.4634051415,6.6812727305,966200,0.0,1.0
5,2004-07-20T00:00:00.000Z,13.93,13.93,13.41,13.52,719300,6.7442122562,6.7442122562,6.4924541533,6.5457106751,719300,0.0,1.0
6,2004-07-21T00:00:00.000Z,13.6,13.94,13.5,13.94,472300,6.5844426909,6.7490537582,6.5360276711,6.7490537582,472300,0.0,1.0
7,2004-07-22T00:00:00.000Z,13.6,13.65,13.33,13.6,218500,6.5844426909,6.6086502008,6.4537221375,6.5844426909,218500,0.0,1.0
8,2004-07-23T00:00:00.000Z,13.56,13.62,13.4,13.4,268500,6.565076683,6.5941256949,6.4876126513,6.4876126513,268500,0.0,1.0
9,2004-07-26T00:00:00.000Z,13.2,13.5,13.05,13.5,236200,6.3907826118,6.5360276711,6.3181600821,6.5360276711,236200,0.0,1.0
10,2004-07-27T00:00:00.000Z,12.75,13.2,12.4,13.2,2668000,6.1729150227,6.3907826118,6.0034624535,6.3907826118,2668000,0.0,1.0
11,2004-07-28T00:00:00.000Z,13.03,13.12,12.84,12.85,1028100,6.3084770781,6.3520505959,6.2164885405,6.2213300425,1028100,0.0,1.0
12,2004-07-29T00:00:00.000Z,13.78,13.78,13.1,13.1,1015700,6.6715897265,6.6715897265,6.342367592,6.342367592,1015700,0.0,1.0
13,2004-07-30T00:00:00.000Z,13.9,13.9,13.55,13.72,623000,6.7296877503,6.7296877503,6.560235181,6.6425407147,623000,0.0,1.0
14,2004-08-02T00:00:00.000Z,13.7,13.8,13.55,13.8,329400,6.6328577107,6.6812727305,6.560235181,6.6812727305,329400,0.0,1.0
15,2004-08-03T00:00:00.000Z,13.94,14.08,13.7,13.7,1557100,6.7490537582,6.8168347859,6.6328577107,6.6328577107,1557100,0.0,1.0
16,2004-08-04T00:00:00.000Z,13.9,14.04,13.88,14.04,156300,6.7296877503,6.797468778,6.7200047463,6.797468778,156300,0.0,1.0
17,2004-08-05T00:00:00.000Z,13.89,14.0,13.86,13.94,188100,6.7248462483,6.7781027701,6.7103217424,6.7490537582,188100,0.0,1.0
18,2004-08-06T00:00:00.000Z,13.8,14.0,13.7,13.82,276300,6.6812727305,6.7781027701,6.6328577107,6.6909557345,276300,0.0,1.0
19,2004-08-09T00:00:00.000Z,13.7,13.8,13.5,13.8,212100,6.6328577107,6.6812727305,6.5360276711,6.6812727305,212100,0.0,1.0
20,2004-08-10T00:00:00.000Z,13.79,13.85,13.65,13.7,272400,6.6764312285,6.7054802404,6.6086502008,6.6328577107,272400,0.0,1.0
21,2004-08-11T00:00:00.000Z,13.7,13.88,13.6,13.8,166800,6.6328577107,6.7200047463,6.5844426909,6.6812727305,166800,0.0,1.0
22,2004-08-12T00:00:00.000Z,13.63,13.75,13.58,13.65,284700,6.5989671969,6.6570652206,6.574759687,6.6086502008,284700,0.0,1.0
23,2004-08-13T00:00:00.000Z,13.4,13.7,13.35,13.68,104900,6.4876126513,6.6328577107,6.4634051415,6.6231747068,104900,0.0,1.0
24,2004-08-16T00:00:00.000Z,13.48,13.55,13.4,13.4,86400,6.5263446672,6.560235181,6.4876126513,6.4876126513,86400,0.0,1.0
25,2004-08-17T00:00:00.000Z,13.45,13.65,13.25,13.4,161100,6.5118201612,6.6086502008,6.4149901217,6.4876126513,161100,0.0,1.0
26,2004-08-18T00:00:00.000Z,13.61,13.64,13.35,13.52,43000,6.5892841929,6.6038086988,6.4634051415,6.5457106751,43000,0.0,1.0
27,2004-08-19T00:00:00.000Z,13.3,13.6,12.75,13.6,124100,6.4391976316,6.5844426909,6.1729150227,6.5844426909,124100,0.0,1.0
28,2004-08-20T00:00:00.000Z,13.64,13.64,13.1,13.25,112300,6.6038086988,6.6038086988,6.342367592,6.4149901217,112300,0.0,1.0
29,2004-08-23T00:00:00.000Z,13.85,13.91,13.6,13.7,442900,6.7054802404,6.7345292523,6.5844426909,6.6328577107,442900,0.0,1.0
30,2004-08-24T00:00:00.000Z,13.8,13.8,13.45,13.75,607400,6.6812727305,6.6812727305,6.5118201612,6.6570652206,607400,0.0,1.0
31,2004-08-25T00:00:00.000Z,13.8,13.89,13.51,13.8,307300,6.6812727305,6.7248462483,6.5408691731,6.6812727305,307300,0.0,1.0
32,2004-08-26T00:00:00.000Z,13.7,13.9,13.7,13.9,104300,6.6328577107,6.7296877503,6.6328577107,6.7296877503,104300,0.0,1.0
33,2004-08-27T00:00:00.000Z,14.04,14.08,13.75,13.75,880600,6.797468778,6.8168347859,6.6570652206,6.6570652206,880600,0.0,1.0
34,2004-08-30T00:00:00.000Z,14.02,14.15,13.9,14.0,265000,6.787785774,6.8507252997,6.7296877503,6.7781027701,265000,0.0,1.0
35,2004-08-31T00:00:00.000Z,14.25,14.25,13.95,13.95,401800,6.8991403195,6.8991403195,6.7538952602,6.7538952602,401800,0.0,1.0
36,2004-09-01T00:00:00.000Z,14.45,14.59,14.25,14.25,421400,6.9959703591,7.0637513868,6.8991403195,6.8991403195,421400,0.0,1.0
37,2004-09-02T00:00:00.000Z,14.3,14.5,14.15,14.5,273800,6.9233478294,7.020177869,6.8507252997,7.020177869,273800,0.0,1.0
38,2004-09-03T00:00:00.000Z,14.0,14.2,13.75,14.05,310100,6.7781027701,6.8749328096,6.6570652206,6.80231028,310100,0.0,1.0
39,2004-09-07T00:00:00.000Z,13.87,14.05,13.65,14.0,329000,6.7151632443,6.80231028,6.6086502008,6.7781027701,329000,0.0,1.0
40,2004-09-08T00:00:00.000Z,13.79,13.87,13.7,13.77,178000,6.6764312285,6.7151632443,6.6328577107,6.6667482246,178000,0.0,1.0
41,2004-09-09T00:00:00.000Z,13.78,13.95,13.69,13.69,163500,6.6715897265,6.7538952602,6.6280162087,6.6280162087,163500,0.0,1.0
42,2004-09-10T00:00:00.000Z,14.37,14.37,13.9,14.15,1073900,6.9572383433,6.9572383433,6.7296877503,6.8507252997,1073900,0.0,1.0
43,2004-09-13T00:00:00.000Z,14.35,14.5,14.27,14.3,394400,6.9475553393,7.020177869,6.9088233235,6.9233478294,394400,0.0,1.0
44,2004-09-14T00:00:00.000Z,14.83,14.9,14.28,14.44,500500,7.1799474343,7.2138379481,6.9136648255,6.9911288571,500500,0.0,1.0
45,2004-09-15T00:00:00.000Z,15.22,15.37,14.9,15.0,1045100,7.3687660115,7.4413885411,7.2138379481,7.2622529679,1045100,0.0,1.0
46,2004-09-16T00:00:00.000Z,15.48,15.5,15.22,15.22,531000,7.4946450629,7.5043280669,7.3687660115,7.3687660115,531000,0.0,1.0
47,2004-09-17T00:00:00.000Z,15.2,15.4,15.1,15.4,270400,7.3590830075,7.4559130471,7.3106679877,7.4559130471,270400,0.0,1.0
48,2004-09-20T00:00:00.000Z,15.25,15.48,15.15,15.2,185700,7.3832905174,7.4946450629,7.3348754976,7.3590830075,185700,0.0,1.0
49,2004-09-21T00:00:00.000Z,15.4,15.53,15.22,15.33,241000,7.4559130471,7.5188525728,7.3687660115,7.4220225332,241000,0.0,1.0
50,2004-09-22T00:00:00.000Z,15.11,15.35,14.8,15.25,351900,7.3155094897,7.4317055372,7.1654229284,7.3832905174,351900,0.0,1.0
51,2004-09-23T00:00:00.000Z,14.97,15.2,14.88,15.01,181000,7.247728462,7.3590830075,7.2041549442,7.2670944699,181000,0.0,1.0
52,2004-09-24T00:00:00.000Z,15.04,15.2,14.85,15.05,215900,7.2816189758,7.3590830075,7.1896304382,7.2864604778,215900,0.0,1.0
53,2004-09-27T00:00:00.000Z,14.88,15.02,14.65,15.0,344400,7.2041549442,7.2719359719,7.0928003987,7.2622529679,344400,0.0,1.0
54,2004-09-28T00:00:00.000Z,15.25,15.25,14.62,14.8,223500,7.3832905174,7.3832905174,7.0782758927,7.1654229284,223500,0.0,1.0
55,2004-09-29T00:00:00.000Z,15.05,15.4,14.95,15.35,757800,7.2864604778,7.4559130471,7.238045458,7.4317055372,757800,0.0,1.0
56,2004-09-30T00:00:00.000Z,14.7,15.11,14.7,15.05,1354500,7.1170079086,7.3155094897,7.1170079086,7.2864604778,1354500,0.0,1.0
57,2004-10-01T00:00:00.000Z,14.6,14.85,14.25,14.8,733500,7.0685928888,7.1896304382,6.8991403195,7.1654229284,733500,0.0,1.0
58,2004-10-04T00:00:00.000Z,14.98,15.0,14.74,14.95,319200,7.252569964,7.2622529679,7.1363739165,7.238045458,319200,0.0,1.0
59,2004-10-05T00:00:00.000Z,15.32,15.47,14.66,14.9,590600,7.4171810312,7.4898035609,7.0976419007,7.2138379481,590600,0.0,1.0
60,2004-10-06T00:00:00.000Z,15.9,16.01,15.27,15.27,808600,7.697988146,7.7512446678,7.3929735214,7.3929735214,808600,0.0,1.0
61,2004-10-07T00:00:00.000Z,15.91,16.15,15.55,15.97,897900,7.702829648,7.8190256955,7.5285355768,7.7318786599,897900,0.0,1.0
62,2004-10-08T00:00:00.000Z,15.95,16.2,15.8,15.85,537700,7.7221956559,7.8432332054,7.6495731262,7.6737806361,537700,0.0,1.0
63,2004-10-11T00:00:00.000Z,16.0,16.25,15.87,16.0,400500,7.7464031658,7.8674407153,7.6834636401,7.7464031658,400500,0.0,1.0
64,2004-10-12T00:00:00.000Z,15.96,16.35,15.75,16.07,618900,7.7270371579,7.915855735,7.6253656163,7.7802936796,618900,0.0,1.0
65,2004-10-13T00:00:00.000Z,16.16,16.19,16.0,16.05,207400,7.8238671974,7.8383917034,7.7464031658,7.7706106757,207400,0.0,1.0
66,2004-10-14T00:00:00.000Z,15.89,16.09,15.77,16.0,387600,7.693146644,7.7899766836,7.6350486203,7.7464031658,387600,0.0,1.0
67,2004-10-15T00:00:00.000Z,15.98,16.19,15.89,15.89,285700,7.7367201618,7.8383917034,7.693146644,7.693146644,285700,0.0,1.0
68,2004-10-18T00:00:00.000Z,15.9,16.26,15.9,16.0,389800,7.697988146,7.8722822172,7.697988146,7.7464031658,389800,0.0,1.0
69,2004-10-19T00:00:00.000Z,15.59,16.6,15.5,16.0,682700,7.5479015847,8.0368932845,7.5043280669,7.7464031658,682700,0.0,1.0
70,2004-10-20T00:00:00.000Z,15.61,15.7,15.42,15.69,389700,7.5575845886,7.6011581064,7.465596051,7.5963166045,389700,0.0,1.0
71,2004-10-21T00:00:00.000Z,15.78,15.91,15.51,15.55,124400,7.6398901223,7.702829648,7.5091695688,7.5285355768,124400,0.0,1.0
72,2004-10-22T00:00:00.000Z,15.85,16.0,15.6,15.71,296500,7.6737806361,7.7464031658,7.5527430866,7.6059996084,296500,0.0,1.0
73,2004-10-25T00:00:00.000Z,15.93,15.95,15.72,15.95,131900,7.7125126519,7.7221956559,7.6108411104,7.7221956559,131900,0.0,1.0
74,2004-10-26T00:00:00.000Z,15.88,15.95,15.63,15.94,289500,7.688305142,7.7221956559,7.5672675926,7.7173541539,289500,0.0,1.0
75,2004-10-27T00:00:00.000Z,15.94,15.98,15.75,15.92,301800,7.7173541539,7.7367201618,7.6253656163,7.70767115,301800,0.0,1.0
76,2004-10-28T00:00:00.000Z,15.93,15.99,15.78,15.98,172300,7.7125126519,7.7415616638,7.6398901223,7.7367201618,172300,0.0,1.0
77,2004-10-29T00:00:00.000Z,16.4,16.4,15.94,15.96,545700,7.9400632449,7.9400632449,7.7173541539,7.7270371579,545700,0.0,1.0
78,2004-11-01T00:00:00.000Z,16.8,16.99,16.16,16.45,288600,8.1337233241,8.2257118617,7.8238671974,7.9642707548,288600,0.0,1.0
79,2004-11-02T00:00:00.000Z,16.9,17.03,16.8,16.8,139200,8.1821383439,8.2450778696,8.1337233241,8.1337233241,139200,0.0,1.0
80,2004-11-03T00:00:00.000Z,16.88,17.35,16.65,17.15,324100,8.1724553399,8.4000059329,8.0611007944,8.3031758933,324100,0.0,1.0
81,2004-11-04T00:00:00.000Z,16.68,17.05,16.55,16.93,247200,8.0756253003,8.2547608735,8.0126857746,8.1966628498,247200,0.0,1.0
82,2004-11-05T00:00:00.000Z,17.0,17.05,16.81,16.84,623400,8.2305533637,8.2547608735,8.1385648261,8.153089332,623400,0.0,1.0
83,2004-11-08T00:00:00.000Z,16.81,17.06,16.72,17.05,122000,8.1385648261,8.2596023755,8.0949913083,8.2547608735,122000,0.0,1.0
84,2004-11-09T00:00:00.000Z,16.65,16.93,16.64,16.72,150100,8.0611007944,8.1966628498,8.0562592924,8.0949913083,150100,0.0,1.0
85,2004-11-10T00:00:00.000Z,16.87,17.1,16.7,16.75,118800,8.1676138379,8.2789683834,8.0853083043,8.1095158142,118800,0.0,1.0
86,2004-11-11T00:00:00.000Z,17.73,17.74,16.8,16.8,487200,8.5839830081,8.5888245101,8.1337233241,8.1337233241,487200,0.0,1.0
87,2004-11-12T00:00:00.000Z,17.98,17.98,17.35,17.45,116800,8.7050205576,8.7050205576,8.4000059329,8.4484209527,116800,0.0,1.0
88,2004-11-15T00:00:00.000Z,17.65,17.98,17.56,17.98,119400,8.5452509923,8.7050205576,8.5016774745,8.7050205576,119400,0.0,1.0
89,2004-11-16T00:00:00.000Z,17.4,17.8,17.4,17.7,93100,8.4242134428,8.6178735219,8.4242134428,8.5694585022,93100,0.0,1.0
90,2004-11-17T00:00:00.000Z,17.5,18.12,17.4,17.5,256100,8.4726284626,8.7728015853,8.4242134428,8.4726284626,256100,0.0,1.0
