,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2016-09-30T00:00:00.000Z,52.0,52.0,50.0,50.75,25182632,42.8824515704,42.8824515704,41.23312651,41.8516234077,25182632,0.0,1.0
1,2016-10-03T00:00:00.000Z,50.7,51.45,50.15,50.7,1277256,41.8103902812,42.4288871788,41.3568258896,41.8103902812,1277256,0.0,1.0
2,2016-10-04T00:00:00.000Z,50.25,50.54,50.0,50.4111,1790354,41.4392921426,41.6784442763,41.23312651,41.5721452762,1790354,0.0,1.0
3,2016-10-05T00:00:00.000Z,50.5,50.89,50.0,50.6,716365,41.6454577751,41.9670761619,41.23312651,41.7279240281,716365,0.0,1.0
4,2016-10-06T00:00:00.000Z,50.65,50.85,50.0,50.25,304350,41.7691571547,41.9340896607,41.23312651,41.4392921426,304350,0.0,1.0
5,2016-10-07T00:00:00.000Z,51.25,51.25,50.55,50.71,197035,42.2639546728,42.2639546728,41.6866909016,41.8186369065,197035,0.0,1.0
6,2016-10-10T00:00:00.000Z,50.89,51.5,50.89,51.25,1147,41.9670761619,42.4701203053,41.9670761619,42.2639546728,1147,0.0,1.0
7,2016-10-11T00:00:00.000Z,50.7,50.75,49.4293,50.746,393497,41.8103902812,41.8516234077,40.762491604,41.8483247576,393497,0.0,1.0
8,2016-10-12T00:00:00.000Z,52.29,52.29,50.7,52.0,255781,43.1216037042,43.1216037042,41.8103902812,42.8824515704,255781,0.0,1.0
9,2016-10-13T00:00:00.000Z,51.01,51.5,50.03,50.03,119620,42.0660356655,42.4701203053,41.2578663859,41.2578663859,119620,0.0,1.0
10,2016-10-14T00:00:00.000Z,50.76,51.74,50.76,50.76,3147,41.859870033,42.6680393126,41.859870033,41.859870033,3147,0.0,1.0
11,2016-10-17T00:00:00.000Z,50.75,51.0,50.75,51.0,189311,41.8516234077,42.0577890402,41.8516234077,42.0577890402,189311,0.0,1.0
