,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2020-09-17T00:00:00.000Z,23.9,27.11,22.0,22.59,2229120,23.9,27.11,22.0,22.59,2229120,0.0,1.0
1,2020-09-18T00:00:00.000Z,22.6,23.5,22.0,23.45,472214,22.6,23.5,22.0,23.45,472214,0.0,1.0
2,2020-09-21T00:00:00.000Z,22.0,23.1,21.07,22.18,261421,22.0,23.1,21.07,22.18,261421,0.0,1.0
3,2020-09-22T00:00:00.000Z,22.95,23.23,21.55,23.23,242828,22.95,23.23,21.55,23.23,242828,0.0,1.0
4,2020-09-23T00:00:00.000Z,22.25,23.15,21.96,22.69,100656,22.25,23.15,21.96,22.69,100656,0.0,1.0
5,2020-09-24T00:00:00.000Z,22.06,22.85,21.4,22.49,138188,22.06,22.85,21.4,22.49,138188,0.0,1.0
6,2020-09-25T00:00:00.000Z,22.0,22.87,21.785,22.05,189329,22.0,22.87,21.785,22.05,189329,0.0,1.0
7,2020-09-28T00:00:00.000Z,21.5,22.77,21.35,22.29,101636,21.5,22.77,21.35,22.29,101636,0.0,1.0
8,2020-09-29T00:00:00.000Z,20.0,21.69,19.27,21.29,191004,20.0,21.69,19.27,21.29,191004,0.0,1.0
9,2020-09-30T00:00:00.000Z,20.19,20.47,20.0,20.11,46170,20.19,20.47,20.0,20.11,46170,0.0,1.0
10,2020-10-01T00:00:00.000Z,19.52,20.91,19.17,20.4,276070,19.52,20.91,19.17,20.4,276070,0.0,1.0
11,2020-10-02T00:00:00.000Z,19.05,21.03,18.3601,19.26,351585,19.05,21.03,18.3601,19.26,351585,0.0,1.0
12,2020-10-05T00:00:00.000Z,18.92,19.43,18.2,19.22,226654,18.92,19.43,18.2,19.22,226654,0.0,1.0
13,2020-10-06T00:00:00.000Z,18.84,19.27,18.08,18.9,144300,18.84,19.27,18.08,18.9,144300,0.0,1.0
14,2020-10-07T00:00:00.000Z,18.74,19.08,18.38,19.0,120187,18.74,19.08,18.38,19.0,120187,0.0,1.0
15,2020-10-08T00:00:00.000Z,18.99,19.13,18.42,18.76,209891,18.99,19.13,18.42,18.76,209891,0.0,1.0
16,2020-10-09T00:00:00.000Z,18.64,19.189,18.24,18.77,522824,18.64,19.189,18.24,18.77,522824,0.0,1.0
17,2020-10-12T00:00:00.000Z,18.98,20.45,18.88,19.2,219579,18.98,20.45,18.88,19.2,219579,0.0,1.0
18,2020-10-13T00:00:00.000Z,19.03,19.8299,18.93,19.34,218866,19.03,19.8299,18.93,19.34,218866,0.0,1.0
