,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,31.25,32.13,29.63,30.13,1597700,7.8125,8.0325,7.4075,7.5325,6390800,0.0,1.0
1,1997-01-03T00:00:00.000Z,33.63,34.38,31.88,32.25,1586700,8.4075,8.595,7.97,8.0625,6346800,0.0,1.0
2,1997-01-06T00:00:00.000Z,32.0,33.75,31.5,33.75,1095400,8.0,8.4375,7.875,8.4375,4381600,0.0,1.0
3,1997-01-07T00:00:00.000Z,33.38,34.0,31.63,32.88,1095600,8.345,8.5,7.9075,8.22,4382400,0.0,1.0
4,1997-01-08T00:00:00.000Z,34.13,35.0,32.75,33.25,1915400,8.5325,8.75,8.1875,8.3125,7661600,0.0,1.0
5,1997-01-09T00:00:00.000Z,36.13,36.88,34.13,34.13,3386000,9.0325,9.22,8.5325,8.5325,13544000,0.0,1.0
6,1997-01-10T00:00:00.000Z,36.13,36.38,35.0,35.5,1355000,9.0325,9.095,8.75,8.875,5420000,0.0,1.0
7,1997-01-13T00:00:00.000Z,35.25,35.75,34.63,35.13,1532300,8.8125,8.9375,8.6575,8.7825,6129200,0.0,1.0
8,1997-01-14T00:00:00.000Z,34.88,35.5,34.13,35.5,1362200,8.72,8.875,8.5325,8.875,5448800,0.0,1.0
9,1997-01-15T00:00:00.000Z,33.38,34.88,33.25,34.75,1203600,8.345,8.72,8.3125,8.6875,4814400,0.0,1.0
10,1997-01-16T00:00:00.000Z,34.13,34.5,33.38,33.63,816400,8.5325,8.625,8.345,8.4075,3265600,0.0,1.0
11,1997-01-17T00:00:00.000Z,34.75,36.13,34.13,34.75,1711200,8.6875,9.0325,8.5325,8.6875,6844800,0.0,1.0
12,1997-01-20T00:00:00.000Z,35.75,36.38,34.25,34.75,1300800,8.9375,9.095,8.5625,8.6875,5203200,0.0,1.0
13,1997-01-21T00:00:00.000Z,35.25,36.13,34.63,35.5,536700,8.8125,9.0325,8.6575,8.875,2146800,0.0,1.0
14,1997-01-22T00:00:00.000Z,36.25,36.63,34.25,35.13,1238200,9.0625,9.1575,8.5625,8.7825,4952800,0.0,1.0
15,1997-01-23T00:00:00.000Z,35.13,36.5,34.5,36.0,865500,8.7825,9.125,8.625,9.0,3462000,0.0,1.0
16,1997-01-24T00:00:00.000Z,32.38,34.63,31.0,33.0,2640300,8.095,8.6575,7.75,8.25,10561200,0.0,1.0
17,1997-01-27T00:00:00.000Z,31.63,32.5,31.0,32.13,1326400,7.9075,8.125,7.75,8.0325,5305600,0.0,1.0
18,1997-01-28T00:00:00.000Z,31.88,33.25,31.38,32.25,2409300,7.97,8.3125,7.845,8.0625,9637200,0.0,1.0
19,1997-01-29T00:00:00.000Z,31.75,32.38,31.63,32.0,1534500,7.9375,8.095,7.9075,8.0,6138000,0.0,1.0
20,1997-01-30T00:00:00.000Z,31.75,32.0,31.5,31.88,336300,7.9375,8.0,7.875,7.97,1345200,0.0,1.0
21,1997-01-31T00:00:00.000Z,31.88,32.0,31.5,31.88,629100,7.97,8.0,7.875,7.97,2516400,0.0,1.0
22,1997-02-03T00:00:00.000Z,33.25,33.63,31.75,31.75,815900,8.3125,8.4075,7.9375,7.9375,3263600,0.0,1.0
23,1997-02-04T00:00:00.000Z,31.88,33.38,31.38,32.63,620100,7.97,8.345,7.845,8.1575,2480400,0.0,1.0
