,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,50.0,50.38,48.75,49.75,187000,9.3547641905,9.4258603983,9.1208950857,9.3079903695,785399,0.0,1.0
1,1997-01-03T00:00:00.000Z,49.88,50.5,49.38,50.0,82400,9.3323127564,9.4483118324,9.2387651145,9.3547641905,346079,0.0,1.0
2,1997-01-06T00:00:00.000Z,49.0,49.88,49.0,49.25,189200,9.1676689067,9.3323127564,9.1676689067,9.2144427276,794639,0.0,1.0
3,1997-01-07T00:00:00.000Z,49.5,49.5,48.88,49.13,38200,9.2612165486,9.2612165486,9.1452174726,9.1919912936,160439,0.0,1.0
4,1997-01-08T00:00:00.000Z,48.5,49.5,48.38,49.25,51000,9.0741212648,9.2612165486,9.0516698307,9.2144427276,214199,0.0,1.0
5,1997-01-09T00:00:00.000Z,48.88,48.88,48.5,48.63,27000,9.1452174726,9.1452174726,9.0741212648,9.0984436517,113399,0.0,1.0
6,1997-01-10T00:00:00.000Z,48.75,49.0,48.13,48.63,26800,9.1208950857,9.1676689067,9.0048960098,9.0984436517,112559,0.0,1.0
7,1997-01-13T00:00:00.000Z,48.75,49.0,48.38,48.75,24900,9.1208950857,9.1676689067,9.0516698307,9.1208950857,104579,0.0,1.0
8,1997-01-14T00:00:00.000Z,49.13,49.5,48.5,48.75,126000,9.1919912936,9.2612165486,9.0741212648,9.1208950857,529199,0.0,1.0
9,1997-01-15T00:00:00.000Z,48.13,49.25,48.13,49.0,50900,9.0048960098,9.2144427276,9.0048960098,9.1676689067,213779,0.0,1.0
10,1997-01-16T00:00:00.000Z,47.88,48.13,47.63,48.0,191600,8.9581221888,9.0048960098,8.9113483678,8.9805736229,804719,0.0,1.0
11,1997-01-17T00:00:00.000Z,49.0,49.25,48.25,49.0,194000,9.1676689067,9.2144427276,9.0273474438,9.1676689067,814799,0.0,1.0
12,1997-01-20T00:00:00.000Z,49.13,49.13,48.88,49.13,74800,9.1919912936,9.1919912936,9.1452174726,9.1919912936,314159,0.0,1.0
13,1997-01-21T00:00:00.000Z,50.38,50.5,49.0,49.13,112300,9.4258603983,9.4483118324,9.1676689067,9.1919912936,471659,0.0,1.0
14,1997-01-22T00:00:00.000Z,52.25,52.25,50.25,50.75,119200,9.775728579,9.775728579,9.4015380114,9.4950856533,500639,0.0,1.0
15,1997-01-23T00:00:00.000Z,50.88,52.25,50.75,52.0,38300,9.5194080402,9.775728579,9.4950856533,9.7289547581,160859,0.0,1.0
16,1997-01-24T00:00:00.000Z,51.25,51.75,51.0,51.13,53800,9.5886332952,9.6821809371,9.5418594743,9.5661818612,225959,0.0,1.0
17,1997-01-27T00:00:00.000Z,50.38,51.25,50.25,51.13,149500,9.4258603983,9.5886332952,9.4015380114,9.5661818612,627899,0.0,1.0
18,1997-01-28T00:00:00.000Z,49.13,50.5,49.13,49.75,304600,9.1919912936,9.4483118324,9.1919912936,9.3079903695,1279319,0.0,1.0
19,1997-01-29T00:00:00.000Z,49.5,49.75,49.13,49.5,144400,9.2612165486,9.3079903695,9.1919912936,9.2612165486,606479,0.0,1.0
20,1997-01-30T00:00:00.000Z,48.38,49.13,48.0,49.13,67600,9.0516698307,9.1919912936,8.9805736229,9.1919912936,283919,0.0,1.0
21,1997-01-31T00:00:00.000Z,47.88,48.5,47.25,48.25,207300,8.9581221888,9.0741212648,8.84025216,9.0273474438,870659,0.0,1.0
22,1997-02-03T00:00:00.000Z,47.13,48.0,46.88,47.25,299200,8.8178007259,8.9805736229,8.771026905,8.84025216,1256639,0.0,1.0
23,1997-02-04T00:00:00.000Z,47.0,47.25,46.88,46.88,122600,8.793478339,8.84025216,8.771026905,8.771026905,514919,0.0,1.0
24,1997-02-05T00:00:00.000Z,47.5,47.88,47.0,47.25,141800,8.887025981,8.9581221888,8.793478339,8.84025216,595559,0.0,1.0
25,1997-02-06T00:00:00.000Z,48.0,48.13,47.5,47.75,209000,8.9805736229,9.0048960098,8.887025981,8.9337998019,877799,0.0,1.0
26,1997-02-07T00:00:00.000Z,47.63,48.5,46.75,48.25,221000,8.9113483678,9.0741212648,8.7467045181,9.0273474438,928199,0.0,1.0
27,1997-02-10T00:00:00.000Z,47.38,47.75,47.0,47.63,181300,8.8645745469,8.9337998019,8.793478339,8.9113483678,761459,0.0,1.0
28,1997-02-11T00:00:00.000Z,47.13,47.63,47.13,47.5,3121100,8.8178007259,8.9113483678,8.8178007259,8.887025981,13108619,0.0,1.0
29,1997-02-12T00:00:00.000Z,46.88,47.25,46.75,47.13,652700,8.771026905,8.84025216,8.7467045181,8.8178007259,2741339,0.0,1.0
30,1997-02-13T00:00:00.000Z,46.88,47.5,46.88,46.88,478200,8.771026905,8.887025981,8.771026905,8.771026905,2008439,0.0,1.0
31,1997-02-14T00:00:00.000Z,47.0,47.25,46.88,47.13,350900,8.793478339,8.84025216,8.771026905,8.8178007259,1473779,0.0,1.0
32,1997-02-18T00:00:00.000Z,47.25,47.25,47.13,47.13,117000,8.84025216,8.84025216,8.8178007259,8.8178007259,491399,0.0,1.0
33,1997-02-19T00:00:00.000Z,47.75,48.38,47.25,47.63,331600,8.9337998019,9.0516698307,8.84025216,8.9113483678,1392719,0.0,1.0
34,1997-02-20T00:00:00.000Z,47.5,48.13,47.38,47.88,152700,8.887025981,9.0048960098,8.8645745469,8.9581221888,641339,0.0,1.0
35,1997-02-21T00:00:00.000Z,47.5,47.63,47.0,47.38,131200,8.887025981,8.9113483678,8.793478339,8.8645745469,551039,0.0,1.0
36,1997-02-24T00:00:00.000Z,48.25,48.38,47.13,47.38,147000,9.0273474438,9.0516698307,8.8178007259,8.8645745469,617399,0.0,1.0
37,1997-02-25T00:00:00.000Z,48.0,48.5,48.0,48.0,180200,8.9805736229,9.0741212648,8.9805736229,8.9805736229,756839,0.0,1.0
38,1997-02-26T00:00:00.000Z,47.5,48.5,47.13,48.38,182400,8.887025981,9.0741212648,8.8178007259,9.0516698307,766079,0.0,1.0
39,1997-02-27T00:00:00.000Z,46.13,47.63,44.88,47.5,521800,8.6307054421,8.9113483678,8.3968363374,8.887025981,2191559,0.0,1.0
40,1997-02-28T00:00:00.000Z,46.5,46.5,45.63,46.13,189700,8.6999306971,8.6999306971,8.5371578002,8.6307054421,796739,0.0,1.0
41,1997-03-03T00:00:00.000Z,47.0,47.0,46.13,46.38,86600,8.793478339,8.793478339,8.6307054421,8.6774792631,363719,0.0,1.0
42,1997-03-04T00:00:00.000Z,46.25,47.5,46.13,47.0,157300,8.6531568762,8.887025981,8.6307054421,8.793478339,660659,0.0,1.0
43,1997-03-05T00:00:00.000Z,47.5,47.5,46.5,46.88,225800,8.887025981,8.887025981,8.6999306971,8.771026905,948359,0.0,1.0
44,1997-03-06T00:00:00.000Z,48.13,48.13,47.63,48.0,158400,9.0048960098,9.0048960098,8.9113483678,8.9805736229,665279,0.0,1.0
45,1997-03-07T00:00:00.000Z,48.75,48.88,48.13,48.38,202200,9.1208950857,9.1452174726,9.0048960098,9.0516698307,849239,0.0,1.0
46,1997-03-10T00:00:00.000Z,49.63,50.0,48.88,49.63,140400,9.2855389355,9.3547641905,9.1452174726,9.2855389355,589679,0.0,1.0
47,1997-03-11T00:00:00.000Z,49.5,50.25,49.5,49.5,155100,9.2612165486,9.4015380114,9.2612165486,9.2612165486,651419,0.0,1.0
48,1997-03-12T00:00:00.000Z,49.13,49.63,49.13,49.5,124100,9.2078943927,9.3016038817,9.2078943927,9.2772394146,521219,0.085,1.0
49,1997-03-13T00:00:00.000Z,49.63,50.38,49.13,49.13,264200,9.3016038817,9.4421681153,9.2078943927,9.2078943927,1109639,0.0,1.0
50,1997-03-14T00:00:00.000Z,50.13,50.13,49.25,49.75,170700,9.3953133708,9.3953133708,9.2303846701,9.3240941591,716939,0.0,1.0
51,1997-03-17T00:00:00.000Z,50.25,50.25,49.63,49.88,121400,9.4178036481,9.4178036481,9.3016038817,9.3484586262,509879,0.0,1.0
52,1997-03-18T00:00:00.000Z,50.0,50.25,49.88,50.0,99800,9.3709489036,9.4178036481,9.3484586262,9.3709489036,419159,0.0,1.0
53,1997-03-19T00:00:00.000Z,50.75,50.88,49.75,50.0,184800,9.5115131372,9.5358776043,9.3240941591,9.3709489036,776159,0.0,1.0
54,1997-03-20T00:00:00.000Z,50.0,50.88,49.75,50.25,137000,9.3709489036,9.5358776043,9.3240941591,9.4178036481,575399,0.0,1.0
55,1997-03-21T00:00:00.000Z,49.63,50.0,49.5,49.75,171100,9.3016038817,9.3709489036,9.2772394146,9.3240941591,718619,0.0,1.0
56,1997-03-24T00:00:00.000Z,48.75,49.63,48.63,49.5,72400,9.136675181,9.3016038817,9.1141849036,9.2772394146,304079,0.0,1.0
57,1997-03-25T00:00:00.000Z,50.0,50.13,48.75,48.75,146700,9.3709489036,9.3953133708,9.136675181,9.136675181,616139,0.0,1.0
58,1997-03-26T00:00:00.000Z,48.88,50.13,48.88,50.0,164600,9.1610396482,9.3953133708,9.1610396482,9.3709489036,691319,0.0,1.0
59,1997-03-27T00:00:00.000Z,49.13,49.13,48.75,49.0,173400,9.2078943927,9.2078943927,9.136675181,9.1835299255,728279,0.0,1.0
60,1997-03-31T00:00:00.000Z,48.38,49.0,48.13,48.88,171600,9.0673301591,9.1835299255,9.0204754146,9.1610396482,720719,0.0,1.0
61,1997-04-01T00:00:00.000Z,48.5,48.75,48.38,48.38,81900,9.0898204365,9.136675181,9.0673301591,9.0673301591,343979,0.0,1.0
62,1997-04-02T00:00:00.000Z,48.75,48.75,48.5,48.63,83700,9.136675181,9.136675181,9.0898204365,9.1141849036,351539,0.0,1.0
