,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,23.0,23.63,22.38,22.75,160100,2.3423728685,2.4065335167,2.2792306434,2.3169122939,1280800,0.0,1.0
1,1997-01-03T00:00:00.000Z,22.88,23.63,22.88,23.63,37300,2.3301517927,2.4065335167,2.3301517927,2.4065335167,298400,0.0,1.0
2,1997-01-06T00:00:00.000Z,22.5,23.38,22.19,23.25,271700,2.2914517192,2.381072942,2.2598806066,2.3678334432,2173600,0.0,1.0
3,1997-01-07T00:00:00.000Z,21.75,22.38,20.94,21.75,66600,2.2150699952,2.2792306434,2.1325777334,2.2150699952,532800,0.0,1.0
4,1997-01-08T00:00:00.000Z,21.25,21.88,20.88,21.38,41600,2.1641488459,2.2283094941,2.1264671954,2.1773883448,332800,0.0,1.0
5,1997-01-09T00:00:00.000Z,21.25,21.5,21.0,21.38,259300,2.1641488459,2.1896094206,2.1386882713,2.1773883448,2074400,0.0,1.0
6,1997-01-10T00:00:00.000Z,21.25,21.5,20.75,21.25,40200,2.1641488459,2.1896094206,2.1132276966,2.1641488459,321600,0.0,1.0
7,1997-01-13T00:00:00.000Z,21.19,21.5,21.0,21.0,117500,2.158038308,2.1896094206,2.1386882713,2.1386882713,940000,0.0,1.0
8,1997-01-14T00:00:00.000Z,21.25,22.0,20.88,20.88,51800,2.1641488459,2.2405305699,2.1264671954,2.1264671954,414400,0.0,1.0
9,1997-01-15T00:00:00.000Z,21.63,22.0,21.5,22.0,29300,2.2028489194,2.2405305699,2.1896094206,2.2405305699,234400,0.0,1.0
10,1997-01-16T00:00:00.000Z,21.75,22.13,21.5,21.75,92400,2.2150699952,2.2537700687,2.1896094206,2.2150699952,739200,0.0,1.0
11,1997-01-17T00:00:00.000Z,21.5,22.25,21.0,21.75,73600,2.1896094206,2.2659911446,2.1386882713,2.2150699952,588800,0.0,1.0
12,1997-01-20T00:00:00.000Z,21.0,21.25,20.63,21.0,38200,2.1386882713,2.1641488459,2.1010066208,2.1386882713,305600,0.0,1.0
13,1997-01-21T00:00:00.000Z,21.25,21.75,20.63,20.63,55700,2.1641488459,2.2150699952,2.1010066208,2.1010066208,445600,0.0,1.0
14,1997-01-22T00:00:00.000Z,22.13,22.25,21.5,22.13,44600,2.2537700687,2.2659911446,2.1896094206,2.2537700687,356800,0.0,1.0
15,1997-01-23T00:00:00.000Z,21.5,22.25,21.5,22.13,200600,2.1896094206,2.2659911446,2.1896094206,2.2537700687,1604800,0.0,1.0
