,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,45.5,45.75,44.5,45.38,233200,1.9822091664,1.9931004256,1.9386441298,1.976981362,3731200,0.0,1.0
1,1997-01-03T00:00:00.000Z,46.25,46.25,45.25,45.38,188400,2.0148829439,2.0148829439,1.9713179073,1.976981362,3014400,0.0,1.0
2,1997-01-06T00:00:00.000Z,47.25,48.0,46.38,46.63,308400,2.0584479805,2.091121758,2.0205463986,2.0314376578,4934400,0.0,1.0
3,1997-01-07T00:00:00.000Z,49.5,49.88,46.75,47.0,387700,2.1564693129,2.1730240268,2.0366654622,2.0475567214,6203200,0.0,1.0
4,1997-01-08T00:00:00.000Z,49.13,49.5,48.38,49.38,309000,2.1403502494,2.1564693129,2.1076764719,2.1512415085,4944000,0.0,1.0
5,1997-01-09T00:00:00.000Z,49.13,49.5,48.63,49.13,151400,2.1403502494,2.1564693129,2.1185677311,2.1403502494,2422400,0.0,1.0
6,1997-01-10T00:00:00.000Z,48.88,49.25,48.0,48.5,164500,2.1294589902,2.1455780538,2.091121758,2.1129042763,2632000,0.0,1.0
7,1997-01-13T00:00:00.000Z,47.38,49.13,47.13,48.63,184000,2.0641114353,2.1403502494,2.0532201761,2.1185677311,2944000,0.0,1.0
8,1997-01-14T00:00:00.000Z,48.63,48.75,47.25,47.38,242300,2.1185677311,2.1237955354,2.0584479805,2.0641114353,3876800,0.0,1.0
9,1997-01-15T00:00:00.000Z,48.0,48.63,47.63,48.0,50000,2.091121758,2.1185677311,2.0750026944,2.091121758,800000,0.0,1.0
10,1997-01-16T00:00:00.000Z,47.88,48.5,47.5,48.0,54100,2.0858939536,2.1129042763,2.0693392397,2.091121758,865600,0.0,1.0
11,1997-01-17T00:00:00.000Z,47.0,47.63,47.0,47.5,106700,2.0475567214,2.0750026944,2.0475567214,2.0693392397,1707200,0.0,1.0
12,1997-01-20T00:00:00.000Z,47.13,47.63,47.0,47.0,111500,2.0532201761,2.0750026944,2.0475567214,2.0475567214,1784000,0.0,1.0
13,1997-01-21T00:00:00.000Z,46.75,47.25,46.38,47.25,68300,2.0366654622,2.0584479805,2.0205463986,2.0584479805,1092800,0.0,1.0
14,1997-01-22T00:00:00.000Z,46.0,46.88,45.38,46.88,519800,2.0039916847,2.042328917,1.976981362,2.042328917,8316800,0.0,1.0
15,1997-01-23T00:00:00.000Z,45.5,46.0,45.38,45.38,158400,1.9822091664,2.0039916847,1.976981362,1.976981362,2534400,0.0,1.0
16,1997-01-24T00:00:00.000Z,38.63,43.63,38.13,42.0,1912500,1.6829173648,1.9007425479,1.6611348465,1.8297315382,30600000,0.0,1.0
17,1997-01-27T00:00:00.000Z,37.38,39.75,37.0,38.63,692000,1.628461069,1.7317102058,1.6119063551,1.6829173648,11072000,0.0,1.0
18,1997-01-28T00:00:00.000Z,37.25,38.63,37.13,38.0,346600,1.6227976143,1.6829173648,1.6175698099,1.6554713917,5545600,0.0,1.0
19,1997-01-29T00:00:00.000Z,36.25,37.75,36.13,37.13,462300,1.5792325776,1.6445801326,1.5740047732,1.6175698099,7396800,0.0,1.0
20,1997-01-30T00:00:00.000Z,36.13,37.0,34.75,37.0,446800,1.5740047732,1.6119063551,1.5138850227,1.6119063551,7148800,0.0,1.0
21,1997-01-31T00:00:00.000Z,37.75,39.5,36.0,36.5,644000,1.6445801326,1.7208189467,1.5683413185,1.5901238368,10304000,0.0,1.0
22,1997-02-03T00:00:00.000Z,37.75,38.63,37.5,37.88,217700,1.6445801326,1.6829173648,1.6336888734,1.6502435873,3483200,0.0,1.0
23,1997-02-04T00:00:00.000Z,39.25,39.75,37.75,37.75,166000,1.7099276875,1.7317102058,1.6445801326,1.6445801326,2656000,0.0,1.0
24,1997-02-05T00:00:00.000Z,38.0,40.0,37.75,39.75,360600,1.6554713917,1.742601465,1.6445801326,1.7317102058,5769600,0.0,1.0
25,1997-02-06T00:00:00.000Z,37.63,38.25,37.25,38.0,163200,1.6393523282,1.6663626509,1.6227976143,1.6554713917,2611200,0.0,1.0
26,1997-02-07T00:00:00.000Z,37.13,37.75,37.0,37.5,340500,1.6175698099,1.6445801326,1.6119063551,1.6336888734,5448000,0.0,1.0
27,1997-02-10T00:00:00.000Z,36.13,37.38,36.13,37.13,271500,1.5740047732,1.628461069,1.5740047732,1.6175698099,4344000,0.0,1.0
28,1997-02-11T00:00:00.000Z,35.5,36.75,34.63,36.5,364500,1.5465588002,1.601015096,1.5086572183,1.5901238368,5832000,0.0,1.0
29,1997-02-12T00:00:00.000Z,36.38,36.63,35.5,35.5,513300,1.5848960324,1.5957872916,1.5465588002,1.5465588002,8212800,0.0,1.0
30,1997-02-13T00:00:00.000Z,37.88,38.5,36.13,36.5,256800,1.6502435873,1.67725391,1.5740047732,1.5901238368,4108800,0.0,1.0
31,1997-02-14T00:00:00.000Z,38.5,39.0,37.5,38.38,125000,1.67725391,1.6990364284,1.6336888734,1.6720261057,2000000,0.0,1.0
32,1997-02-18T00:00:00.000Z,38.0,38.5,37.75,38.5,90100,1.6554713917,1.67725391,1.6445801326,1.67725391,1441600,0.0,1.0
33,1997-02-19T00:00:00.000Z,38.25,39.0,37.63,38.0,165500,1.6663626509,1.6990364284,1.6393523282,1.6554713917,2648000,0.0,1.0
34,1997-02-20T00:00:00.000Z,37.13,38.13,37.13,38.0,171500,1.6175698099,1.6611348465,1.6175698099,1.6554713917,2744000,0.0,1.0
35,1997-02-21T00:00:00.000Z,36.75,38.0,36.75,37.38,138200,1.601015096,1.6554713917,1.601015096,1.628461069,2211200,0.0,1.0
36,1997-02-24T00:00:00.000Z,36.38,37.0,36.25,37.0,187200,1.5848960324,1.6119063551,1.5792325776,1.6119063551,2995200,0.0,1.0
37,1997-02-25T00:00:00.000Z,36.5,37.0,36.0,36.38,99600,1.5901238368,1.6119063551,1.5683413185,1.5848960324,1593600,0.0,1.0
38,1997-02-26T00:00:00.000Z,36.88,38.0,36.5,36.63,291300,1.6075498514,1.6563691528,1.5909861599,1.596652686,4660800,0.02,1.0
39,1997-02-27T00:00:00.000Z,37.0,37.13,36.25,36.63,85200,1.6127804909,1.6184470169,1.5800889944,1.596652686,1363200,0.0,1.0
40,1997-02-28T00:00:00.000Z,36.25,37.13,36.0,36.25,326000,1.5800889944,1.6184470169,1.569191829,1.5800889944,5216000,0.0,1.0
41,1997-03-03T00:00:00.000Z,36.13,36.75,35.25,36.0,205900,1.574858355,1.6018833254,1.5365003325,1.569191829,3294400,0.0,1.0
42,1997-03-04T00:00:00.000Z,36.5,36.5,36.0,36.38,64400,1.5909861599,1.5909861599,1.569191829,1.5857555205,1030400,0.0,1.0
43,1997-03-05T00:00:00.000Z,37.0,37.0,36.0,36.5,117900,1.6127804909,1.6127804909,1.569191829,1.5909861599,1886400,0.0,1.0
44,1997-03-06T00:00:00.000Z,37.88,38.5,36.63,37.63,209400,1.6511385134,1.6781634837,1.596652686,1.6402413479,3350400,0.0,1.0
45,1997-03-07T00:00:00.000Z,38.13,38.25,37.25,38.25,148900,1.6620356788,1.6672663183,1.6236776564,1.6672663183,2382400,0.0,1.0
46,1997-03-10T00:00:00.000Z,38.13,38.13,37.5,38.0,182500,1.6620356788,1.6620356788,1.6345748218,1.6563691528,2920000,0.0,1.0
47,1997-03-11T00:00:00.000Z,37.88,38.25,37.63,38.13,152200,1.6511385134,1.6672663183,1.6402413479,1.6620356788,2435200,0.0,1.0
48,1997-03-12T00:00:00.000Z,37.38,38.25,37.38,38.0,86500,1.6293441824,1.6672663183,1.6293441824,1.6563691528,1384000,0.0,1.0
49,1997-03-13T00:00:00.000Z,35.25,37.5,35.25,37.13,152800,1.5365003325,1.6345748218,1.5365003325,1.6184470169,2444800,0.0,1.0
50,1997-03-14T00:00:00.000Z,35.38,35.5,35.0,35.5,167200,1.5421668586,1.547397498,1.525603167,1.547397498,2675200,0.0,1.0
51,1997-03-17T00:00:00.000Z,34.88,35.5,33.75,35.38,222200,1.5203725276,1.547397498,1.4711173397,1.5421668586,3555200,0.0,1.0
52,1997-03-18T00:00:00.000Z,33.13,35.0,31.75,35.0,1007100,1.4440923693,1.525603167,1.3839400158,1.525603167,16113600,0.0,1.0
53,1997-03-19T00:00:00.000Z,35.38,35.5,33.0,33.75,512100,1.5421668586,1.547397498,1.4384258432,1.4711173397,8193600,0.0,1.0
54,1997-03-20T00:00:00.000Z,34.75,35.5,34.0,35.38,491300,1.5147060016,1.547397498,1.4820145051,1.5421668586,7860800,0.0,1.0
55,1997-03-21T00:00:00.000Z,35.5,35.75,35.13,35.75,288100,1.547397498,1.5582946635,1.5312696931,1.5582946635,4609600,0.0,1.0
56,1997-03-24T00:00:00.000Z,35.88,36.5,35.25,35.5,205500,1.5639611895,1.5909861599,1.5365003325,1.547397498,3288000,0.0,1.0
57,1997-03-25T00:00:00.000Z,36.0,36.5,35.88,35.88,65200,1.569191829,1.5909861599,1.5639611895,1.5639611895,1043200,0.0,1.0
58,1997-03-26T00:00:00.000Z,36.25,36.75,35.88,35.88,785200,1.5800889944,1.6018833254,1.5639611895,1.5639611895,12563200,0.0,1.0
59,1997-03-27T00:00:00.000Z,35.75,36.75,35.75,36.0,215800,1.5582946635,1.6018833254,1.5582946635,1.569191829,3452800,0.0,1.0
60,1997-03-31T00:00:00.000Z,35.0,36.13,35.0,35.75,557100,1.525603167,1.574858355,1.525603167,1.5582946635,8913600,0.0,1.0
61,1997-04-01T00:00:00.000Z,35.25,35.5,35.0,35.13,407500,1.5365003325,1.547397498,1.525603167,1.5312696931,6520000,0.0,1.0
62,1997-04-02T00:00:00.000Z,35.13,35.75,34.75,35.38,216200,1.5312696931,1.5582946635,1.5147060016,1.5421668586,3459200,0.0,1.0
63,1997-04-03T00:00:00.000Z,34.75,35.0,34.38,34.75,154500,1.5147060016,1.525603167,1.4985781967,1.5147060016,2472000,0.0,1.0
64,1997-04-04T00:00:00.000Z,34.38,34.88,34.25,34.75,116700,1.4985781967,1.5203725276,1.4929116706,1.5147060016,1867200,0.0,1.0
65,1997-04-07T00:00:00.000Z,34.38,34.88,34.0,34.75,75600,1.4985781967,1.5203725276,1.4820145051,1.5147060016,1209600,0.0,1.0
66,1997-04-08T00:00:00.000Z,33.75,34.38,32.88,34.0,195700,1.4711173397,1.4985781967,1.4331952038,1.4820145051,3131200,0.0,1.0
67,1997-04-09T00:00:00.000Z,33.25,33.88,33.0,33.5,188700,1.4493230087,1.4767838657,1.4384258432,1.4602201742,3019200,0.0,1.0
68,1997-04-10T00:00:00.000Z,32.38,33.38,32.0,33.25,230500,1.4114008728,1.4549895347,1.3948371813,1.4493230087,3688000,0.0,1.0
69,1997-04-11T00:00:00.000Z,35.0,35.88,30.75,32.25,987200,1.525603167,1.5639611895,1.3403513539,1.4057343468,15795200,0.0,1.0
70,1997-04-14T00:00:00.000Z,39.5,39.5,34.88,34.88,670100,1.7217521457,1.7217521457,1.5203725276,1.5203725276,10721600,0.0,1.0
71,1997-04-15T00:00:00.000Z,37.63,40.0,37.0,39.25,377300,1.6402413479,1.7435464766,1.6127804909,1.7108549802,6036800,0.0,1.0
72,1997-04-16T00:00:00.000Z,38.75,39.0,36.38,37.5,281700,1.6890606492,1.6999578147,1.5857555205,1.6345748218,4507200,0.0,1.0
73,1997-04-17T00:00:00.000Z,39.38,41.13,38.5,40.0,390100,1.7165215062,1.7928016646,1.6781634837,1.7435464766,6241600,0.0,1.0
74,1997-04-18T00:00:00.000Z,38.5,39.5,38.5,38.75,93700,1.6781634837,1.7217521457,1.6781634837,1.6890606492,1499200,0.0,1.0
75,1997-04-21T00:00:00.000Z,38.25,39.0,37.88,38.13,164100,1.6672663183,1.6999578147,1.6511385134,1.6620356788,2625600,0.0,1.0
