,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2000-12-01T00:00:00.000Z,27.0,28.12,21.0,21.0,11600,10.2539239587,10.6792719155,7.9752741901,7.9752741901,23200,0.0,1.0
1,2000-12-04T00:00:00.000Z,30.0,30.0,27.25,27.75,15500,11.393248843,11.393248843,10.3488676991,10.5387551798,31000,0.0,1.0
2,2000-12-05T00:00:00.000Z,30.25,31.0,30.0,31.0,6400,11.4881925834,11.7730238044,11.393248843,11.7730238044,12800,0.0,1.0
3,2000-12-06T00:00:00.000Z,30.0,30.38,30.0,30.0,5200,11.393248843,11.5375633284,11.393248843,11.393248843,10400,0.0,1.0
4,2000-12-07T00:00:00.000Z,29.62,30.0,29.62,30.0,1300,11.2489343577,11.393248843,11.2489343577,11.393248843,2600,0.0,1.0
5,2000-12-08T00:00:00.000Z,30.0,30.0,29.88,29.88,2100,11.393248843,11.393248843,11.3476758476,11.3476758476,4200,0.0,1.0
6,2000-12-11T00:00:00.000Z,30.38,30.38,29.62,29.88,16300,11.5375633284,11.5375633284,11.2489343577,11.3476758476,32600,0.0,1.0
7,2000-12-12T00:00:00.000Z,30.25,30.25,29.75,29.75,1800,11.4881925834,11.4881925834,11.2983051027,11.2983051027,3600,0.0,1.0
8,2000-12-13T00:00:00.000Z,30.75,30.75,30.5,30.5,1200,11.6780800641,11.6780800641,11.5831363237,11.5831363237,2400,0.0,1.0
9,2000-12-14T00:00:00.000Z,30.5,30.62,30.5,30.62,1400,11.5831363237,11.6287093191,11.5831363237,11.6287093191,2800,0.0,1.0
10,2000-12-15T00:00:00.000Z,29.5,30.25,29.5,30.12,41500,11.2033613623,11.4881925834,11.2033613623,11.4388218384,83000,0.0,1.0
11,2000-12-18T00:00:00.000Z,30.25,30.25,29.5,29.5,11600,11.4881925834,11.4881925834,11.2033613623,11.2033613623,23200,0.0,1.0
12,2000-12-19T00:00:00.000Z,30.25,30.5,30.0,30.0,1800,11.4881925834,11.5831363237,11.393248843,11.393248843,3600,0.0,1.0
13,2000-12-20T00:00:00.000Z,29.5,30.0,29.25,30.0,21200,11.2033613623,11.393248843,11.1084176219,11.393248843,42400,0.0,1.0
14,2000-12-21T00:00:00.000Z,28.88,29.38,28.75,29.38,121700,10.9679008862,11.1577883669,10.9185301412,11.1577883669,243400,0.0,1.0
15,2000-12-22T00:00:00.000Z,32.69,33.19,29.5,29.5,292600,12.4148434893,12.60473097,11.2033613623,11.2033613623,585200,0.0,1.0
16,2000-12-26T00:00:00.000Z,32.31,32.88,32.12,32.56,139300,12.2705290039,12.4870007319,12.1983717613,12.3654727443,278600,0.0,1.0
17,2000-12-27T00:00:00.000Z,33.06,33.06,32.44,32.44,210500,12.555360225,12.555360225,12.3198997489,12.3198997489,421000,0.0,1.0
18,2000-12-28T00:00:00.000Z,33.19,33.25,32.63,32.69,158100,12.60473097,12.6275174677,12.3920569916,12.4148434893,316200,0.0,1.0
19,2000-12-29T00:00:00.000Z,33.06,33.31,31.75,33.06,269900,12.555360225,12.6503039654,12.0578550255,12.555360225,539800,0.0,1.0
20,2001-01-02T00:00:00.000Z,34.25,34.63,33.0,33.0,285200,13.0072924291,13.1516069145,12.5325737273,12.5325737273,570400,0.0,1.0
21,2001-01-03T00:00:00.000Z,34.75,35.13,34.31,34.88,412100,13.1971799098,13.3414943952,13.0300789268,13.2465506548,824200,0.0,1.0
22,2001-01-04T00:00:00.000Z,34.63,34.75,34.25,34.63,262600,13.1516069145,13.1971799098,13.0072924291,13.1516069145,525200,0.0,1.0
23,2001-01-05T00:00:00.000Z,33.63,34.69,33.5,34.44,678800,12.771831953,13.1743934121,12.722461208,13.0794496718,1357600,0.0,1.0
24,2001-01-08T00:00:00.000Z,33.69,34.06,33.5,34.0,921800,12.7946184507,12.9351351864,12.722461208,12.9123486888,1843600,0.0,1.0
25,2001-01-09T00:00:00.000Z,33.56,33.63,33.31,33.44,211100,12.7452477057,12.771831953,12.6503039654,12.6996747103,422200,0.0,1.0
26,2001-01-10T00:00:00.000Z,33.56,33.63,33.25,33.31,207100,12.7452477057,12.771831953,12.6275174677,12.6503039654,414200,0.0,1.0
27,2001-01-11T00:00:00.000Z,33.44,33.69,33.19,33.56,261700,12.6996747103,12.7946184507,12.60473097,12.7452477057,523400,0.0,1.0
28,2001-01-12T00:00:00.000Z,33.25,33.44,33.25,33.31,401300,12.6275174677,12.6996747103,12.6275174677,12.6503039654,802600,0.0,1.0
29,2001-01-16T00:00:00.000Z,33.0,33.13,32.75,32.75,270500,12.5325737273,12.5819444723,12.437629987,12.437629987,541000,0.0,1.0
30,2001-01-17T00:00:00.000Z,33.44,33.75,32.88,33.0,205300,12.6996747103,12.8174049484,12.4870007319,12.5325737273,410600,0.0,1.0
31,2001-01-18T00:00:00.000Z,33.44,33.56,33.06,33.25,399100,12.6996747103,12.7452477057,12.555360225,12.6275174677,798200,0.0,1.0
32,2001-01-19T00:00:00.000Z,32.94,33.38,32.81,33.19,255600,12.5097872296,12.6768882127,12.4604164846,12.60473097,511200,0.0,1.0
33,2001-01-22T00:00:00.000Z,32.44,32.88,32.19,32.44,184200,12.3198997489,12.4870007319,12.2249560086,12.3198997489,368400,0.0,1.0
34,2001-01-23T00:00:00.000Z,32.63,32.63,32.0,32.25,291500,12.3920569916,12.3920569916,12.1527987659,12.2477425062,583000,0.0,1.0
35,2001-01-24T00:00:00.000Z,32.56,32.69,32.0,32.5,239900,12.3654727443,12.4148434893,12.1527987659,12.3426862466,479800,0.0,1.0
36,2001-01-25T00:00:00.000Z,33.19,33.25,32.5,32.5,204100,12.60473097,12.6275174677,12.3426862466,12.3426862466,408200,0.0,1.0
37,2001-01-26T00:00:00.000Z,33.19,33.44,33.06,33.19,322700,12.60473097,12.6996747103,12.555360225,12.60473097,645400,0.0,1.0
38,2001-01-29T00:00:00.000Z,32.82,33.18,32.75,33.02,386200,12.4642142343,12.6009332204,12.437629987,12.5401692265,772400,0.0,1.0
39,2001-01-30T00:00:00.000Z,31.82,32.57,31.7,32.57,188600,12.0844392728,12.3692704939,12.0388662775,12.3692704939,377200,0.0,1.0
40,2001-01-31T00:00:00.000Z,32.44,32.54,31.2,31.2,316600,12.3198997489,12.3578772451,11.8489787967,11.8489787967,633200,0.0,1.0
41,2001-02-01T00:00:00.000Z,34.51,36.0,31.6,31.6,716700,13.1060339191,13.6718986116,12.0008887813,12.0008887813,1433400,0.0,1.0
42,2001-02-02T00:00:00.000Z,34.12,35.25,34.1,34.4,519800,12.9579216841,13.3870673905,12.9503261849,13.0642586733,1039600,0.0,1.0
43,2001-02-05T00:00:00.000Z,33.7,35.35,33.7,33.92,332500,12.7984162003,13.4250448867,12.7984162003,12.8819666918,665000,0.0,1.0
44,2001-02-06T00:00:00.000Z,35.01,35.19,33.19,33.19,363300,13.2959213998,13.3642808929,12.60473097,12.60473097,726600,0.0,1.0
45,2001-02-07T00:00:00.000Z,36.22,36.45,35.01,35.01,414900,13.7554491031,13.8427973443,13.2959213998,13.2959213998,829800,0.0,1.0
46,2001-02-08T00:00:00.000Z,38.01,38.01,35.89,36.0,599200,14.4352462841,14.4352462841,13.6301233659,13.6718986116,1198400,0.0,1.0
47,2001-02-09T00:00:00.000Z,38.52,38.52,37.3,37.63,377500,14.6289315144,14.6289315144,14.1656060615,14.2909317988,755000,0.0,1.0
48,2001-02-12T00:00:00.000Z,39.4,39.47,38.26,38.52,390800,14.9631334805,14.9897177278,14.5301900245,14.6289315144,781600,0.0,1.0
49,2001-02-13T00:00:00.000Z,39.19,39.9,38.46,38.6,484400,14.8833807386,15.1530209612,14.6061450167,14.6593135113,968800,0.0,1.0
50,2001-02-14T00:00:00.000Z,38.7,39.1,38.45,38.7,279500,14.6972910075,14.8492009921,14.6023472671,14.6972910075,559000,0.0,1.0
51,2001-02-15T00:00:00.000Z,39.18,39.43,38.86,38.9,251100,14.879582989,14.9745267293,14.7580550013,14.7732459998,502200,0.0,1.0
52,2001-02-16T00:00:00.000Z,37.54,38.3,37.24,38.0,223000,14.2567520522,14.5453810229,14.1428195638,14.4314485345,446000,0.0,1.0
53,2001-02-20T00:00:00.000Z,36.2,37.89,36.2,37.51,201300,13.7478536039,14.3896732887,13.7478536039,14.2453588034,402600,0.0,1.0
54,2001-02-21T00:00:00.000Z,36.1,36.56,36.07,36.2,181800,13.7098761078,13.88457259,13.6984828589,13.7478536039,363600,0.0,1.0
55,2001-02-22T00:00:00.000Z,36.71,36.75,35.67,36.1,317800,13.9415388342,13.9567298327,13.5465728743,13.7098761078,635600,0.0,1.0
56,2001-02-23T00:00:00.000Z,37.05,37.15,36.7,36.71,456500,14.0706623211,14.1086398173,13.9377410846,13.9415388342,913000,0.0,1.0
57,2001-02-26T00:00:00.000Z,39.5,40.0,37.5,37.5,1080400,15.0011109766,15.1909984574,14.2415610538,14.2415610538,2160800,0.0,1.0
58,2001-02-27T00:00:00.000Z,38.48,38.98,38.33,38.5,417900,14.613740516,14.8036279967,14.5567742718,14.6213360152,835800,0.0,1.0
59,2001-02-28T00:00:00.000Z,38.12,39.2,37.97,38.0,402400,14.4770215299,14.8871784882,14.4200552856,14.4314485345,804800,0.0,1.0
60,2001-03-01T00:00:00.000Z,38.25,39.0,37.37,38.75,367400,14.5263922748,14.8112234959,14.1921903088,14.7162797556,734800,0.0,1.0
61,2001-03-02T00:00:00.000Z,40.41,40.5,38.05,38.15,551300,15.3467061915,15.3808859381,14.4504372826,14.4884147787,1102600,0.0,1.0
62,2001-03-05T00:00:00.000Z,46.35,47.0,40.2,41.0,1499400,17.6025694625,17.8494231874,15.2669534496,15.5707734188,2998800,0.0,1.0
63,2001-03-06T00:00:00.000Z,43.06,45.78,42.0,44.5,1928200,16.3531098393,17.3860977344,15.9505483802,16.8999857838,3856400,0.0,1.0
64,2001-03-07T00:00:00.000Z,44.8,45.3,42.5,42.5,1223600,17.0139182722,17.203805753,16.1404358609,16.1404358609,2447200,0.0,1.0
65,2001-03-08T00:00:00.000Z,46.75,47.5,44.7,44.7,1298200,17.754479447,18.0393106681,16.9759407761,16.9759407761,2596400,0.0,1.0
66,2001-03-09T00:00:00.000Z,46.84,46.99,45.81,46.0,1146800,17.7886591936,17.8456254378,17.3974909833,17.469648226,2293600,0.0,1.0
67,2001-03-12T00:00:00.000Z,46.21,47.0,46.05,46.25,682800,17.5494009679,17.8494231874,17.488636974,17.5645919663,1365600,0.0,1.0
68,2001-03-13T00:00:00.000Z,45.0,46.45,44.1,46.25,506100,17.1506372584,17.7032689033,16.8076245132,17.6270438489,1012200,0.16,1.0
