,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,32.75,33.25,32.38,32.75,439700,4.09375,4.15625,4.0475,4.09375,3517600,0.0,1.0
1,1997-01-03T00:00:00.000Z,33.5,33.5,32.62,32.62,266100,4.1875,4.1875,4.0775,4.0775,2128800,0.0,1.0
2,1997-01-06T00:00:00.000Z,33.5,33.75,33.25,33.25,82700,4.1875,4.21875,4.15625,4.15625,661600,0.0,1.0
3,1997-01-07T00:00:00.000Z,32.75,33.25,32.75,33.25,329500,4.09375,4.15625,4.09375,4.15625,2636000,0.0,1.0
4,1997-01-08T00:00:00.000Z,32.62,33.25,32.38,33.12,440700,4.0775,4.15625,4.0475,4.14,3525600,0.0,1.0
5,1997-01-09T00:00:00.000Z,32.62,32.88,32.38,32.75,469300,4.0775,4.11,4.0475,4.09375,3754400,0.0,1.0
6,1997-01-10T00:00:00.000Z,32.62,32.88,32.25,32.5,249000,4.0775,4.11,4.03125,4.0625,1992000,0.0,1.0
7,1997-01-13T00:00:00.000Z,32.25,32.75,32.12,32.62,110400,4.03125,4.09375,4.015,4.0775,883200,0.0,1.0
8,1997-01-14T00:00:00.000Z,32.38,33.12,32.12,32.25,192700,4.0475,4.14,4.015,4.03125,1541600,0.0,1.0
9,1997-01-15T00:00:00.000Z,31.75,32.5,31.75,32.12,103200,3.96875,4.0625,3.96875,4.015,825600,0.0,1.0
10,1997-01-16T00:00:00.000Z,32.25,32.5,31.62,31.88,225500,4.03125,4.0625,3.9525,3.985,1804000,0.0,1.0
11,1997-01-17T00:00:00.000Z,32.25,32.62,32.0,32.0,188600,4.03125,4.0775,4.0,4.0,1508800,0.0,1.0
12,1997-01-20T00:00:00.000Z,32.62,32.62,32.38,32.5,213900,4.0775,4.0775,4.0475,4.0625,1711200,0.0,1.0
13,1997-01-21T00:00:00.000Z,32.38,32.75,32.38,32.62,233900,4.0475,4.09375,4.0475,4.0775,1871200,0.0,1.0
14,1997-01-22T00:00:00.000Z,32.12,32.25,31.88,32.12,356100,4.015,4.03125,3.985,4.015,2848800,0.0,1.0
15,1997-01-23T00:00:00.000Z,34.5,35.12,32.0,32.0,763600,4.3125,4.39,4.0,4.0,6108800,0.0,1.0
16,1997-01-24T00:00:00.000Z,36.12,37.38,34.25,34.25,729500,4.515,4.6725,4.28125,4.28125,5836000,0.0,1.0
17,1997-01-27T00:00:00.000Z,35.62,36.0,35.38,35.88,228600,4.4525,4.5,4.4225,4.485,1828800,0.0,1.0
18,1997-01-28T00:00:00.000Z,35.75,36.38,35.38,35.38,199400,4.46875,4.5475,4.4225,4.4225,1595200,0.0,1.0
19,1997-01-29T00:00:00.000Z,36.5,36.88,35.5,35.5,252200,4.5625,4.61,4.4375,4.4375,2017600,0.0,1.0
20,1997-01-30T00:00:00.000Z,38.0,38.12,36.38,36.75,300000,4.75,4.765,4.5475,4.59375,2400000,0.0,1.0
21,1997-01-31T00:00:00.000Z,37.75,38.12,37.38,38.0,88100,4.71875,4.765,4.6725,4.75,704800,0.0,1.0
22,1997-02-03T00:00:00.000Z,37.75,38.0,37.12,37.5,63800,4.71875,4.75,4.64,4.6875,510400,0.0,1.0
23,1997-02-04T00:00:00.000Z,37.75,38.25,37.5,37.88,196600,4.71875,4.78125,4.6875,4.735,1572800,0.0,1.0
24,1997-02-05T00:00:00.000Z,36.75,37.5,36.75,37.5,52500,4.59375,4.6875,4.59375,4.6875,420000,0.0,1.0
25,1997-02-06T00:00:00.000Z,37.5,37.62,36.38,36.38,129100,4.6875,4.7025,4.5475,4.5475,1032800,0.0,1.0
26,1997-02-07T00:00:00.000Z,38.0,38.25,37.62,37.62,51900,4.75,4.78125,4.7025,4.7025,415200,0.0,1.0
27,1997-02-10T00:00:00.000Z,39.5,39.88,37.75,37.75,174100,4.9375,4.985,4.71875,4.71875,1392800,0.0,1.0
28,1997-02-11T00:00:00.000Z,39.75,40.38,39.5,39.5,349400,4.96875,5.0475,4.9375,4.9375,2795200,0.0,1.0
29,1997-02-12T00:00:00.000Z,42.38,42.5,40.0,40.0,488000,5.2975,5.3125,5.0,5.0,3904000,0.0,1.0
30,1997-02-13T00:00:00.000Z,42.0,42.38,41.0,42.0,1023700,5.25,5.2975,5.125,5.25,8189600,0.0,1.0
31,1997-02-14T00:00:00.000Z,40.88,42.12,40.0,42.0,83800,5.11,5.265,5.0,5.25,670400,0.0,1.0
32,1997-02-18T00:00:00.000Z,40.25,40.62,40.0,40.62,85000,5.03125,5.0775,5.0,5.0775,680000,0.0,1.0
33,1997-02-19T00:00:00.000Z,39.5,40.25,39.25,40.25,333400,4.9375,5.03125,4.90625,5.03125,2667200,0.0,1.0
34,1997-02-20T00:00:00.000Z,38.75,39.25,38.38,39.25,444800,4.84375,4.90625,4.7975,4.90625,3558400,0.0,1.0
35,1997-02-21T00:00:00.000Z,38.88,38.88,38.38,38.5,111400,4.86,4.86,4.7975,4.8125,891200,0.0,1.0
36,1997-02-24T00:00:00.000Z,39.25,39.88,39.12,39.12,174900,4.90625,4.985,4.89,4.89,1399200,0.0,1.0
37,1997-02-25T00:00:00.000Z,39.12,39.62,38.88,39.0,263900,4.89,4.9525,4.86,4.875,2111200,0.0,1.0
38,1997-02-26T00:00:00.000Z,38.25,39.0,37.88,39.0,144800,4.78125,4.875,4.735,4.875,1158400,0.0,1.0
39,1997-02-27T00:00:00.000Z,38.25,38.38,37.88,38.25,261200,4.78125,4.7975,4.735,4.78125,2089600,0.0,1.0
40,1997-02-28T00:00:00.000Z,38.12,38.5,38.0,38.0,53600,4.765,4.8125,4.75,4.75,428800,0.0,1.0
41,1997-03-03T00:00:00.000Z,37.5,39.0,37.38,38.38,291800,4.6875,4.875,4.6725,4.7975,2334400,0.0,1.0
42,1997-03-04T00:00:00.000Z,36.75,37.5,36.75,37.5,211100,4.59375,4.6875,4.59375,4.6875,1688800,0.0,1.0
43,1997-03-05T00:00:00.000Z,37.25,37.25,36.62,36.88,303200,4.65625,4.65625,4.5775,4.61,2425600,0.0,1.0
44,1997-03-06T00:00:00.000Z,37.38,37.38,37.25,37.25,55000,4.6725,4.6725,4.65625,4.65625,440000,0.0,1.0
45,1997-03-07T00:00:00.000Z,37.25,37.5,37.25,37.25,167900,4.65625,4.6875,4.65625,4.65625,1343200,0.0,1.0
46,1997-03-10T00:00:00.000Z,37.25,37.5,37.12,37.25,179700,4.65625,4.6875,4.64,4.65625,1437600,0.0,1.0
47,1997-03-11T00:00:00.000Z,37.12,37.25,37.0,37.25,129300,4.64,4.65625,4.625,4.65625,1034400,0.0,1.0
48,1997-03-12T00:00:00.000Z,37.5,38.0,37.12,37.12,453200,4.6875,4.75,4.64,4.64,3625600,0.0,1.0
49,1997-03-13T00:00:00.000Z,37.25,37.25,37.0,37.25,337800,4.65625,4.65625,4.625,4.65625,2702400,0.0,1.0
50,1997-03-14T00:00:00.000Z,38.5,38.62,37.62,37.62,397600,4.8125,4.8275,4.7025,4.7025,3180800,0.0,1.0
51,1997-03-17T00:00:00.000Z,38.25,38.75,38.0,38.75,192300,4.78125,4.84375,4.75,4.84375,1538400,0.0,1.0
