,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,331.3,335.6,331.3,335.0,10600,150.2586455217,152.2088784699,150.2586455217,151.9367529423,17100,0.0,1.0
1,1997-01-03T00:00:00.000Z,330.8,331.8,327.1,331.8,8100,150.0318742487,150.4854167948,148.3537668281,150.4854167948,13100,0.0,1.0
2,1997-01-06T00:00:00.000Z,333.3,333.9,330.5,331.0,4200,151.1657306139,151.4378561416,149.8958114848,150.1225827579,6800,0.0,1.0
3,1997-01-07T00:00:00.000Z,331.0,332.8,329.8,332.0,10800,150.1225827579,150.9389593409,149.5783317026,150.576125304,17400,0.0,1.0
4,1997-01-08T00:00:00.000Z,333.5,335.0,332.5,332.5,8700,151.2564391231,151.9367529423,150.802896577,150.802896577,14000,0.0,1.0
5,1997-01-09T00:00:00.000Z,336.5,336.5,333.9,334.8,5300,152.6170667614,152.6170667614,151.4378561416,151.8460444331,8600,0.0,1.0
6,1997-01-10T00:00:00.000Z,335.1,335.8,334.5,335.8,8400,151.9821071969,152.2995869792,151.7099816692,152.2995869792,13600,0.0,1.0
7,1997-01-13T00:00:00.000Z,335.4,337.3,335.0,336.0,7200,152.1181699607,152.9799007983,151.9367529423,152.3902954884,11600,0.0,1.0
8,1997-01-14T00:00:00.000Z,338.3,338.3,335.0,335.4,12700,153.4334433444,153.4334433444,151.9367529423,152.1181699607,20500,0.0,1.0
9,1997-01-15T00:00:00.000Z,334.5,338.0,334.5,338.0,2500,151.7099816692,153.2973805806,151.7099816692,153.2973805806,4000,0.0,1.0
10,1997-01-16T00:00:00.000Z,334.9,337.4,334.8,336.6,15500,151.8913986877,153.0252550529,151.8460444331,152.662421016,25000,0.0,1.0
11,1997-01-17T00:00:00.000Z,334.8,335.0,334.8,334.8,6100,151.8460444331,151.9367529423,151.8460444331,151.8460444331,9800,0.0,1.0
12,1997-01-20T00:00:00.000Z,335.4,335.4,334.0,334.0,67700,152.1181699607,152.1181699607,151.4832103962,151.4832103962,109200,0.0,1.0
13,1997-01-21T00:00:00.000Z,336.0,336.0,334.3,335.3,27600,152.3902954884,152.3902954884,151.61927316,152.0728157061,44500,0.0,1.0
14,1997-01-22T00:00:00.000Z,333.3,334.0,333.0,334.0,6900,151.7099816692,152.028604493,151.5734290305,152.028604493,11100,1.2,1.0
15,1997-01-23T00:00:00.000Z,330.0,333.3,330.0,333.3,7900,150.2079026428,151.7099816692,150.2079026428,151.7099816692,12700,0.0,1.0
16,1997-01-24T00:00:00.000Z,326.3,328.0,325.1,327.5,7400,148.5237534314,149.2975517177,147.9775428763,149.0699639864,11900,0.0,1.0
17,1997-01-27T00:00:00.000Z,327.3,327.5,326.0,327.3,6400,148.9789288939,149.0699639864,148.3872007926,148.9789288939,10300,0.0,1.0
18,1997-01-28T00:00:00.000Z,327.0,329.5,326.4,327.0,5500,148.8423762551,149.9803149115,148.5692709776,148.8423762551,8900,0.0,1.0
19,1997-01-29T00:00:00.000Z,327.4,328.9,326.0,327.5,5100,149.0244464402,149.707209634,148.3872007926,149.0699639864,8200,0.0,1.0
20,1997-01-30T00:00:00.000Z,327.5,329.6,327.5,328.1,7300,149.0699639864,150.0258324578,149.0699639864,149.343069264,11800,0.0,1.0
21,1997-01-31T00:00:00.000Z,334.0,334.0,328.4,328.8,8500,152.028604493,152.028604493,149.4796219027,149.6616920877,13700,0.0,1.0
22,1997-02-03T00:00:00.000Z,337.6,337.6,332.4,333.9,4800,153.6672361582,153.6672361582,151.3003237529,151.9830869468,7700,0.0,1.0
23,1997-02-04T00:00:00.000Z,335.5,335.8,333.0,335.0,9200,152.7113676869,152.8479203256,151.5734290305,152.4837799556,14800,0.0,1.0
24,1997-02-05T00:00:00.000Z,333.0,337.3,333.0,337.3,14500,151.5734290305,153.5306835195,151.5734290305,153.5306835195,23400,0.0,1.0
25,1997-02-06T00:00:00.000Z,334.3,335.3,331.8,333.0,6400,152.1651571318,152.6203325943,151.0272184754,151.5734290305,10300,0.0,1.0
26,1997-02-07T00:00:00.000Z,336.5,336.5,335.0,335.5,13400,153.1665431494,153.1665431494,152.4837799556,152.7113676869,21600,0.0,1.0
27,1997-02-10T00:00:00.000Z,336.5,336.8,335.6,336.8,4300,153.1665431494,153.3030957882,152.7568852331,153.3030957882,6900,0.0,1.0
28,1997-02-11T00:00:00.000Z,335.4,337.0,335.0,335.8,6700,152.6658501406,153.3941308807,152.4837799556,152.8479203256,10800,0.0,1.0
29,1997-02-12T00:00:00.000Z,346.0,346.5,335.5,336.0,38700,157.4907100437,157.7182977749,152.7113676869,152.9389554181,62400,0.0,1.0
30,1997-02-13T00:00:00.000Z,347.0,347.0,346.0,346.3,22800,157.9458855062,157.9458855062,157.4907100437,157.6272626824,36800,0.0,1.0
31,1997-02-14T00:00:00.000Z,351.0,352.5,347.0,347.0,16500,159.7665873564,160.4493505503,157.9458855062,157.9458855062,26600,0.0,1.0
32,1997-02-18T00:00:00.000Z,353.0,353.0,351.5,352.0,22000,160.6769382815,160.6769382815,159.9941750877,160.221762819,35500,0.0,1.0
33,1997-02-19T00:00:00.000Z,357.5,360.0,354.0,356.0,11600,162.725227863,163.8631665194,161.1321137441,162.0424646692,18700,0.0,1.0
34,1997-02-20T00:00:00.000Z,355.3,357.4,354.6,356.8,7800,161.7238418454,162.6797103168,161.4052190216,162.4066050393,12600,0.0,1.0
35,1997-02-21T00:00:00.000Z,344.4,354.8,343.8,354.8,10800,156.7624293036,161.4962541141,156.4893240261,161.4962541141,17400,0.0,1.0
36,1997-02-24T00:00:00.000Z,348.0,348.6,344.6,344.6,3100,158.4010609688,158.6741662463,156.8534643961,156.8534643961,5000,0.0,1.0
37,1997-02-25T00:00:00.000Z,347.3,349.6,346.5,349.1,1900,158.082438145,159.1293417089,157.7182977749,158.9017539776,3100,0.0,1.0
38,1997-02-26T00:00:00.000Z,346.8,349.0,345.8,348.3,5200,157.8548504137,158.8562364313,157.3996749512,158.5376136075,8400,0.0,1.0
39,1997-02-27T00:00:00.000Z,351.9,352.1,346.8,346.8,3300,160.1762452727,160.2672803652,157.8548504137,157.8548504137,5300,0.0,1.0
40,1997-02-28T00:00:00.000Z,346.5,351.9,346.5,350.8,2200,157.7182977749,160.1762452727,157.7182977749,159.6755522639,3500,0.0,1.0
41,1997-03-03T00:00:00.000Z,346.1,346.5,345.5,346.0,14100,157.5362275899,157.7182977749,157.2631223124,157.4907100437,22700,0.0,1.0
42,1997-03-04T00:00:00.000Z,346.3,348.3,346.3,347.5,4300,157.6272626824,158.5376136075,157.6272626824,158.1734732375,6900,0.0,1.0
