,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2002-02-13T00:00:00.000Z,20.1,20.12,19.05,19.25,9527000,6.7518227114,6.7585409429,6.3991155548,6.4662978703,19054000,0.0,1.0
1,2002-02-14T00:00:00.000Z,20.0,20.39,19.85,20.35,1377700,6.7182315536,6.8492370689,6.6678448169,6.8358006058,2755400,0.0,1.0
2,2002-02-15T00:00:00.000Z,19.9,20.05,19.7,20.05,1048700,6.6846403958,6.7350271325,6.6174580803,6.7350271325,2097400,0.0,1.0
3,2002-02-19T00:00:00.000Z,19.1,19.8,18.75,19.8,926300,6.4159111337,6.6510492381,6.2983420815,6.6510492381,1852600,0.0,1.0
4,2002-02-20T00:00:00.000Z,19.75,19.75,19.05,19.75,861600,6.6342536592,6.6342536592,6.3991155548,6.6342536592,1723200,0.0,1.0
5,2002-02-21T00:00:00.000Z,19.7,19.85,19.5,19.68,872100,6.6174580803,6.6678448169,6.5502757647,6.6107398487,1744200,0.0,1.0
6,2002-02-22T00:00:00.000Z,19.35,19.85,19.2,19.85,440700,6.4998890281,6.6678448169,6.4495022914,6.6678448169,881400,0.0,1.0
7,2002-02-25T00:00:00.000Z,19.5,19.65,19.08,19.3,431700,6.5502757647,6.6006625014,6.4091929021,6.4830934492,863400,0.0,1.0
8,2002-02-26T00:00:00.000Z,19.5,19.7,19.09,19.4,345200,6.5502757647,6.6174580803,6.4125520179,6.516684607,690400,0.0,1.0
9,2002-02-27T00:00:00.000Z,19.15,19.36,19.0,19.35,511400,6.4327067126,6.5032481439,6.3823199759,6.4998890281,1022800,0.0,1.0
10,2002-02-28T00:00:00.000Z,19.1,19.45,19.1,19.2,343900,6.4159111337,6.5334801859,6.4159111337,6.4495022914,687800,0.0,1.0
11,2002-03-01T00:00:00.000Z,19.37,19.55,18.98,19.05,239200,6.5066072597,6.5670713436,6.3756017444,6.3991155548,478400,0.0,1.0
