,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1999-05-04T00:00:00.000Z,70.38,77.25,70.0,76.0,22320900,55.2096873044,60.5988682049,54.9115957844,59.6183039945,22320900,0.0,1.0
1,1999-05-05T00:00:00.000Z,69.13,69.88,66.25,69.88,7565700,54.2291230939,54.8174616202,51.9699031531,54.8174616202,7565700,0.0,1.0
2,1999-05-06T00:00:00.000Z,67.94,69.38,67.06,68.0,2905700,53.2956259656,54.425235936,52.6053087615,53.3426930477,2905700,0.0,1.0
3,1999-05-07T00:00:00.000Z,74.13,74.88,66.75,67.94,4862300,58.1513799357,58.7397184619,52.3621288373,53.2956259656,4862300,0.0,1.0
4,1999-05-10T00:00:00.000Z,70.69,73.5,70.25,73.38,2589400,55.4528672286,57.6571755736,55.1077086265,57.5630414094,2589400,0.0,1.0
5,1999-05-11T00:00:00.000Z,70.63,71.19,69.5,70.0,1839800,55.4058001465,55.8450929127,54.5193701002,54.9115957844,1839800,0.0,1.0
6,1999-05-12T00:00:00.000Z,73.5,74.88,69.13,71.0,2659300,57.6571755736,58.7397184619,54.2291230939,55.6960471528,2659300,0.0,1.0
7,1999-05-13T00:00:00.000Z,74.25,75.25,72.5,73.25,1142900,58.2455140999,59.0299654682,56.8727242053,57.4610627315,1142900,0.0,1.0
8,1999-05-14T00:00:00.000Z,70.19,72.25,69.06,71.25,2058400,55.0606415444,56.6766113632,54.1742114982,55.8921599948,2058400,0.0,1.0
9,1999-05-17T00:00:00.000Z,68.63,70.25,68.0,69.13,2075000,53.8368974098,55.1077086265,53.3426930477,54.2291230939,2075000,0.0,1.0
10,1999-05-18T00:00:00.000Z,68.63,70.44,68.13,68.25,1407100,53.8368974098,55.2567543865,53.4446717256,53.5388058898,1407100,0.0,1.0
11,1999-05-19T00:00:00.000Z,69.31,69.81,68.75,69.38,727400,54.3703243402,54.7625500244,53.931031574,54.425235936,727400,0.0,1.0
12,1999-05-20T00:00:00.000Z,68.38,70.13,68.38,69.56,520800,53.6407845677,55.0135744623,53.6407845677,54.5664371823,520800,0.0,1.0
13,1999-05-21T00:00:00.000Z,67.5,68.81,67.5,68.13,936200,52.9504673635,53.9780986561,52.9504673635,53.4446717256,936200,0.0,1.0
14,1999-05-24T00:00:00.000Z,65.31,67.25,65.0,67.0,1493000,51.2325188668,52.7543545214,50.9893389427,52.5582416794,1493000,0.0,1.0
15,1999-05-25T00:00:00.000Z,64.5,65.94,64.0,64.13,1662400,50.5971132585,51.7267232289,50.2048875743,50.3068662522,1662400,0.0,1.0
16,1999-05-26T00:00:00.000Z,66.06,66.63,63.06,65.63,1602900,51.8208573931,52.2679946731,49.4675032881,51.4835433047,1602900,0.0,1.0
17,1999-05-27T00:00:00.000Z,67.75,67.75,64.69,65.0,1220500,53.1465802056,53.1465802056,50.7461590185,50.9893389427,1220500,0.0,1.0
18,1999-05-28T00:00:00.000Z,67.94,68.81,67.0,67.75,901900,53.2956259656,53.9780986561,52.5582416794,53.1465802056,901900,0.0,1.0
19,1999-06-01T00:00:00.000Z,64.19,66.63,63.56,66.63,953900,50.3539333343,52.2679946731,49.8597289722,52.2679946731,953900,0.0,1.0
20,1999-06-02T00:00:00.000Z,63.25,64.06,62.0,63.75,2204300,49.6165490481,50.2519546564,48.6359848376,50.0087747322,2204300,0.0,1.0
21,1999-06-03T00:00:00.000Z,63.63,64.19,63.13,64.0,852600,49.914640568,50.3539333343,49.5224148838,50.2048875743,852600,0.0,1.0
22,1999-06-04T00:00:00.000Z,65.38,67.0,64.31,64.31,1357400,51.2874304626,52.5582416794,50.4480674985,50.4480674985,1357400,0.0,1.0
23,1999-06-07T00:00:00.000Z,65.94,67.75,65.19,65.19,891900,51.7267232289,53.1465802056,51.1383847026,51.1383847026,891900,0.0,1.0
24,1999-06-08T00:00:00.000Z,63.75,65.69,63.75,65.38,571700,50.0087747322,51.5306103868,50.0087747322,51.2874304626,571700,0.0,1.0
25,1999-06-09T00:00:00.000Z,65.5,65.5,63.63,64.25,611400,51.3815646268,51.3815646268,49.914640568,50.4010004164,611400,0.0,1.0
26,1999-06-10T00:00:00.000Z,63.38,64.94,63.31,64.88,664200,49.7185277259,50.9422718606,49.6636161302,50.8952047785,664200,0.0,1.0
27,1999-06-11T00:00:00.000Z,62.94,64.31,62.31,63.94,969300,49.3733691239,50.4480674985,48.8791647618,50.1578204922,969300,0.0,1.0
28,1999-06-14T00:00:00.000Z,61.25,64.0,60.5,63.5,821100,48.0476463114,50.2048875743,47.4593077851,49.8126618901,821100,0.0,1.0
29,1999-06-15T00:00:00.000Z,62.75,63.38,62.25,62.88,831700,49.2243233639,49.7185277259,48.8320976797,49.3263020418,831700,0.0,1.0
30,1999-06-16T00:00:00.000Z,65.25,65.44,63.94,63.94,690300,51.1854517847,51.3344975447,50.1578204922,50.1578204922,690300,0.0,1.0
