,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,79.63,80.13,79.0,80.0,97400,26.4998143437,26.6662077529,26.2901586482,26.6229454665,194800,0.0,1.0
1,1997-01-03T00:00:00.000Z,80.0,81.0,79.63,79.63,95600,26.6229454665,26.9557322849,26.4998143437,26.4998143437,191200,0.0,1.0
2,1997-01-06T00:00:00.000Z,80.13,80.88,79.88,79.88,133400,26.6662077529,26.9157978667,26.5830110483,26.5830110483,266800,0.0,1.0
3,1997-01-07T00:00:00.000Z,80.63,80.63,79.13,79.75,72600,26.8326011621,26.8326011621,26.3334209346,26.5397487619,145200,0.0,1.0
4,1997-01-08T00:00:00.000Z,80.63,81.25,80.5,80.75,105300,26.8326011621,27.0389289894,26.7893388757,26.8725355803,210600,0.0,1.0
5,1997-01-09T00:00:00.000Z,82.13,82.5,80.63,81.0,66800,27.3317813896,27.4549125124,26.8326011621,26.9557322849,133600,0.0,1.0
6,1997-01-10T00:00:00.000Z,82.25,82.25,80.25,81.63,75500,27.3717158078,27.3717158078,26.7061421711,27.1653879804,151000,0.0,1.0
7,1997-01-13T00:00:00.000Z,81.0,82.5,80.75,82.5,70500,26.9557322849,27.4549125124,26.8725355803,27.4549125124,141000,0.0,1.0
8,1997-01-14T00:00:00.000Z,81.38,82.25,81.38,81.38,80200,27.0821912758,27.3717158078,27.0821912758,27.0821912758,160400,0.0,1.0
9,1997-01-15T00:00:00.000Z,79.38,81.0,79.38,80.75,96300,26.4166176392,26.9557322849,26.4166176392,26.8725355803,192600,0.0,1.0
10,1997-01-16T00:00:00.000Z,80.0,80.5,79.0,79.5,167200,26.6229454665,26.7893388757,26.2901586482,26.4565520574,334400,0.0,1.0
11,1997-01-17T00:00:00.000Z,80.63,80.63,79.88,80.0,106600,26.8326011621,26.8326011621,26.5830110483,26.6229454665,213200,0.0,1.0
12,1997-01-20T00:00:00.000Z,80.38,80.75,80.25,80.63,29200,26.7494044575,26.8725355803,26.7061421711,26.8326011621,58400,0.0,1.0
13,1997-01-21T00:00:00.000Z,80.25,80.75,79.75,80.0,62200,26.7061421711,26.8725355803,26.5397487619,26.6229454665,124400,0.0,1.0
14,1997-01-22T00:00:00.000Z,79.0,80.0,79.0,80.0,78600,26.2901586482,26.6229454665,26.2901586482,26.6229454665,157200,0.0,1.0
15,1997-01-23T00:00:00.000Z,75.63,79.13,75.63,79.0,188100,25.1686670704,26.3334209346,25.1686670704,26.2901586482,376200,0.0,1.0
