,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2019-06-03T00:00:00.000Z,2.15,2.33,2.1436,2.21,298554,2.15,2.33,2.1436,2.21,298554,0.0,1.0
1,2019-06-04T00:00:00.000Z,2.16,2.26,2.06,2.06,641416,2.16,2.26,2.06,2.06,641416,0.0,1.0
2,2019-06-05T00:00:00.000Z,1.95,2.3,1.91,2.3,1457817,1.95,2.3,1.91,2.3,1457817,0.0,1.0
3,2019-06-06T00:00:00.000Z,1.78,2.0,1.7,1.95,1737291,1.78,2.0,1.7,1.95,1737291,0.0,1.0
4,2019-06-07T00:00:00.000Z,1.82,1.86,1.55,1.84,3031740,1.82,1.86,1.55,1.84,3031740,0.0,1.0
5,2019-06-10T00:00:00.000Z,2.49,2.55,2.02,2.02,3482145,2.49,2.55,2.02,2.02,3482145,0.0,1.0
6,2019-06-11T00:00:00.000Z,2.4,2.65,2.32,2.48,1369769,2.4,2.65,2.32,2.48,1369769,0.0,1.0
7,2019-06-12T00:00:00.000Z,2.39,2.43,2.28,2.39,813730,2.39,2.43,2.28,2.39,813730,0.0,1.0
8,2019-06-13T00:00:00.000Z,2.73,2.75,2.38,2.4,1681817,2.73,2.75,2.38,2.4,1681817,0.0,1.0
9,2019-06-14T00:00:00.000Z,2.82,2.89,2.69,2.73,1594816,2.82,2.89,2.69,2.73,1594816,0.0,1.0
10,2019-06-17T00:00:00.000Z,2.72,2.98,2.72,2.74,1050529,2.72,2.98,2.72,2.74,1050529,0.0,1.0
11,2019-06-18T00:00:00.000Z,2.87,2.93,2.72,2.72,1062989,2.87,2.93,2.72,2.72,1062989,0.0,1.0
12,2019-06-19T00:00:00.000Z,3.01,3.04,2.88,2.9,1330316,3.01,3.04,2.88,2.9,1330316,0.0,1.0
13,2019-06-20T00:00:00.000Z,2.98,3.25,2.965,3.13,1467897,2.98,3.25,2.965,3.13,1467897,0.0,1.0
14,2019-06-21T00:00:00.000Z,2.91,3.09,2.812,2.98,1630664,2.91,3.09,2.812,2.98,1630664,0.0,1.0
15,2019-06-24T00:00:00.000Z,2.92,2.95,2.76,2.92,1146505,2.92,2.95,2.76,2.92,1146505,0.0,1.0
16,2019-06-25T00:00:00.000Z,2.84,2.93,2.75,2.88,1152425,2.84,2.93,2.75,2.88,1152425,0.0,1.0
17,2019-06-26T00:00:00.000Z,2.83,3.0,2.83,2.87,786214,2.83,3.0,2.83,2.87,786214,0.0,1.0
18,2019-06-27T00:00:00.000Z,2.67,2.94,2.66,2.81,960285,2.67,2.94,2.66,2.81,960285,0.0,1.0
19,2019-06-28T00:00:00.000Z,2.46,2.71,2.46,2.68,1020954,2.46,2.71,2.46,2.68,1020954,0.0,1.0
20,2019-07-01T00:00:00.000Z,2.56,2.62,2.3,2.48,883506,2.56,2.62,2.3,2.48,883506,0.0,1.0
21,2019-07-02T00:00:00.000Z,2.45,2.55,2.4,2.53,391660,2.45,2.55,2.4,2.53,391660,0.0,1.0
22,2019-07-03T00:00:00.000Z,2.42,2.45,2.35,2.44,336425,2.42,2.45,2.35,2.44,336425,0.0,1.0
23,2019-07-05T00:00:00.000Z,2.39,2.5,2.37,2.38,528372,2.39,2.5,2.37,2.38,528372,0.0,1.0
24,2019-07-08T00:00:00.000Z,2.29,2.43,2.23,2.39,691273,2.29,2.43,2.23,2.39,691273,0.0,1.0
25,2019-07-09T00:00:00.000Z,2.29,2.33,2.06,2.33,879922,2.29,2.33,2.06,2.33,879922,0.0,1.0
26,2019-07-10T00:00:00.000Z,2.22,2.32,2.2,2.28,1122090,2.22,2.32,2.2,2.28,1122090,0.0,1.0
27,2019-07-11T00:00:00.000Z,2.2,2.25,2.1,2.22,635387,2.2,2.25,2.1,2.22,635387,0.0,1.0
28,2019-07-12T00:00:00.000Z,2.33,2.35,2.18,2.21,638665,2.33,2.35,2.18,2.21,638665,0.0,1.0
29,2019-07-15T00:00:00.000Z,2.09,2.4,2.06,2.39,1090537,2.09,2.4,2.06,2.39,1090537,0.0,1.0
30,2019-07-16T00:00:00.000Z,2.13,2.18,2.08,2.1,469993,2.13,2.18,2.08,2.1,469993,0.0,1.0
31,2019-07-17T00:00:00.000Z,1.92,2.09,1.91,2.09,1173899,1.92,2.09,1.91,2.09,1173899,0.0,1.0
32,2019-07-18T00:00:00.000Z,1.88,1.9699,1.88,1.95,681834,1.88,1.9699,1.88,1.95,681834,0.0,1.0
33,2019-07-19T00:00:00.000Z,1.92,1.96,1.85,1.9,844573,1.92,1.96,1.85,1.9,844573,0.0,1.0
34,2019-07-22T00:00:00.000Z,1.87,1.92,1.71,1.91,1211724,1.87,1.92,1.71,1.91,1211724,0.0,1.0
35,2019-07-23T00:00:00.000Z,1.97,1.97,1.85,1.89,480624,1.97,1.97,1.85,1.89,480624,0.0,1.0
36,2019-07-24T00:00:00.000Z,2.02,2.09,1.97,1.98,803169,2.02,2.09,1.97,1.98,803169,0.0,1.0
37,2019-07-25T00:00:00.000Z,1.93,2.06,1.92,2.02,419200,1.93,2.06,1.92,2.02,419200,0.0,1.0
38,2019-07-26T00:00:00.000Z,1.81,1.96,1.78,1.91,669263,1.81,1.96,1.78,1.91,669263,0.0,1.0
39,2019-07-29T00:00:00.000Z,1.77,1.88,1.73,1.82,691917,1.77,1.88,1.73,1.82,691917,0.0,1.0
40,2019-07-30T00:00:00.000Z,1.99,2.03,1.78,1.79,1207959,1.99,2.03,1.78,1.79,1207959,0.0,1.0
41,2019-07-31T00:00:00.000Z,2.11,2.25,1.99,2.02,1520794,2.11,2.25,1.99,2.02,1520794,0.0,1.0
42,2019-08-01T00:00:00.000Z,1.85,2.0801,1.76,2.06,1342386,1.85,2.0801,1.76,2.06,1342386,0.0,1.0
