,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2004-05-03T00:00:00.000Z,27.04,28.7,26.8,28.5,4035000,27.04,28.7,26.8,28.5,4035000,0.0,1.0
1,2004-05-04T00:00:00.000Z,26.0,26.99,26.0,26.9,4072500,26.0,26.99,26.0,26.9,4072500,0.0,1.0
2,2004-05-05T00:00:00.000Z,26.35,26.69,26.0,26.05,4922200,26.35,26.69,26.0,26.05,4922200,0.0,1.0
3,2004-05-06T00:00:00.000Z,26.26,26.35,26.05,26.31,1791700,26.26,26.35,26.05,26.31,1791700,0.0,1.0
4,2004-05-07T00:00:00.000Z,26.66,26.79,26.07,26.1,2790200,26.66,26.79,26.07,26.1,2790200,0.0,1.0
5,2004-05-10T00:00:00.000Z,26.91,26.95,26.25,26.4,3282100,26.91,26.95,26.25,26.4,3282100,0.0,1.0
6,2004-05-11T00:00:00.000Z,26.86,27.4,26.791,26.9,2017800,26.86,27.4,26.791,26.9,2017800,0.0,1.0
7,2004-05-12T00:00:00.000Z,26.6,26.76,26.25,26.6,1573200,26.6,26.76,26.25,26.6,1573200,0.0,1.0
8,2004-05-13T00:00:00.000Z,26.4,26.55,26.28,26.48,1648500,26.4,26.55,26.28,26.48,1648500,0.0,1.0
9,2004-05-14T00:00:00.000Z,26.4,26.48,25.97,26.25,1722000,26.4,26.48,25.97,26.25,1722000,0.0,1.0
10,2004-05-17T00:00:00.000Z,26.58,26.85,26.05,26.1,2073100,26.58,26.85,26.05,26.1,2073100,0.0,1.0
11,2004-05-18T00:00:00.000Z,26.49,26.73,26.36,26.65,1436300,26.49,26.73,26.36,26.65,1436300,0.0,1.0
12,2004-05-19T00:00:00.000Z,26.5,26.7,26.36,26.45,1145900,26.5,26.7,26.36,26.45,1145900,0.0,1.0
13,2004-05-20T00:00:00.000Z,26.2,26.45,26.11,26.45,906300,26.2,26.45,26.11,26.45,906300,0.0,1.0
14,2004-05-21T00:00:00.000Z,25.65,26.33,25.6,26.2,1376900,25.65,26.33,25.6,26.2,1376900,0.0,1.0
15,2004-05-24T00:00:00.000Z,25.38,25.9,24.88,25.65,1328900,25.38,25.9,24.88,25.65,1328900,0.0,1.0
16,2004-05-25T00:00:00.000Z,25.44,25.75,25.06,25.15,1048700,25.44,25.75,25.06,25.15,1048700,0.0,1.0
17,2004-05-26T00:00:00.000Z,25.86,26.15,25.26,25.31,849800,25.86,26.15,25.26,25.31,849800,0.0,1.0
18,2004-05-27T00:00:00.000Z,25.98,26.19,25.62,25.85,1665400,25.98,26.19,25.62,25.85,1665400,0.0,1.0
19,2004-05-28T00:00:00.000Z,25.64,25.95,25.3,25.85,1155600,25.64,25.95,25.3,25.85,1155600,0.0,1.0
20,2004-06-01T00:00:00.000Z,25.55,25.69,25.33,25.54,716300,25.55,25.69,25.33,25.54,716300,0.0,1.0
21,2004-06-02T00:00:00.000Z,25.61,25.79,25.27,25.55,815100,25.61,25.79,25.27,25.55,815100,0.0,1.0
22,2004-06-03T00:00:00.000Z,25.7,25.78,25.44,25.52,970200,25.7,25.78,25.44,25.52,970200,0.0,1.0
23,2004-06-04T00:00:00.000Z,26.5,26.5,25.5,25.65,1112800,26.5,26.5,25.5,25.65,1112800,0.0,1.0
24,2004-06-07T00:00:00.000Z,27.15,27.23,26.42,26.63,1124300,27.15,27.23,26.42,26.63,1124300,0.0,1.0
25,2004-06-08T00:00:00.000Z,28.6,28.9,26.68,27.01,1461800,28.6,28.9,26.68,27.01,1461800,0.0,1.0
26,2004-06-09T00:00:00.000Z,27.96,29.28,27.96,28.5,1130400,27.96,29.28,27.96,28.5,1130400,0.0,1.0
27,2004-06-10T00:00:00.000Z,27.25,27.8215,27.15,27.5,697900,27.25,27.8215,27.15,27.5,697900,0.0,1.0
