,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2006-12-13T00:00:00.000Z,25.6,26.06,21.61,25.0,10771500,25.348564521,25.8040465397,21.3977530976,24.75445754,10771500,0.0,1.0
1,2006-12-14T00:00:00.000Z,25.15,26.0,24.51,25.66,998900,24.9029842853,25.7446358416,24.2692701723,25.4079752191,998900,0.0,1.0
2,2006-12-15T00:00:00.000Z,24.6,26.0,24.11,25.24,1012600,24.3583862194,25.7446358416,23.8731988516,24.9921003324,1012600,0.0,1.0
3,2006-12-18T00:00:00.000Z,23.79,25.0,23.6,24.4,734400,23.5563417951,24.75445754,23.3682079178,24.1603505591,734400,0.0,1.0
4,2006-12-19T00:00:00.000Z,23.1,23.99,22.5,23.58,1297900,22.873118767,23.7543774554,22.279011786,23.3484043518,1297900,0.0,1.0
5,2006-12-20T00:00:00.000Z,25.0,25.47,23.05,23.2,495800,24.75445754,25.2198413418,22.8236098519,22.9721365972,495800,0.0,1.0
6,2006-12-21T00:00:00.000Z,24.6,25.65,24.0,25.16,277000,24.3583862194,25.3980734361,23.7642792384,24.9128860683,277000,0.0,1.0
7,2006-12-22T00:00:00.000Z,24.02,25.0,23.71,24.59,222300,23.7840828045,24.75445754,23.477127531,24.3484844364,222300,0.0,1.0
8,2006-12-26T00:00:00.000Z,24.21,24.38,23.9,23.92,109500,23.9722166818,24.140546993,23.6652614083,23.6850649743,109500,0.0,1.0
9,2006-12-27T00:00:00.000Z,24.08,24.25,23.91,24.25,91100,23.8434935026,24.0118238138,23.6751631913,24.0118238138,91100,0.0,1.0
10,2006-12-28T00:00:00.000Z,23.9999,24.12,23.51,23.9,62100,23.7641802206,23.8831006346,23.2790918707,23.6652614083,62100,0.0,1.0
11,2006-12-29T00:00:00.000Z,24.0,24.35,23.86,24.35,68900,23.7642792384,24.110841644,23.6256542762,24.110841644,68900,0.0,1.0
12,2007-01-03T00:00:00.000Z,24.09,24.29,23.7,23.83,193400,23.8533952856,24.0514309459,23.467225748,23.5959489272,193400,0.0,1.0
