,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2000-06-26T00:00:00.000Z,38.38,40.06,36.75,39.5,91000,31.8122416665,33.2047525054,30.4611746025,32.7405822258,91000,0.0,1.0
1,2000-06-27T00:00:00.000Z,38.44,38.63,38.0,38.5,31700,31.8619741964,32.0194605413,31.4972689767,31.9117067264,31700,0.0,1.0
2,2000-06-28T00:00:00.000Z,41.19,41.19,38.56,38.56,376900,34.1413818197,34.1413818197,31.9614392564,31.9614392564,376900,0.0,1.0
3,2000-06-29T00:00:00.000Z,42.38,42.44,40.75,41.13,345800,35.127743664,35.177476194,33.7766766,34.0916492898,345800,0.0,1.0
4,2000-06-30T00:00:00.000Z,43.06,43.25,42.31,42.38,141100,35.6913790036,35.8488653485,35.0697223791,35.127743664,141100,0.0,1.0
5,2000-07-03T00:00:00.000Z,43.25,43.25,42.63,42.81,46600,35.8488653485,35.8488653485,35.3349625389,35.4841601288,46600,0.0,1.0
6,2000-07-05T00:00:00.000Z,43.38,43.38,42.81,43.25,122900,35.9566191634,35.9566191634,35.4841601288,35.8488653485,122900,0.0,1.0
7,2000-07-06T00:00:00.000Z,43.69,43.75,42.25,43.0,254100,36.2135705682,36.2633030982,35.0199898491,35.6416464736,254100,0.0,1.0
8,2000-07-07T00:00:00.000Z,43.69,44.19,43.13,43.69,378100,36.2135705682,36.6280083179,35.7494002886,36.2135705682,378100,0.0,1.0
9,2000-07-10T00:00:00.000Z,43.94,43.94,43.31,43.63,211800,36.4207894431,36.4207894431,35.8985978784,36.1638380383,211800,0.0,1.0
10,2000-07-11T00:00:00.000Z,44.19,44.25,43.69,43.94,515800,36.6280083179,36.6777408479,36.2135705682,36.4207894431,515800,0.0,1.0
11,2000-07-12T00:00:00.000Z,44.19,44.19,44.19,44.19,2476500,36.6280083179,36.6280083179,36.6280083179,36.6280083179,2476500,0.0,1.0
12,2000-07-13T00:00:00.000Z,48.5,48.56,45.25,45.25,1675700,40.2004617203,40.2501942502,37.5066163473,37.5066163473,1675700,0.0,1.0
13,2000-07-14T00:00:00.000Z,49.13,49.69,47.75,48.0,1051500,40.7226532849,41.1868235645,39.5788050957,39.7860239706,1051500,0.0,1.0
14,2000-07-17T00:00:00.000Z,48.63,49.94,48.63,48.88,1055000,40.3082155352,41.3940424394,40.3082155352,40.51543441,1055000,0.0,1.0
15,2000-07-18T00:00:00.000Z,45.63,48.19,45.13,48.13,1134500,37.821589037,39.9435103155,37.4071512873,39.8937777855,1134500,0.0,1.0
16,2000-07-19T00:00:00.000Z,44.75,45.75,44.31,45.5,637100,37.0921785976,37.921054097,36.7274733778,37.7138352221,637100,0.0,1.0
17,2000-07-20T00:00:00.000Z,45.0,45.44,44.31,44.81,1811400,37.2993974724,37.6641026921,36.7274733778,37.1419111275,1811400,0.0,1.0
18,2000-07-21T00:00:00.000Z,49.88,50.0,45.0,45.0,2032000,41.3443099094,41.4437749693,37.2993974724,37.2993974724,2032000,0.0,1.0
19,2000-07-24T00:00:00.000Z,50.0,52.25,49.56,52.0,1578400,41.4437749693,43.308744843,41.0790697496,43.1015259681,1578400,0.0,1.0
20,2000-07-25T00:00:00.000Z,49.81,51.13,48.0,50.38,1098100,41.2862886245,42.3804042837,39.7860239706,41.7587476591,1098100,0.0,1.0
21,2000-07-26T00:00:00.000Z,49.0,51.5,49.0,51.5,1985300,40.61489947,42.6870882184,40.61489947,42.6870882184,1985300,0.0,1.0
22,2000-07-27T00:00:00.000Z,46.88,49.38,46.81,49.38,687600,38.8576834113,40.9298721597,38.7996621263,40.9298721597,687600,0.0,1.0
23,2000-07-28T00:00:00.000Z,45.0,47.56,44.38,47.25,1147700,37.2993974724,39.4213187508,36.7854946628,39.164367346,1147700,0.0,1.0
24,2000-07-31T00:00:00.000Z,44.06,45.25,42.75,45.0,722100,36.520254503,37.5066163473,35.4344275988,37.2993974724,722100,0.0,1.0
25,2000-08-01T00:00:00.000Z,47.88,47.94,44.38,45.25,887900,39.6865589106,39.7362914406,36.7854946628,37.5066163473,887900,0.0,1.0
26,2000-08-02T00:00:00.000Z,47.31,48.88,46.88,47.5,687700,39.214099876,40.51543441,38.8576834113,39.3715862209,687700,0.0,1.0
27,2000-08-03T00:00:00.000Z,46.94,47.5,45.0,45.0,648500,38.9074159412,39.3715862209,37.2993974724,37.2993974724,648500,0.0,1.0
28,2000-08-04T00:00:00.000Z,48.56,48.75,47.0,47.0,917100,40.2501942502,40.4076805951,38.9571484712,38.9571484712,917100,0.0,1.0
29,2000-08-07T00:00:00.000Z,49.63,50.0,46.69,46.75,879500,41.1370910346,41.4437749693,38.7001970664,38.7499295963,879500,0.0,1.0
30,2000-08-08T00:00:00.000Z,48.0,49.94,47.5,49.13,1049200,39.7860239706,41.3940424394,39.3715862209,40.7226532849,1049200,0.0,1.0
31,2000-08-09T00:00:00.000Z,44.5,45.88,43.5,44.25,3899500,36.8849597227,38.0288079119,36.0560842233,36.6777408479,3899500,0.0,1.0
32,2000-08-10T00:00:00.000Z,40.88,43.94,40.75,42.75,4397500,33.8844304149,36.4207894431,33.7766766,35.4344275988,4397500,0.0,1.0
33,2000-08-11T00:00:00.000Z,41.25,42.0,40.56,40.75,2041200,34.1911143497,34.8127709743,33.6191902551,33.7766766,2041200,0.0,1.0
34,2000-08-14T00:00:00.000Z,41.5,43.25,40.38,41.25,1629000,34.3983332246,35.8488653485,33.4699926652,34.1911143497,1629000,0.0,1.0
35,2000-08-15T00:00:00.000Z,43.13,43.63,42.38,43.38,898100,35.7494002886,36.1638380383,35.127743664,35.9566191634,898100,0.0,1.0
36,2000-08-16T00:00:00.000Z,44.5,44.63,43.88,44.0,718300,36.8849597227,36.9927135376,36.3710569131,36.470521973,718300,0.0,1.0
37,2000-08-17T00:00:00.000Z,45.25,45.25,44.19,44.63,882600,37.5066163473,37.5066163473,36.6280083179,36.9927135376,882600,0.0,1.0
38,2000-08-18T00:00:00.000Z,44.63,44.94,44.44,44.81,437400,36.9927135376,37.2496649424,36.8352271928,37.1419111275,437400,0.0,1.0
39,2000-08-21T00:00:00.000Z,45.63,45.75,44.56,44.63,494400,37.821589037,37.921054097,36.9346922527,36.9927135376,494400,0.0,1.0
40,2000-08-22T00:00:00.000Z,46.5,47.13,45.56,45.56,936200,38.5427107215,39.0649022861,37.7635677521,37.7635677521,936200,0.0,1.0
41,2000-08-23T00:00:00.000Z,44.5,46.5,43.06,46.5,1382100,36.8849597227,38.5427107215,35.6913790036,38.5427107215,1382100,0.0,1.0
42,2000-08-24T00:00:00.000Z,43.88,44.31,43.63,44.13,534500,36.3710569131,36.7274733778,36.1638380383,36.5782757879,534500,0.0,1.0
43,2000-08-25T00:00:00.000Z,45.63,46.19,44.31,44.31,257200,37.821589037,38.2857593167,36.7274733778,36.7274733778,257200,0.0,1.0
44,2000-08-28T00:00:00.000Z,47.0,47.38,45.88,45.94,770000,38.9571484712,39.272121161,38.0288079119,38.0785404418,770000,0.0,1.0
45,2000-08-29T00:00:00.000Z,47.44,47.69,46.0,46.75,661300,39.3218536909,39.5290725658,38.1282729718,38.7499295963,661300,0.0,1.0
46,2000-08-30T00:00:00.000Z,47.25,48.81,46.81,48.0,1331600,39.164367346,40.4574131251,38.7996621263,39.7860239706,1331600,0.0,1.0
47,2000-08-31T00:00:00.000Z,48.39,49.13,47.56,47.75,929900,40.1092854153,40.7226532849,39.4213187508,39.5788050957,929900,0.0,1.0
48,2000-09-01T00:00:00.000Z,48.63,48.94,48.5,48.75,695700,40.3082155352,40.56516694,40.2004617203,40.4076805951,695700,0.0,1.0
49,2000-09-05T00:00:00.000Z,49.25,50.0,47.69,48.63,975000,40.8221183448,41.4437749693,39.5290725658,40.3082155352,975000,0.0,1.0
50,2000-09-06T00:00:00.000Z,49.56,50.75,48.5,48.88,1165800,41.0790697496,42.0654315939,40.2004617203,40.51543441,1165800,0.0,1.0
51,2000-09-07T00:00:00.000Z,50.06,50.19,48.88,48.88,747500,41.4935074993,41.6012613142,40.51543441,40.51543441,747500,0.0,1.0
52,2000-09-08T00:00:00.000Z,51.81,51.88,50.13,50.19,1366900,42.9440396232,43.0020609082,41.5515287843,41.6012613142,1366900,0.0,1.0
53,2000-09-11T00:00:00.000Z,53.94,54.5,51.25,51.5,1328600,44.7095444369,45.1737147166,42.4798693436,42.6870882184,1328600,0.0,1.0
54,2000-09-12T00:00:00.000Z,52.56,53.94,52.5,53.94,1098900,43.5656962478,44.7095444369,43.5159637178,44.7095444369,1098900,0.0,1.0
55,2000-09-13T00:00:00.000Z,51.13,52.5,50.63,52.38,772700,42.3804042837,43.5159637178,41.965966534,43.4164986579,772700,0.0,1.0
56,2000-09-14T00:00:00.000Z,52.31,52.81,51.5,51.75,535200,43.3584773729,43.7729151226,42.6870882184,42.8943070933,535200,0.0,1.0
57,2000-09-15T00:00:00.000Z,50.31,52.63,50.25,51.81,1006600,41.7007263742,43.6237175327,41.6509938442,42.9440396232,1006600,0.0,1.0
58,2000-09-18T00:00:00.000Z,49.5,51.19,48.88,50.31,835900,41.0293372197,42.4301368136,40.51543441,41.7007263742,835900,0.0,1.0
59,2000-09-19T00:00:00.000Z,49.75,50.31,49.56,49.88,945100,41.2365560945,41.7007263742,41.0790697496,41.3443099094,945100,0.0,1.0
60,2000-09-20T00:00:00.000Z,50.69,50.69,49.69,49.94,1348400,42.0156990639,42.0156990639,41.1868235645,41.3940424394,1348400,0.0,1.0
61,2000-09-21T00:00:00.000Z,50.06,51.0,48.63,50.44,870300,41.4935074993,42.2726504687,40.3082155352,41.8084801891,870300,0.0,1.0
62,2000-09-22T00:00:00.000Z,49.31,49.5,47.0,47.25,1231800,40.8718508748,41.0293372197,38.9571484712,39.164367346,1231800,0.0,1.0
63,2000-09-25T00:00:00.000Z,49.31,50.69,48.88,49.56,572900,40.8718508748,42.0156990639,40.51543441,41.0790697496,572900,0.0,1.0
64,2000-09-26T00:00:00.000Z,45.31,48.19,44.44,48.0,1403300,37.5563488772,39.9435103155,36.8352271928,39.7860239706,1403300,0.0,1.0
65,2000-09-27T00:00:00.000Z,43.0,46.56,41.13,45.88,3094900,35.6416464736,38.5924432515,34.0916492898,38.0288079119,3094900,0.0,1.0
66,2000-09-28T00:00:00.000Z,43.5,43.69,42.44,42.88,1951300,36.0560842233,36.2135705682,35.177476194,35.5421814137,1951300,0.0,1.0
67,2000-09-29T00:00:00.000Z,43.5,45.0,42.63,43.25,1177900,36.0560842233,37.2993974724,35.3349625389,35.8488653485,1177900,0.0,1.0
68,2000-10-02T00:00:00.000Z,45.75,45.75,43.5,43.63,863600,37.921054097,37.921054097,36.0560842233,36.1638380383,863600,0.0,1.0
69,2000-10-03T00:00:00.000Z,44.88,45.75,44.0,45.38,1076600,37.1999324125,37.921054097,36.470521973,37.6143701622,1076600,0.0,1.0
70,2000-10-04T00:00:00.000Z,42.31,44.06,41.88,44.0,1141800,35.0697223791,36.520254503,34.7133059143,36.470521973,1141800,0.0,1.0
71,2000-10-05T00:00:00.000Z,39.31,43.38,38.0,42.94,2781800,32.5830958809,35.9566191634,31.4972689767,35.5919139437,2781800,0.0,1.0
72,2000-10-06T00:00:00.000Z,39.06,41.0,38.75,39.81,2499500,32.3758770061,33.9838954749,32.1189256012,32.9975336306,2499500,0.0,1.0
73,2000-10-09T00:00:00.000Z,38.81,39.19,38.25,39.06,832500,32.1686581312,32.483630821,31.7044878516,32.3758770061,832500,0.0,1.0
74,2000-10-10T00:00:00.000Z,37.19,38.5,36.88,38.19,1699100,30.8258798222,31.9117067264,30.5689284174,31.6547553216,1699100,0.0,1.0
75,2000-10-11T00:00:00.000Z,34.81,36.5,33.5,36.5,2567200,28.8531561337,30.2539557276,27.7673292295,30.2539557276,2567200,0.0,1.0
76,2000-10-12T00:00:00.000Z,37.06,37.38,34.63,36.5,2195500,30.7264147623,30.9917264925,28.7117038105,30.2621192343,2195500,0.01,1.0
77,2000-10-13T00:00:00.000Z,39.94,40.31,35.19,35.25,1578700,33.1142203347,33.4209870229,29.1759993385,29.2257452879,1578700,0.0,1.0
78,2000-10-16T00:00:00.000Z,40.81,41.25,39.0,39.88,2046400,33.8355366014,34.2003402305,32.3348671271,33.0644743853,2046400,0.0,1.0
79,2000-10-17T00:00:00.000Z,37.94,41.44,36.81,41.19,1063000,31.4560220205,34.3578690704,30.519139973,34.1505942811,1063000,0.0,1.0
80,2000-10-18T00:00:00.000Z,38.19,38.69,34.88,36.88,1726300,31.6632968098,32.0778463884,28.9189785998,30.577176914,1726300,0.0,1.0
81,2000-10-19T00:00:00.000Z,39.88,40.94,39.44,40.38,1100500,33.0644743853,33.9433194918,32.6996707562,33.4790239639,1100500,0.0,1.0
82,2000-10-20T00:00:00.000Z,43.88,44.5,39.13,39.13,1258800,36.3808710137,36.8949124911,32.4426500175,32.4426500175,1258800,0.0,1.0
83,2000-10-23T00:00:00.000Z,43.0,43.63,42.38,43.25,674800,35.6512637555,36.1735962244,35.1372222781,35.8585385447,674800,0.0,1.0
84,2000-10-24T00:00:00.000Z,42.88,43.88,42.63,43.69,648500,35.5517718566,36.3808710137,35.3444970673,36.2233421739,648500,0.0,1.0
