,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-02-04T00:00:00.000Z,21.13,22.0,20.63,22.0,13338800,10.565,11.0,10.315,11.0,26677600,0.0,1.0
1,1997-02-05T00:00:00.000Z,20.25,21.5,20.25,21.25,3381400,10.125,10.75,10.125,10.625,6762800,0.0,1.0
2,1997-02-06T00:00:00.000Z,20.63,20.75,20.25,20.38,1119100,10.315,10.375,10.125,10.19,2238200,0.0,1.0
3,1997-02-07T00:00:00.000Z,20.5,20.63,20.5,20.5,702900,10.25,10.315,10.25,10.25,1405800,0.0,1.0
4,1997-02-10T00:00:00.000Z,21.0,21.25,20.5,20.5,833400,10.5,10.625,10.25,10.25,1666800,0.0,1.0
5,1997-02-11T00:00:00.000Z,21.0,21.25,20.88,21.0,722100,10.5,10.625,10.44,10.5,1444200,0.0,1.0
6,1997-02-12T00:00:00.000Z,20.75,21.13,20.63,21.0,390000,10.375,10.565,10.315,10.5,780000,0.0,1.0
7,1997-02-13T00:00:00.000Z,20.0,20.88,20.0,20.88,759300,10.0,10.44,10.0,10.44,1518600,0.0,1.0
8,1997-02-14T00:00:00.000Z,20.0,20.25,20.0,20.13,255800,10.0,10.125,10.0,10.065,511600,0.0,1.0
9,1997-02-18T00:00:00.000Z,20.13,20.13,20.0,20.13,373000,10.065,10.065,10.0,10.065,746000,0.0,1.0
10,1997-02-19T00:00:00.000Z,20.0,20.13,20.0,20.0,796500,10.0,10.065,10.0,10.0,1593000,0.0,1.0
11,1997-02-20T00:00:00.000Z,20.0,20.13,20.0,20.0,307000,10.0,10.065,10.0,10.0,614000,0.0,1.0
12,1997-02-21T00:00:00.000Z,20.0,20.13,20.0,20.0,378200,10.0,10.065,10.0,10.0,756400,0.0,1.0
13,1997-02-24T00:00:00.000Z,20.0,20.13,20.0,20.0,122200,10.0,10.065,10.0,10.0,244400,0.0,1.0
14,1997-02-25T00:00:00.000Z,20.0,20.13,20.0,20.0,418400,10.0,10.065,10.0,10.0,836800,0.0,1.0
15,1997-02-26T00:00:00.000Z,20.25,20.38,20.0,20.0,1303600,10.125,10.19,10.0,10.0,2607200,0.0,1.0
16,1997-02-27T00:00:00.000Z,20.0,20.25,20.0,20.25,1057500,10.0,10.125,10.0,10.125,2115000,0.0,1.0
17,1997-02-28T00:00:00.000Z,20.13,20.13,20.0,20.0,94200,10.065,10.065,10.0,10.0,188400,0.0,1.0
18,1997-03-03T00:00:00.000Z,20.0,20.13,20.0,20.13,1153500,10.0,10.065,10.0,10.065,2307000,0.0,1.0
19,1997-03-04T00:00:00.000Z,19.0,20.13,18.75,20.0,812300,9.5,10.065,9.375,10.0,1624600,0.0,1.0
20,1997-03-05T00:00:00.000Z,19.13,19.25,18.88,19.0,397900,9.565,9.625,9.44,9.5,795800,0.0,1.0
21,1997-03-06T00:00:00.000Z,19.38,19.38,19.13,19.13,524500,9.69,9.69,9.565,9.565,1049000,0.0,1.0
22,1997-03-07T00:00:00.000Z,19.63,19.63,19.13,19.25,208500,9.815,9.815,9.565,9.625,417000,0.0,1.0
23,1997-03-10T00:00:00.000Z,19.63,20.0,19.5,19.63,283500,9.815,10.0,9.75,9.815,567000,0.0,1.0
24,1997-03-11T00:00:00.000Z,19.25,19.63,19.13,19.38,219400,9.625,9.815,9.565,9.69,438800,0.0,1.0
25,1997-03-12T00:00:00.000Z,19.0,19.38,19.0,19.38,36100,9.5,9.69,9.5,9.69,72200,0.0,1.0
26,1997-03-13T00:00:00.000Z,17.63,19.0,17.5,18.88,134600,8.815,9.5,8.75,9.44,269200,0.0,1.0
27,1997-03-14T00:00:00.000Z,16.88,17.75,16.75,17.75,161100,8.44,8.875,8.375,8.875,322200,0.0,1.0
28,1997-03-17T00:00:00.000Z,16.88,17.0,16.63,17.0,222900,8.44,8.5,8.315,8.5,445800,0.0,1.0
29,1997-03-18T00:00:00.000Z,16.63,17.0,16.63,16.88,198600,8.315,8.5,8.315,8.44,397200,0.0,1.0
30,1997-03-19T00:00:00.000Z,16.5,16.88,16.5,16.63,107900,8.25,8.44,8.25,8.315,215800,0.0,1.0
31,1997-03-20T00:00:00.000Z,16.88,16.88,16.5,16.5,91300,8.44,8.44,8.25,8.25,182600,0.0,1.0
32,1997-03-21T00:00:00.000Z,16.63,16.88,16.63,16.88,32700,8.315,8.44,8.315,8.44,65400,0.0,1.0
33,1997-03-24T00:00:00.000Z,16.25,16.5,15.38,16.5,412600,8.125,8.25,7.69,8.25,825200,0.0,1.0
34,1997-03-25T00:00:00.000Z,15.5,16.13,15.38,15.88,249800,7.75,8.065,7.69,7.94,499600,0.0,1.0
35,1997-03-26T00:00:00.000Z,15.63,15.88,15.38,15.38,124100,7.815,7.94,7.69,7.69,248200,0.0,1.0
36,1997-03-27T00:00:00.000Z,15.25,15.63,15.25,15.63,346000,7.625,7.815,7.625,7.815,692000,0.0,1.0
37,1997-03-31T00:00:00.000Z,15.0,15.25,14.63,15.13,372900,7.5,7.625,7.315,7.565,745800,0.0,1.0
38,1997-04-01T00:00:00.000Z,14.63,15.0,14.38,15.0,533900,7.315,7.5,7.19,7.5,1067800,0.0,1.0
39,1997-04-02T00:00:00.000Z,14.63,14.63,14.38,14.63,172000,7.315,7.315,7.19,7.315,344000,0.0,1.0
40,1997-04-03T00:00:00.000Z,14.88,14.88,14.38,14.5,529500,7.44,7.44,7.19,7.25,1059000,0.0,1.0
41,1997-04-04T00:00:00.000Z,15.0,15.0,14.5,14.75,169000,7.5,7.5,7.25,7.375,338000,0.0,1.0
42,1997-04-07T00:00:00.000Z,16.0,17.0,15.13,15.38,375400,8.0,8.5,7.565,7.69,750800,0.0,1.0
43,1997-04-08T00:00:00.000Z,15.25,15.63,15.13,15.38,100500,7.625,7.815,7.565,7.69,201000,0.0,1.0
44,1997-04-09T00:00:00.000Z,15.25,15.38,15.19,15.38,109700,7.625,7.69,7.595,7.69,219400,0.0,1.0
45,1997-04-10T00:00:00.000Z,15.25,15.38,15.13,15.25,37300,7.625,7.69,7.565,7.625,74600,0.0,1.0
46,1997-04-11T00:00:00.000Z,15.0,15.25,15.0,15.25,150500,7.5,7.625,7.5,7.625,301000,0.0,1.0
47,1997-04-14T00:00:00.000Z,15.0,15.0,14.63,15.0,288500,7.5,7.5,7.315,7.5,577000,0.0,1.0
48,1997-04-15T00:00:00.000Z,14.75,15.13,14.63,15.0,145100,7.375,7.565,7.315,7.5,290200,0.0,1.0
49,1997-04-16T00:00:00.000Z,14.88,14.88,14.75,14.75,136000,7.44,7.44,7.375,7.375,272000,0.0,1.0
50,1997-04-17T00:00:00.000Z,15.0,15.0,14.75,14.88,216100,7.5,7.5,7.375,7.44,432200,0.0,1.0
51,1997-04-18T00:00:00.000Z,14.5,15.0,14.5,15.0,168700,7.25,7.5,7.25,7.5,337400,0.0,1.0
52,1997-04-21T00:00:00.000Z,14.13,14.5,14.0,14.38,241300,7.065,7.25,7.0,7.19,482600,0.0,1.0
53,1997-04-22T00:00:00.000Z,14.0,14.13,13.88,14.0,123000,7.0,7.065,6.94,7.0,246000,0.0,1.0
54,1997-04-23T00:00:00.000Z,14.13,14.5,14.13,14.13,44500,7.065,7.25,7.065,7.065,89000,0.0,1.0
55,1997-04-24T00:00:00.000Z,13.88,14.13,13.88,14.0,35900,6.94,7.065,6.94,7.0,71800,0.0,1.0
56,1997-04-25T00:00:00.000Z,13.75,14.0,13.75,14.0,33800,6.875,7.0,6.875,7.0,67600,0.0,1.0
57,1997-04-28T00:00:00.000Z,13.5,13.75,13.5,13.75,199100,6.75,6.875,6.75,6.875,398200,0.0,1.0
58,1997-04-29T00:00:00.000Z,14.0,14.0,13.5,13.63,77400,7.0,7.0,6.75,6.815,154800,0.0,1.0
