,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2013-09-23T00:00:00.000Z,19.4,19.5,19.25,19.25,87200,19.4,19.5,19.25,19.25,87200,0.0,1.0
1,2013-09-24T00:00:00.000Z,22.9,23.0,21.0,21.0,65000,22.9,23.0,21.0,21.0,65000,0.0,1.0
2,2013-09-25T00:00:00.000Z,23.05,24.0,21.95,24.0,118400,23.05,24.0,21.95,24.0,118400,0.0,1.0
3,2013-09-26T00:00:00.000Z,24.5,24.5,23.1,23.1,192400,24.5,24.5,23.1,23.1,192400,0.0,1.0
4,2013-09-27T00:00:00.000Z,25.5,26.25,24.65,24.75,193700,25.5,26.25,24.65,24.75,193700,0.0,1.0
5,2013-09-30T00:00:00.000Z,25.0,26.5,25.0,26.5,32200,25.0,26.5,25.0,26.5,32200,0.0,1.0
6,2013-10-01T00:00:00.000Z,25.65,25.75,25.25,25.5,160800,25.65,25.75,25.25,25.5,160800,0.0,1.0
7,2013-10-02T00:00:00.000Z,25.65,26.05,25.5,25.65,27800,25.65,26.05,25.5,25.65,27800,0.0,1.0
8,2013-10-03T00:00:00.000Z,28.0,28.0,25.5,25.5,22200,28.0,28.0,25.5,25.5,22200,0.0,1.0
9,2013-10-04T00:00:00.000Z,28.05,28.12,27.0,27.0,136000,28.05,28.12,27.0,27.0,136000,0.0,1.0
10,2013-10-07T00:00:00.000Z,29.0,30.0,28.75,29.0,10200,29.0,30.0,28.75,29.0,10200,0.0,1.0
11,2013-10-08T00:00:00.000Z,28.0,29.0,28.0,29.0,7800,28.0,29.0,28.0,29.0,7800,0.0,1.0
12,2013-10-09T00:00:00.000Z,27.0,27.5,26.5,27.5,4400,27.0,27.5,26.5,27.5,4400,0.0,1.0
13,2013-10-10T00:00:00.000Z,27.0,27.5,26.9,26.9,10800,27.0,27.5,26.9,26.9,10800,0.0,1.0
14,2013-10-11T00:00:00.000Z,27.0,27.5,26.75,27.5,81200,27.0,27.5,26.75,27.5,81200,0.0,1.0
15,2013-10-14T00:00:00.000Z,25.5,27.5,25.5,27.5,6132,25.5,27.5,25.5,27.5,6132,0.0,1.0
16,2013-10-15T00:00:00.000Z,26.0,26.75,25.5,25.5,5600,26.0,26.75,25.5,25.5,5600,0.0,1.0
17,2013-10-16T00:00:00.000Z,25.75,26.5,25.55,26.5,1200,25.75,26.5,25.55,26.5,1200,0.0,1.0
18,2013-10-17T00:00:00.000Z,25.55,27.25,25.55,26.5,23308,25.55,27.25,25.55,26.5,23308,0.0,1.0
19,2013-10-18T00:00:00.000Z,25.05,26.0,24.64,26.0,49286,25.05,26.0,24.64,26.0,49286,0.0,1.0
20,2013-10-21T00:00:00.000Z,24.5,25.25,24.5,25.0,18800,24.5,25.25,24.5,25.0,18800,0.0,1.0
21,2013-10-22T00:00:00.000Z,23.5,24.5,23.5,24.25,78200,23.5,24.5,23.5,24.25,78200,0.0,1.0
22,2013-10-23T00:00:00.000Z,23.25,24.5,23.05,24.5,104000,23.25,24.5,23.05,24.5,104000,0.0,1.0
23,2013-10-24T00:00:00.000Z,23.11,24.0,23.0,24.0,89200,23.11,24.0,23.0,24.0,89200,0.0,1.0
24,2013-10-25T00:00:00.000Z,22.8,23.0,22.8,23.0,40600,22.8,23.0,22.8,23.0,40600,0.0,1.0
25,2013-10-28T00:00:00.000Z,22.75,23.0,22.5,22.8,12600,22.75,23.0,22.5,22.8,12600,0.0,1.0
26,2013-10-29T00:00:00.000Z,22.62,23.5,22.0,22.75,108800,22.62,23.5,22.0,22.75,108800,0.0,1.0
27,2013-10-30T00:00:00.000Z,24.8,25.0,23.25,23.25,78800,24.8,25.0,23.25,23.25,78800,0.0,1.0
28,2013-10-31T00:00:00.000Z,26.0,26.75,24.25,24.9,247000,26.0,26.75,24.25,24.9,247000,0.0,1.0
29,2013-11-01T00:00:00.000Z,26.25,27.5,25.05,26.3,75700,26.25,27.5,25.05,26.3,75700,0.0,1.0
30,2013-11-04T00:00:00.000Z,26.9,27.0,26.52,26.52,49500,26.9,27.0,26.52,26.52,49500,0.0,1.0
31,2013-11-05T00:00:00.000Z,26.9,27.0,26.5,27.0,35500,26.9,27.0,26.5,27.0,35500,0.0,1.0
32,2013-11-06T00:00:00.000Z,26.0,27.03,25.75,27.03,14000,26.0,27.03,25.75,27.03,14000,0.0,1.0
33,2013-11-07T00:00:00.000Z,25.2125,25.8,24.95,25.65,19200,25.2125,25.8,24.95,25.65,19200,0.0,1.0
34,2013-11-08T00:00:00.000Z,25.24,25.5,24.9001,25.0,71200,25.24,25.5,24.9001,25.0,71200,0.0,1.0
35,2013-11-11T00:00:00.000Z,25.4,25.4,25.25,25.3001,5600,25.4,25.4,25.25,25.3001,5600,0.0,1.0
36,2013-11-12T00:00:00.000Z,24.8,25.5,24.8,25.4,17200,24.8,25.5,24.8,25.4,17200,0.0,1.0
37,2013-11-13T00:00:00.000Z,24.74,25.4206,24.62,25.2,19400,24.74,25.4206,24.62,25.2,19400,0.0,1.0
38,2013-11-14T00:00:00.000Z,24.74,24.84,24.57,24.75,14600,24.74,24.84,24.57,24.75,14600,0.0,1.0
39,2013-11-15T00:00:00.000Z,24.45,24.6,24.32,24.491,36400,24.45,24.6,24.32,24.491,36400,0.0,1.0
40,2013-11-18T00:00:00.000Z,23.76,24.53,23.35,24.41,18600,23.76,24.53,23.35,24.41,18600,0.0,1.0
41,2013-11-19T00:00:00.000Z,23.7,23.9699,23.5,23.55,23800,23.7,23.9699,23.5,23.55,23800,0.0,1.0
42,2013-11-20T00:00:00.000Z,23.46,23.5499,23.23,23.4,9100,23.46,23.5499,23.23,23.4,9100,0.0,1.0
43,2013-11-21T00:00:00.000Z,23.23,23.6,23.081,23.09,22700,23.23,23.6,23.081,23.09,22700,0.0,1.0
44,2013-11-22T00:00:00.000Z,23.02,23.44,22.9001,23.44,22500,23.02,23.44,22.9001,23.44,22500,0.0,1.0
45,2013-11-25T00:00:00.000Z,23.2,23.63,22.78,22.83,10200,23.2,23.63,22.78,22.83,10200,0.0,1.0
46,2013-11-26T00:00:00.000Z,24.62,24.94,22.76,22.77,139400,24.62,24.94,22.76,22.77,139400,0.0,1.0
47,2013-11-27T00:00:00.000Z,25.35,25.58,24.837,24.87,12500,25.35,25.58,24.837,24.87,12500,0.0,1.0
48,2013-11-29T00:00:00.000Z,26.48,26.88,24.8,25.1,58400,26.48,26.88,24.8,25.1,58400,0.0,1.0
49,2013-12-02T00:00:00.000Z,26.96,27.41,26.5,26.69,179700,26.96,27.41,26.5,26.69,179700,0.0,1.0
50,2013-12-03T00:00:00.000Z,26.89,26.95,26.37,26.75,25600,26.89,26.95,26.37,26.75,25600,0.0,1.0
51,2013-12-04T00:00:00.000Z,27.66,28.23,26.8,26.96,185800,27.66,28.23,26.8,26.96,185800,0.0,1.0
52,2013-12-05T00:00:00.000Z,27.0,27.5,26.7,27.39,66400,27.0,27.5,26.7,27.39,66400,0.0,1.0
53,2013-12-06T00:00:00.000Z,26.51,27.0,25.9,26.99,90200,26.51,27.0,25.9,26.99,90200,0.0,1.0
54,2013-12-09T00:00:00.000Z,26.27,26.9,25.46,25.46,61100,26.27,26.9,25.46,25.46,61100,0.0,1.0
55,2013-12-10T00:00:00.000Z,27.43,27.45,26.07,26.51,87700,27.43,27.45,26.07,26.51,87700,0.0,1.0
56,2013-12-11T00:00:00.000Z,27.7,28.1,26.71,27.16,154600,27.7,28.1,26.71,27.16,154600,0.0,1.0
57,2013-12-12T00:00:00.000Z,28.19,28.58,27.511,27.84,313100,28.19,28.58,27.511,27.84,313100,0.0,1.0
58,2013-12-13T00:00:00.000Z,29.3,29.5,28.41,28.44,244000,29.3,29.5,28.41,28.44,244000,0.0,1.0
59,2013-12-16T00:00:00.000Z,32.25,32.33,29.4,29.4,538500,32.25,32.33,29.4,29.4,538500,0.0,1.0
60,2013-12-17T00:00:00.000Z,32.1,32.95,31.09,32.02,261100,32.1,32.95,31.09,32.02,261100,0.0,1.0
61,2013-12-18T00:00:00.000Z,32.98,34.61,32.21,32.66,299600,32.98,34.61,32.21,32.66,299600,0.0,1.0
62,2013-12-19T00:00:00.000Z,33.91,34.355,32.89,33.33,278000,33.91,34.355,32.89,33.33,278000,0.0,1.0
63,2013-12-20T00:00:00.000Z,32.86,34.51,32.75,33.91,1030600,32.86,34.51,32.75,33.91,1030600,0.0,1.0
64,2013-12-23T00:00:00.000Z,32.06,34.2,31.81,33.3,98300,32.06,34.2,31.81,33.3,98300,0.0,1.0
65,2013-12-24T00:00:00.000Z,32.35,32.83,31.8,31.8,14400,32.35,32.83,31.8,31.8,14400,0.0,1.0
66,2013-12-26T00:00:00.000Z,33.42,33.49,32.28,32.51,39100,33.42,33.49,32.28,32.51,39100,0.0,1.0
67,2013-12-27T00:00:00.000Z,33.68,33.68,32.17,33.33,41900,33.68,33.68,32.17,33.33,41900,0.0,1.0
68,2013-12-30T00:00:00.000Z,33.41,33.81,33.06,33.81,65800,33.41,33.81,33.06,33.81,65800,0.0,1.0
69,2013-12-31T00:00:00.000Z,34.71,34.71,33.0,33.01,167600,34.71,34.71,33.0,33.01,167600,0.0,1.0
70,2014-01-02T00:00:00.000Z,34.02,34.41,32.8,34.41,153700,34.02,34.41,32.8,34.41,153700,0.0,1.0
71,2014-01-03T00:00:00.000Z,32.9,33.8,31.9501,33.8,119900,32.9,33.8,31.9501,33.8,119900,0.0,1.0
72,2014-01-06T00:00:00.000Z,34.27,34.42,32.68,32.68,54000,34.27,34.42,32.68,32.68,54000,0.0,1.0
73,2014-01-07T00:00:00.000Z,36.3,37.15,34.14,34.14,150900,36.3,37.15,34.14,34.14,150900,0.0,1.0
74,2014-01-08T00:00:00.000Z,37.2,37.73,36.4,36.4,57700,37.2,37.73,36.4,36.4,57700,0.0,1.0
