,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,26.13,27.0,26.0,26.75,99700,3.9304610028,4.0613259501,3.9109064705,4.0237210802,202800,0.0,1.0
1,1997-01-03T00:00:00.000Z,26.88,26.88,26.38,26.38,76800,4.0432756126,4.0432756126,3.9680658728,3.9680658728,156200,0.0,1.0
2,1997-01-06T00:00:00.000Z,27.0,27.38,27.0,27.0,61200,4.0613259501,4.1184853524,4.0613259501,4.0613259501,124500,0.0,1.0
3,1997-01-07T00:00:00.000Z,27.25,27.25,26.88,27.13,45400,4.09893082,4.09893082,4.0432756126,4.0808804825,92300,0.0,1.0
4,1997-01-08T00:00:00.000Z,27.5,27.75,27.38,27.38,45400,4.1365356899,4.1741405599,4.1184853524,4.1184853524,92300,0.0,1.0
5,1997-01-09T00:00:00.000Z,27.13,27.5,26.75,27.5,76900,4.0808804825,4.1365356899,4.0237210802,4.1365356899,156400,0.0,1.0
6,1997-01-10T00:00:00.000Z,26.63,27.0,26.63,26.88,29000,4.0056707427,4.0613259501,4.0056707427,4.0432756126,59000,0.0,1.0
7,1997-01-13T00:00:00.000Z,27.0,27.0,26.75,26.88,21500,4.0613259501,4.0613259501,4.0237210802,4.0432756126,43700,0.0,1.0
8,1997-01-14T00:00:00.000Z,27.25,27.25,27.13,27.13,31400,4.09893082,4.09893082,4.0808804825,4.0808804825,63900,0.0,1.0
9,1997-01-15T00:00:00.000Z,26.63,27.5,26.63,27.38,86700,4.0056707427,4.1365356899,4.0056707427,4.1184853524,176300,0.0,1.0
10,1997-01-16T00:00:00.000Z,26.63,26.88,26.63,26.63,24800,4.0056707427,4.0432756126,4.0056707427,4.0056707427,50400,0.0,1.0
11,1997-01-17T00:00:00.000Z,27.0,27.0,26.5,26.75,38800,4.0613259501,4.0613259501,3.9861162103,4.0237210802,78900,0.0,1.0
12,1997-01-20T00:00:00.000Z,27.13,27.25,27.0,27.13,21600,4.0808804825,4.09893082,4.0613259501,4.0808804825,43900,0.0,1.0
13,1997-01-21T00:00:00.000Z,27.0,27.25,26.88,26.88,44000,4.0613259501,4.09893082,4.0432756126,4.0432756126,89500,0.0,1.0
14,1997-01-22T00:00:00.000Z,27.13,27.38,27.0,27.13,63300,4.0808804825,4.1184853524,4.0613259501,4.0808804825,128800,0.0,1.0
15,1997-01-23T00:00:00.000Z,27.0,27.13,26.75,27.0,39900,4.0613259501,4.0808804825,4.0237210802,4.0613259501,81200,0.0,1.0
