,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2018-10-01T00:00:00.000Z,168.87,169.1,165.29,165.58,2329700,162.656418491,162.8779556276,159.2081448,159.4874742331,2329700,0.0,1.0
1,2018-10-11T00:00:00.000Z,154.26,158.21,153.77,157.93,1977000,148.583994294,152.3886538134,148.1120238726,152.1189564297,1977000,0.0,1.0
2,2018-10-30T00:00:00.000Z,164.5,167.67,162.74,166.11,57375600,158.4472128961,161.5005725611,156.7519721989,159.9979728521,57375600,0.0,1.0
3,2018-10-31T00:00:00.000Z,165.47,165.6,161.31,161.74,18032200,159.3815216895,159.5067383319,155.3745891324,155.7887672573,18032200,0.0,1.0
4,2018-11-01T00:00:00.000Z,162.0,165.48,161.94,164.66,11423500,156.0392005421,159.3911537389,155.9814082456,158.6013256868,11423500,0.0,1.0
5,2018-11-02T00:00:00.000Z,159.84,161.81,155.44,160.66,6835100,153.9586778682,155.8561916032,149.7205761251,154.7485059203,6835100,0.0,1.0
6,2018-11-05T00:00:00.000Z,161.99,162.19,157.45,157.65,4477400,156.0295684927,156.222209481,151.6566180577,151.8492590461,4477400,0.0,1.0
7,2018-11-06T00:00:00.000Z,165.53,166.35,161.67,161.83,2510600,159.439313986,160.2291420381,155.7213429114,155.875455702,2510600,0.0,1.0
8,2018-11-07T00:00:00.000Z,166.85,166.85,164.23,164.54,7626300,160.7107445089,160.7107445089,158.1871475619,158.4857410938,7626300,0.0,1.0
9,2018-11-08T00:00:00.000Z,165.3,166.15,162.93,164.5,4010000,159.2177768494,160.0365010498,156.9349811378,158.4472128961,4010000,0.0,1.0
10,2018-11-09T00:00:00.000Z,161.52,163.94,160.55,162.99,3249100,155.5768621701,157.9078181288,154.6425533768,156.9927734343,3249100,0.0,1.0
11,2018-11-12T00:00:00.000Z,159.22,162.3,158.91,160.06,1990800,153.3614908044,156.3281620246,153.0628972725,154.1705829554,1990800,0.0,1.0
12,2018-11-13T00:00:00.000Z,156.93,160.33,156.53,160.22,2507100,151.1557514881,154.4306482896,150.7704695114,154.324695746,2507100,0.0,1.0
13,2018-11-14T00:00:00.000Z,153.36,158.24,153.0,158.19,2338700,147.7171098465,152.4175499616,147.3703560675,152.3693897145,2338700,0.0,1.0
14,2018-11-15T00:00:00.000Z,155.18,156.3,152.56,156.09,2759400,149.4701428403,150.5489323749,146.9465458932,150.3466593371,2759400,0.0,1.0
15,2018-11-16T00:00:00.000Z,158.08,158.46,153.4,153.74,2726800,152.263437171,152.6294550488,147.7556380442,148.0831277243,2726800,0.0,1.0
16,2018-11-19T00:00:00.000Z,159.5,161.45,158.44,158.61,2464700,153.6311881881,155.5094378242,152.6101909499,152.77393579,2464700,0.0,1.0
17,2018-11-20T00:00:00.000Z,157.87,160.19,157.24,157.49,2151600,152.0611641332,154.2957995978,151.45434502,151.6951462554,2151600,0.0,1.0
18,2018-11-21T00:00:00.000Z,159.06,161.24,158.55,159.24,2070900,153.2073780137,155.3071647865,152.7161434935,153.3807549032,2070900,0.0,1.0
19,2018-11-23T00:00:00.000Z,156.19,158.01,156.02,156.86,963558,150.4429798313,152.196012825,150.2792349912,151.0883271422,963558,0.0,1.0
20,2018-11-26T00:00:00.000Z,157.32,158.22,156.88,157.04,2678200,151.5314014153,152.3982858628,151.107591241,151.2617040317,2678200,0.0,1.0
21,2018-11-27T00:00:00.000Z,152.55,156.65,151.52,155.66,2525900,146.9369138438,150.8860541044,145.9448127539,149.9324812122,2525900,0.0,1.0
22,2018-11-28T00:00:00.000Z,156.29,156.48,151.7,153.53,1808800,150.5393003255,150.7223092644,146.1181896434,147.8808546866,1808800,0.0,1.0
23,2018-11-29T00:00:00.000Z,159.31,159.84,155.35,155.51,2901300,153.4481792491,153.9586778682,149.6338876803,149.788000471,2901300,0.0,1.0
24,2018-11-30T00:00:00.000Z,159.05,160.61,156.94,157.02,3944100,153.1977459643,154.7003456733,151.1653835375,151.2424399328,3944100,0.0,1.0
25,2018-12-03T00:00:00.000Z,164.35,164.42,159.92,162.3,3177200,158.3027321549,158.3701565008,154.0357342635,156.3281620246,3177200,0.0,1.0
26,2018-12-04T00:00:00.000Z,160.83,164.29,160.45,163.95,2746100,154.9122507604,158.2449398584,154.5462328826,157.9174501783,2746100,0.0,1.0
27,2018-12-06T00:00:00.000Z,155.98,159.02,153.0,158.53,4785369,150.2407067936,153.1688498161,147.3703560675,152.6968793947,4785369,0.0,1.0
28,2018-12-07T00:00:00.000Z,152.72,158.52,152.36,156.22,2518700,147.1006586839,152.6872473453,146.7539049049,150.4718759795,2518700,0.0,1.0
29,2018-12-10T00:00:00.000Z,156.91,157.54,154.11,156.03,2540400,151.1364873893,151.7433065025,148.4395135527,150.2888670406,2540400,0.0,1.0
