,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,72.5,73.25,71.13,72.25,1005300,18.3108488089,18.5002713828,17.9648369073,18.2477079509,2010600,0.0,1.0
1,1997-01-03T00:00:00.000Z,75.25,75.25,72.88,73.25,806000,19.0053982465,19.0053982465,18.406822913,18.5002713828,1612000,0.0,1.0
2,1997-01-06T00:00:00.000Z,75.38,76.38,74.38,76.0,1045100,19.0382314926,19.2907949245,18.7856680608,19.1948208204,2090200,0.0,1.0
3,1997-01-07T00:00:00.000Z,76.25,76.25,74.0,74.75,1111200,19.2579616783,19.2579616783,18.6896939567,18.8791165306,2222400,0.0,1.0
4,1997-01-08T00:00:00.000Z,74.88,76.5,74.5,76.0,1476300,18.9119497767,19.3211025363,18.8159756726,19.1948208204,2952600,0.0,1.0
5,1997-01-09T00:00:00.000Z,75.63,76.38,74.5,74.63,793700,19.1013723506,19.2907949245,18.8159756726,18.8488089187,1587400,0.0,1.0
6,1997-01-10T00:00:00.000Z,76.38,76.63,74.0,74.25,1560400,19.2907949245,19.3539357824,18.6896939567,18.7528348146,3120800,0.0,1.0
7,1997-01-13T00:00:00.000Z,77.63,77.63,75.88,76.5,1238200,19.6064992143,19.6064992143,19.1645132085,19.3211025363,2476400,0.0,1.0
8,1997-01-14T00:00:00.000Z,79.38,79.88,77.75,78.38,1388500,20.04848522,20.1747669359,19.6368068261,19.7959217882,2777000,0.0,1.0
9,1997-01-15T00:00:00.000Z,79.5,80.13,78.0,78.5,1485400,20.0787928318,20.2379077939,19.6999476841,19.8262294,2970800,0.0,1.0
10,1997-01-16T00:00:00.000Z,80.13,80.5,79.0,79.75,1124200,20.2379077939,20.3313562637,19.9525111159,20.1419336898,2248400,0.0,1.0
11,1997-01-17T00:00:00.000Z,81.75,81.88,80.0,80.25,1135000,20.6470605535,20.6798937996,20.2050745477,20.2682154057,2270000,0.0,1.0
12,1997-01-20T00:00:00.000Z,81.63,82.75,81.13,81.75,677500,20.6167529417,20.8996239853,20.4904712257,20.6470605535,1355000,0.0,1.0
13,1997-01-21T00:00:00.000Z,83.38,83.63,80.75,81.0,1112700,21.0587389474,21.1218798054,20.3944971216,20.4576379796,2225400,0.0,1.0
14,1997-01-22T00:00:00.000Z,84.38,85.5,83.5,84.0,2015400,21.3113023792,21.5941734229,21.0890465592,21.2153282751,4030800,0.0,1.0
15,1997-01-23T00:00:00.000Z,82.13,86.13,82.13,85.0,1685600,20.7430346576,21.753288385,20.7430346576,21.467891707,3371200,0.0,1.0
16,1997-01-24T00:00:00.000Z,82.63,84.13,81.75,82.38,1547100,20.8693163735,21.2481615213,20.6470605535,20.8061755155,3094200,0.0,1.0
17,1997-01-27T00:00:00.000Z,80.38,83.0,80.0,82.5,1162600,20.3010486518,20.9627648433,20.2050745477,20.8364831274,2325200,0.0,1.0
18,1997-01-28T00:00:00.000Z,82.25,85.0,81.25,82.5,2286500,20.7733422694,21.467891707,20.5207788376,20.8364831274,4573000,0.0,1.0
19,1997-01-29T00:00:00.000Z,82.0,83.5,82.0,82.38,1382900,20.7102014114,21.0890465592,20.7102014114,20.8061755155,2765800,0.0,1.0
20,1997-01-30T00:00:00.000Z,86.88,86.88,82.63,83.0,1982000,21.9427109589,21.9427109589,20.8693163735,20.9627648433,3964000,0.0,1.0
21,1997-01-31T00:00:00.000Z,87.13,88.5,86.88,87.25,1756200,22.0058518168,22.3518637184,21.9427109589,22.0361594286,3512400,0.0,1.0
22,1997-02-03T00:00:00.000Z,87.63,88.13,86.5,87.13,885200,22.1321335327,22.2584152487,21.8467368548,22.0058518168,1770400,0.0,1.0
23,1997-02-04T00:00:00.000Z,87.38,88.5,87.0,87.25,767200,22.0689926748,22.3518637184,21.9730185707,22.0361594286,1534400,0.0,1.0
24,1997-02-05T00:00:00.000Z,87.13,88.75,85.75,87.63,1377400,22.0058518168,22.4150045764,21.6573142809,22.1321335327,2754800,0.0,1.0
25,1997-02-06T00:00:00.000Z,86.88,87.88,86.25,86.38,1260200,21.9427109589,22.1952743907,21.7835959968,21.8164292429,2520400,0.0,1.0
26,1997-02-07T00:00:00.000Z,89.0,89.25,87.5,88.0,1342400,22.4781454344,22.5412862923,22.0993002866,22.2255820025,2684800,0.0,1.0
27,1997-02-10T00:00:00.000Z,88.75,90.25,88.13,89.75,1560900,22.4150045764,22.7938497242,22.2584152487,22.6675680083,3121800,0.0,1.0
28,1997-02-11T00:00:00.000Z,89.38,89.5,87.63,89.0,1075700,22.5741195385,22.6044271503,22.1321335327,22.4781454344,2151400,0.0,1.0
29,1997-02-12T00:00:00.000Z,90.5,90.5,88.75,89.5,1212900,22.9479134176,22.9479134176,22.5041692355,22.6943453135,2425800,0.36,1.0
30,1997-02-13T00:00:00.000Z,92.5,93.0,90.88,91.75,1644600,23.4550496257,23.5818336778,23.0442692971,23.2648735477,3289200,0.0,1.0
31,1997-02-14T00:00:00.000Z,92.75,93.63,92.5,92.75,1395800,23.5184416517,23.7415815833,23.4550496257,23.5184416517,2791600,0.0,1.0
32,1997-02-18T00:00:00.000Z,92.63,93.0,91.63,92.0,1100700,23.4880134793,23.5818336778,23.2344453752,23.3282655737,2201400,0.0,1.0
33,1997-02-19T00:00:00.000Z,93.88,94.5,93.0,94.0,1280900,23.8049736093,23.9621858339,23.5818336778,23.8354017818,2561800,0.0,1.0
