,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2013-06-17T00:00:00.000Z,45.0,50.0,43.2,43.2,236700,45.0,50.0,43.2,43.2,236700,0.0,1.0
1,2013-06-18T00:00:00.000Z,44.0,45.0,43.5,44.5,1082600,44.0,45.0,43.5,44.5,1082600,0.0,1.0
2,2013-06-19T00:00:00.000Z,43.1,44.05,43.0,44.0,540800,43.1,44.05,43.0,44.0,540800,0.0,1.0
3,2013-06-20T00:00:00.000Z,42.94,43.5,42.0,43.0,1013600,42.94,43.5,42.0,43.0,1013600,0.0,1.0
4,2013-06-21T00:00:00.000Z,43.5,43.5,42.04,43.29,913700,43.5,43.5,42.04,43.29,913700,0.0,1.0
5,2013-06-24T00:00:00.000Z,43.5,44.0,42.96,44.0,272100,43.5,44.0,42.96,44.0,272100,0.0,1.0
6,2013-06-25T00:00:00.000Z,44.0,44.38,42.71,43.5,224300,44.0,44.38,42.71,43.5,224300,0.0,1.0
7,2013-06-26T00:00:00.000Z,44.1,45.47,43.31,43.5,1422800,44.1,45.47,43.31,43.5,1422800,0.0,1.0
8,2013-06-27T00:00:00.000Z,44.95,45.5,44.22,44.85,612700,44.95,45.5,44.22,44.85,612700,0.0,1.0
9,2013-06-28T00:00:00.000Z,45.43,46.65,44.1,45.49,7775700,45.43,46.65,44.1,45.49,7775700,0.0,1.0
10,2013-07-01T00:00:00.000Z,44.0,46.43,43.75,45.94,5787000,44.0,46.43,43.75,45.94,5787000,0.0,1.0
11,2013-07-02T00:00:00.000Z,42.26,45.26,41.85,43.66,6730400,42.26,45.26,41.85,43.66,6730400,0.0,1.0
12,2013-07-03T00:00:00.000Z,43.1,43.1,41.2,42.0,5069300,43.1,43.1,41.2,42.0,5069300,0.0,1.0
13,2013-07-05T00:00:00.000Z,44.23,44.32,42.26,42.26,1754500,44.23,44.32,42.26,42.26,1754500,0.0,1.0
14,2013-07-08T00:00:00.000Z,43.01,44.27,41.5,43.25,4796400,43.01,44.27,41.5,43.25,4796400,0.0,1.0
15,2013-07-09T00:00:00.000Z,43.27,43.51,42.1,42.5,4196300,43.27,43.51,42.1,42.5,4196300,0.0,1.0
16,2013-07-10T00:00:00.000Z,42.12,42.83,41.18,42.81,5929100,42.12,42.83,41.18,42.81,5929100,0.0,1.0
17,2013-07-11T00:00:00.000Z,42.4,42.57,42.04,42.15,2292300,42.4,42.57,42.04,42.15,2292300,0.0,1.0
18,2013-07-12T00:00:00.000Z,41.96,42.44,41.66,42.0,1226900,41.96,42.44,41.66,42.0,1226900,0.0,1.0
19,2013-07-15T00:00:00.000Z,41.87,42.03,41.31,41.82,1182200,41.87,42.03,41.31,41.82,1182200,0.0,1.0
20,2013-07-16T00:00:00.000Z,41.51,41.87,41.0,41.87,1452700,41.51,41.87,41.0,41.87,1452700,0.0,1.0
21,2013-07-17T00:00:00.000Z,41.93,42.05,41.35,41.5,687000,41.93,42.05,41.35,41.5,687000,0.0,1.0
22,2013-07-18T00:00:00.000Z,43.09,43.48,41.53,41.93,1417300,43.09,43.48,41.53,41.93,1417300,0.0,1.0
23,2013-07-19T00:00:00.000Z,43.48,44.32,42.85,43.39,1329900,43.48,44.32,42.85,43.39,1329900,0.0,1.0
24,2013-07-22T00:00:00.000Z,43.51,43.74,43.01,43.2,1226400,43.51,43.74,43.01,43.2,1226400,0.0,1.0
25,2013-07-23T00:00:00.000Z,44.0,44.5,43.23,43.3,735000,44.0,44.5,43.23,43.3,735000,0.0,1.0
26,2013-07-24T00:00:00.000Z,43.98,44.4,43.5,43.97,889100,43.98,44.4,43.5,43.97,889100,0.0,1.0
27,2013-07-25T00:00:00.000Z,44.38,44.65,43.67,43.67,862000,44.38,44.65,43.67,43.67,862000,0.0,1.0
28,2013-07-26T00:00:00.000Z,45.05,45.56,43.78,44.16,740200,45.05,45.56,43.78,44.16,740200,0.0,1.0
29,2013-07-29T00:00:00.000Z,46.2,46.66,45.0,45.35,1976100,46.2,46.66,45.0,45.35,1976100,0.0,1.0
30,2013-07-30T00:00:00.000Z,47.16,47.23,45.73,46.07,1033600,47.16,47.23,45.73,46.07,1033600,0.0,1.0
31,2013-07-31T00:00:00.000Z,45.89,47.68,45.63,47.25,1145400,45.89,47.68,45.63,47.25,1145400,0.0,1.0
32,2013-08-01T00:00:00.000Z,46.22,48.26,46.08,46.26,974400,46.22,48.26,46.08,46.26,974400,0.0,1.0
33,2013-08-02T00:00:00.000Z,45.83,46.56,44.92,46.47,539600,45.83,46.56,44.92,46.47,539600,0.0,1.0
34,2013-08-05T00:00:00.000Z,45.14,46.0,45.0,45.51,388700,45.14,46.0,45.0,45.51,388700,0.0,1.0
35,2013-08-06T00:00:00.000Z,44.36,45.2,43.83,45.1,821300,44.36,45.2,43.83,45.1,821300,0.0,1.0
36,2013-08-07T00:00:00.000Z,44.78,44.86,44.02,44.04,373900,44.78,44.86,44.02,44.04,373900,0.0,1.0
37,2013-08-08T00:00:00.000Z,45.92,46.05,44.825,44.85,947000,45.92,46.05,44.825,44.85,947000,0.0,1.0
38,2013-08-09T00:00:00.000Z,45.36,45.77,44.51,45.0,914800,45.36,45.77,44.51,45.0,914800,0.0,1.0
39,2013-08-12T00:00:00.000Z,45.32,45.57,44.32,44.55,538300,45.32,45.57,44.32,44.55,538300,0.0,1.0
40,2013-08-13T00:00:00.000Z,44.66,45.275,44.205,45.13,1236500,44.66,45.275,44.205,45.13,1236500,0.0,1.0
