,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-11-14T00:00:00.000Z,14.88,15.25,14.06,14.06,2233500,14.88,15.25,14.06,14.06,2233500,0.0,1.0
1,1997-11-17T00:00:00.000Z,15.25,15.75,15.0,15.75,515000,15.25,15.75,15.0,15.75,515000,0.0,1.0
2,1997-11-18T00:00:00.000Z,15.0,15.5,15.0,15.44,257300,15.0,15.5,15.0,15.44,257300,0.0,1.0
3,1997-11-19T00:00:00.000Z,15.62,15.62,14.75,15.0,270100,15.62,15.62,14.75,15.0,270100,0.0,1.0
4,1997-11-20T00:00:00.000Z,16.38,16.38,15.5,15.5,185500,16.38,16.38,15.5,15.5,185500,0.0,1.0
5,1997-11-21T00:00:00.000Z,17.12,17.5,16.25,16.62,133100,17.12,17.5,16.25,16.62,133100,0.0,1.0
6,1997-11-24T00:00:00.000Z,17.0,17.12,16.38,16.62,160200,17.0,17.12,16.38,16.62,160200,0.0,1.0
7,1997-11-25T00:00:00.000Z,17.75,18.06,17.19,17.25,384800,17.75,18.06,17.19,17.25,384800,0.0,1.0
8,1997-11-26T00:00:00.000Z,17.94,17.94,17.5,17.5,72500,17.94,17.94,17.5,17.5,72500,0.0,1.0
9,1997-11-28T00:00:00.000Z,17.88,18.0,17.81,17.81,24800,17.88,18.0,17.81,17.81,24800,0.0,1.0
10,1997-12-01T00:00:00.000Z,17.81,18.0,17.75,17.75,90200,17.81,18.0,17.75,17.75,90200,0.0,1.0
11,1997-12-02T00:00:00.000Z,17.81,18.0,17.75,18.0,194200,17.81,18.0,17.75,18.0,194200,0.0,1.0
12,1997-12-03T00:00:00.000Z,17.88,17.88,17.69,17.69,77600,17.88,17.88,17.69,17.69,77600,0.0,1.0
13,1997-12-04T00:00:00.000Z,17.69,17.94,17.69,17.75,79500,17.69,17.94,17.69,17.75,79500,0.0,1.0
14,1997-12-05T00:00:00.000Z,18.12,18.12,17.69,17.94,120300,18.12,18.12,17.69,17.94,120300,0.0,1.0
15,1997-12-08T00:00:00.000Z,18.12,18.38,17.88,18.38,56700,18.12,18.38,17.88,18.38,56700,0.0,1.0
16,1997-12-09T00:00:00.000Z,18.5,18.75,17.88,18.06,170000,18.5,18.75,17.88,18.06,170000,0.0,1.0
17,1997-12-10T00:00:00.000Z,18.06,18.5,17.81,18.5,28000,18.06,18.5,17.81,18.5,28000,0.0,1.0
18,1997-12-11T00:00:00.000Z,18.06,18.25,17.75,18.12,19500,18.06,18.25,17.75,18.12,19500,0.0,1.0
19,1997-12-12T00:00:00.000Z,17.75,18.0,17.62,17.75,89600,17.75,18.0,17.62,17.75,89600,0.0,1.0
20,1997-12-15T00:00:00.000Z,18.12,18.62,17.75,17.94,186100,18.12,18.62,17.75,17.94,186100,0.0,1.0
21,1997-12-16T00:00:00.000Z,18.06,18.12,17.31,18.12,89700,18.06,18.12,17.31,18.12,89700,0.0,1.0
22,1997-12-17T00:00:00.000Z,18.25,18.38,18.0,18.06,84900,18.25,18.38,18.0,18.06,84900,0.0,1.0
23,1997-12-18T00:00:00.000Z,18.44,18.44,17.88,18.0,20000,18.44,18.44,17.88,18.0,20000,0.0,1.0
24,1997-12-19T00:00:00.000Z,18.25,18.44,17.88,18.31,49600,18.25,18.44,17.88,18.31,49600,0.0,1.0
25,1997-12-22T00:00:00.000Z,18.12,18.5,18.12,18.5,7400,18.12,18.5,18.12,18.5,7400,0.0,1.0
26,1997-12-23T00:00:00.000Z,17.62,18.38,17.62,18.38,169900,17.62,18.38,17.62,18.38,169900,0.0,1.0
27,1997-12-24T00:00:00.000Z,17.56,17.62,17.5,17.5,32600,17.56,17.62,17.5,17.5,32600,0.0,1.0
28,1997-12-26T00:00:00.000Z,17.56,17.69,17.56,17.56,600,17.56,17.69,17.56,17.56,600,0.0,1.0
29,1997-12-29T00:00:00.000Z,17.5,17.62,17.38,17.62,49200,17.5,17.62,17.38,17.62,49200,0.0,1.0
30,1997-12-30T00:00:00.000Z,17.25,17.5,17.25,17.5,46700,17.25,17.5,17.25,17.5,46700,0.0,1.0
31,1997-12-31T00:00:00.000Z,17.25,17.38,17.0,17.38,87500,17.25,17.38,17.0,17.38,87500,0.0,1.0
32,1998-01-02T00:00:00.000Z,17.0,17.38,16.88,17.38,131200,17.0,17.38,16.88,17.38,131200,0.0,1.0
33,1998-01-05T00:00:00.000Z,16.75,17.12,16.62,17.12,67800,16.75,17.12,16.62,17.12,67800,0.0,1.0
34,1998-01-06T00:00:00.000Z,16.69,16.69,16.5,16.62,24100,16.69,16.69,16.5,16.62,24100,0.0,1.0
35,1998-01-07T00:00:00.000Z,16.56,16.69,16.38,16.62,90200,16.56,16.69,16.38,16.62,90200,0.0,1.0
36,1998-01-08T00:00:00.000Z,17.25,17.62,16.56,16.56,65100,17.25,17.62,16.56,16.56,65100,0.0,1.0
37,1998-01-09T00:00:00.000Z,16.88,17.5,16.75,17.12,132000,16.88,17.5,16.75,17.12,132000,0.0,1.0
38,1998-01-12T00:00:00.000Z,17.0,17.0,16.38,16.62,37000,17.0,17.0,16.38,16.62,37000,0.0,1.0
39,1998-01-13T00:00:00.000Z,18.75,18.75,17.0,17.25,148700,18.75,18.75,17.0,17.25,148700,0.0,1.0
40,1998-01-14T00:00:00.000Z,18.25,18.75,18.25,18.75,97500,18.25,18.75,18.25,18.75,97500,0.0,1.0
41,1998-01-15T00:00:00.000Z,18.0,18.25,18.0,18.0,32100,18.0,18.25,18.0,18.0,32100,0.0,1.0
42,1998-01-16T00:00:00.000Z,17.75,18.19,17.75,18.0,13000,17.75,18.19,17.75,18.0,13000,0.0,1.0
43,1998-01-20T00:00:00.000Z,18.0,18.0,17.0,17.25,105400,18.0,18.0,17.0,17.25,105400,0.0,1.0
44,1998-01-21T00:00:00.000Z,18.12,18.25,18.0,18.0,109500,18.12,18.25,18.0,18.0,109500,0.0,1.0
