,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,49.62,49.75,49.25,49.37,147525,5.7929673789,5.8081444397,5.7497711288,5.7637807234,592818,6.193,1.0
1,1997-01-03T00:00:00.000Z,50.0,50.13,49.5,49.62,243850,5.8373310952,5.852508156,5.7789577842,5.7929673789,979893,0.0,1.0
2,1997-01-06T00:00:00.000Z,49.62,50.13,49.5,50.13,197425,5.7929673789,5.852508156,5.7789577842,5.852508156,793337,0.0,1.0
3,1997-01-07T00:00:00.000Z,49.62,49.62,49.25,49.5,284975,5.7929673789,5.7929673789,5.7497711288,5.7789577842,1145150,0.0,1.0
4,1997-01-08T00:00:00.000Z,49.5,49.62,49.5,49.62,128050,5.7789577842,5.7929673789,5.7789577842,5.7929673789,514559,0.0,1.0
5,1997-01-09T00:00:00.000Z,52.0,52.62,49.62,49.62,323650,6.070824339,6.1432072446,5.7929673789,5.7929673789,1300563,0.0,1.0
6,1997-01-10T00:00:00.000Z,51.37,51.88,51.25,51.88,266800,5.9972739672,6.0568147444,5.9832643726,6.0568147444,1072115,0.0,1.0
7,1997-01-13T00:00:00.000Z,51.0,51.5,50.88,51.25,70975,5.9540777171,6.0124510281,5.9400681225,5.9832643726,285207,0.0,1.0
8,1997-01-14T00:00:00.000Z,51.13,51.25,50.88,51.0,32400,5.969254778,5.9832643726,5.9400681225,5.9540777171,130196,0.0,1.0
9,1997-01-15T00:00:00.000Z,51.5,51.5,51.13,51.13,88450,6.0124510281,6.0124510281,5.969254778,5.969254778,355429,0.0,1.0
10,1997-01-16T00:00:00.000Z,54.25,54.25,51.5,51.5,1010350,6.3335042383,6.3335042383,6.0124510281,6.0124510281,4060016,0.0,1.0
11,1997-01-17T00:00:00.000Z,53.25,54.13,53.25,54.0,136750,6.2167576164,6.3194946437,6.2167576164,6.3043175828,549519,0.0,1.0
12,1997-01-20T00:00:00.000Z,53.0,53.37,52.88,53.37,50250,6.1875709609,6.230767211,6.1735613663,6.230767211,201925,0.0,1.0
13,1997-01-21T00:00:00.000Z,52.0,52.75,51.75,52.5,155275,6.070824339,6.1583843054,6.0416376835,6.12919765,623961,0.0,1.0
14,1997-01-22T00:00:00.000Z,51.62,52.13,51.5,52.13,93900,6.0264606227,6.0860013999,6.0124510281,6.0860013999,377330,0.0,1.0
15,1997-01-23T00:00:00.000Z,51.75,53.25,51.75,51.75,138825,6.0416376835,6.2167576164,6.0416376835,6.0416376835,557857,0.0,1.0
16,1997-01-24T00:00:00.000Z,51.0,51.75,50.88,51.75,79550,5.9540777171,6.0416376835,5.9400681225,6.0416376835,319665,0.0,1.0
17,1997-01-27T00:00:00.000Z,50.62,51.0,50.5,50.88,108600,5.9097140008,5.9540777171,5.8957044062,5.9400681225,436401,0.0,1.0
