,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,19.63,20.13,19.13,19.75,1033700,6.7663405036,6.9386874345,6.5939935728,6.807703767,2067400,0.0,1.0
1,1997-01-03T00:00:00.000Z,19.88,20.13,19.5,19.75,693500,6.852513969,6.9386874345,6.7215303016,6.807703767,1387000,0.0,1.0
2,1997-01-06T00:00:00.000Z,20.25,20.75,19.75,20.13,860300,6.9800506978,7.1523976287,6.807703767,6.9386874345,1720600,0.0,1.0
3,1997-01-07T00:00:00.000Z,21.0,21.5,20.0,20.25,606650,7.2385710941,7.4109180249,6.8938772324,6.9800506978,1213300,0.0,1.0
4,1997-01-08T00:00:00.000Z,21.5,21.88,21.13,21.38,1190100,7.4109180249,7.5419016923,7.2833812961,7.3695547615,2380200,0.0,1.0
5,1997-01-09T00:00:00.000Z,22.5,22.88,21.75,22.0,1217000,7.7556118865,7.8865955539,7.4970914903,7.5832649557,2434000,0.0,1.0
6,1997-01-10T00:00:00.000Z,22.75,23.13,22.13,22.25,800800,7.8417853519,7.9727690193,7.6280751577,7.6694384211,1601600,0.0,1.0
7,1997-01-13T00:00:00.000Z,22.38,23.25,22.13,23.0,681250,7.7142486231,8.0141322827,7.6280751577,7.9279588173,1362500,0.0,1.0
8,1997-01-14T00:00:00.000Z,22.5,22.75,22.0,22.5,569600,7.7556118865,7.8417853519,7.5832649557,7.7556118865,1139200,0.0,1.0
9,1997-01-15T00:00:00.000Z,24.0,24.13,22.5,22.63,1003500,8.2726526789,8.3174628809,7.7556118865,7.8004220885,2007000,0.0,1.0
10,1997-01-16T00:00:00.000Z,23.25,24.5,23.25,24.25,1315600,8.0141322827,8.4449996097,8.0141322827,8.3588261443,2631200,0.0,1.0
11,1997-01-17T00:00:00.000Z,23.25,23.5,22.75,23.5,964050,8.0141322827,8.1003057481,7.8417853519,8.1003057481,1928100,0.0,1.0
12,1997-01-20T00:00:00.000Z,22.5,23.56,22.5,23.38,1133000,7.7556118865,8.1209873798,7.7556118865,8.0589424847,2266000,0.0,1.0
