,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,15.25,15.38,15.12,15.12,27700,7.625,7.69,7.56,7.56,55400,0.0,1.0
1,1997-01-03T00:00:00.000Z,16.75,16.75,15.25,15.25,48500,8.375,8.375,7.625,7.625,97000,0.0,1.0
2,1997-01-06T00:00:00.000Z,16.12,16.75,15.88,16.75,60400,8.06,8.375,7.94,8.375,120800,0.0,1.0
3,1997-01-07T00:00:00.000Z,16.12,16.25,16.0,16.0,9400,8.06,8.125,8.0,8.0,18800,0.0,1.0
4,1997-01-08T00:00:00.000Z,16.0,16.38,16.0,16.25,33300,8.0,8.19,8.0,8.125,66600,0.0,1.0
5,1997-01-09T00:00:00.000Z,16.0,16.0,16.0,16.0,1700,8.0,8.0,8.0,8.0,3400,0.0,1.0
6,1997-01-10T00:00:00.000Z,16.0,16.12,15.88,16.12,27000,8.0,8.06,7.94,8.06,54000,0.0,1.0
7,1997-01-13T00:00:00.000Z,16.88,17.12,16.12,16.25,55200,8.44,8.56,8.06,8.125,110400,0.0,1.0
8,1997-01-14T00:00:00.000Z,16.44,17.0,16.25,17.0,44400,8.22,8.5,8.125,8.5,88800,0.0,1.0
9,1997-01-15T00:00:00.000Z,17.88,17.88,16.38,16.62,70400,8.94,8.94,8.19,8.31,140800,0.0,1.0
10,1997-01-16T00:00:00.000Z,18.5,18.62,17.88,17.88,50300,9.25,9.31,8.94,8.94,100600,0.0,1.0
11,1997-01-17T00:00:00.000Z,18.12,18.5,18.0,18.5,98800,9.06,9.25,9.0,9.25,197600,0.0,1.0
12,1997-01-20T00:00:00.000Z,18.25,18.5,18.12,18.38,29700,9.125,9.25,9.06,9.19,59400,0.0,1.0
13,1997-01-21T00:00:00.000Z,19.38,19.75,19.38,19.5,94700,9.69,9.875,9.69,9.75,189400,0.0,1.0
14,1997-01-22T00:00:00.000Z,19.0,19.5,18.62,19.5,709700,9.5,9.75,9.31,9.75,1419400,0.0,1.0
15,1997-01-23T00:00:00.000Z,18.75,19.0,18.62,18.62,125800,9.375,9.5,9.31,9.31,251600,0.0,1.0
16,1997-01-24T00:00:00.000Z,18.75,19.0,18.62,19.0,76200,9.375,9.5,9.31,9.5,152400,0.0,1.0
17,1997-01-27T00:00:00.000Z,18.62,19.0,18.62,18.62,1000,9.31,9.5,9.31,9.31,2000,0.0,1.0
18,1997-01-28T00:00:00.000Z,19.0,19.0,18.62,19.0,33900,9.5,9.5,9.31,9.5,67800,0.0,1.0
19,1997-01-29T00:00:00.000Z,18.62,18.88,18.62,18.88,1500,9.31,9.44,9.31,9.44,3000,0.0,1.0
20,1997-01-30T00:00:00.000Z,18.62,18.88,18.62,18.62,61600,9.31,9.44,9.31,9.31,123200,0.0,1.0
21,1997-01-31T00:00:00.000Z,18.75,19.12,18.62,18.62,79400,9.375,9.56,9.31,9.31,158800,0.0,1.0
22,1997-02-03T00:00:00.000Z,18.88,19.12,18.75,19.0,12600,9.44,9.56,9.375,9.5,25200,0.0,1.0
23,1997-02-04T00:00:00.000Z,19.12,19.12,18.88,19.12,22700,9.56,9.56,9.44,9.56,45400,0.0,1.0
24,1997-02-05T00:00:00.000Z,18.88,19.12,18.88,19.12,11100,9.44,9.56,9.44,9.56,22200,0.0,1.0
25,1997-02-06T00:00:00.000Z,18.75,19.12,18.75,19.12,52500,9.375,9.56,9.375,9.56,105000,0.0,1.0
26,1997-02-07T00:00:00.000Z,18.75,19.0,18.75,18.88,30400,9.375,9.5,9.375,9.44,60800,0.0,1.0
27,1997-02-10T00:00:00.000Z,19.0,19.0,18.75,19.0,26900,9.5,9.5,9.375,9.5,53800,0.0,1.0
28,1997-02-11T00:00:00.000Z,18.5,18.88,18.25,18.88,73300,9.25,9.44,9.125,9.44,146600,0.0,1.0
29,1997-02-12T00:00:00.000Z,18.75,18.75,18.25,18.25,31600,9.375,9.375,9.125,9.125,63200,0.0,1.0
30,1997-02-13T00:00:00.000Z,19.0,19.12,18.25,18.62,199500,9.5,9.56,9.125,9.31,399000,0.0,1.0
31,1997-02-14T00:00:00.000Z,19.0,19.38,18.5,19.25,530500,9.5,9.69,9.25,9.625,1061000,0.0,1.0
32,1997-02-18T00:00:00.000Z,19.38,19.5,19.0,19.12,108400,9.69,9.75,9.5,9.56,216800,0.0,1.0
33,1997-02-19T00:00:00.000Z,19.25,19.5,19.0,19.5,136100,9.625,9.75,9.5,9.75,272200,0.0,1.0
34,1997-02-20T00:00:00.000Z,19.25,19.38,19.0,19.12,39400,9.625,9.69,9.5,9.56,78800,0.0,1.0
35,1997-02-21T00:00:00.000Z,18.88,19.25,18.75,19.25,41300,9.44,9.625,9.375,9.625,82600,0.0,1.0
36,1997-02-24T00:00:00.000Z,18.75,19.12,18.75,19.12,7400,9.375,9.56,9.375,9.56,14800,0.0,1.0
37,1997-02-25T00:00:00.000Z,19.25,19.5,19.0,19.12,222700,9.625,9.75,9.5,9.56,445400,0.0,1.0
38,1997-02-26T00:00:00.000Z,19.38,19.5,19.25,19.5,33500,9.69,9.75,9.625,9.75,67000,0.0,1.0
39,1997-02-27T00:00:00.000Z,19.62,20.25,19.25,19.5,95300,9.81,10.125,9.625,9.75,190600,0.0,1.0
40,1997-02-28T00:00:00.000Z,19.75,19.75,19.38,19.75,88200,9.875,9.875,9.69,9.875,176400,0.0,1.0
41,1997-03-03T00:00:00.000Z,19.62,19.75,19.25,19.38,7700,9.81,9.875,9.625,9.69,15400,0.0,1.0
42,1997-03-04T00:00:00.000Z,19.38,19.75,19.25,19.62,54700,9.69,9.875,9.625,9.81,109400,0.0,1.0
43,1997-03-05T00:00:00.000Z,19.75,19.75,19.25,19.25,22500,9.875,9.875,9.625,9.625,45000,0.0,1.0
44,1997-03-06T00:00:00.000Z,19.5,19.75,19.5,19.5,69700,9.75,9.875,9.75,9.75,139400,0.0,1.0
45,1997-03-07T00:00:00.000Z,19.5,19.75,19.5,19.5,16500,9.75,9.875,9.75,9.75,33000,0.0,1.0
46,1997-03-10T00:00:00.000Z,19.75,19.75,19.62,19.75,2500,9.875,9.875,9.81,9.875,5000,0.0,1.0
47,1997-03-11T00:00:00.000Z,19.75,19.75,19.5,19.75,13200,9.875,9.875,9.75,9.875,26400,0.0,1.0
48,1997-03-12T00:00:00.000Z,20.88,20.88,19.88,19.88,126000,10.44,10.44,9.94,9.94,252000,0.0,1.0
49,1997-03-13T00:00:00.000Z,21.25,22.62,20.5,20.5,218900,10.625,11.31,10.25,10.25,437800,0.0,1.0
50,1997-03-14T00:00:00.000Z,20.0,21.62,20.0,21.25,62500,10.0,10.81,10.0,10.625,125000,0.0,1.0
51,1997-03-17T00:00:00.000Z,20.0,20.5,19.5,20.38,82900,10.0,10.25,9.75,10.19,165800,0.0,1.0
52,1997-03-18T00:00:00.000Z,20.5,20.5,19.88,20.12,30500,10.25,10.25,9.94,10.06,61000,0.0,1.0
53,1997-03-19T00:00:00.000Z,20.5,20.5,20.25,20.25,21500,10.25,10.25,10.125,10.125,43000,0.0,1.0
54,1997-03-20T00:00:00.000Z,20.62,21.12,20.25,20.5,55300,10.31,10.56,10.125,10.25,110600,0.0,1.0
55,1997-03-21T00:00:00.000Z,20.88,21.25,20.75,21.0,24500,10.44,10.625,10.375,10.5,49000,0.0,1.0
56,1997-03-24T00:00:00.000Z,20.62,21.25,20.62,21.25,17400,10.31,10.625,10.31,10.625,34800,0.0,1.0
57,1997-03-25T00:00:00.000Z,20.12,20.75,19.75,20.62,47000,10.06,10.375,9.875,10.31,94000,0.0,1.0
58,1997-03-26T00:00:00.000Z,19.38,20.12,18.75,19.88,64200,9.69,10.06,9.375,9.94,128400,0.0,1.0
59,1997-03-27T00:00:00.000Z,19.12,19.38,19.0,19.25,359400,9.56,9.69,9.5,9.625,718800,0.0,1.0
60,1997-03-31T00:00:00.000Z,19.12,19.38,18.75,19.38,68400,9.56,9.69,9.375,9.69,136800,0.0,1.0
61,1997-04-01T00:00:00.000Z,18.5,19.0,18.25,19.0,112600,9.25,9.5,9.125,9.5,225200,0.0,1.0
62,1997-04-02T00:00:00.000Z,18.38,18.62,18.38,18.62,72800,9.19,9.31,9.19,9.31,145600,0.0,1.0
63,1997-04-03T00:00:00.000Z,18.12,18.5,18.0,18.25,25900,9.06,9.25,9.0,9.125,51800,0.0,1.0
64,1997-04-04T00:00:00.000Z,18.25,18.25,18.0,18.0,6300,9.125,9.125,9.0,9.0,12600,0.0,1.0
65,1997-04-07T00:00:00.000Z,18.25,18.5,18.12,18.25,63800,9.125,9.25,9.06,9.125,127600,0.0,1.0
66,1997-04-08T00:00:00.000Z,17.38,18.12,17.38,18.0,41300,8.69,9.06,8.69,9.0,82600,0.0,1.0
67,1997-04-09T00:00:00.000Z,17.5,17.5,17.25,17.38,81000,8.75,8.75,8.625,8.69,162000,0.0,1.0
68,1997-04-10T00:00:00.000Z,18.25,18.5,17.38,17.62,66300,9.125,9.25,8.69,8.81,132600,0.0,1.0
69,1997-04-11T00:00:00.000Z,18.12,18.25,18.0,18.0,122400,9.06,9.125,9.0,9.0,244800,0.0,1.0
70,1997-04-14T00:00:00.000Z,18.25,18.38,18.0,18.0,2300,9.125,9.19,9.0,9.0,4600,0.0,1.0
71,1997-04-15T00:00:00.000Z,18.5,19.0,18.38,18.38,77000,9.25,9.5,9.19,9.19,154000,0.0,1.0
72,1997-04-16T00:00:00.000Z,18.75,18.88,18.38,18.88,23600,9.375,9.44,9.19,9.44,47200,0.0,1.0
73,1997-04-17T00:00:00.000Z,18.88,18.88,18.62,18.88,60500,9.44,9.44,9.31,9.44,121000,0.0,1.0
74,1997-04-18T00:00:00.000Z,19.88,20.0,18.38,18.38,68600,9.94,10.0,9.19,9.19,137200,0.0,1.0
75,1997-04-21T00:00:00.000Z,19.62,20.12,19.5,20.12,45800,9.81,10.06,9.75,10.06,91600,0.0,1.0
76,1997-04-22T00:00:00.000Z,20.12,20.12,19.62,19.62,54200,10.06,10.06,9.81,9.81,108400,0.0,1.0
77,1997-04-23T00:00:00.000Z,19.62,20.0,19.62,20.0,32700,9.81,10.0,9.81,10.0,65400,0.0,1.0
78,1997-04-24T00:00:00.000Z,19.62,20.0,19.62,20.0,23400,9.81,10.0,9.81,10.0,46800,0.0,1.0
79,1997-04-25T00:00:00.000Z,19.75,19.75,19.62,19.75,36500,9.875,9.875,9.81,9.875,73000,0.0,1.0
80,1997-04-28T00:00:00.000Z,19.12,19.75,19.12,19.75,41800,9.56,9.875,9.56,9.875,83600,0.0,1.0
81,1997-04-29T00:00:00.000Z,18.38,19.5,18.38,19.12,18500,9.19,9.75,9.19,9.56,37000,0.0,1.0
82,1997-04-30T00:00:00.000Z,18.5,18.75,18.38,18.62,63900,9.25,9.375,9.19,9.31,127800,0.0,1.0
83,1997-05-01T00:00:00.000Z,18.5,18.75,18.38,18.75,75400,9.25,9.375,9.19,9.375,150800,0.0,1.0
84,1997-05-02T00:00:00.000Z,18.62,18.75,18.38,18.62,42100,9.31,9.375,9.19,9.31,84200,0.0,1.0
85,1997-05-05T00:00:00.000Z,19.0,19.0,18.5,18.75,25300,9.5,9.5,9.25,9.375,50600,0.0,1.0
86,1997-05-06T00:00:00.000Z,19.44,19.62,18.75,18.75,127700,9.72,9.81,9.375,9.375,255400,0.0,1.0
87,1997-05-07T00:00:00.000Z,19.5,19.62,19.25,19.38,27900,9.75,9.81,9.625,9.69,55800,0.0,1.0
88,1997-05-08T00:00:00.000Z,19.25,19.5,19.12,19.38,137700,9.625,9.75,9.56,9.69,275400,0.0,1.0
89,1997-05-09T00:00:00.000Z,19.5,19.5,19.5,19.5,100,9.75,9.75,9.75,9.75,200,0.0,1.0
90,1997-05-12T00:00:00.000Z,19.62,20.0,19.5,19.5,49100,9.81,10.0,9.75,9.75,98200,0.0,1.0
91,1997-05-13T00:00:00.000Z,20.0,20.0,19.75,19.75,112700,10.0,10.0,9.875,9.875,225400,0.0,1.0
92,1997-05-14T00:00:00.000Z,19.88,20.12,19.62,20.12,111500,9.94,10.06,9.81,10.06,223000,0.0,1.0
93,1997-05-15T00:00:00.000Z,19.62,19.75,19.5,19.62,4600,9.81,9.875,9.75,9.81,9200,0.0,1.0
94,1997-05-16T00:00:00.000Z,19.0,19.75,19.0,19.75,6500,9.5,9.875,9.5,9.875,13000,0.0,1.0
95,1997-05-19T00:00:00.000Z,19.12,19.5,18.75,19.5,167700,9.56,9.75,9.375,9.75,335400,0.0,1.0
96,1997-05-20T00:00:00.000Z,19.25,19.25,19.0,19.12,44600,9.625,9.625,9.5,9.56,89200,0.0,1.0
97,1997-05-21T00:00:00.000Z,19.62,20.12,19.38,19.38,66200,9.81,10.06,9.69,9.69,132400,0.0,1.0
98,1997-05-22T00:00:00.000Z,19.88,19.88,19.62,19.62,5000,9.94,9.94,9.81,9.81,10000,0.0,1.0
99,1997-05-23T00:00:00.000Z,20.25,20.25,19.88,19.88,42300,10.125,10.125,9.94,9.94,84600,0.0,1.0
100,1997-05-27T00:00:00.000Z,20.25,20.25,19.88,20.0,31500,10.125,10.125,9.94,10.0,63000,0.0,1.0
101,1997-05-28T00:00:00.000Z,20.12,20.25,20.12,20.25,47800,10.06,10.125,10.06,10.125,95600,0.0,1.0
102,1997-05-29T00:00:00.000Z,19.88,20.25,19.75,20.0,16600,9.94,10.125,9.875,10.0,33200,0.0,1.0
103,1997-05-30T00:00:00.000Z,20.25,20.25,19.62,19.62,23700,10.125,10.125,9.81,9.81,47400,0.0,1.0
104,1997-06-02T00:00:00.000Z,20.38,20.75,20.0,20.25,19800,10.19,10.375,10.0,10.125,39600,0.0,1.0
105,1997-06-03T00:00:00.000Z,20.25,20.56,20.25,20.56,4900,10.125,10.28,10.125,10.28,9800,0.0,1.0
106,1997-06-04T00:00:00.000Z,21.0,21.0,20.44,20.44,32700,10.5,10.5,10.22,10.22,65400,0.0,1.0
107,1997-06-05T00:00:00.000Z,21.25,21.25,21.0,21.0,10900,10.625,10.625,10.5,10.5,21800,0.0,1.0
108,1997-06-06T00:00:00.000Z,22.5,22.5,21.0,21.0,58100,11.25,11.25,10.5,10.5,116200,0.0,1.0
109,1997-06-09T00:00:00.000Z,22.25,22.62,22.0,22.25,67600,11.125,11.31,11.0,11.125,135200,0.0,1.0
110,1997-06-10T00:00:00.000Z,22.12,22.88,22.12,22.12,64400,11.06,11.44,11.06,11.06,128800,0.0,1.0
111,1997-06-11T00:00:00.000Z,22.31,22.31,22.12,22.12,8300,11.155,11.155,11.06,11.06,16600,0.0,1.0
112,1997-06-12T00:00:00.000Z,22.5,22.75,22.12,22.5,26100,11.25,11.375,11.06,11.25,52200,0.0,1.0
113,1997-06-13T00:00:00.000Z,22.75,22.75,22.12,22.12,4500,11.375,11.375,11.06,11.06,9000,0.0,1.0
114,1997-06-16T00:00:00.000Z,22.75,22.75,22.12,22.75,305400,11.375,11.375,11.06,11.375,610800,0.0,1.0
115,1997-06-17T00:00:00.000Z,23.0,23.25,22.44,22.75,85700,11.5,11.625,11.22,11.375,171400,0.0,1.0
116,1997-06-18T00:00:00.000Z,22.75,23.12,22.62,23.12,54800,11.375,11.56,11.31,11.56,109600,0.0,1.0
117,1997-06-19T00:00:00.000Z,24.38,24.38,23.12,23.25,41200,12.19,12.19,11.56,11.625,82400,0.0,1.0
118,1997-06-20T00:00:00.000Z,24.0,24.75,24.0,24.38,111300,12.0,12.375,12.0,12.19,222600,0.0,1.0
119,1997-06-23T00:00:00.000Z,24.0,24.0,23.75,23.88,58400,12.0,12.0,11.875,11.94,116800,0.0,1.0
120,1997-06-24T00:00:00.000Z,23.75,24.12,23.75,23.75,11400,11.875,12.06,11.875,11.875,22800,0.0,1.0
121,1997-06-25T00:00:00.000Z,24.5,25.0,23.75,24.12,53900,12.25,12.5,11.875,12.06,107800,0.0,1.0
122,1997-06-26T00:00:00.000Z,24.25,24.88,24.25,24.88,9600,12.125,12.44,12.125,12.44,19200,0.0,1.0
123,1997-06-27T00:00:00.000Z,24.62,24.62,24.12,24.25,5800,12.31,12.31,12.06,12.125,11600,0.0,1.0
124,1997-06-30T00:00:00.000Z,24.75,24.75,24.0,24.62,8500,12.375,12.375,12.0,12.31,17000,0.0,1.0
125,1997-07-01T00:00:00.000Z,24.0,24.75,23.75,24.75,164400,12.0,12.375,11.875,12.375,328800,0.0,1.0
126,1997-07-02T00:00:00.000Z,24.12,24.12,23.75,24.12,24100,12.06,12.06,11.875,12.06,48200,0.0,1.0
127,1997-07-03T00:00:00.000Z,23.75,24.25,23.75,24.12,191500,11.875,12.125,11.875,12.06,383000,0.0,1.0
128,1997-07-07T00:00:00.000Z,24.0,24.25,23.75,24.25,120500,12.0,12.125,11.875,12.125,241000,0.0,1.0
129,1997-07-08T00:00:00.000Z,23.38,24.0,23.25,24.0,19100,11.69,12.0,11.625,12.0,38200,0.0,1.0
130,1997-07-09T00:00:00.000Z,23.75,23.75,23.5,23.5,8300,11.875,11.875,11.75,11.75,16600,0.0,1.0
131,1997-07-10T00:00:00.000Z,23.75,23.75,23.5,23.75,4100,11.875,11.875,11.75,11.875,8200,0.0,1.0
132,1997-07-11T00:00:00.000Z,23.75,23.75,23.5,23.5,6300,11.875,11.875,11.75,11.75,12600,0.0,1.0
133,1997-07-14T00:00:00.000Z,23.5,23.75,23.5,23.75,29900,11.75,11.875,11.75,11.875,59800,0.0,1.0
134,1997-07-15T00:00:00.000Z,23.75,23.75,23.5,23.69,7900,11.875,11.875,11.75,11.845,15800,0.0,1.0
135,1997-07-16T00:00:00.000Z,23.88,24.12,23.5,23.75,122600,11.94,12.06,11.75,11.875,245200,0.0,1.0
136,1997-07-17T00:00:00.000Z,24.12,24.12,23.88,23.88,7100,12.06,12.06,11.94,11.94,14200,0.0,1.0
137,1997-07-18T00:00:00.000Z,23.94,24.12,23.62,23.88,15600,11.97,12.06,11.81,11.94,31200,0.0,1.0
138,1997-07-21T00:00:00.000Z,23.88,24.38,23.62,23.62,37800,11.94,12.19,11.81,11.81,75600,0.0,1.0
139,1997-07-22T00:00:00.000Z,23.62,23.88,23.12,23.88,22100,11.81,11.94,11.56,11.94,44200,0.0,1.0
140,1997-07-23T00:00:00.000Z,23.5,23.62,23.25,23.62,6400,11.75,11.81,11.625,11.81,12800,0.0,1.0
141,1997-07-24T00:00:00.000Z,23.25,23.38,23.12,23.12,2000,11.625,11.69,11.56,11.56,4000,0.0,1.0
142,1997-07-25T00:00:00.000Z,23.12,23.75,23.12,23.75,1000,11.56,11.875,11.56,11.875,2000,0.0,1.0
143,1997-07-28T00:00:00.000Z,23.5,23.75,23.12,23.75,2700,11.75,11.875,11.56,11.875,5400,0.0,1.0
144,1997-07-29T00:00:00.000Z,24.5,24.75,23.12,23.75,342900,12.25,12.375,11.56,11.875,685800,0.0,1.0
145,1997-07-30T00:00:00.000Z,24.5,24.75,24.25,24.75,22500,12.25,12.375,12.125,12.375,45000,0.0,1.0
146,1997-07-31T00:00:00.000Z,24.62,24.62,24.12,24.12,187800,12.31,12.31,12.06,12.06,375600,0.0,1.0
147,1997-08-01T00:00:00.000Z,24.38,24.62,24.38,24.62,19800,12.19,12.31,12.19,12.31,39600,0.0,1.0
148,1997-08-04T00:00:00.000Z,24.25,24.62,24.25,24.62,5500,12.125,12.31,12.125,12.31,11000,0.0,1.0
149,1997-08-05T00:00:00.000Z,24.5,24.75,24.5,24.5,164800,12.25,12.375,12.25,12.25,329600,0.0,1.0
150,1997-08-06T00:00:00.000Z,24.0,24.75,23.75,24.75,66200,12.0,12.375,11.875,12.375,132400,0.0,1.0
