,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2018-03-28T00:00:00.000Z,10.8,11.13,10.06,11.0,6054389,10.8,11.13,10.06,11.0,6054389,0.0,1.0
1,2018-03-29T00:00:00.000Z,10.75,11.05,10.75,10.85,1251526,10.75,11.05,10.75,10.85,1251526,0.0,1.0
2,2018-04-02T00:00:00.000Z,10.76,10.9,10.44,10.77,585533,10.76,10.9,10.44,10.77,585533,0.0,1.0
3,2018-04-03T00:00:00.000Z,10.91,10.95,10.7,10.77,390200,10.91,10.95,10.7,10.77,390200,0.0,1.0
4,2018-04-04T00:00:00.000Z,10.35,10.91,10.2,10.7,1047108,10.35,10.91,10.2,10.7,1047108,0.0,1.0
5,2018-04-05T00:00:00.000Z,10.3,10.6,10.21,10.4,732699,10.3,10.6,10.21,10.4,732699,0.0,1.0
6,2018-04-06T00:00:00.000Z,10.66,10.9,10.23,10.23,451055,10.66,10.9,10.23,10.23,451055,0.0,1.0
7,2018-04-09T00:00:00.000Z,10.92,10.95,10.58,10.67,226014,10.92,10.95,10.58,10.67,226014,0.0,1.0
8,2018-04-10T00:00:00.000Z,10.93,11.0,10.8,10.82,75196,10.93,11.0,10.8,10.82,75196,0.0,1.0
9,2018-04-11T00:00:00.000Z,10.92,10.99,10.71,10.94,193632,10.92,10.99,10.71,10.94,193632,0.0,1.0
10,2018-04-12T00:00:00.000Z,10.83,11.0,10.59,10.97,298874,10.83,11.0,10.59,10.97,298874,0.0,1.0
11,2018-04-13T00:00:00.000Z,10.75,10.9406,10.71,10.71,239666,10.75,10.9406,10.71,10.71,239666,0.0,1.0
12,2018-04-16T00:00:00.000Z,10.79,10.9,10.74,10.82,133173,10.79,10.9,10.74,10.82,133173,0.0,1.0
13,2018-04-17T00:00:00.000Z,10.71,10.91,10.56,10.8,329208,10.71,10.91,10.56,10.8,329208,0.0,1.0
14,2018-04-18T00:00:00.000Z,10.7,10.835,10.66,10.66,107047,10.7,10.835,10.66,10.66,107047,0.0,1.0
15,2018-04-19T00:00:00.000Z,10.75,10.91,10.725,10.8,249333,10.75,10.91,10.725,10.8,249333,0.0,1.0
16,2018-04-20T00:00:00.000Z,10.73,10.859,10.7,10.8,194050,10.73,10.859,10.7,10.8,194050,0.0,1.0
17,2018-04-23T00:00:00.000Z,10.7,10.86,10.6,10.8,85080,10.7,10.86,10.6,10.8,85080,0.0,1.0
18,2018-04-24T00:00:00.000Z,10.64,10.859,10.5,10.8,576568,10.64,10.859,10.5,10.8,576568,0.0,1.0
19,2018-04-25T00:00:00.000Z,10.62,10.79,10.5,10.68,635298,10.62,10.79,10.5,10.68,635298,0.0,1.0
20,2018-04-26T00:00:00.000Z,10.64,10.735,10.53,10.64,507709,10.64,10.735,10.53,10.64,507709,0.0,1.0
21,2018-04-27T00:00:00.000Z,11.01,11.04,10.355,10.58,524188,11.01,11.04,10.355,10.58,524188,0.0,1.0
22,2018-04-30T00:00:00.000Z,9.81,11.86,8.56,10.93,2016712,9.81,11.86,8.56,10.93,2016712,0.0,1.0
23,2018-05-01T00:00:00.000Z,10.91,11.3,9.95,10.01,261180,10.91,11.3,9.95,10.01,261180,0.0,1.0
24,2018-05-02T00:00:00.000Z,10.95,10.99,10.77,10.77,210072,10.95,10.99,10.77,10.77,210072,0.0,1.0
25,2018-05-03T00:00:00.000Z,10.8,11.35,10.7,11.04,166813,10.8,11.35,10.7,11.04,166813,0.0,1.0
26,2018-05-04T00:00:00.000Z,10.82,10.98,10.72,10.72,42486,10.82,10.98,10.72,10.72,42486,0.0,1.0
27,2018-05-07T00:00:00.000Z,10.95,11.1,10.83,10.99,203521,10.95,11.1,10.83,10.99,203521,0.0,1.0
28,2018-05-08T00:00:00.000Z,10.92,11.05,10.85,10.88,126621,10.92,11.05,10.85,10.88,126621,0.0,1.0
29,2018-05-09T00:00:00.000Z,10.95,11.02,10.8,10.8,115051,10.95,11.02,10.8,10.8,115051,0.0,1.0
30,2018-05-10T00:00:00.000Z,10.85,10.92,10.6,10.92,170949,10.85,10.92,10.6,10.92,170949,0.0,1.0
31,2018-05-11T00:00:00.000Z,10.63,10.82,10.51,10.82,93852,10.63,10.82,10.51,10.82,93852,0.0,1.0
32,2018-05-14T00:00:00.000Z,10.39,10.7,10.33,10.67,168048,10.39,10.7,10.33,10.67,168048,0.0,1.0
33,2018-05-15T00:00:00.000Z,10.54,10.72,10.29,10.37,76504,10.54,10.72,10.29,10.37,76504,0.0,1.0
34,2018-05-16T00:00:00.000Z,10.71,10.95,10.52,10.52,120340,10.71,10.95,10.52,10.52,120340,0.0,1.0
35,2018-05-17T00:00:00.000Z,10.48,10.73,10.46,10.6,118770,10.48,10.73,10.46,10.6,118770,0.0,1.0
36,2018-05-18T00:00:00.000Z,10.75,10.85,10.46,10.46,129518,10.75,10.85,10.46,10.46,129518,0.0,1.0
37,2018-05-21T00:00:00.000Z,11.05,11.17,10.76,10.8,370012,11.05,11.17,10.76,10.8,370012,0.0,1.0
38,2018-05-22T00:00:00.000Z,12.05,12.3374,11.07,11.15,697825,12.05,12.3374,11.07,11.15,697825,0.0,1.0
39,2018-05-23T00:00:00.000Z,13.47,14.69,12.26,12.26,958322,13.47,14.69,12.26,12.26,958322,0.0,1.0
40,2018-05-24T00:00:00.000Z,13.47,14.07,13.3084,13.66,491371,13.47,14.07,13.3084,13.66,491371,0.0,1.0
41,2018-05-25T00:00:00.000Z,13.38,13.6,12.91,13.38,371005,13.38,13.6,12.91,13.38,371005,0.0,1.0
42,2018-05-29T00:00:00.000Z,13.66,13.97,13.01,13.34,293079,13.66,13.97,13.01,13.34,293079,0.0,1.0
43,2018-05-30T00:00:00.000Z,15.22,15.41,13.5,13.67,1425699,15.22,15.41,13.5,13.67,1425699,0.0,1.0
44,2018-05-31T00:00:00.000Z,14.81,15.76,14.6,15.2,656106,14.81,15.76,14.6,15.2,656106,0.0,1.0
45,2018-06-01T00:00:00.000Z,15.78,15.8,14.851,15.02,451163,15.78,15.8,14.851,15.02,451163,0.0,1.0
46,2018-06-04T00:00:00.000Z,15.07,16.0,14.71,15.58,609867,15.07,16.0,14.71,15.58,609867,0.0,1.0
47,2018-06-05T00:00:00.000Z,14.09,15.1476,14.0396,15.07,551356,14.09,15.1476,14.0396,15.07,551356,0.0,1.0
48,2018-06-06T00:00:00.000Z,14.19,14.8,14.1,14.1,245154,14.19,14.8,14.1,14.1,245154,0.0,1.0
49,2018-06-07T00:00:00.000Z,13.77,14.32,13.5,14.15,321899,13.77,14.32,13.5,14.15,321899,0.0,1.0
50,2018-06-08T00:00:00.000Z,14.28,14.44,13.63,13.7,464502,14.28,14.44,13.63,13.7,464502,0.0,1.0
51,2018-06-11T00:00:00.000Z,13.94,14.26,13.8986,14.26,291168,13.94,14.26,13.8986,14.26,291168,0.0,1.0
52,2018-06-12T00:00:00.000Z,14.39,15.0,14.01,14.01,539326,14.39,15.0,14.01,14.01,539326,0.0,1.0
53,2018-06-13T00:00:00.000Z,14.15,14.6999,13.75,14.6,412492,14.15,14.6999,13.75,14.6,412492,0.0,1.0
54,2018-06-14T00:00:00.000Z,13.72,14.34,13.5,14.02,423377,13.72,14.34,13.5,14.02,423377,0.0,1.0
55,2018-06-15T00:00:00.000Z,13.53,13.8,13.31,13.67,476409,13.53,13.8,13.31,13.67,476409,0.0,1.0
56,2018-06-18T00:00:00.000Z,13.03,13.76,12.86,13.52,193181,13.03,13.76,12.86,13.52,193181,0.0,1.0
57,2018-06-19T00:00:00.000Z,12.55,13.01,12.0,12.88,565380,12.55,13.01,12.0,12.88,565380,0.0,1.0
58,2018-06-20T00:00:00.000Z,12.86,13.15,12.6,12.67,251783,12.86,13.15,12.6,12.67,251783,0.0,1.0
59,2018-06-21T00:00:00.000Z,12.6,12.82,12.27,12.82,237658,12.6,12.82,12.27,12.82,237658,0.0,1.0
60,2018-06-22T00:00:00.000Z,12.32,12.77,12.2,12.7,315351,12.32,12.77,12.2,12.7,315351,0.0,1.0
61,2018-06-25T00:00:00.000Z,11.69,12.08,11.43,12.06,706915,11.69,12.08,11.43,12.06,706915,0.0,1.0
62,2018-06-26T00:00:00.000Z,11.59,11.885,11.32,11.73,234309,11.59,11.885,11.32,11.73,234309,0.0,1.0
63,2018-06-27T00:00:00.000Z,10.98,11.58,10.67,11.58,487611,10.98,11.58,10.67,11.58,487611,0.0,1.0
64,2018-06-28T00:00:00.000Z,11.15,11.22,10.52,11.0,694059,11.15,11.22,10.52,11.0,694059,0.0,1.0
65,2018-06-29T00:00:00.000Z,11.1,11.32,10.1,10.87,520432,11.1,11.32,10.1,10.87,520432,0.0,1.0
66,2018-07-02T00:00:00.000Z,12.18,12.21,10.66,10.99,303244,12.18,12.21,10.66,10.99,303244,0.0,1.0
67,2018-07-03T00:00:00.000Z,12.05,12.38,11.69,12.2,182031,12.05,12.38,11.69,12.2,182031,0.0,1.0
68,2018-07-05T00:00:00.000Z,11.96,12.2695,11.58,12.04,366747,11.96,12.2695,11.58,12.04,366747,0.0,1.0
69,2018-07-06T00:00:00.000Z,11.83,11.94,11.57,11.94,287898,11.83,11.94,11.57,11.94,287898,0.0,1.0
70,2018-07-09T00:00:00.000Z,11.87,12.08,11.71,11.94,251555,11.87,12.08,11.71,11.94,251555,0.0,1.0
