,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2007-10-25T00:00:00.000Z,8.5,9.93,8.28,9.59,13176735,8.5,9.93,8.28,9.59,13176735,9.0,1.0
1,2007-10-26T00:00:00.000Z,9.08,9.48,8.53,8.64,7573528,9.08,9.48,8.53,8.64,7573528,0.0,1.0
2,2007-10-29T00:00:00.000Z,9.17,9.58,9.1301,9.27,5583454,9.17,9.58,9.1301,9.27,5583454,0.0,1.0
3,2007-10-30T00:00:00.000Z,9.44,9.65,9.33,9.41,5369942,9.44,9.65,9.33,9.41,5369942,0.0,1.0
4,2007-10-31T00:00:00.000Z,9.02,9.72,8.99,9.71,6256127,9.02,9.72,8.99,9.71,6256127,0.0,1.0
5,2007-11-01T00:00:00.000Z,8.76,9.4,8.74,9.02,5309964,8.76,9.4,8.74,9.02,5309964,0.0,1.0
6,2007-11-02T00:00:00.000Z,9.08,9.27,8.8,8.9,4840130,9.08,9.27,8.8,8.9,4840130,0.0,1.0
7,2007-11-05T00:00:00.000Z,9.0,9.23,8.96,9.01,2846074,9.0,9.23,8.96,9.01,2846074,0.0,1.0
8,2007-11-06T00:00:00.000Z,8.91,9.3,8.68,9.29,5676732,8.91,9.3,8.68,9.29,5676732,0.0,1.0
9,2007-11-07T00:00:00.000Z,8.75,9.11,8.74,8.92,3312510,8.75,9.11,8.74,8.92,3312510,0.0,1.0
10,2007-11-08T00:00:00.000Z,8.56,8.9,8.39,8.82,3823650,8.56,8.9,8.39,8.82,3823650,0.0,1.0
11,2007-11-09T00:00:00.000Z,8.3,8.56,8.27,8.43,2371806,8.3,8.56,8.27,8.43,2371806,0.0,1.0
12,2007-11-12T00:00:00.000Z,8.26,8.48,8.245,8.3,1870704,8.26,8.48,8.245,8.3,1870704,0.0,1.0
13,2007-11-13T00:00:00.000Z,9.14,9.19,8.32,8.4,3756111,9.14,9.19,8.32,8.4,3756111,0.0,1.0
14,2007-11-14T00:00:00.000Z,8.85,9.23,8.81,9.15,2112698,8.85,9.23,8.81,9.15,2112698,0.0,1.0
15,2007-11-15T00:00:00.000Z,8.67,8.9,8.59,8.85,1890411,8.67,8.9,8.59,8.85,1890411,0.0,1.0
16,2007-11-16T00:00:00.000Z,8.35,8.708,8.31,8.67,4833538,8.35,8.708,8.31,8.67,4833538,0.0,1.0
17,2007-11-19T00:00:00.000Z,7.92,8.35,7.89,8.26,4143810,7.92,8.35,7.89,8.26,4143810,0.0,1.0
18,2007-11-20T00:00:00.000Z,7.25,8.175,7.2,8.02,6152584,7.25,8.175,7.2,8.02,6152584,0.0,1.0
19,2007-11-21T00:00:00.000Z,6.93,7.15,6.93,7.1,6133030,6.93,7.15,6.93,7.1,6133030,0.0,1.0
20,2007-11-23T00:00:00.000Z,7.21,7.24,6.88,7.0,1634227,7.21,7.24,6.88,7.0,1634227,0.0,1.0
21,2007-11-26T00:00:00.000Z,6.6701,7.32,6.66,7.32,8392152,6.6701,7.32,6.66,7.32,8392152,0.0,1.0
22,2007-11-27T00:00:00.000Z,6.51,6.8,6.49,6.72,4773794,6.51,6.8,6.49,6.72,4773794,0.0,1.0
23,2007-11-28T00:00:00.000Z,7.0,7.19,6.66,6.68,4706238,7.0,7.19,6.66,6.68,4706238,0.0,1.0
24,2007-11-29T00:00:00.000Z,6.85,7.0,6.78,6.96,2685278,6.85,7.0,6.78,6.96,2685278,0.0,1.0
25,2007-11-30T00:00:00.000Z,6.97,7.0499,6.79,7.02,2831807,6.97,7.0499,6.79,7.02,2831807,0.0,1.0
26,2007-12-03T00:00:00.000Z,6.68,6.95,6.66,6.94,3484532,6.68,6.95,6.66,6.94,3484532,0.0,1.0
27,2007-12-04T00:00:00.000Z,6.35,6.8,6.3,6.6,5372968,6.35,6.8,6.3,6.6,5372968,0.0,1.0
28,2007-12-05T00:00:00.000Z,6.32,6.5,6.29,6.43,2522965,6.32,6.5,6.29,6.43,2522965,0.0,1.0
29,2007-12-06T00:00:00.000Z,6.59,6.69,6.37,6.37,4220510,6.59,6.69,6.37,6.37,4220510,0.0,1.0
