,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,31.0,32.25,30.75,32.25,620200,7.0496574452,7.3339178261,6.9928053691,7.3339178261,1846955,0.0,1.0
1,1997-01-03T00:00:00.000Z,30.5,31.12,30.5,31.0,36400,6.9359532929,7.0769464418,6.9359532929,7.0496574452,108399,0.0,1.0
2,1997-01-06T00:00:00.000Z,29.5,30.25,29.25,30.25,61200,6.7085449882,6.8791012167,6.651692912,6.8791012167,182253,0.0,1.0
3,1997-01-07T00:00:00.000Z,29.88,30.0,29.5,29.62,43400,6.794960144,6.8222491406,6.7085449882,6.7358339848,129245,0.0,1.0
4,1997-01-08T00:00:00.000Z,29.0,29.88,28.88,29.88,59600,6.5948408359,6.794960144,6.5675518393,6.794960144,177488,0.0,1.0
5,1997-01-09T00:00:00.000Z,29.5,29.5,29.12,29.25,265200,6.7085449882,6.7085449882,6.6221298324,6.651692912,789765,0.0,1.0
6,1997-01-10T00:00:00.000Z,29.5,29.62,29.25,29.25,43200,6.7085449882,6.7358339848,6.651692912,6.651692912,128649,0.0,1.0
7,1997-01-13T00:00:00.000Z,30.0,30.12,29.38,29.5,60000,6.8222491406,6.8495381371,6.6812559917,6.7085449882,178680,0.0,1.0
8,1997-01-14T00:00:00.000Z,30.25,30.38,30.0,30.0,43400,6.8791012167,6.9086642963,6.8222491406,6.8222491406,129245,0.0,1.0
9,1997-01-15T00:00:00.000Z,30.0,30.38,30.0,30.38,95800,6.8222491406,6.9086642963,6.8222491406,6.9086642963,285292,0.0,1.0
10,1997-01-16T00:00:00.000Z,30.0,30.12,29.88,30.0,32000,6.8222491406,6.8495381371,6.794960144,6.8222491406,95296,0.0,1.0
11,1997-01-17T00:00:00.000Z,30.62,30.62,30.0,30.0,88400,6.9632422895,6.9632422895,6.8222491406,6.8222491406,263255,0.0,1.0
12,1997-01-20T00:00:00.000Z,31.5,31.5,30.5,30.5,166600,7.1633615976,7.1633615976,6.9359532929,6.9359532929,496134,0.0,1.0
13,1997-01-21T00:00:00.000Z,31.25,31.5,31.12,31.38,56000,7.1065095214,7.1633615976,7.0769464418,7.136072601,166768,0.0,1.0
14,1997-01-22T00:00:00.000Z,31.0,31.5,30.88,31.12,183200,7.0496574452,7.1633615976,7.0223684487,7.0769464418,545569,0.0,1.0
15,1997-01-23T00:00:00.000Z,30.62,31.12,30.5,31.12,91400,6.9632422895,7.0769464418,6.9359532929,7.0769464418,272189,0.0,1.0
16,1997-01-24T00:00:00.000Z,30.75,30.75,30.38,30.62,58400,6.9928053691,6.9928053691,6.9086642963,6.9632422895,173915,0.0,1.0
17,1997-01-27T00:00:00.000Z,30.38,30.88,30.12,30.5,87000,6.9086642963,7.0223684487,6.8495381371,6.9359532929,259086,0.0,1.0
