,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2016-01-04T00:00:00.000Z,11.76,12.02,11.752,12.02,592325,11.76,12.02,11.752,12.02,592325,0.0,1.0
1,2016-01-05T00:00:00.000Z,11.8,11.93,11.7,11.8,534577,11.8,11.93,11.7,11.8,534577,0.0,1.0
2,2016-01-06T00:00:00.000Z,11.63,11.71,11.52,11.68,646904,11.63,11.71,11.52,11.68,646904,0.0,1.0
3,2016-01-07T00:00:00.000Z,11.1,11.56,11.1,11.55,779449,11.1,11.56,11.1,11.55,779449,0.0,1.0
4,2016-01-08T00:00:00.000Z,11.02,11.49,10.99,11.22,882158,11.02,11.49,10.99,11.22,882158,0.0,1.0
5,2016-01-11T00:00:00.000Z,11.31,11.395,11.06,11.1,772602,11.31,11.395,11.06,11.1,772602,0.0,1.0
6,2016-01-12T00:00:00.000Z,11.68,11.7,11.345,11.42,713682,11.68,11.7,11.345,11.42,713682,0.0,1.0
7,2016-01-13T00:00:00.000Z,11.58,12.0,11.43,11.75,740064,11.58,12.0,11.43,11.75,740064,0.0,1.0
8,2016-01-14T00:00:00.000Z,11.8,11.97,11.43,11.66,651765,11.8,11.97,11.43,11.66,651765,0.0,1.0
9,2016-01-15T00:00:00.000Z,11.85,11.88,11.333,11.45,921524,11.85,11.88,11.333,11.45,921524,0.0,1.0
10,2016-01-19T00:00:00.000Z,11.65,12.0,11.43,12.0,1075317,11.65,12.0,11.43,12.0,1075317,0.0,1.0
11,2016-01-20T00:00:00.000Z,11.62,11.765,10.97,11.45,1307204,11.62,11.765,10.97,11.45,1307204,0.0,1.0
12,2016-01-21T00:00:00.000Z,11.66,11.94,11.45,11.66,703486,11.66,11.94,11.45,11.66,703486,0.0,1.0
13,2016-01-22T00:00:00.000Z,11.86,11.93,11.55,11.87,620971,11.86,11.93,11.55,11.87,620971,0.0,1.0
14,2016-01-25T00:00:00.000Z,11.86,12.07,11.52,11.83,799458,11.86,12.07,11.52,11.83,799458,0.0,1.0
15,2016-01-26T00:00:00.000Z,11.97,12.3025,11.825,11.88,781907,11.97,12.3025,11.825,11.88,781907,0.0,1.0
16,2016-01-27T00:00:00.000Z,11.77,12.09,11.75,11.88,472568,11.77,12.09,11.75,11.88,472568,0.0,1.0
17,2016-01-28T00:00:00.000Z,12.05,12.16,11.77,11.92,795511,12.05,12.16,11.77,11.92,795511,0.0,1.0
18,2016-01-29T00:00:00.000Z,12.82,13.49,12.65,13.4,3691418,12.82,13.49,12.65,13.4,3691418,0.0,1.0
19,2016-02-01T00:00:00.000Z,12.48,12.84,12.25,12.84,1556794,12.48,12.84,12.25,12.84,1556794,0.0,1.0
20,2016-02-02T00:00:00.000Z,12.5,12.86,12.36,12.36,1483461,12.5,12.86,12.36,12.36,1483461,0.0,1.0
21,2016-02-03T00:00:00.000Z,12.53,12.68,12.43,12.6,848941,12.53,12.68,12.43,12.6,848941,0.0,1.0
22,2016-02-04T00:00:00.000Z,12.53,12.9,12.41,12.55,548508,12.53,12.9,12.41,12.55,548508,0.0,1.0
23,2016-02-05T00:00:00.000Z,12.05,12.51,12.035,12.47,865661,12.05,12.51,12.035,12.47,865661,0.0,1.0
24,2016-02-08T00:00:00.000Z,12.07,12.17,11.72,11.88,858021,12.07,12.17,11.72,11.88,858021,0.0,1.0
25,2016-02-09T00:00:00.000Z,11.96,12.2656,11.89,11.91,745015,11.96,12.2656,11.89,11.91,745015,0.0,1.0
26,2016-02-10T00:00:00.000Z,11.6,12.24,11.58,12.06,1057177,11.6,12.24,11.58,12.06,1057177,0.0,1.0
27,2016-02-11T00:00:00.000Z,11.53,11.745,11.43,11.43,1165504,11.53,11.745,11.43,11.43,1165504,0.0,1.0
28,2016-02-12T00:00:00.000Z,12.03,12.075,11.59,11.65,894502,12.03,12.075,11.59,11.65,894502,0.0,1.0
29,2016-02-16T00:00:00.000Z,12.21,12.3191,11.9222,12.22,930533,12.21,12.3191,11.9222,12.22,930533,0.0,1.0
30,2016-02-17T00:00:00.000Z,12.54,12.61,12.22,12.3,1056494,12.54,12.61,12.22,12.3,1056494,0.0,1.0
31,2016-02-18T00:00:00.000Z,12.59,12.78,12.39,12.65,650255,12.59,12.78,12.39,12.65,650255,0.0,1.0
32,2016-02-19T00:00:00.000Z,12.39,12.64,12.35,12.55,524639,12.39,12.64,12.35,12.55,524639,0.0,1.0
33,2016-02-22T00:00:00.000Z,12.47,12.56,12.41,12.49,543246,12.47,12.56,12.41,12.49,543246,0.0,1.0
34,2016-02-23T00:00:00.000Z,12.48,12.585,12.415,12.43,685596,12.48,12.585,12.415,12.43,685596,0.0,1.0
35,2016-02-24T00:00:00.000Z,12.61,12.618,12.32,12.35,696289,12.61,12.618,12.32,12.35,696289,0.0,1.0
36,2016-02-25T00:00:00.000Z,12.67,12.73,12.54,12.61,522952,12.67,12.73,12.54,12.61,522952,0.0,1.0
37,2016-02-26T00:00:00.000Z,12.82,12.905,12.64,12.73,693986,12.82,12.905,12.64,12.73,693986,0.0,1.0
38,2016-02-29T00:00:00.000Z,12.89,13.16,12.69,12.86,1017928,12.89,13.16,12.69,12.86,1017928,0.0,1.0
39,2016-03-01T00:00:00.000Z,13.06,13.12,12.902,12.97,719506,13.06,13.12,12.902,12.97,719506,0.0,1.0
40,2016-03-02T00:00:00.000Z,13.12,13.21,12.68,13.03,758237,13.12,13.21,12.68,13.03,758237,0.0,1.0
41,2016-03-03T00:00:00.000Z,13.35,13.37,13.11,13.11,813630,13.35,13.37,13.11,13.11,813630,0.0,1.0
42,2016-03-04T00:00:00.000Z,13.2,13.365,13.18,13.35,378632,13.2,13.365,13.18,13.35,378632,0.0,1.0
43,2016-03-07T00:00:00.000Z,13.17,13.34,13.06,13.17,591046,13.17,13.34,13.06,13.17,591046,0.0,1.0
44,2016-03-08T00:00:00.000Z,12.76,13.14,12.74,13.14,707576,12.76,13.14,12.74,13.14,707576,0.0,1.0
45,2016-03-09T00:00:00.000Z,13.13,13.19,12.76,12.81,561459,13.13,13.19,12.76,12.81,561459,0.0,1.0
46,2016-03-10T00:00:00.000Z,12.81,13.26,12.71,13.16,378970,12.81,13.26,12.71,13.16,378970,0.0,1.0
47,2016-03-11T00:00:00.000Z,13.14,13.16,12.9,12.9,364673,13.14,13.16,12.9,12.9,364673,0.0,1.0
48,2016-03-14T00:00:00.000Z,12.95,13.151,12.94,13.11,272444,12.95,13.151,12.94,13.11,272444,0.0,1.0
49,2016-03-15T00:00:00.000Z,13.07,13.15,12.81,12.9,775357,13.07,13.15,12.81,12.9,775357,0.0,1.0
50,2016-03-16T00:00:00.000Z,13.17,13.33,12.76,13.06,557189,13.17,13.33,12.76,13.06,557189,0.0,1.0
51,2016-03-17T00:00:00.000Z,13.08,13.3,13.04,13.2,696620,13.08,13.3,13.04,13.2,696620,0.0,1.0
52,2016-03-18T00:00:00.000Z,13.29,13.35,13.01,13.15,1058595,13.29,13.35,13.01,13.15,1058595,0.0,1.0
53,2016-03-21T00:00:00.000Z,13.37,13.42,13.21,13.26,472992,13.37,13.42,13.21,13.26,472992,0.0,1.0
