,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,22.62,22.88,22.0,22.88,524300,20.5920534387,20.8287437081,20.0276381809,20.8287437081,484440,0.0,1.0
1,1997-01-03T00:00:00.000Z,22.88,23.25,22.62,22.62,364900,20.8287437081,21.1655721684,20.5920534387,20.5920534387,337159,0.0,1.0
2,1997-01-06T00:00:00.000Z,24.12,24.38,23.12,23.12,496000,21.9575742237,22.1942644932,21.0472270337,21.0472270337,458292,0.0,1.0
3,1997-01-07T00:00:00.000Z,25.0,25.12,23.88,24.12,532100,22.758679751,22.8679214138,21.7390908981,21.9575742237,491648,0.0,1.0
4,1997-01-08T00:00:00.000Z,24.38,25.38,24.25,25.25,508700,22.1942644932,23.1046116832,22.0759193585,22.9862665485,470026,0.0,1.0
5,1997-01-09T00:00:00.000Z,25.88,26.25,24.62,24.62,1289900,23.5597852782,23.8966137385,22.4127478188,22.4127478188,1191837,0.0,1.0
6,1997-01-10T00:00:00.000Z,26.75,26.75,25.5,25.62,821100,24.3517873335,24.3517873335,23.213853346,23.3230950088,758677,0.0,1.0
7,1997-01-13T00:00:00.000Z,28.38,28.75,27.12,27.12,2052100,25.8356532533,26.1724817136,24.6886157939,24.6886157939,1896092,0.0,1.0
8,1997-01-14T00:00:00.000Z,28.12,28.38,27.75,28.25,996000,25.5989629839,25.8356532533,25.2621345236,25.7173081186,920280,0.0,1.0
9,1997-01-15T00:00:00.000Z,28.5,29.0,27.88,28.25,1136800,25.9448949161,26.4000685111,25.3804796583,25.7173081186,1050376,0.0,1.0
10,1997-01-16T00:00:00.000Z,28.0,28.38,27.38,28.38,1115300,25.4897213211,25.8356532533,24.9253060633,25.8356532533,1030511,0.0,1.0
11,1997-01-17T00:00:00.000Z,27.38,27.88,27.0,27.88,443300,24.9253060633,25.3804796583,24.5793741311,25.3804796583,409598,0.0,1.0
12,1997-01-20T00:00:00.000Z,26.75,27.5,26.5,27.38,540600,24.3517873335,25.0345477261,24.124200536,24.9253060633,499501,0.0,1.0
13,1997-01-21T00:00:00.000Z,26.75,26.88,26.12,26.75,529300,24.3517873335,24.4701324683,23.7782686038,24.3517873335,489060,0.0,1.0
14,1997-01-22T00:00:00.000Z,26.0,26.75,25.38,26.62,1020100,23.669026941,24.3517873335,23.1046116832,24.2334421988,942548,0.0,1.0
15,1997-01-23T00:00:00.000Z,26.25,27.38,26.12,26.75,1402300,23.8966137385,24.9253060633,23.7782686038,24.3517873335,1295692,0.0,1.0
16,1997-01-24T00:00:00.000Z,24.75,26.0,24.38,26.0,1192800,22.5310929535,23.669026941,22.1942644932,23.669026941,1102119,0.0,1.0
17,1997-01-27T00:00:00.000Z,24.38,25.0,24.38,24.62,736700,22.1942644932,22.758679751,22.1942644932,22.4127478188,680693,0.0,1.0
