,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,22.25,22.88,22.25,22.75,1667000,2.9087205584,2.9910798372,2.9087205584,2.9740850654,2500498,0.0,1.0
1,1997-01-03T00:00:00.000Z,22.25,22.5,22.13,22.5,1140400,2.9087205584,2.9414028119,2.8930330768,2.9414028119,1710599,0.0,1.0
2,1997-01-06T00:00:00.000Z,22.5,22.5,22.25,22.38,1843800,2.9414028119,2.9414028119,2.9087205584,2.9257153302,2765698,0.0,1.0
3,1997-01-07T00:00:00.000Z,22.88,22.88,22.38,22.5,1661300,2.9910798372,2.9910798372,2.9257153302,2.9414028119,2491948,0.0,1.0
4,1997-01-08T00:00:00.000Z,22.63,23.0,22.5,23.0,1381700,2.9583975837,3.0067673188,2.9414028119,3.0067673188,2072548,0.0,1.0
5,1997-01-09T00:00:00.000Z,22.63,22.75,22.5,22.75,1242500,2.9583975837,2.9740850654,2.9414028119,2.9740850654,1863749,0.0,1.0
6,1997-01-10T00:00:00.000Z,22.63,22.63,22.25,22.38,1661100,2.9583975837,2.9583975837,2.9087205584,2.9257153302,2491648,0.0,1.0
7,1997-01-13T00:00:00.000Z,22.5,22.75,22.5,22.75,1158600,2.9414028119,2.9740850654,2.9414028119,2.9740850654,1737899,0.0,1.0
8,1997-01-14T00:00:00.000Z,22.63,22.75,22.5,22.63,1133900,2.9583975837,2.9740850654,2.9414028119,2.9583975837,1700849,0.0,1.0
9,1997-01-15T00:00:00.000Z,23.25,23.25,22.63,22.75,3393800,3.0394495723,3.0394495723,2.9583975837,2.9740850654,5090697,0.0,1.0
10,1997-01-16T00:00:00.000Z,22.75,23.25,22.75,23.13,2273800,2.9740850654,3.0394495723,2.9740850654,3.0237620906,3410698,0.0,1.0
11,1997-01-17T00:00:00.000Z,23.0,23.0,22.75,22.88,2568000,3.0067673188,3.0067673188,2.9740850654,2.9910798372,3851998,0.0,1.0
12,1997-01-20T00:00:00.000Z,22.75,23.0,22.63,23.0,718900,2.9740850654,3.0067673188,2.9583975837,3.0067673188,1078349,0.0,1.0
13,1997-01-21T00:00:00.000Z,22.88,23.0,22.5,22.63,1333400,2.9910798372,3.0067673188,2.9414028119,2.9583975837,2000098,0.0,1.0
14,1997-01-22T00:00:00.000Z,23.13,23.13,22.75,23.0,1077500,3.0237620906,3.0237620906,2.9740850654,3.0067673188,1616249,0.0,1.0
15,1997-01-23T00:00:00.000Z,22.75,23.38,22.75,23.13,2790900,2.9740850654,3.0564443441,2.9740850654,3.0237620906,4186347,0.0,1.0
16,1997-01-24T00:00:00.000Z,22.63,22.88,22.63,22.75,1504000,2.9583975837,2.9910798372,2.9583975837,2.9740850654,2255998,0.0,1.0
17,1997-01-27T00:00:00.000Z,22.25,22.75,22.25,22.63,1338500,2.9087205584,2.9740850654,2.9087205584,2.9583975837,2007748,0.0,1.0
18,1997-01-28T00:00:00.000Z,22.13,22.75,22.13,22.5,1573500,2.8930330768,2.9740850654,2.8930330768,2.9414028119,2360248,0.0,1.0
19,1997-01-29T00:00:00.000Z,22.13,22.38,22.0,22.25,4869700,2.8930330768,2.9257153302,2.876038305,2.9087205584,7304546,0.0,1.0
20,1997-01-30T00:00:00.000Z,21.88,22.13,21.75,22.0,4115000,2.9028377528,2.9360054602,2.885590545,2.9187582524,6172496,0.325,1.0
21,1997-01-31T00:00:00.000Z,21.88,22.13,21.75,21.88,2040100,2.9028377528,2.9360054602,2.885590545,2.9028377528,3060148,0.0,1.0
22,1997-02-03T00:00:00.000Z,21.88,22.0,21.75,21.75,1696000,2.9028377528,2.9187582524,2.885590545,2.885590545,2543998,0.0,1.0
23,1997-02-04T00:00:00.000Z,21.88,21.88,21.63,21.75,937600,2.9028377528,2.9028377528,2.8696700454,2.885590545,1406399,0.0,1.0
24,1997-02-05T00:00:00.000Z,21.63,22.0,21.5,21.88,1796500,2.8696700454,2.9187582524,2.8524228375,2.9028377528,2694748,0.0,1.0
25,1997-02-06T00:00:00.000Z,21.5,21.75,21.25,21.5,2331800,2.8524228375,2.885590545,2.8192551301,2.8524228375,3497698,0.0,1.0
26,1997-02-07T00:00:00.000Z,21.75,21.88,21.5,21.63,1253000,2.885590545,2.9028377528,2.8524228375,2.8696700454,1879499,0.0,1.0
27,1997-02-10T00:00:00.000Z,21.88,21.88,21.63,21.75,1170500,2.9028377528,2.9028377528,2.8696700454,2.885590545,1755749,0.0,1.0
28,1997-02-11T00:00:00.000Z,21.88,21.88,21.63,21.88,1453900,2.9028377528,2.9028377528,2.8696700454,2.9028377528,2180848,0.0,1.0
29,1997-02-12T00:00:00.000Z,22.0,22.13,21.75,21.88,1977000,2.9187582524,2.9360054602,2.885590545,2.9028377528,2965498,0.0,1.0
30,1997-02-13T00:00:00.000Z,22.25,22.38,22.0,22.13,1795500,2.9519259598,2.9691731676,2.9187582524,2.9360054602,2693248,0.0,1.0
31,1997-02-14T00:00:00.000Z,22.13,22.38,22.0,22.38,1927800,2.9360054602,2.9691731676,2.9187582524,2.9691731676,2891698,0.0,1.0
