,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2002-12-11T00:00:00.000Z,11.5,12.0,11.25,11.5,36719700,6.2897145738,6.5631804248,6.1529816483,6.2897145738,36719700,0.0,1.0
1,2002-12-12T00:00:00.000Z,11.18,11.59,11.02,11.5,9195600,6.1146964291,6.338938427,6.0271873568,6.2897145738,9195600,0.0,1.0
2,2002-12-13T00:00:00.000Z,11.42,11.65,10.95,11.1,7739400,6.2459600376,6.3717543291,5.9889021376,6.070941893,7739400,0.0,1.0
3,2002-12-16T00:00:00.000Z,11.61,11.62,11.13,11.32,3836400,6.349877061,6.355346378,6.087349844,6.1912668674,3836400,0.0,1.0
4,2002-12-17T00:00:00.000Z,11.5,11.78,11.45,11.6,2729900,6.2897145738,6.4428554504,6.2623679887,6.344407744,2729900,0.0,1.0
5,2002-12-18T00:00:00.000Z,11.2,11.43,11.13,11.42,2152800,6.1256350632,6.2514293546,6.087349844,6.2459600376,2152800,0.0,1.0
6,2002-12-19T00:00:00.000Z,10.76,11.2,10.71,11.15,6450800,5.8849851142,6.1256350632,5.8576385291,6.0982884781,6450800,0.0,1.0
7,2002-12-20T00:00:00.000Z,10.81,10.94,10.56,10.85,2930900,5.9123316994,5.9834328206,5.7755987738,5.9342089674,2930900,0.0,1.0
8,2002-12-23T00:00:00.000Z,10.4,10.71,10.2,10.71,3455900,5.6880897015,5.8576385291,5.5787033611,5.8576385291,3455900,0.0,1.0
9,2002-12-24T00:00:00.000Z,10.24,10.45,10.0,10.4,3302500,5.6005806292,5.7154362866,5.4693170207,5.6880897015,3302500,0.0,1.0
10,2002-12-26T00:00:00.000Z,10.03,10.2,10.0,10.05,2019200,5.4857249717,5.5787033611,5.4693170207,5.4966636058,2019200,0.0,1.0
11,2002-12-27T00:00:00.000Z,10.13,10.13,9.86,10.0,1639400,5.5404181419,5.5404181419,5.3927465824,5.4693170207,1639400,0.0,1.0
12,2002-12-30T00:00:00.000Z,10.47,10.55,10.0,10.22,2742800,5.7263749206,5.7701294568,5.4693170207,5.5896419951,2742800,0.0,1.0
13,2002-12-31T00:00:00.000Z,10.73,10.96,10.3,10.3,3730800,5.8685771632,5.9943714547,5.6333965313,5.6333965313,3730800,0.0,1.0
14,2003-01-02T00:00:00.000Z,10.5,10.76,10.25,10.75,3473000,5.7427828717,5.8849851142,5.6060499462,5.8795157972,3473000,0.0,1.0
15,2003-01-03T00:00:00.000Z,10.75,10.75,10.33,10.5,1716600,5.8795157972,5.8795157972,5.6498044824,5.7427828717,1716600,0.0,1.0
16,2003-01-06T00:00:00.000Z,11.43,11.57,10.85,10.9,4041400,6.2514293546,6.3279997929,5.9342089674,5.9615555525,4041400,0.0,1.0
17,2003-01-07T00:00:00.000Z,12.25,12.25,11.4,11.5,6823500,6.6999133503,6.6999133503,6.2350214036,6.2897145738,6823500,0.0,1.0
18,2003-01-08T00:00:00.000Z,12.2,12.24,11.95,12.05,4623100,6.6725667652,6.6944440333,6.5358338397,6.5905270099,4623100,0.0,1.0
19,2003-01-09T00:00:00.000Z,12.6,12.95,12.25,12.3,9553400,6.8913394461,7.0827655418,6.6999133503,6.7272599354,9553400,0.0,1.0
20,2003-01-10T00:00:00.000Z,11.1,11.95,10.7,11.5,7554700,6.070941893,6.5358338397,5.8521692121,6.2897145738,7554700,0.0,1.0
21,2003-01-13T00:00:00.000Z,10.23,11.28,10.15,11.15,2834700,5.5951113122,6.1693895993,5.551356776,6.0982884781,2834700,0.0,1.0
22,2003-01-14T00:00:00.000Z,10.25,10.35,10.0,10.23,1629200,5.6060499462,5.6607431164,5.4693170207,5.5951113122,1629200,0.0,1.0
23,2003-01-15T00:00:00.000Z,10.77,10.88,10.19,10.36,2588100,5.8904544313,5.9506169185,5.5732340441,5.6662124334,2588100,0.0,1.0
24,2003-01-16T00:00:00.000Z,11.01,11.1,10.78,10.98,1443400,6.0217180398,6.070941893,5.8959237483,6.0053100887,1443400,0.0,1.0
25,2003-01-17T00:00:00.000Z,10.8,11.0,10.4,10.98,2000000,5.9068623823,6.0162487227,5.6880897015,6.0053100887,2000000,0.0,1.0
26,2003-01-21T00:00:00.000Z,10.24,10.98,10.21,10.9,1165700,5.6005806292,6.0053100887,5.5841726781,5.9615555525,1165700,0.0,1.0
27,2003-01-22T00:00:00.000Z,9.52,10.34,9.3,10.34,3488500,5.2067898037,5.6552737994,5.0864648292,5.6552737994,3488500,0.0,1.0
28,2003-01-23T00:00:00.000Z,10.0,10.15,9.61,9.75,2498200,5.4693170207,5.551356776,5.2560136569,5.3325840952,2498200,0.0,1.0
29,2003-01-24T00:00:00.000Z,9.95,10.43,9.8,10.17,2772100,5.4419704356,5.7044976526,5.3599306803,5.56229541,2772100,0.0,1.0
30,2003-01-27T00:00:00.000Z,9.35,9.9,9.32,9.8,1150600,5.1138114143,5.4146238505,5.0974034633,5.3599306803,1150600,0.0,1.0
31,2003-01-28T00:00:00.000Z,9.4,9.71,9.4,9.43,1267000,5.1411579994,5.3107068271,5.1411579994,5.1575659505,1267000,0.0,1.0
32,2003-01-29T00:00:00.000Z,9.4,9.71,9.4,9.43,1174400,5.1411579994,5.3107068271,5.1411579994,5.1575659505,1174400,0.0,1.0
33,2003-01-30T00:00:00.000Z,9.4,9.89,9.4,9.79,720700,5.1411579994,5.4091545334,5.1411579994,5.3544613632,720700,0.0,1.0
34,2003-01-31T00:00:00.000Z,9.18,9.34,8.99,9.3,1402500,5.020833025,5.1083420973,4.9169160016,5.0864648292,1402500,0.0,1.0
35,2003-02-03T00:00:00.000Z,9.17,9.45,9.16,9.23,1002400,5.015363708,5.1685045845,5.0098943909,5.0481796101,1002400,0.0,1.0
36,2003-02-04T00:00:00.000Z,9.05,9.18,8.95,9.18,1087700,4.9497319037,5.020833025,4.8950387335,5.020833025,1087700,0.0,1.0
37,2003-02-05T00:00:00.000Z,9.05,9.21,8.98,9.12,1233500,4.9497319037,5.037240976,4.9114466846,4.9880171229,1233500,0.0,1.0
38,2003-02-06T00:00:00.000Z,9.05,9.34,9.03,9.1,923500,4.9497319037,5.1083420973,4.9387932697,4.9770784888,923500,0.0,1.0
39,2003-02-07T00:00:00.000Z,9.0,9.17,8.96,9.15,1069500,4.9223853186,5.015363708,4.9005080505,5.0044250739,1069500,0.0,1.0
40,2003-02-10T00:00:00.000Z,8.7,8.75,7.78,8.75,10046400,4.758305808,4.7856523931,4.2551286421,4.7856523931,10046400,0.0,1.0
41,2003-02-11T00:00:00.000Z,8.93,8.93,8.23,8.7,2238900,4.8841000995,4.8841000995,4.501247908,4.758305808,2238900,0.0,1.0
42,2003-02-12T00:00:00.000Z,8.34,8.95,8.18,8.95,1726000,4.5778183463,4.9126467865,4.4899944931,4.9126467865,1726000,0.03,1.0
43,2003-02-13T00:00:00.000Z,8.06,8.45,8.0,8.35,2111000,4.4241266033,4.6381972454,4.3911926583,4.5833073371,2111000,0.0,1.0
44,2003-02-14T00:00:00.000Z,8.4,8.4,8.06,8.06,881000,4.6107522912,4.6107522912,4.4241266033,4.4241266033,881000,0.0,1.0
45,2003-02-18T00:00:00.000Z,8.74,8.74,8.39,8.4,2049100,4.7973779792,4.7973779792,4.6052633004,4.6107522912,2049100,0.0,1.0
46,2003-02-19T00:00:00.000Z,8.99,9.0,8.74,8.81,1506300,4.9346027498,4.9400917406,4.7973779792,4.835800915,1506300,0.0,1.0
47,2003-02-20T00:00:00.000Z,9.01,9.15,8.87,8.89,760000,4.9455807314,5.022426603,4.8687348599,4.8797128416,760000,0.0,1.0
48,2003-02-21T00:00:00.000Z,9.2,9.36,9.03,9.03,1519300,5.0498715571,5.1376954102,4.9565587131,4.9565587131,1519300,0.0,1.0
49,2003-02-24T00:00:00.000Z,9.0,9.4,8.88,9.25,1055600,4.9400917406,5.1596513735,4.8742238507,5.0773165112,1055600,0.0,1.0
50,2003-02-25T00:00:00.000Z,9.68,9.75,8.97,9.0,3049400,5.3133431166,5.3517660523,4.9236247682,4.9400917406,3049400,0.0,1.0
51,2003-02-26T00:00:00.000Z,9.52,9.74,9.42,9.65,782300,5.2255192634,5.3462770615,5.1706293552,5.2968761441,782300,0.0,1.0
52,2003-02-27T00:00:00.000Z,9.45,9.69,9.32,9.42,387000,5.1870963276,5.3188321074,5.115739447,5.1706293552,387000,0.0,1.0
53,2003-02-28T00:00:00.000Z,9.27,9.5,9.18,9.5,808500,5.0882944928,5.2145412818,5.0388935754,5.2145412818,808500,0.0,1.0
54,2003-03-03T00:00:00.000Z,9.3,9.52,9.22,9.25,575800,5.1047614653,5.2255192634,5.0608495387,5.0773165112,575800,0.0,1.0
55,2003-03-04T00:00:00.000Z,9.27,9.39,9.2,9.33,517600,5.0882944928,5.1541623827,5.0498715571,5.1212284378,517600,0.0,1.0
56,2003-03-05T00:00:00.000Z,9.29,9.42,9.14,9.23,1017700,5.0992724745,5.1706293552,5.0169376121,5.0663385295,1017700,0.0,1.0
57,2003-03-06T00:00:00.000Z,9.58,9.75,9.19,9.19,1481100,5.2584532083,5.3517660523,5.0443825663,5.0443825663,1481100,0.0,1.0
58,2003-03-07T00:00:00.000Z,9.7,9.84,9.39,9.48,898800,5.3243210982,5.4011669697,5.1541623827,5.2035633001,898800,0.0,1.0
59,2003-03-10T00:00:00.000Z,9.76,9.76,9.45,9.45,1837100,5.3572550432,5.3572550432,5.1870963276,5.1870963276,1837100,0.0,1.0
60,2003-03-11T00:00:00.000Z,9.55,9.75,9.45,9.7,1960400,5.2419862359,5.3517660523,5.1870963276,5.3243210982,1960400,0.0,1.0
61,2003-03-12T00:00:00.000Z,9.03,9.4,8.95,9.35,4556400,4.9565587131,5.1596513735,4.9126467865,5.1322064194,4556400,0.0,1.0
62,2003-03-13T00:00:00.000Z,9.05,9.15,8.88,9.03,4223600,4.9675366947,5.022426603,4.8742238507,4.9565587131,4223600,0.0,1.0
63,2003-03-14T00:00:00.000Z,8.96,9.1,8.75,9.02,2401400,4.9181357773,4.9949816488,4.80286697,4.9510697223,2401400,0.0,1.0
64,2003-03-17T00:00:00.000Z,9.35,9.43,8.85,8.96,994400,5.1322064194,5.176118346,4.8577568783,4.9181357773,994400,0.0,1.0
65,2003-03-18T00:00:00.000Z,9.54,9.56,9.35,9.35,782500,5.2364972451,5.2474752267,5.1322064194,5.1322064194,782500,0.0,1.0
66,2003-03-19T00:00:00.000Z,9.34,9.51,9.18,9.45,874000,5.1267174286,5.2200302726,5.0388935754,5.1870963276,874000,0.0,1.0
67,2003-03-20T00:00:00.000Z,9.44,9.45,9.2,9.25,1609600,5.1816073368,5.1870963276,5.0498715571,5.0773165112,1609600,0.0,1.0
68,2003-03-21T00:00:00.000Z,9.8,9.99,9.4,9.5,2559900,5.3792110065,5.4835018321,5.1596513735,5.2145412818,2559900,0.0,1.0
69,2003-03-24T00:00:00.000Z,9.55,9.76,9.43,9.45,1945600,5.2419862359,5.3572550432,5.176118346,5.1870963276,1945600,0.0,1.0
70,2003-03-25T00:00:00.000Z,10.0,10.22,9.45,9.5,4664700,5.4889908229,5.609748621,5.1870963276,5.2145412818,4664700,0.0,1.0
71,2003-03-26T00:00:00.000Z,10.1,10.19,9.75,9.85,2908700,5.5438807311,5.5932816485,5.3517660523,5.4066559606,2908700,0.0,1.0
72,2003-03-27T00:00:00.000Z,10.88,10.89,9.94,9.95,4410700,5.9720220153,5.9775110061,5.456056878,5.4615458688,4410700,0.0,1.0
