,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2016-01-04T00:00:00.000Z,5.75,5.88,4.83,4.89,50781549,5.75,5.88,4.83,4.89,50781549,0.0,1.0
1,2016-01-05T00:00:00.000Z,5.66,5.98,5.53,5.96,43023973,5.66,5.98,5.53,5.96,43023973,0.0,1.0
2,2016-01-06T00:00:00.000Z,5.51,5.78,5.4,5.45,26420651,5.51,5.78,5.4,5.45,26420651,0.0,1.0
3,2016-01-07T00:00:00.000Z,3.34,5.0,2.95,4.91,163646720,3.34,5.0,2.95,4.91,163646720,0.0,1.0
4,2016-01-08T00:00:00.000Z,3.41,3.76,3.31,3.76,88566504,3.41,3.76,3.31,3.76,88566504,0.0,1.0
5,2016-01-11T00:00:00.000Z,3.34,3.58,3.21,3.52,33966603,3.34,3.58,3.21,3.52,33966603,0.0,1.0
6,2016-01-12T00:00:00.000Z,3.02,3.38,2.36,3.29,76310585,3.02,3.38,2.36,3.29,76310585,0.0,1.0
7,2016-01-13T00:00:00.000Z,2.81,3.28,2.5,2.99,53126988,2.81,3.28,2.5,2.99,53126988,0.0,1.0
8,2016-01-14T00:00:00.000Z,2.82,2.95,2.65,2.85,31779252,2.82,2.95,2.65,2.85,31779252,0.0,1.0
9,2016-01-15T00:00:00.000Z,2.74,2.81,2.58,2.6,25703489,2.74,2.81,2.58,2.6,25703489,0.0,1.0
10,2016-01-19T00:00:00.000Z,2.47,2.86,2.46,2.8,24582975,2.47,2.86,2.46,2.8,24582975,0.0,1.0
11,2016-01-20T00:00:00.000Z,2.34,2.45,2.02,2.35,34937181,2.34,2.45,2.02,2.35,34937181,0.0,1.0
12,2016-01-21T00:00:00.000Z,2.56,2.68,2.36,2.43,28244809,2.56,2.68,2.36,2.43,28244809,0.0,1.0
13,2016-01-22T00:00:00.000Z,2.65,2.8,2.56,2.71,28662254,2.65,2.8,2.56,2.71,28662254,0.0,1.0
14,2016-01-25T00:00:00.000Z,2.72,2.93,2.71,2.88,24754516,2.72,2.93,2.71,2.88,24754516,0.0,1.0
15,2016-01-26T00:00:00.000Z,3.05,3.19,2.76,2.77,33093021,3.05,3.19,2.76,2.77,33093021,0.0,1.0
16,2016-01-27T00:00:00.000Z,3.33,3.49,3.15,3.22,42237813,3.33,3.49,3.15,3.22,42237813,0.0,1.0
17,2016-01-28T00:00:00.000Z,3.04,3.48,2.88,3.44,35619232,3.04,3.48,2.88,3.44,35619232,0.0,1.0
18,2016-01-29T00:00:00.000Z,3.13,3.23,3.01,3.01,18963599,3.13,3.23,3.01,3.01,18963599,0.0,1.0
19,2016-02-01T00:00:00.000Z,3.02,3.08,2.81,2.99,17864893,3.02,3.08,2.81,2.99,17864893,0.0,1.0
20,2016-02-02T00:00:00.000Z,2.79,2.98,2.76,2.95,13834043,2.79,2.98,2.76,2.95,13834043,0.0,1.0
21,2016-02-03T00:00:00.000Z,2.8,2.82,2.52,2.8,21865978,2.8,2.82,2.52,2.8,21865978,0.0,1.0
22,2016-02-04T00:00:00.000Z,2.86,3.0,2.67,2.7,16741232,2.86,3.0,2.67,2.7,16741232,0.0,1.0
23,2016-02-05T00:00:00.000Z,2.69,2.82,2.68,2.74,11551188,2.69,2.82,2.68,2.74,11551188,0.0,1.0
24,2016-02-08T00:00:00.000Z,2.47,2.61,2.36,2.6,17786900,2.47,2.61,2.36,2.6,17786900,0.0,1.0
25,2016-02-09T00:00:00.000Z,2.63,2.66,2.37,2.41,12906973,2.63,2.66,2.37,2.41,12906973,0.0,1.0
26,2016-02-10T00:00:00.000Z,2.36,2.6,2.35,2.57,17010042,2.36,2.6,2.35,2.57,17010042,0.0,1.0
27,2016-02-11T00:00:00.000Z,2.04,2.3,2.0,2.24,29833191,2.04,2.3,2.0,2.24,29833191,0.0,1.0
28,2016-02-12T00:00:00.000Z,1.41,2.13,1.37,2.11,102275381,1.41,2.13,1.37,2.11,102275381,0.0,1.0
29,2016-02-16T00:00:00.000Z,1.62,1.725,1.37,1.51,49915176,1.62,1.725,1.37,1.51,49915176,0.0,1.0
30,2016-02-17T00:00:00.000Z,1.67,1.78,1.65,1.68,31305893,1.67,1.78,1.65,1.68,31305893,0.0,1.0
31,2016-02-18T00:00:00.000Z,1.51,1.64,1.37,1.44,43012491,1.51,1.64,1.37,1.44,43012491,0.0,1.0
32,2016-02-19T00:00:00.000Z,1.43,1.53,1.41,1.47,16546695,1.43,1.53,1.41,1.47,16546695,0.0,1.0
33,2016-02-22T00:00:00.000Z,1.43,1.5,1.43,1.5,15293630,1.43,1.5,1.43,1.5,15293630,0.0,1.0
34,2016-02-23T00:00:00.000Z,1.33,1.47,1.33,1.4683,22662141,1.33,1.47,1.33,1.4683,22662141,0.0,1.0
35,2016-02-24T00:00:00.000Z,1.26,1.36,1.21,1.36,21021883,1.26,1.36,1.21,1.36,21021883,0.0,1.0
