,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,29.38,29.75,28.0,28.63,541800,16.2924791067,16.4976600893,15.5272094958,15.8765717094,541800,0.0,1.0
1,1997-01-03T00:00:00.000Z,32.38,33.75,30.0,30.63,950200,17.9561086955,18.7158328744,16.6362958883,16.985658102,950200,0.0,1.0
2,1997-01-06T00:00:00.000Z,31.75,32.5,31.63,32.38,684500,17.6067464818,18.022653879,17.5402012983,17.9561086955,684500,0.0,1.0
3,1997-01-07T00:00:00.000Z,32.25,32.5,31.5,32.0,701900,17.88401808,18.022653879,17.4681106828,17.7453822809,701900,0.0,1.0
4,1997-01-08T00:00:00.000Z,33.5,35.38,32.13,32.75,1091600,18.5771970753,19.6197382843,17.8174728964,18.1612896781,1091600,0.0,1.0
5,1997-01-09T00:00:00.000Z,34.5,35.13,33.0,33.63,614800,19.1317402716,19.4811024853,18.2999254772,18.6492876908,614800,0.0,1.0
6,1997-01-10T00:00:00.000Z,34.5,34.88,33.63,34.25,574100,19.1317402716,19.3424666862,18.6492876908,18.9931044725,574100,0.0,1.0
7,1997-01-13T00:00:00.000Z,35.63,36.25,34.75,35.13,980600,19.7583740834,20.1021908651,19.2703760707,19.4811024853,980600,0.0,1.0
8,1997-01-14T00:00:00.000Z,36.63,36.88,35.5,35.75,468200,20.3129172797,20.4515530787,19.6862834679,19.8249192669,468200,0.0,1.0
9,1997-01-15T00:00:00.000Z,35.62,36.38,35.5,36.38,382200,19.7528286514,20.1742814806,19.6862834679,20.1742814806,382200,0.0,1.0
10,1997-01-16T00:00:00.000Z,36.63,38.0,35.88,36.13,797900,20.3129172797,21.0726414586,19.8970098825,20.0356456815,797900,0.0,1.0
11,1997-01-17T00:00:00.000Z,37.5,37.63,36.75,36.75,412000,20.7953698604,20.8674604759,20.3794624632,20.3794624632,412000,0.0,1.0
12,1997-01-20T00:00:00.000Z,38.13,38.38,37.63,37.88,193900,21.1447320741,21.2833678732,20.8674604759,21.006096275,193900,0.0,1.0
13,1997-01-21T00:00:00.000Z,38.13,38.13,37.5,37.63,223100,21.1447320741,21.1447320741,20.7953698604,20.8674604759,223100,0.0,1.0
