,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2013-11-07T00:00:00.000Z,44.9,50.09,44.0,45.1,117701600,44.9,50.09,44.0,45.1,117701600,0.0,1.0
1,2013-11-08T00:00:00.000Z,41.65,46.94,40.685,45.93,27925300,41.65,46.94,40.685,45.93,27925300,0.0,1.0
2,2013-11-11T00:00:00.000Z,42.9,43.0,39.4,40.5,16113900,42.9,43.0,39.4,40.5,16113900,0.0,1.0
3,2013-11-12T00:00:00.000Z,41.9,43.78,41.83,43.66,6316700,41.9,43.78,41.83,43.66,6316700,0.0,1.0
4,2013-11-13T00:00:00.000Z,42.6,42.87,40.76,41.03,8688300,42.6,42.87,40.76,41.03,8688300,0.0,1.0
5,2013-11-14T00:00:00.000Z,44.69,45.67,42.24,42.34,11099400,44.69,45.67,42.24,42.34,11099400,0.0,1.0
6,2013-11-15T00:00:00.000Z,43.98,45.27,43.43,45.25,8010600,43.98,45.27,43.43,45.25,8010600,0.0,1.0
7,2013-11-18T00:00:00.000Z,41.14,43.95,40.85,43.5,12810600,41.14,43.95,40.85,43.5,12810600,0.0,1.0
8,2013-11-19T00:00:00.000Z,41.75,41.9,40.0,41.39,7436600,41.75,41.9,40.0,41.39,7436600,0.0,1.0
9,2013-11-20T00:00:00.000Z,41.05,41.75,40.51,41.4,5767300,41.05,41.75,40.51,41.4,5767300,0.0,1.0
10,2013-11-21T00:00:00.000Z,42.06,42.49,40.37,41.25,8324700,42.06,42.49,40.37,41.25,8324700,0.0,1.0
11,2013-11-22T00:00:00.000Z,41.0,42.28,40.97,41.81,6185200,41.0,42.28,40.97,41.81,6185200,0.0,1.0
12,2013-11-25T00:00:00.000Z,39.06,41.14,38.8,41.08,14333300,39.06,41.14,38.8,41.08,14333300,0.0,1.0
13,2013-11-26T00:00:00.000Z,40.18,40.55,38.92,39.16,9828400,40.18,40.55,38.92,39.16,9828400,0.0,1.0
14,2013-11-27T00:00:00.000Z,40.9,41.4,40.35,40.47,5536300,40.9,41.4,40.35,40.47,5536300,0.0,1.0
15,2013-11-29T00:00:00.000Z,41.57,41.58,40.9,41.4,4107000,41.57,41.58,40.9,41.4,4107000,0.0,1.0
16,2013-12-02T00:00:00.000Z,40.78,42.0,40.4,41.79,6424300,40.78,42.0,40.4,41.79,6424300,0.0,1.0
17,2013-12-03T00:00:00.000Z,41.37,41.6,40.54,40.69,5771000,41.37,41.6,40.54,40.69,5771000,0.0,1.0
18,2013-12-04T00:00:00.000Z,43.69,43.92,41.27,41.27,11014900,43.69,43.92,41.27,41.27,11014900,0.0,1.0
19,2013-12-05T00:00:00.000Z,45.62,46.35,42.83,43.45,11729400,45.62,46.35,42.83,43.45,11729400,0.0,1.0
20,2013-12-06T00:00:00.000Z,44.95,45.8,44.54,45.75,6230000,44.95,45.8,44.54,45.75,6230000,0.0,1.0
21,2013-12-09T00:00:00.000Z,49.14,49.84,45.02,45.59,17366600,49.14,49.84,45.02,45.59,17366600,0.0,1.0
22,2013-12-10T00:00:00.000Z,51.99,52.58,48.7,48.9,25792000,51.99,52.58,48.7,48.9,25792000,0.0,1.0
23,2013-12-11T00:00:00.000Z,52.34,53.87,51.0,52.4,26631500,52.34,53.87,51.0,52.4,26631500,0.0,1.0
24,2013-12-12T00:00:00.000Z,55.33,55.87,50.69,52.2,23446900,55.33,55.87,50.69,52.2,23446900,0.0,1.0
25,2013-12-13T00:00:00.000Z,59.0,59.41,55.45,56.2,38979600,59.0,59.41,55.45,56.2,38979600,0.0,1.0
26,2013-12-16T00:00:00.000Z,56.61,60.24,55.76,57.86,39310800,56.61,60.24,55.76,57.86,39310800,0.0,1.0
27,2013-12-17T00:00:00.000Z,56.45,57.38,54.62,56.97,22115200,56.45,57.38,54.62,56.97,22115200,0.0,1.0
28,2013-12-18T00:00:00.000Z,55.51,57.0,54.23,57.0,16659800,55.51,57.0,54.23,57.0,16659800,0.0,1.0
29,2013-12-19T00:00:00.000Z,57.49,57.75,55.0,55.08,13152500,57.49,57.75,55.0,55.08,13152500,0.0,1.0
30,2013-12-20T00:00:00.000Z,60.01,60.25,58.01,58.51,26207400,60.01,60.25,58.01,58.51,26207400,0.0,1.0
