,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2020-09-18T00:00:00.000Z,68.35,76.79,67.0,75.0,20620981,68.35,76.79,67.0,75.0,20620981,0.0,1.0
1,2020-09-21T00:00:00.000Z,72.96,73.98,65.11,67.11,5055201,72.96,73.98,65.11,67.11,5055201,0.0,1.0
2,2020-09-22T00:00:00.000Z,84.82,84.98,75.11,76.64,6893682,84.82,84.98,75.11,76.64,6893682,0.0,1.0
3,2020-09-23T00:00:00.000Z,81.85,88.88,79.9,88.67,4343874,81.85,88.88,79.9,88.67,4343874,0.0,1.0
4,2020-09-24T00:00:00.000Z,83.2,83.89,75.7,77.75,2487241,83.2,83.89,75.7,77.75,2487241,0.0,1.0
5,2020-09-25T00:00:00.000Z,89.85,93.36,84.2501,84.79,3681670,89.85,93.36,84.2501,84.79,3681670,0.0,1.0
6,2020-09-28T00:00:00.000Z,95.8,100.0,94.1001,94.46,3999879,95.8,100.0,94.1001,94.46,3999879,0.0,1.0
7,2020-09-29T00:00:00.000Z,94.92,102.63,93.5,98.16,2818379,94.92,102.63,93.5,98.16,2818379,0.0,1.0
8,2020-09-30T00:00:00.000Z,87.28,96.36,85.0301,94.9,3670659,87.28,96.36,85.0301,94.9,3670659,0.0,1.0
9,2020-10-01T00:00:00.000Z,84.56,90.97,83.5,89.33,4530848,84.56,90.97,83.5,89.33,4530848,0.0,1.0
10,2020-10-02T00:00:00.000Z,83.53,87.619,81.55,81.55,2771333,83.53,87.619,81.55,81.55,2771333,0.0,1.0
11,2020-10-05T00:00:00.000Z,84.0,85.849,82.3,85.83,1260519,84.0,85.849,82.3,85.83,1260519,0.0,1.0
12,2020-10-06T00:00:00.000Z,82.79,84.76,82.71,84.61,1014436,82.79,84.76,82.71,84.61,1014436,0.0,1.0
13,2020-10-07T00:00:00.000Z,88.65,89.5,83.758,84.04,1767750,88.65,89.5,83.758,84.04,1767750,0.0,1.0
14,2020-10-08T00:00:00.000Z,91.4,93.5,88.8,91.19,1892944,91.4,93.5,88.8,91.19,1892944,0.0,1.0
15,2020-10-09T00:00:00.000Z,99.11,100.42,92.7,92.85,2587670,99.11,100.42,92.7,92.85,2587670,0.0,1.0
16,2020-10-12T00:00:00.000Z,90.0,101.0,89.8,100.13,3867995,90.0,101.0,89.8,100.13,3867995,0.0,1.0
17,2020-10-13T00:00:00.000Z,92.11,94.78,91.0,92.35,2000670,92.11,94.78,91.0,92.35,2000670,0.0,1.0
18,2020-10-14T00:00:00.000Z,90.02,96.1,89.2,93.52,2199777,90.02,96.1,89.2,93.52,2199777,0.0,1.0
19,2020-10-15T00:00:00.000Z,91.43,93.39,87.0,88.2,1365848,91.43,93.39,87.0,88.2,1365848,0.0,1.0
20,2020-10-16T00:00:00.000Z,92.56,93.6,90.878,92.19,960312,92.56,93.6,90.878,92.19,960312,0.0,1.0
