,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2020-06-10T00:00:00.000Z,17.24,24.77,17.0,22.5,948337,17.24,24.77,17.0,22.5,948337,0.0,1.0
1,2020-06-11T00:00:00.000Z,17.17,18.23,16.01,16.21,263443,17.17,18.23,16.01,16.21,263443,0.0,1.0
2,2020-06-12T00:00:00.000Z,16.53,17.9,16.23,17.9,80032,16.53,17.9,16.23,17.9,80032,0.0,1.0
3,2020-06-15T00:00:00.000Z,17.1399,17.77,15.55,16.0,63622,17.1399,17.77,15.55,16.0,63622,0.0,1.0
4,2020-06-16T00:00:00.000Z,17.99,18.0,16.56,17.66,66549,17.99,18.0,16.56,17.66,66549,0.0,1.0
5,2020-06-17T00:00:00.000Z,17.9037,18.32,17.41,18.32,14806,17.9037,18.32,17.41,18.32,14806,0.0,1.0
6,2020-06-18T00:00:00.000Z,16.33,18.15,16.0,17.8,61656,16.33,18.15,16.0,17.8,61656,0.0,1.0
7,2020-06-19T00:00:00.000Z,16.4,16.98,16.4,16.62,23617,16.4,16.98,16.4,16.62,23617,0.0,1.0
8,2020-06-22T00:00:00.000Z,16.74,17.45,16.6,17.45,6333,16.74,17.45,16.6,17.45,6333,0.0,1.0
9,2020-06-23T00:00:00.000Z,16.8427,17.0,16.4001,16.78,14882,16.8427,17.0,16.4001,16.78,14882,0.0,1.0
10,2020-06-24T00:00:00.000Z,16.5678,17.44,16.33,17.44,17861,16.5678,17.44,16.33,17.44,17861,0.0,1.0
11,2020-06-25T00:00:00.000Z,16.7499,16.78,16.3931,16.4999,6160,16.7499,16.78,16.3931,16.4999,6160,0.0,1.0
12,2020-06-26T00:00:00.000Z,16.43,16.73,16.43,16.525,7561,16.43,16.73,16.43,16.525,7561,0.0,1.0
13,2020-06-29T00:00:00.000Z,16.68,16.7,16.0,16.33,14000,16.682,16.7,16.0,16.33,14000,0.0,1.0
14,2020-06-30T00:00:00.000Z,16.48,16.67,16.2,16.5,10500,16.475,16.67,16.2,16.5,10500,0.0,1.0
15,2020-07-01T00:00:00.000Z,16.25,16.58,16.11,16.3,18200,16.25,16.576,16.11,16.3,18200,0.0,1.0
16,2020-07-02T00:00:00.000Z,15.79,16.25,15.6,16.15,16800,15.791,16.25,15.6,16.15,16800,0.0,1.0
17,2020-07-06T00:00:00.000Z,15.51,16.0,15.51,15.99,11300,15.512,16.0,15.512,15.99,11300,0.0,1.0
18,2020-07-07T00:00:00.000Z,13.77,15.71,13.71,15.51,26000,13.77,15.713,13.71,15.51,26000,0.0,1.0
19,2020-07-08T00:00:00.000Z,13.88,14.0,13.55,13.78,13000,13.875,14.0,13.55,13.78,13000,0.0,1.0
20,2020-07-09T00:00:00.000Z,13.6,13.88,13.26,13.88,7700,13.6,13.88,13.26,13.88,7700,0.0,1.0
21,2020-07-10T00:00:00.000Z,13.89,14.5,13.45,13.8,10300,13.89,14.5,13.45,13.8,10300,0.0,1.0
22,2020-07-13T00:00:00.000Z,14.44,14.8,14.24,14.4,10100,14.445,14.8,14.239,14.4,10100,0.0,1.0
23,2020-07-14T00:00:00.000Z,14.55,14.61,14.0,14.61,7600,14.55,14.612,14.0,14.612,7600,0.0,1.0
24,2020-07-15T00:00:00.000Z,14.16,14.36,14.02,14.36,6100,14.16,14.36,14.02,14.36,6100,0.0,1.0
25,2020-07-16T00:00:00.000Z,13.89,14.09,13.61,14.09,2700,13.89,14.09,13.61,14.09,2700,0.0,1.0
26,2020-07-17T00:00:00.000Z,13.93,14.0,13.61,13.61,3700,13.93,14.0,13.61,13.61,3700,0.0,1.0
27,2020-07-20T00:00:00.000Z,13.83,14.09,13.6,14.09,2168,13.83,14.09,13.6,14.09,2168,0.0,1.0
28,2020-07-21T00:00:00.000Z,13.752,13.752,13.75,13.75,958,13.752,13.752,13.75,13.75,958,0.0,1.0
29,2020-07-22T00:00:00.000Z,13.19,13.8,12.29,13.8,11322,13.19,13.8,12.29,13.8,11322,0.0,1.0
30,2020-07-23T00:00:00.000Z,12.56,12.89,12.31,12.77,2909,12.56,12.89,12.31,12.77,2909,0.0,1.0
31,2020-07-24T00:00:00.000Z,13.0,13.0,12.14,12.28,5974,13.0,13.0,12.14,12.28,5974,0.0,1.0
