,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2007-10-25T00:00:00.000Z,29.82,35.0,28.89,33.0,7486900,29.4871131949,34.6092877875,28.5674949766,32.6316141996,7486900,0.0,1.0
1,2007-10-26T00:00:00.000Z,32.0,32.98,29.25,29.69,1625600,31.6427774057,32.6118374637,28.9234762224,29.3585644117,1625600,0.0,1.0
2,2007-10-29T00:00:00.000Z,34.7,35.0,32.65,34.0,667900,34.3126367493,34.6092877875,32.2855213217,33.6204509935,667900,0.0,1.0
3,2007-10-30T00:00:00.000Z,35.43,35.6,33.0,35.22,455600,35.0344876088,35.2025898638,32.6316141996,34.8268318821,455600,0.0,1.0
4,2007-10-31T00:00:00.000Z,34.2,35.63,32.95,34.93,393200,33.8182183523,35.2322549676,32.5821723599,34.5400692119,393200,0.0,1.0
5,2007-11-01T00:00:00.000Z,32.73,33.5,32.14,33.5,453900,32.3646282652,33.1260325966,31.7812145568,33.1260325966,453900,0.0,1.0
6,2007-11-02T00:00:00.000Z,32.42,32.97,31.52,32.74,276000,32.0580888591,32.6019490958,31.1681357446,32.3745166332,276000,0.0,1.0
7,2007-11-05T00:00:00.000Z,31.5,32.25,31.11,31.61,342300,31.1483590087,31.8899866042,30.7627126591,31.257131056,342300,0.0,1.0
8,2007-11-06T00:00:00.000Z,31.43,31.9,31.35,31.51,223100,31.0791404331,31.5438937263,31.0000334896,31.1582473766,223100,0.0,1.0
9,2007-11-07T00:00:00.000Z,29.35,31.3,29.25,31.3,525600,29.0223599018,30.9505916499,28.9234762224,30.9505916499,525600,0.0,1.0
10,2007-11-08T00:00:00.000Z,30.0,30.15,29.25,29.25,411100,29.6651038178,29.8134293369,28.9234762224,28.9234762224,411100,0.0,1.0
11,2007-11-09T00:00:00.000Z,29.9,30.08,29.06,29.65,213400,29.5662201384,29.7442107613,28.7355972315,29.3190109399,213400,0.0,1.0
12,2007-11-12T00:00:00.000Z,29.04,31.16,29.04,29.67,112900,28.7158204956,30.8121544988,28.7158204956,29.3387876758,112900,0.0,1.0
13,2007-11-13T00:00:00.000Z,29.13,30.0,28.41,29.3,236700,28.8048158071,29.6651038178,28.0928533155,28.9729180621,236700,0.0,1.0
14,2007-11-14T00:00:00.000Z,29.95,30.25,29.1,29.16,244500,29.6156619781,29.9123130163,28.7751507033,28.8344809109,244500,0.0,1.0
