,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,12.88,13.5,12.75,13.5,26400,1.61,1.6875,1.59375,1.6875,211200,0.0,1.0
1,1997-01-03T00:00:00.000Z,12.75,13.25,12.63,13.0,303400,1.59375,1.65625,1.57875,1.625,2427200,0.0,1.0
2,1997-01-06T00:00:00.000Z,12.75,13.0,12.5,12.75,64800,1.59375,1.625,1.5625,1.59375,518400,0.0,1.0
3,1997-01-07T00:00:00.000Z,12.5,12.75,12.25,12.63,45100,1.5625,1.59375,1.53125,1.57875,360800,0.0,1.0
4,1997-01-08T00:00:00.000Z,12.0,12.38,10.5,10.63,318900,1.5,1.5475,1.3125,1.32875,2551200,0.0,1.0
5,1997-01-09T00:00:00.000Z,11.75,12.13,11.75,12.0,356600,1.46875,1.51625,1.46875,1.5,2852800,0.0,1.0
6,1997-01-10T00:00:00.000Z,11.88,12.0,11.25,11.75,207100,1.485,1.5,1.40625,1.46875,1656800,0.0,1.0
7,1997-01-13T00:00:00.000Z,11.75,12.0,11.69,11.88,73900,1.46875,1.5,1.46125,1.485,591200,0.0,1.0
8,1997-01-14T00:00:00.000Z,11.88,12.25,11.63,11.63,136600,1.485,1.53125,1.45375,1.45375,1092800,0.0,1.0
9,1997-01-15T00:00:00.000Z,11.88,11.88,11.88,11.88,25400,1.485,1.485,1.485,1.485,203200,0.0,1.0
10,1997-01-16T00:00:00.000Z,11.88,12.0,11.75,11.75,48700,1.485,1.5,1.46875,1.46875,389600,0.0,1.0
11,1997-01-17T00:00:00.000Z,11.94,12.0,11.88,11.88,34300,1.4925,1.5,1.485,1.485,274400,0.0,1.0
12,1997-01-20T00:00:00.000Z,11.88,12.0,11.75,12.0,28200,1.485,1.5,1.46875,1.5,225600,0.0,1.0
13,1997-01-21T00:00:00.000Z,11.75,11.88,11.63,11.75,114000,1.46875,1.485,1.45375,1.46875,912000,0.0,1.0
14,1997-01-22T00:00:00.000Z,11.81,11.88,11.63,11.63,106600,1.47625,1.485,1.45375,1.45375,852800,0.0,1.0
15,1997-01-23T00:00:00.000Z,11.63,11.81,11.63,11.63,213900,1.45375,1.47625,1.45375,1.45375,1711200,0.0,1.0
16,1997-01-24T00:00:00.000Z,11.75,11.88,11.63,11.63,8900,1.46875,1.485,1.45375,1.45375,71200,0.0,1.0
17,1997-01-27T00:00:00.000Z,12.0,12.13,11.63,11.63,38000,1.5,1.51625,1.45375,1.45375,304000,0.0,1.0
18,1997-01-28T00:00:00.000Z,12.19,12.63,12.0,12.0,30400,1.52375,1.57875,1.5,1.5,243200,0.0,1.0
19,1997-01-29T00:00:00.000Z,12.19,12.38,12.0,12.0,3300,1.52375,1.5475,1.5,1.5,26400,0.0,1.0
20,1997-01-30T00:00:00.000Z,12.5,12.5,12.02,12.38,27500,1.5625,1.5625,1.5025,1.5475,220000,0.0,1.0
21,1997-01-31T00:00:00.000Z,12.13,12.5,12.13,12.5,6700,1.51625,1.5625,1.51625,1.5625,53600,0.0,1.0
22,1997-02-03T00:00:00.000Z,13.25,14.0,13.0,13.0,74100,1.65625,1.75,1.625,1.625,592800,0.0,1.0
23,1997-02-04T00:00:00.000Z,12.63,13.63,12.5,13.63,125900,1.57875,1.70375,1.5625,1.70375,1007200,0.0,1.0
24,1997-02-05T00:00:00.000Z,11.88,13.0,11.75,12.88,151900,1.485,1.625,1.46875,1.61,1215200,0.0,1.0
25,1997-02-06T00:00:00.000Z,11.75,12.0,11.38,12.0,21300,1.46875,1.5,1.4225,1.5,170400,0.0,1.0
26,1997-02-07T00:00:00.000Z,10.88,11.75,10.88,11.75,52600,1.36,1.46875,1.36,1.46875,420800,0.0,1.0
27,1997-02-10T00:00:00.000Z,11.25,11.5,10.75,11.13,33500,1.40625,1.4375,1.34375,1.39125,268000,0.0,1.0
28,1997-02-11T00:00:00.000Z,11.75,11.75,10.88,11.25,30100,1.46875,1.46875,1.36,1.40625,240800,0.0,1.0
29,1997-02-12T00:00:00.000Z,11.5,11.88,11.38,11.38,25200,1.4375,1.485,1.4225,1.4225,201600,0.0,1.0
30,1997-02-13T00:00:00.000Z,12.0,12.13,11.63,11.88,82500,1.5,1.51625,1.45375,1.485,660000,0.0,1.0
31,1997-02-14T00:00:00.000Z,11.88,12.0,11.75,11.88,37800,1.485,1.5,1.46875,1.485,302400,0.0,1.0
32,1997-02-18T00:00:00.000Z,11.75,12.0,11.75,11.88,30700,1.46875,1.5,1.46875,1.485,245600,0.0,1.0
