,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,12.38,12.62,12.12,12.62,512800,5.7867854995,5.8989687402,5.6652536554,5.8989687402,1025600,0.0,1.0
1,1997-01-03T00:00:00.000Z,12.25,12.5,12.25,12.5,3900,5.7260195774,5.8428771198,5.7260195774,5.8428771198,7800,0.0,1.0
2,1997-01-06T00:00:00.000Z,12.38,12.5,12.25,12.25,45900,5.7867854995,5.8428771198,5.7260195774,5.7260195774,91800,0.0,1.0
3,1997-01-07T00:00:00.000Z,12.5,12.62,12.38,12.38,5000,5.8428771198,5.8989687402,5.7867854995,5.7867854995,10000,0.0,1.0
4,1997-01-08T00:00:00.000Z,12.75,12.75,12.5,12.5,6000,5.9597346622,5.9597346622,5.8428771198,5.8428771198,12000,0.0,1.0
5,1997-01-09T00:00:00.000Z,12.75,13.0,12.75,12.88,106600,5.9597346622,6.0765922046,5.9597346622,6.0205005843,213200,0.0,1.0
6,1997-01-10T00:00:00.000Z,12.62,12.75,12.62,12.75,7400,5.8989687402,5.9597346622,5.8989687402,5.9597346622,14800,0.0,1.0
7,1997-01-13T00:00:00.000Z,12.62,12.62,12.5,12.62,8100,5.8989687402,5.8989687402,5.8428771198,5.8989687402,16200,0.0,1.0
8,1997-01-14T00:00:00.000Z,12.5,12.62,12.5,12.5,3300,5.8428771198,5.8989687402,5.8428771198,5.8428771198,6600,0.0,1.0
9,1997-01-15T00:00:00.000Z,12.5,12.62,12.5,12.5,1600,5.8428771198,5.8989687402,5.8428771198,5.8428771198,3200,0.0,1.0
10,1997-01-16T00:00:00.000Z,12.38,12.5,12.38,12.5,4200,5.7867854995,5.8428771198,5.7867854995,5.8428771198,8400,0.0,1.0
11,1997-01-17T00:00:00.000Z,12.38,12.38,12.25,12.25,11000,5.7867854995,5.7867854995,5.7260195774,5.7260195774,22000,0.0,1.0
12,1997-01-20T00:00:00.000Z,12.5,12.5,12.25,12.25,22100,5.8428771198,5.8428771198,5.7260195774,5.7260195774,44200,0.0,1.0
13,1997-01-21T00:00:00.000Z,12.75,12.75,12.38,12.5,27400,5.9597346622,5.9597346622,5.7867854995,5.8428771198,54800,0.0,1.0
14,1997-01-22T00:00:00.000Z,12.62,12.62,12.62,12.62,8400,5.8989687402,5.8989687402,5.8989687402,5.8989687402,16800,0.0,1.0
15,1997-01-23T00:00:00.000Z,12.5,12.62,12.5,12.62,13900,5.8428771198,5.8989687402,5.8428771198,5.8989687402,27800,0.0,1.0
16,1997-01-24T00:00:00.000Z,12.62,12.75,12.62,12.62,4700,5.8989687402,5.9597346622,5.8989687402,5.8989687402,9400,0.0,1.0
17,1997-01-27T00:00:00.000Z,12.88,12.88,12.75,12.75,26600,6.0205005843,6.0205005843,5.9597346622,5.9597346622,53200,0.0,1.0
18,1997-01-28T00:00:00.000Z,12.75,12.88,12.62,12.88,8800,5.9597346622,6.0205005843,5.8989687402,6.0205005843,17600,0.0,1.0
19,1997-01-29T00:00:00.000Z,12.62,12.75,12.62,12.75,5800,5.8989687402,5.9597346622,5.8989687402,5.9597346622,11600,0.0,1.0
20,1997-01-30T00:00:00.000Z,12.62,12.75,12.62,12.62,3500,5.8989687402,5.9597346622,5.8989687402,5.8989687402,7000,0.0,1.0
21,1997-01-31T00:00:00.000Z,12.62,12.75,12.62,12.75,23800,5.8989687402,5.9597346622,5.8989687402,5.9597346622,47600,0.0,1.0
22,1997-02-03T00:00:00.000Z,12.5,12.62,12.38,12.62,59800,5.8428771198,5.8989687402,5.7867854995,5.8989687402,119600,0.0,1.0
23,1997-02-04T00:00:00.000Z,12.25,12.5,12.25,12.38,8200,5.7260195774,5.8428771198,5.7260195774,5.7867854995,16400,0.0,1.0
24,1997-02-05T00:00:00.000Z,12.25,12.38,12.25,12.25,4300,5.7260195774,5.7867854995,5.7260195774,5.7260195774,8600,0.0,1.0
25,1997-02-06T00:00:00.000Z,12.38,12.38,12.25,12.25,7100,5.7867854995,5.7867854995,5.7260195774,5.7260195774,14200,0.0,1.0
26,1997-02-07T00:00:00.000Z,12.5,12.5,12.25,12.25,7300,5.8428771198,5.8428771198,5.7260195774,5.7260195774,14600,0.0,1.0
27,1997-02-10T00:00:00.000Z,12.25,12.5,12.25,12.5,4500,5.7260195774,5.8428771198,5.7260195774,5.8428771198,9000,0.0,1.0
28,1997-02-11T00:00:00.000Z,12.38,12.38,12.25,12.25,2900,5.7867854995,5.7867854995,5.7260195774,5.7260195774,5800,0.0,1.0
29,1997-02-12T00:00:00.000Z,12.38,12.5,12.38,12.38,15000,5.7914598012,5.8475967298,5.7914598012,5.7914598012,30000,0.01,1.0
30,1997-02-13T00:00:00.000Z,12.38,12.38,12.38,12.38,5200,5.7914598012,5.7914598012,5.7914598012,5.7914598012,10400,0.0,1.0
31,1997-02-14T00:00:00.000Z,12.62,12.75,12.25,12.25,23500,5.9037336584,5.9645486644,5.7306447952,5.7306447952,47000,0.0,1.0
32,1997-02-18T00:00:00.000Z,12.5,12.62,12.5,12.62,9700,5.8475967298,5.9037336584,5.8475967298,5.9037336584,19400,0.0,1.0
33,1997-02-19T00:00:00.000Z,12.38,12.5,12.38,12.5,7800,5.7914598012,5.8475967298,5.7914598012,5.8475967298,15600,0.0,1.0
34,1997-02-20T00:00:00.000Z,12.62,12.75,12.5,12.5,26200,5.9037336584,5.9645486644,5.8475967298,5.8475967298,52400,0.0,1.0
35,1997-02-21T00:00:00.000Z,12.5,12.75,12.38,12.75,8500,5.8475967298,5.9645486644,5.7914598012,5.9645486644,17000,0.0,1.0
36,1997-02-24T00:00:00.000Z,12.88,12.88,12.38,12.5,11200,6.0253636703,6.0253636703,5.7914598012,5.8475967298,22400,0.0,1.0
37,1997-02-25T00:00:00.000Z,12.88,13.0,12.62,12.75,12400,6.0253636703,6.081500599,5.9037336584,5.9645486644,24800,0.0,1.0
38,1997-02-26T00:00:00.000Z,13.25,13.25,12.88,13.0,28400,6.1984525336,6.1984525336,6.0253636703,6.081500599,56800,0.0,1.0
39,1997-02-27T00:00:00.000Z,13.0,13.12,12.88,13.12,5900,6.081500599,6.1376375276,6.0253636703,6.1376375276,11800,0.0,1.0
40,1997-02-28T00:00:00.000Z,12.62,12.88,12.5,12.88,16500,5.9037336584,6.0253636703,5.8475967298,6.0253636703,33000,0.0,1.0
41,1997-03-03T00:00:00.000Z,12.5,12.62,12.5,12.62,28600,5.8475967298,5.9037336584,5.8475967298,5.9037336584,57200,0.0,1.0
42,1997-03-04T00:00:00.000Z,12.62,12.62,12.38,12.38,11300,5.9037336584,5.9037336584,5.7914598012,5.7914598012,22600,0.0,1.0
43,1997-03-05T00:00:00.000Z,12.62,12.62,12.5,12.5,10300,5.9037336584,5.9037336584,5.8475967298,5.8475967298,20600,0.0,1.0
44,1997-03-06T00:00:00.000Z,13.12,13.25,12.75,12.75,28900,6.1376375276,6.1984525336,5.9645486644,5.9645486644,57800,0.0,1.0
45,1997-03-07T00:00:00.000Z,13.75,13.75,13.25,13.25,28900,6.4323564027,6.4323564027,6.1984525336,6.1984525336,57800,0.0,1.0
46,1997-03-10T00:00:00.000Z,13.5,14.0,13.5,13.62,42600,6.3154044681,6.5493083373,6.3154044681,6.3715413968,85200,0.0,1.0
47,1997-03-11T00:00:00.000Z,13.5,13.62,13.5,13.62,14000,6.3154044681,6.3715413968,6.3154044681,6.3715413968,28000,0.0,1.0
48,1997-03-12T00:00:00.000Z,14.0,14.0,13.62,13.62,38900,6.5493083373,6.5493083373,6.3715413968,6.3715413968,77800,0.0,1.0
49,1997-03-13T00:00:00.000Z,13.88,14.0,13.88,13.88,9900,6.4931714087,6.5493083373,6.4931714087,6.4931714087,19800,0.0,1.0
50,1997-03-14T00:00:00.000Z,14.25,14.25,14.0,14.0,26500,6.6662602719,6.6662602719,6.5493083373,6.5493083373,53000,0.0,1.0
51,1997-03-17T00:00:00.000Z,14.0,14.12,13.75,14.0,16100,6.5493083373,6.6054452659,6.4323564027,6.5493083373,32200,0.0,1.0
52,1997-03-18T00:00:00.000Z,13.88,14.12,13.88,13.88,20000,6.4931714087,6.6054452659,6.4931714087,6.4931714087,40000,0.0,1.0
53,1997-03-19T00:00:00.000Z,13.75,13.88,13.62,13.88,30500,6.4323564027,6.4931714087,6.3715413968,6.4931714087,61000,0.0,1.0
54,1997-03-20T00:00:00.000Z,13.62,13.75,13.62,13.75,15500,6.3715413968,6.4323564027,6.3715413968,6.4323564027,31000,0.0,1.0
55,1997-03-21T00:00:00.000Z,13.62,13.75,13.62,13.75,9600,6.3715413968,6.4323564027,6.3715413968,6.4323564027,19200,0.0,1.0
56,1997-03-24T00:00:00.000Z,13.62,13.75,13.62,13.75,29100,6.3715413968,6.4323564027,6.3715413968,6.4323564027,58200,0.0,1.0
57,1997-03-25T00:00:00.000Z,13.75,13.75,13.62,13.62,13900,6.4323564027,6.4323564027,6.3715413968,6.3715413968,27800,0.0,1.0
58,1997-03-26T00:00:00.000Z,14.0,14.0,13.75,13.75,7600,6.5493083373,6.5493083373,6.4323564027,6.4323564027,15200,0.0,1.0
59,1997-03-27T00:00:00.000Z,14.0,14.12,14.0,14.0,11900,6.5493083373,6.6054452659,6.5493083373,6.5493083373,23800,0.0,1.0
60,1997-03-31T00:00:00.000Z,13.0,14.0,13.0,14.0,53200,6.081500599,6.5493083373,6.081500599,6.5493083373,106400,0.0,1.0
61,1997-04-01T00:00:00.000Z,12.75,13.0,12.62,13.0,6200,5.9645486644,6.081500599,5.9037336584,6.081500599,12400,0.0,1.0
62,1997-04-02T00:00:00.000Z,13.62,13.75,12.88,12.88,19900,6.3715413968,6.4323564027,6.0253636703,6.0253636703,39800,0.0,1.0
63,1997-04-03T00:00:00.000Z,13.38,13.75,13.38,13.75,85200,6.2592675395,6.4323564027,6.2592675395,6.4323564027,170400,0.0,1.0
64,1997-04-04T00:00:00.000Z,13.62,13.62,13.38,13.38,10200,6.3715413968,6.3715413968,6.2592675395,6.2592675395,20400,0.0,1.0
65,1997-04-07T00:00:00.000Z,13.38,13.5,13.38,13.5,3200,6.2592675395,6.3154044681,6.2592675395,6.3154044681,6400,0.0,1.0
66,1997-04-08T00:00:00.000Z,13.38,13.38,13.38,13.38,2900,6.2592675395,6.2592675395,6.2592675395,6.2592675395,5800,0.0,1.0
67,1997-04-09T00:00:00.000Z,13.75,13.75,13.5,13.5,19500,6.4323564027,6.4323564027,6.3154044681,6.3154044681,39000,0.0,1.0
68,1997-04-10T00:00:00.000Z,14.25,14.25,13.75,13.75,29500,6.6662602719,6.6662602719,6.4323564027,6.4323564027,59000,0.0,1.0
69,1997-04-11T00:00:00.000Z,14.62,14.75,14.25,14.25,98500,6.8393491351,6.9001641411,6.6662602719,6.6662602719,197000,0.0,1.0
70,1997-04-14T00:00:00.000Z,14.62,14.62,14.5,14.62,21000,6.8393491351,6.8393491351,6.7832122065,6.8393491351,42000,0.0,1.0
