,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,30.13,30.5,30.0,30.38,122900,7.5325,7.625,7.5,7.595,491600,0.0,1.0
1,1997-01-03T00:00:00.000Z,30.13,30.5,29.88,29.88,67000,7.5325,7.625,7.47,7.47,268000,0.0,1.0
2,1997-01-06T00:00:00.000Z,30.25,30.38,30.0,30.25,38100,7.5625,7.595,7.5,7.5625,152400,0.0,1.0
3,1997-01-07T00:00:00.000Z,29.75,30.38,29.5,30.13,44800,7.4375,7.595,7.375,7.5325,179200,0.0,1.0
4,1997-01-08T00:00:00.000Z,29.75,29.88,29.5,29.75,102800,7.4375,7.47,7.375,7.4375,411200,0.0,1.0
5,1997-01-09T00:00:00.000Z,29.75,29.75,29.5,29.5,122100,7.4375,7.4375,7.375,7.375,488400,0.0,1.0
6,1997-01-10T00:00:00.000Z,29.5,29.88,29.38,29.75,53400,7.375,7.47,7.345,7.4375,213600,0.0,1.0
7,1997-01-13T00:00:00.000Z,29.38,29.63,29.25,29.38,41100,7.345,7.4075,7.3125,7.345,164400,0.0,1.0
8,1997-01-14T00:00:00.000Z,28.75,29.38,28.63,29.25,55500,7.1875,7.345,7.1575,7.3125,222000,0.0,1.0
9,1997-01-15T00:00:00.000Z,28.75,28.75,28.75,28.75,259700,7.1875,7.1875,7.1875,7.1875,1038800,0.0,1.0
10,1997-01-16T00:00:00.000Z,28.13,28.75,28.0,28.63,43500,7.0325,7.1875,7.0,7.1575,174000,0.0,1.0
11,1997-01-17T00:00:00.000Z,28.25,28.38,28.0,28.13,183700,7.0625,7.095,7.0,7.0325,734800,0.0,1.0
12,1997-01-20T00:00:00.000Z,28.63,28.75,28.5,28.75,186200,7.1575,7.1875,7.125,7.1875,744800,0.0,1.0
13,1997-01-21T00:00:00.000Z,30.63,30.63,28.5,28.5,76400,7.6575,7.6575,7.125,7.125,305600,0.0,1.0
14,1997-01-22T00:00:00.000Z,30.38,30.38,29.75,30.38,100200,7.595,7.595,7.4375,7.595,400800,0.0,1.0
15,1997-01-23T00:00:00.000Z,30.88,31.38,30.13,30.63,104300,7.72,7.845,7.5325,7.6575,417200,0.0,1.0
16,1997-01-24T00:00:00.000Z,29.88,31.0,29.0,30.88,414700,7.47,7.75,7.25,7.72,1658800,0.0,1.0
17,1997-01-27T00:00:00.000Z,30.25,30.25,29.63,29.88,126000,7.5625,7.5625,7.4075,7.47,504000,0.0,1.0
18,1997-01-28T00:00:00.000Z,30.75,30.88,30.25,30.38,143600,7.6875,7.72,7.5625,7.595,574400,0.0,1.0
19,1997-01-29T00:00:00.000Z,30.0,30.63,29.63,30.63,345000,7.5,7.6575,7.4075,7.6575,1380000,0.0,1.0
20,1997-01-30T00:00:00.000Z,29.88,30.0,29.75,30.0,14800,7.47,7.5,7.4375,7.5,59200,0.0,1.0
21,1997-01-31T00:00:00.000Z,29.63,29.88,29.5,29.88,45400,7.4075,7.47,7.375,7.47,181600,0.0,1.0
22,1997-02-03T00:00:00.000Z,29.88,29.88,29.38,29.5,46800,7.47,7.47,7.345,7.375,187200,0.0,1.0
23,1997-02-04T00:00:00.000Z,30.38,30.38,29.75,29.88,50100,7.595,7.595,7.4375,7.47,200400,0.0,1.0
24,1997-02-05T00:00:00.000Z,29.63,30.38,29.38,30.38,219100,7.4075,7.595,7.345,7.595,876400,0.0,1.0
25,1997-02-06T00:00:00.000Z,29.38,29.63,29.25,29.63,23100,7.345,7.4075,7.3125,7.4075,92400,0.0,1.0
26,1997-02-07T00:00:00.000Z,29.88,30.0,29.38,29.75,44500,7.47,7.5,7.345,7.4375,178000,0.0,1.0
27,1997-02-10T00:00:00.000Z,29.38,30.0,29.25,30.0,143100,7.345,7.5,7.3125,7.5,572400,0.0,1.0
28,1997-02-11T00:00:00.000Z,28.63,29.5,28.38,29.38,63200,7.1575,7.375,7.095,7.345,252800,0.0,1.0
29,1997-02-12T00:00:00.000Z,28.0,28.88,27.5,28.63,83600,7.0,7.22,6.875,7.1575,334400,0.0,1.0
30,1997-02-13T00:00:00.000Z,28.0,28.13,27.0,28.0,130300,7.0,7.0325,6.75,7.0,521200,0.0,1.0
31,1997-02-14T00:00:00.000Z,27.75,28.13,27.5,27.5,113600,6.9375,7.0325,6.875,6.875,454400,0.0,1.0
32,1997-02-18T00:00:00.000Z,27.25,27.5,26.0,27.38,365600,6.8125,6.875,6.5,6.845,1462400,0.0,1.0
33,1997-02-19T00:00:00.000Z,27.0,27.25,26.5,27.25,162100,6.75,6.8125,6.625,6.8125,648400,0.0,1.0
34,1997-02-20T00:00:00.000Z,27.0,27.25,26.63,27.0,134700,6.75,6.8125,6.6575,6.75,538800,0.0,1.0
35,1997-02-21T00:00:00.000Z,28.0,28.13,27.13,27.25,209800,7.0,7.0325,6.7825,6.8125,839200,0.0,1.0
36,1997-02-24T00:00:00.000Z,28.63,28.88,27.25,28.0,276500,7.1575,7.22,6.8125,7.0,1106000,0.0,1.0
37,1997-02-25T00:00:00.000Z,28.63,28.75,28.13,28.75,202300,7.1575,7.1875,7.0325,7.1875,809200,0.0,1.0
38,1997-02-26T00:00:00.000Z,29.38,29.38,28.5,28.5,201800,7.345,7.345,7.125,7.125,807200,0.0,1.0
39,1997-02-27T00:00:00.000Z,29.38,29.75,29.13,29.38,205300,7.345,7.4375,7.2825,7.345,821200,0.0,1.0
40,1997-02-28T00:00:00.000Z,30.13,30.25,29.5,29.5,67900,7.5325,7.5625,7.375,7.375,271600,0.0,1.0
41,1997-03-03T00:00:00.000Z,30.38,30.75,30.0,30.5,99100,7.595,7.6875,7.5,7.625,396400,0.0,1.0
42,1997-03-04T00:00:00.000Z,29.75,30.25,29.63,30.13,259700,7.4375,7.5625,7.4075,7.5325,1038800,0.0,1.0
43,1997-03-05T00:00:00.000Z,29.63,30.0,29.38,30.0,289000,7.4075,7.5,7.345,7.5,1156000,0.0,1.0
44,1997-03-06T00:00:00.000Z,29.25,29.63,29.13,29.5,53100,7.3125,7.4075,7.2825,7.375,212400,0.0,1.0
45,1997-03-07T00:00:00.000Z,29.38,29.75,29.38,29.38,213400,7.345,7.4375,7.345,7.345,853600,0.0,1.0
46,1997-03-10T00:00:00.000Z,29.25,29.25,29.0,29.25,384500,7.3125,7.3125,7.25,7.3125,1538000,0.0,1.0
47,1997-03-11T00:00:00.000Z,28.75,29.25,28.75,29.25,63500,7.1875,7.3125,7.1875,7.3125,254000,0.0,1.0
48,1997-03-12T00:00:00.000Z,28.63,28.75,28.63,28.75,133300,7.1575,7.1875,7.1575,7.1875,533200,0.0,1.0
49,1997-03-13T00:00:00.000Z,28.0,28.63,27.5,28.5,90100,7.0,7.1575,6.875,7.125,360400,0.0,1.0
50,1997-03-14T00:00:00.000Z,27.88,28.25,27.75,28.13,47600,6.97,7.0625,6.9375,7.0325,190400,0.0,1.0
51,1997-03-17T00:00:00.000Z,27.63,28.0,27.25,27.38,47200,6.9075,7.0,6.8125,6.845,188800,0.0,1.0
52,1997-03-18T00:00:00.000Z,28.25,28.38,27.63,27.63,89300,7.0625,7.095,6.9075,6.9075,357200,0.0,1.0
53,1997-03-19T00:00:00.000Z,27.13,28.13,27.13,28.0,61200,6.7825,7.0325,6.7825,7.0,244800,0.0,1.0
54,1997-03-20T00:00:00.000Z,27.63,27.88,27.38,27.5,51600,6.9075,6.97,6.845,6.875,206400,0.0,1.0
55,1997-03-21T00:00:00.000Z,27.5,27.75,27.5,27.5,27700,6.875,6.9375,6.875,6.875,110800,0.0,1.0
56,1997-03-24T00:00:00.000Z,27.63,28.0,27.25,27.38,45700,6.9075,7.0,6.8125,6.845,182800,0.0,1.0
57,1997-03-25T00:00:00.000Z,27.63,28.0,27.5,27.63,62800,6.9075,7.0,6.875,6.9075,251200,0.0,1.0
58,1997-03-26T00:00:00.000Z,27.13,27.63,27.13,27.5,34200,6.7825,6.9075,6.7825,6.875,136800,0.0,1.0
59,1997-03-27T00:00:00.000Z,27.38,28.13,27.0,27.13,133100,6.845,7.0325,6.75,6.7825,532400,0.0,1.0
60,1997-03-31T00:00:00.000Z,26.75,27.25,26.38,27.13,37600,6.6875,6.8125,6.595,6.7825,150400,0.0,1.0
