,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,30.85,31.47,30.6,31.1,515700,13.6353433474,13.9093761796,13.5248462376,13.7458404571,515700,0.0,1.0
1,1997-01-03T00:00:00.000Z,30.1,30.97,29.97,30.97,474400,13.303852018,13.68838196,13.2463935209,13.68838196,474400,0.0,1.0
2,1997-01-06T00:00:00.000Z,29.72,29.72,28.6,29.47,940700,13.1358964111,13.1358964111,12.6408693593,13.0253993013,940700,0.0,1.0
3,1997-01-07T00:00:00.000Z,31.22,31.22,29.72,30.22,456800,13.7988790698,13.7988790698,13.1358964111,13.3568906307,456800,0.0,1.0
4,1997-01-08T00:00:00.000Z,32.09,32.09,31.1,31.35,670500,14.1834090119,14.1834090119,13.7458404571,13.8563375669,670500,0.0,1.0
5,1997-01-09T00:00:00.000Z,31.59,31.97,31.47,31.97,381000,13.9624147923,14.1303703992,13.9093761796,14.1303703992,381000,0.0,1.0
6,1997-01-10T00:00:00.000Z,31.35,31.47,30.72,31.35,469100,13.8563375669,13.9093761796,13.5778848503,13.8563375669,469100,0.0,1.0
7,1997-01-13T00:00:00.000Z,30.97,31.22,30.47,31.22,253500,13.68838196,13.7988790698,13.4673877405,13.7988790698,253500,0.0,1.0
8,1997-01-14T00:00:00.000Z,30.47,31.47,29.97,30.97,1723100,13.4673877405,13.9093761796,13.2463935209,13.68838196,1723100,0.0,1.0
9,1997-01-15T00:00:00.000Z,31.22,31.22,30.35,30.47,792000,13.7988790698,13.7988790698,13.4143491278,13.4673877405,792000,0.0,1.0
10,1997-01-16T00:00:00.000Z,31.72,31.72,31.1,31.35,838900,14.0198732894,14.0198732894,13.7458404571,13.8563375669,838900,0.0,1.0
11,1997-01-17T00:00:00.000Z,32.47,32.47,31.35,31.47,781500,14.3513646188,14.3513646188,13.8563375669,13.9093761796,781500,0.0,1.0
12,1997-01-20T00:00:00.000Z,32.59,33.22,32.47,32.72,675700,14.4044032314,14.6828559481,14.3513646188,14.4618617285,675700,0.0,1.0
13,1997-01-21T00:00:00.000Z,32.09,32.72,31.59,32.47,1019500,14.1834090119,14.4618617285,13.9624147923,14.3513646188,1019500,0.0,1.0
14,1997-01-22T00:00:00.000Z,34.09,34.22,32.22,32.47,773100,15.0673858902,15.1248443872,14.240867509,14.3513646188,773100,0.0,1.0
